Iter  Part  GoF  Model_Output  
1  1   3.1890437E-01   3.1890437E-01  
1  2   3.3301652E-01   3.3301652E-01  
1  3   2.9000000E-01   2.9000000E-01  
1  4   1.6401219E-01   1.6401219E-01  
2  1   1.6643317E-01   1.6643317E-01  
2  2   1.5811388E-01   1.5811388E-01  
2  3  NA  NA  
2  4   2.4207437E-01   2.4207437E-01  
3  1   2.3706539E-01   2.3706539E-01  
3  2   1.7204651E-01   1.7204651E-01  
3  3   1.4422205E-01   1.4422205E-01  
3  4  NA  NA  
4  1   1.4422205E-01   1.4422205E-01  
4  2   1.5652476E-01   1.5652476E-01  
4  3   1.3038405E-01   1.3038405E-01  
4  4   2.2203603E-01   2.2203603E-01  
5  1   2.1470911E-01   2.1470911E-01  
5  2  NA  NA  
5  3   2.4839485E-01   2.4839485E-01  
5  4   2.9068884E-01   2.9068884E-01  
