Date,SolarHeight[deg],SolarAzimuth[deg],SinSolarHeight,SWinMeasured[W/m2],SWinClearSky[W/m2],AtmTransmissivity,CloudTransmissivity
01/01/2012 10:00,13.940094,147.682022,0.240907,38.500000,201.107524,0.589990,0.192819
01/01/2012 11:00,18.402600,161.279499,0.315692,130.833333,289.813951,0.648816,0.454579
01/01/2012 12:00,20.468312,175.748519,0.349689,312.666667,331.556916,0.670103,0.949335
01/01/2012 13:00,19.912460,190.440057,0.340584,243.333333,320.811064,0.665718,0.763621
01/01/2012 14:00,16.797912,204.605930,0.288997,200.333333,258.553597,0.632299,0.780347
02/01/2012 10:00,13.974474,147.551250,0.241490,71.500000,202.324172,0.592120,0.355930
02/01/2012 11:00,18.458180,161.153699,0.316612,101.333333,290.863925,0.649265,0.350801
02/01/2012 12:00,20.545462,175.634396,0.350950,118.166667,332.539683,0.669665,0.357715
02/01/2012 13:00,20.008883,190.344155,0.342166,158.833333,322.076686,0.665246,0.496474
02/01/2012 14:00,16.909287,204.531579,0.290857,121.000000,260.007683,0.631780,0.468674
03/01/2012 10:00,14.016028,147.418159,0.242193,26.833333,206.690185,0.603137,0.130754
03/01/2012 11:00,18.521189,161.026808,0.317655,171.500000,298.388438,0.663872,0.578705
03/01/2012 12:00,20.630094,175.520650,0.352333,383.666667,340.006574,0.682013,1.000000
03/01/2012 13:00,20.112583,190.250157,0.343866,361.000000,328.927543,0.676036,1.000000
03/01/2012 14:00,17.027499,204.460479,0.292831,355.833333,266.192604,0.642448,1.000000
04/01/2012 10:00,14.064747,147.282828,0.243018,76.000000,207.332022,0.602961,0.369174
04/01/2012 11:00,18.591606,160.898898,0.318820,95.666667,298.106954,0.660827,0.323112
04/01/2012 12:00,20.722175,175.407352,0.353837,105.833333,339.575838,0.678259,0.313718
04/01/2012 13:00,20.223512,190.158131,0.345683,174.166667,328.669366,0.671960,0.533442
04/01/2012 14:00,17.152487,204.392694,0.294916,203.333333,267.236348,0.640413,0.766213
05/01/2012 10:00,14.120623,147.145333,0.243964,66.000000,210.580918,0.610046,0.315644
05/01/2012 11:00,18.669407,160.770044,0.320107,166.000000,301.946470,0.666660,0.553509
05/01/2012 12:00,20.821667,175.294575,0.355460,334.666667,345.510950,0.686975,0.974950
05/01/2012 13:00,20.341622,190.068147,0.347617,263.166667,335.196406,0.681505,0.790296
05/01/2012 14:00,17.284191,204.328288,0.297111,235.333333,272.365819,0.647895,0.870054
06/01/2012 10:00,14.183642,147.005754,0.245031,40.333333,210.786860,0.608002,0.192697
06/01/2012 11:00,18.754566,160.640320,0.321515,70.833333,302.778677,0.665590,0.235530
06/01/2012 12:00,20.928532,175.182387,0.357203,104.333333,346.273244,0.685151,0.303266
06/01/2012 13:00,20.466860,189.980273,0.349666,188.500000,336.254175,0.679670,0.564272
06/01/2012 14:00,17.422545,204.267325,0.299416,117.000000,274.536379,0.648050,0.429125
06/01/2012 15:00,12.115241,217.501034,0.209879,67.000000,168.498288,0.567430,0.400204
07/01/2012 10:00,14.253787,146.864170,0.246217,24.166667,216.312646,0.620958,0.112507
07/01/2012 11:00,18.847053,160.509799,0.323043,143.833333,310.564311,0.679502,0.466246
07/01/2012 12:00,21.042727,175.070861,0.359064,355.333333,354.293992,0.697416,1.000000
07/01/2012 13:00,20.599170,189.894576,0.351828,404.000000,343.037404,0.689147,1.000000
07/01/2012 14:00,17.567482,204.209868,0.301829,351.333333,280.225797,0.656220,1.000000
07/01/2012 15:00,12.267305,217.469505,0.212473,243.666667,172.611326,0.574207,1.000000
08/01/2012 10:00,14.331038,146.720660,0.247524,61.500000,212.858735,0.607847,0.290938
08/01/2012 11:00,18.946834,160.378557,0.324691,94.000000,304.967151,0.663903,0.310297
08/01/2012 12:00,21.164205,174.960068,0.361042,165.833333,349.215767,0.683688,0.477936
08/01/2012 13:00,20.738494,189.811126,0.354103,208.833333,340.344981,0.679380,0.617581
08/01/2012 14:00,17.718932,204.155978,0.304348,232.000000,279.760471,0.649741,0.834950
08/01/2012 15:00,12.425251,217.442533,0.215166,194.500000,174.219731,0.572334,1.000000
09/01/2012 10:00,14.415374,146.575303,0.248950,25.666667,216.562847,0.614920,0.119340
09/01/2012 11:00,19.053874,160.246666,0.326457,177.833333,310.557634,0.672456,0.576435
09/01/2012 12:00,21.292917,174.850077,0.363136,391.333333,355.378378,0.691784,1.000000
09/01/2012 13:00,20.884769,189.729990,0.356490,412.333333,347.195704,0.688458,1.000000
09/01/2012 14:00,17.876819,204.105717,0.306972,375.000000,285.770262,0.658067,1.000000
09/01/2012 15:00,12.588995,217.420167,0.217956,242.666667,179.485633,0.582121,1.000000
10/01/2012 10:00,14.506770,146.428180,0.250494,59.166667,216.180210,0.610091,0.275575
10/01/2012 11:00,19.168135,160.114202,0.328341,172.166667,309.976895,0.667394,0.559095
10/01/2012 12:00,21.428812,174.740961,0.365345,209.166667,355.256035,0.687414,0.592526
10/01/2012 13:00,21.037932,189.651235,0.358986,310.666667,347.228580,0.683784,0.900438
10/01/2012 14:00,18.041069,204.059146,0.309699,265.500000,286.621804,0.654263,0.932547
10/01/2012 15:00,12.758452,217.402457,0.220841,148.833333,181.163128,0.579927,0.826886
11/01/2012 10:00,14.605195,146.279371,0.252157,27.500000,215.617018,0.604539,0.128411
11/01/2012 11:00,19.289573,159.981239,0.330343,172.333333,309.220509,0.661786,0.560987
11/01/2012 12:00,21.571836,174.632788,0.367667,383.000000,355.565511,0.683722,1.000000
11/01/2012 13:00,21.197915,189.574929,0.361591,404.000000,347.612216,0.679665,1.000000
11/01/2012 14:00,18.211603,204.016326,0.312527,369.666667,287.342640,0.650026,1.000000
11/01/2012 15:00,12.933533,217.389452,0.223821,243.000000,182.347325,0.575996,1.000000
12/01/2012 10:00,14.710620,146.128956,0.253937,25.833333,224.963808,0.626381,0.115615
12/01/2012 11:00,19.418145,159.847850,0.332460,178.500000,321.043381,0.682776,0.559618
12/01/2012 12:00,21.721930,174.525631,0.370102,398.333333,367.443124,0.701979,1.000000
12/01/2012 13:00,21.364648,189.501139,0.364302,421.833333,357.737640,0.694321,1.000000
12/01/2012 14:00,18.388337,203.977317,0.315456,388.166667,297.155080,0.666045,1.000000
12/01/2012 15:00,13.114147,217.381198,0.226892,256.000000,191.702752,0.597407,1.000000
13/01/2012 10:00,14.823009,145.977015,0.255834,25.000000,223.067895,0.616560,0.112829
13/01/2012 11:00,19.553804,159.714109,0.334692,177.333333,318.420377,0.672750,0.560524
13/01/2012 12:00,21.879034,174.419558,0.372648,368.666667,364.975394,0.692572,1.000000
13/01/2012 13:00,21.538058,189.429932,0.367119,417.500000,357.578015,0.688757,1.000000
13/01/2012 14:00,18.571189,203.942177,0.318483,385.833333,297.782396,0.661177,1.000000
13/01/2012 15:00,13.300202,217.377742,0.230053,259.500000,192.538700,0.591829,1.000000
14/01/2012 10:00,14.942326,145.823628,0.257847,25.333333,231.192136,0.634099,0.110312
14/01/2012 11:00,19.696498,159.580091,0.337038,189.166667,329.407515,0.691198,0.577939
14/01/2012 12:00,22.043085,174.314641,0.375304,411.500000,376.949401,0.710313,1.000000
14/01/2012 13:00,21.718069,189.361373,0.370040,436.000000,369.546691,0.706273,1.000000
14/01/2012 14:00,18.760070,203.910965,0.321606,403.333333,308.854418,0.679178,1.000000
14/01/2012 15:00,13.491601,217.379126,0.233303,272.166667,200.827628,0.608779,1.000000
15/01/2012 10:00,15.068531,145.668877,0.259974,26.666667,238.573306,0.649068,0.112522
15/01/2012 11:00,19.846174,159.445868,0.339496,194.166667,337.928890,0.704031,0.578217
15/01/2012 12:00,22.214018,174.210948,0.378067,410.500000,384.650872,0.719616,1.000000
15/01/2012 13:00,21.904603,189.295530,0.373062,437.500000,378.542203,0.717693,1.000000
15/01/2012 14:00,18.954892,203.883739,0.324824,406.166667,317.480005,0.691316,1.000000
15/01/2012 15:00,13.688248,217.385395,0.236639,275.833333,207.886413,0.621370,1.000000
16/01/2012 10:00,15.201580,145.512840,0.262216,25.333333,240.585252,0.649033,0.105996
16/01/2012 11:00,20.002778,159.311514,0.342066,201.166667,339.320082,0.701712,0.596580
16/01/2012 12:00,22.391764,174.108549,0.380937,413.666667,388.701824,0.721813,1.000000
16/01/2012 13:00,22.097580,189.232468,0.376185,440.166667,382.073148,0.718471,1.000000
16/01/2012 14:00,19.155562,203.860557,0.328134,407.000000,319.562268,0.688923,1.000000
16/01/2012 15:00,13.890041,217.396591,0.240059,277.500000,210.375542,0.619935,1.000000
