AngleFromNorthClockwise,HorizonHeight
0,5.3555939368485
2.5,5.33096110867463
5,5.36735772184271
7.5,5.36735772184271
10,5.27247149126994
12.5,5.28695233998488
15,5.50277274419053
17.5,5.64076170595184
20,6.20755415004113
22.5,5.79405848016825
25,5.61309818760236
27.5,5.59456743853973
30,4.98014736487333
32.5,4.53063509932613
35,4.39592422708576
37.5,4.06681872180252
40,3.88158945788947
42.5,3.78228688056385
45,3.79190884400309
47.5,4.13986066901043
50,3.63124456577804
52.5,3.91103882783884
55,4.72074942736728
57.5,4.85325757051982
60,5.2090849395331
62.5,5.87094950551119
65,5.22358668604933
67.5,5.25976804656719
70,5.82314215644515
72.5,5.85640615083145
75,5.29808050473064
77.5,5.3298093296503
80,5.09583533947902
82.5,3.46311573557991
85,2.79139486629333
87.5,3.3753717149573
90,3.17431949903521
92.5,4.12286537287942
95,5.23908015513292
97.5,6.55197459031235
100,8.0861564772717
102.5,8.04461407751369
105,8.63642056251906
107.5,7.9106457018792
110,9.13177854982478
112.5,8.2834870630971
115,8.39836596154433
117.5,7.6052896017046
120,6.58294479506428
122.5,5.45359580573268
125,4.49624180977274
127.5,4.19508450865685
130,5.5365333218808
132.5,6.24410221800335
135,6.83473235091225
137.5,7.21783152796257
140,7.7373587151642
142.5,7.96924007853084
145,7.56676562970554
147.5,7.27883216233453
150,6.50206876243329
152.5,5.93582896096671
155,5.21480023949982
157.5,4.36021288347544
160,4.66914569370848
162.5,5.13718732004008
165,5.59608954847867
167.5,7.03431567672917
170,7.70748352025046
172.5,9.02966132823004
175,9.54123682539674
177.5,10.0952709731311
180,10.2505697523463
182.5,10.4456897772105
185,10.2556279623462
187.5,9.81257906817254
190,9.32166527222245
192.5,8.90692152620064
195,8.84960259443234
197.5,8.56014686195566
200,8.50800566364653
202.5,8.26378165395045
205,8.53626710588138
207.5,9.43411849930855
210,9.75779805410863
212.5,9.29115666828843
215,9.2129966620606
217.5,9.01945802487681
220,8.5669103709949
222.5,8.17635207751196
225,7.879149345475
227.5,7.01275635346049
230,6.83459150363321
232.5,6.67846035892025
235,7.44868307393305
237.5,8.27517336501263
240,8.91214130163417
242.5,9.44909448129976
245,9.81233909333095
247.5,10.4366249160747
250,10.7598776789625
252.5,10.4152288418812
255,10.3301557036797
257.5,10.4037300055378
260,10.1791564639908
262.5,10.0932979688223
265,10.8332491539948
267.5,10.7595597529379
270,11.2363900889542
272.5,10.9277636243916
275,10.9277636243916
277.5,11.7204822362174
280,10.7733782919589
282.5,10.7286638398476
285,10.5268921661584
287.5,10.0158251994557
290,10.0004350325007
292.5,9.78403331314654
295,9.41414253258278
297.5,9.41414253258278
300,9.55981069223551
302.5,9.55981069223551
305,8.14133362495732
307.5,8.14133362495732
310,6.92859852932567
312.5,6.73249978352589
315,6.73249978352589
317.5,6.73249978352589
320,6.73249978352589
322.5,5.98039627652302
325,5.98039627652302
327.5,5.98039627652302
330,5.98039627652302
332.5,5.98039627652302
335,3.87855745970046
337.5,3.87855745970046
340,3.87855745970046
342.5,3.24529084048501
345,3.24529084048501
347.5,3.24529084048501
350,3.49477749906455
352.5,4.07000351711878
355,4.83999296754969
357.5,4.95395260505029
