DATE[day/month/year hour:min],t[days],JDfrom0,JD,Qtot[m3/s],Vsup/Dt[m3/s],Vsub/Dt[m3/s],Vchannel[m3],Qoutlandsup[m3/s],Qoutlandsub[m3/s],Qoutbottom[m3/s]
01/10/2013 01:00,0.041667,735508.041667,273.041667,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.564690e-04
01/10/2013 02:00,0.083333,735508.083333,273.083333,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,5.029654e-05
01/10/2013 03:00,0.125000,735508.125000,273.125000,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,3.888191e-05
01/10/2013 04:00,0.166667,735508.166667,273.166667,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,3.246854e-05
01/10/2013 05:00,0.208333,735508.208333,273.208333,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,2.818228e-05
01/10/2013 06:00,0.250000,735508.250000,273.250000,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,2.505360e-05
01/10/2013 07:00,0.291667,735508.291667,273.291667,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,2.264156e-05
01/10/2013 08:00,0.333333,735508.333333,273.333333,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,2.071077e-05
01/10/2013 09:00,0.375000,735508.375000,273.375000,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.912198e-05
01/10/2013 10:00,0.416667,735508.416667,273.416667,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.778662e-05
01/10/2013 11:00,0.458333,735508.458333,273.458333,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.664522e-05
01/10/2013 12:00,0.500000,735508.500000,273.500000,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.565615e-05
01/10/2013 13:00,0.541667,735508.541667,273.541667,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.478925e-05
01/10/2013 14:00,0.583333,735508.583333,273.583333,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.402207e-05
01/10/2013 15:00,0.625000,735508.625000,273.625000,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.333751e-05
01/10/2013 16:00,0.666667,735508.666667,273.666667,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.272228e-05
01/10/2013 17:00,0.708333,735508.708333,273.708333,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.216588e-05
01/10/2013 18:00,0.750000,735508.750000,273.750000,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.165986e-05
01/10/2013 19:00,0.791667,735508.791667,273.791667,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.119740e-05
01/10/2013 20:00,0.833333,735508.833333,273.833333,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.077285e-05
01/10/2013 21:00,0.875000,735508.875000,273.875000,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.038156e-05
01/10/2013 22:00,0.916667,735508.916667,273.916667,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.001960e-05
