Date12[DDMMYYYYhhmm],JulianDayFromYear0[days],TimeFromStart[days],Simulation_Period,Run,IDpoint,10.000000 ,50.000000 ,200.000000 ,560.000000 ,1400.000000 ,3500.000000 ,7500.000000 ,16000.000000 ,36000.000000  
01/10/2013 00:00,735508.000000,0.000000,0,1,1,-4989.239999,-4949.246091,-4799.268937,-4439.323766,-3599.451703,-1499.771543,2499.619238,10998.324647,30995.278550 
01/10/2013 01:00,735508.041667,0.041667,1,1,1,-4947.162218,-4948.564882,-4799.230170,-4439.323766,-3599.454636,-2430.544751,-3.826552,-2.039075,-1.461636 
01/10/2013 02:00,735508.083333,0.083333,1,1,1,-4918.104062,-4947.908994,-4799.194778,-4439.323766,-3599.456281,-2430.544962,-4.842649,-2.821359,-2.130265 
01/10/2013 03:00,735508.125000,0.125000,1,1,1,-4887.581043,-4947.246752,-4799.161228,-4439.323766,-3599.457926,-2430.545174,-5.665439,-3.429821,-2.644844 
01/10/2013 04:00,735508.166667,0.166667,1,1,1,-4865.982348,-4946.701157,-4799.136140,-4439.323766,-3599.459572,-2430.545386,-6.372059,-3.944949,-3.078590 
01/10/2013 05:00,735508.208333,0.208333,1,1,1,-4847.896238,-4946.166352,-4799.113351,-4439.323766,-3599.461217,-2430.545598,-6.999116,-4.399129,-3.460123 
01/10/2013 06:00,735508.250000,0.250000,1,1,1,-4826.208973,-4945.595496,-4799.090226,-4439.323766,-3599.462862,-2430.545811,-7.567384,-4.809384,-3.804279 
01/10/2013 07:00,735508.291667,0.291667,1,1,1,-4813.935379,-4945.101456,-4799.072735,-4439.323766,-3599.464507,-2430.546023,-8.089984,-5.186012,-4.119954 
01/10/2013 08:00,735508.333333,0.333333,1,1,1,-4809.665868,-4944.371018,-4799.036095,-4439.323766,-3599.466153,-2430.546236,-8.575822,-5.535819,-4.412985 
01/10/2013 09:00,735508.375000,0.375000,1,1,1,-4823.289412,-4944.221215,-4799.810933,-4439.619225,-3599.467798,-2430.546449,-9.031267,-5.863582,-4.687453 
01/10/2013 10:00,735508.416667,0.416667,1,1,1,-4880.771252,-4946.974410,-4803.462422,-4440.926930,-3599.469448,-2430.546663,-9.461056,-6.172814,-4.946344 
01/10/2013 11:00,735508.458333,0.458333,1,1,1,-4991.819832,-4955.111042,-4812.580202,-4444.149303,-3599.471108,-2430.546876,-9.868824,-6.466185,-5.191922 
01/10/2013 12:00,735508.500000,0.500000,1,1,1,-5246.369705,-4972.223359,-4830.518006,-4450.460742,-3599.472789,-2430.547090,-10.257430,-6.745782,-5.425952 
