Date12[DDMMYYYYhhmm],JulianDayFromYear0[days],TimeFromStart[days],Simulation_Period,Run,IDpoint,10.000000 ,50.000000 ,200.000000 ,560.000000 ,1400.000000 ,3500.000000 ,7500.000000 ,16000.000000 ,36000.000000  
01/10/2013 00:00,735508.000000,0.000000,0,1,1,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000 
01/10/2013 01:00,735508.041667,0.041667,1,1,1,4.076608,4.016007,4.000245,4.000001,4.000000,4.000000,4.000000,4.000000,4.000000 
01/10/2013 02:00,735508.083333,0.083333,1,1,1,4.041058,4.035946,4.001469,4.000008,4.000000,4.000000,4.000000,4.000000,4.000000 
01/10/2013 03:00,735508.125000,0.125000,1,1,1,4.066981,4.037041,4.002747,4.000027,4.000000,4.000000,4.000000,4.000000,4.000000 
01/10/2013 04:00,735508.166667,0.166667,1,1,1,4.089460,4.053293,4.004431,4.000057,4.000000,4.000000,4.000000,4.000000,4.000000 
01/10/2013 05:00,735508.208333,0.208333,1,1,1,4.030369,4.049692,4.006305,4.000103,4.000000,4.000000,4.000000,4.000000,4.000000 
01/10/2013 06:00,735508.250000,0.250000,1,1,1,4.072669,4.043915,4.007652,4.000161,4.000000,4.000000,4.000000,4.000000,4.000000 
01/10/2013 07:00,735508.291667,0.291667,1,1,1,4.079677,4.053982,4.009200,4.000231,4.000001,4.000000,4.000000,4.000000,4.000000 
01/10/2013 08:00,735508.333333,0.333333,1,1,1,4.894710,4.242921,4.013937,4.000322,4.000001,4.000000,4.000000,4.000000,4.000000 
01/10/2013 09:00,735508.375000,0.375000,1,1,1,6.769212,4.944790,4.036916,4.000528,4.000002,4.000000,4.000000,4.000000,4.000000 
01/10/2013 10:00,735508.416667,0.416667,1,1,1,8.961654,6.168606,4.098987,4.001102,4.000003,4.000000,4.000000,4.000000,4.000000 
01/10/2013 11:00,735508.458333,0.458333,1,1,1,11.990758,7.847642,4.215403,4.002443,4.000005,4.000000,4.000000,4.000000,4.000000 
01/10/2013 12:00,735508.500000,0.500000,1,1,1,15.508942,10.063728,4.404124,4.005083,4.000011,4.000000,4.000000,4.000000,4.000000 
01/10/2013 13:00,735508.541667,0.541667,1,1,1,17.557426,12.279808,4.672409,4.009665,4.000022,4.000000,4.000000,4.000000,4.000000 
01/10/2013 14:00,735508.583333,0.583333,1,1,1,19.355827,14.085024,5.002359,4.016751,4.000041,4.000000,4.000000,4.000000,4.000000 
01/10/2013 15:00,735508.625000,0.625000,1,1,1,18.846248,15.209766,5.372446,4.026729,4.000073,4.000000,4.000000,4.000000,4.000000 
01/10/2013 16:00,735508.666667,0.666667,1,1,1,18.029870,15.432775,5.743366,4.039712,4.000122,4.000000,4.000000,4.000000,4.000000 
