Date12[DDMMYYYYhhmm],JulianDayFromYear0[days],TimeFromStart[days],Simulation_Period,Run,IDpoint,10.000000 ,50.000000 ,200.000000 ,560.000000 ,1400.000000 ,3500.000000 ,7500.000000 ,16000.000000 ,36000.000000  
01/10/2013 00:00,735508.000000,0.000000,0,1,1,0.191350,0.191557,0.192351,0.194386,0.200019,0.226236,0.508202,0.508202,0.508202 
01/10/2013 01:00,735508.041667,0.041667,1,1,1,0.191568,0.191560,0.192351,0.194386,0.200019,0.211218,0.488289,0.498050,0.501216 
01/10/2013 02:00,735508.083333,0.083333,1,1,1,0.191719,0.191564,0.192352,0.194386,0.200019,0.211218,0.482972,0.493738,0.497547 
01/10/2013 03:00,735508.125000,0.125000,1,1,1,0.191880,0.191567,0.192352,0.194386,0.200019,0.211218,0.478834,0.490421,0.494708 
01/10/2013 04:00,735508.166667,0.166667,1,1,1,0.191994,0.191570,0.192352,0.194386,0.200019,0.211218,0.475407,0.487659,0.492330 
01/10/2013 05:00,735508.208333,0.208333,1,1,1,0.192090,0.191573,0.192352,0.194386,0.200019,0.211218,0.472465,0.485266,0.490257 
01/10/2013 06:00,735508.250000,0.250000,1,1,1,0.192206,0.191576,0.192352,0.194386,0.200019,0.211218,0.469878,0.483142,0.488408 
01/10/2013 07:00,735508.291667,0.291667,1,1,1,0.192272,0.191578,0.192352,0.194386,0.200019,0.211218,0.467563,0.481226,0.486732 
01/10/2013 08:00,735508.333333,0.333333,1,1,1,0.192295,0.191582,0.192352,0.194386,0.200019,0.211218,0.465466,0.479476,0.485193 
01/10/2013 09:00,735508.375000,0.375000,1,1,1,0.192222,0.191583,0.192348,0.194384,0.200019,0.211218,0.463546,0.477861,0.483769 
01/10/2013 10:00,735508.416667,0.416667,1,1,1,0.191916,0.191569,0.192329,0.194376,0.200019,0.211218,0.461775,0.476362,0.482442 
01/10/2013 11:00,735508.458333,0.458333,1,1,1,0.191336,0.191526,0.192279,0.194357,0.200019,0.211218,0.460129,0.474960,0.481196 
01/10/2013 12:00,735508.500000,0.500000,1,1,1,0.190065,0.191438,0.192183,0.194320,0.200019,0.211218,0.458592,0.473643,0.480022 
01/10/2013 13:00,735508.541667,0.541667,1,1,1,0.188765,0.191328,0.192070,0.194276,0.200019,0.211218,0.457149,0.472400,0.478911 
01/10/2013 14:00,735508.583333,0.583333,1,1,1,0.187183,0.191273,0.192016,0.194254,0.200019,0.211218,0.455789,0.471222,0.477856 
01/10/2013 15:00,735508.625000,0.625000,1,1,1,0.185858,0.191204,0.191958,0.194231,0.200019,0.211218,0.454502,0.470103,0.476850 
01/10/2013 16:00,735508.666667,0.666667,1,1,1,0.184282,0.191068,0.191840,0.194185,0.200019,0.211218,0.453281,0.469037,0.475890 
01/10/2013 17:00,735508.708333,0.708333,1,1,1,0.183283,0.190951,0.191747,0.194148,0.200019,0.211218,0.452119,0.468018,0.474970 
01/10/2013 18:00,735508.750000,0.750000,1,1,1,0.182801,0.190901,0.191724,0.194139,0.200019,0.211218,0.451011,0.467042,0.474087 
01/10/2013 19:00,735508.791667,0.791667,1,1,1,0.182633,0.190877,0.191725,0.194139,0.200019,0.211218,0.449951,0.466106,0.473238 
01/10/2013 20:00,735508.833333,0.833333,1,1,1,0.182551,0.190855,0.191726,0.194139,0.200019,0.211218,0.448935,0.465206,0.472420 
01/10/2013 21:00,735508.875000,0.875000,1,1,1,0.182560,0.190836,0.191726,0.194139,0.200019,0.211218,0.447960,0.464339,0.471631 
01/10/2013 22:00,735508.916667,0.916667,1,1,1,0.182622,0.190818,0.191726,0.194139,0.200018,0.211218,0.447023,0.463502,0.470868 
01/10/2013 23:00,735508.958333,0.958333,1,1,1,0.182720,0.190803,0.191726,0.194139,0.200018,0.211218,0.446120,0.462695,0.470130 
02/10/2013 00:00,735509.000000,1.000000,1,1,1,0.182829,0.190788,0.191726,0.194139,0.200018,0.211218,0.445249,0.461914,0.469416 
02/10/2013 01:00,735509.041667,1.041667,1,1,1,0.182957,0.190775,0.191726,0.194139,0.200018,0.211218,0.444408,0.461157,0.468723 
02/10/2013 02:00,735509.083333,1.083333,1,1,1,0.183080,0.190762,0.191726,0.194139,0.200018,0.211218,0.443595,0.460424,0.468050 
02/10/2013 03:00,735509.125000,1.125000,1,1,1,0.183202,0.190750,0.191726,0.194139,0.200018,0.211218,0.442808,0.459713,0.467396 
02/10/2013 04:00,735509.166667,1.166667,1,1,1,0.183305,0.190737,0.191725,0.194139,0.200018,0.211218,0.442045,0.459022,0.466760 
