Date12.DDMMYYYYhhmm.,soil_moisture_content_20,soil_moisture_content_50,soil_moisture_content_200,soil_temperature_20,soil_temperature_50,soil_temperature_200,rainfall_amount
31/10/2014 16:00,0.274,0.396,0.343,15.37,16.05,11.99,-9999
31/10/2014 17:00,0.2725,0.396,0.34425,14.635,15.2075,11.755,-9999
31/10/2014 18:00,0.2705,0.39525,0.3455,13.5875,14.0025,11.7925,-9999
31/10/2014 19:00,0.2705,0.39425,0.346,12.515,12.8225,11.82,-9999
31/10/2014 20:00,0.26875,0.394,0.346,11.65,11.885,11.7675,-9999
31/10/2014 21:00,0.26775,0.39375,0.346,10.9275,11.1375,11.635,-9999
31/10/2014 22:00,0.268,0.393,0.346,10.33,10.5525,11.4775,-9999
31/10/2014 23:00,0.267,0.393,0.346,9.8275,10.07,11.305,-9999
01/11/2014 00:00,0.267,0.393,0.346,9.4,9.655,11.1275,-9999
01/11/2014 01:00,0.266,0.392,0.346,9.015,9.28,10.9525,-9999
01/11/2014 02:00,0.26625,0.392,0.346,8.6325,8.9225,10.7825,-9999
01/11/2014 03:00,0.26575,0.392,0.346,8.2975,8.6025,10.61,-9999
01/11/2014 04:00,0.2655,0.392,0.346,8.01875,8.3425,10.4475,-9999
01/11/2014 05:00,0.265,0.392,0.346,7.7735,8.11,10.2925,-9999
01/11/2014 06:00,0.265,0.392,0.346,7.54875,7.902,10.145,-9999
01/11/2014 07:00,0.26575,0.39175,0.346,7.309,7.66775,9.995,-9999
01/11/2014 08:00,0.265,0.391,0.34675,7.09225,7.45625,9.8575,-9999
01/11/2014 09:00,0.266,0.391,0.347,7.31,7.56225,9.72,-9999
01/11/2014 10:00,0.267,0.3915,0.347,8.7175,8.485,9.605,-9999
01/11/2014 11:00,0.268,0.392,0.34625,10.3125,9.5825,9.5425,-9999
01/11/2014 12:00,0.26875,0.392,0.346,12.53,11.195,9.57,-9999
01/11/2014 13:00,0.268,0.392,0.346,14.5175,12.7825,9.725,-9999
01/11/2014 14:00,0.2665,0.3915,0.346,15.86,14.0025,10.0075,-9999
01/11/2014 15:00,0.264,0.3905,0.346,16.5225,14.7275,10.3775,-9999
01/11/2014 16:00,0.261,0.39025,0.346,16.4,14.83,10.7925,-9999
01/11/2014 17:00,0.258,0.38975,0.346,15.5075,14.3625,11.1875,-9999
01/11/2014 18:00,0.2555,0.389,0.347,14.005,13.2275,11.51,-9999
01/11/2014 19:00,0.25525,0.388,0.347,12.6525,12.1625,11.6875,-9999
01/11/2014 20:00,0.25425,0.388,0.347,11.68,11.3875,11.725,-9999
01/11/2014 21:00,0.2535,0.3875,0.347,10.9025,10.74,11.6625,-9999
01/11/2014 22:00,0.253,0.38725,0.347,10.2575,10.215,11.5375,-9999
01/11/2014 23:00,0.253,0.387,0.34675,9.72,9.775,11.39,-9999
02/11/2014 00:00,0.253,0.38675,0.346,9.2475,9.3625,11.23,-9999
02/11/2014 01:00,0.252,0.386,0.346,8.83,9.005,11.055,-9999
02/11/2014 02:00,0.252,0.38625,0.346,8.46,8.6875,10.8925,-9999
02/11/2014 03:00,0.2525,0.386,0.346,8.1225,8.38,10.7225,-9999
02/11/2014 04:00,0.251,0.386,0.347,7.80975,8.0985,10.5575,-9999
02/11/2014 05:00,0.251,0.3855,0.34675,7.52025,7.832,10.3975,-9999
02/11/2014 06:00,0.251,0.385,0.346,7.243,7.58275,10.2325,-9999
02/11/2014 07:00,0.251,0.385,0.346,6.9815,7.347,10.0775,-9999
02/11/2014 08:00,0.25075,0.385,0.346,6.76,7.1355,9.92,-9999
02/11/2014 09:00,0.251,0.385,0.346,7.01075,7.2045,9.7725,-9999
02/11/2014 10:00,0.25275,0.385,0.346,8.701,8.17425,9.6375,-9999
02/11/2014 11:00,0.253,0.385,0.346,10.975,9.7,9.5575,-9999
02/11/2014 12:00,0.2535,0.385,0.346,13.035,11.325,9.595,-9999
02/11/2014 13:00,0.25175,0.385,0.346,15.0975,12.9475,9.77,-9999
02/11/2014 14:00,0.2485,0.3845,0.346,16.545,14.185,10.0725,-9999
02/11/2014 15:00,0.24475,0.3835,0.346,17.0375,14.6625,10.4625,-9999
02/11/2014 16:00,0.24075,0.3825,0.346,16.5375,14.45,10.8925,-9999
02/11/2014 17:00,0.23775,0.38175,0.346,15.235,13.9275,11.2675,-9999
02/11/2014 18:00,0.236,0.381,0.346,13.6125,12.86,11.5475,-9999
02/11/2014 19:00,0.23525,0.38025,0.346,12.2975,11.8425,11.695,-9999
02/11/2014 20:00,0.23475,0.38,0.346,11.33,11.0725,11.7025,-9999
02/11/2014 21:00,0.235,0.38,0.346,10.5475,10.4475,11.625,-9999
02/11/2014 22:00,0.23425,0.37925,0.346,9.91,9.94,11.4975,-9999
02/11/2014 23:00,0.23375,0.379,0.346,9.3825,9.5025,11.345,-9999
03/11/2014 00:00,0.233,0.379,0.346,8.915,9.0975,11.1775,-9999
03/11/2014 01:00,0.233,0.379,0.346,8.5,8.7425,11.0075,-9999
03/11/2014 02:00,0.233,0.37875,0.346,8.125,8.4125,10.84,-9999
03/11/2014 03:00,0.233,0.378,0.346,7.79525,8.12,10.67,-9999
03/11/2014 04:00,0.233,0.378,0.345,7.49025,7.84625,10.495,-9999
03/11/2014 05:00,0.233,0.378,0.345,7.20375,7.5875,10.33,-9999
03/11/2014 06:00,0.233,0.378,0.345,6.93575,7.3405,10.165,-9999
03/11/2014 07:00,0.2335,0.37775,0.345,6.6805,7.10375,10.01,-9999
