Date,SolarHeight[deg],SolarAzimuth[deg],SinSolarHeight,SWinMeasured[W/m2],SWinClearSky[W/m2],AtmTransmissivity,CloudTransmissivity
01/01/2013 10:00,13.913818,147.512399,0.240462,-9999.000000,201.254057,0.591513,-9999.000000
01/01/2013 10:30,16.437540,154.166777,0.282970,-9999.000000,247.451917,0.618040,-9999.000000
01/01/2013 11:00,18.409153,161.097514,0.315801,-9999.000000,283.858433,0.635265,-9999.000000
01/01/2013 11:30,19.778990,168.254348,0.338393,-9999.000000,309.382157,0.646160,-9999.000000
01/01/2013 12:00,20.509365,175.563111,0.350360,-9999.000000,323.245947,0.652054,-9999.000000
01/01/2013 12:30,20.579017,182.931899,0.351499,-9999.000000,324.380823,0.652224,-9999.000000
01/01/2013 13:00,19.985878,190.261428,0.341789,-9999.000000,313.462491,0.648177,-9999.000000
01/01/2013 13:30,18.747350,197.457287,0.321396,-9999.000000,290.636504,0.639109,-9999.000000
01/01/2013 14:00,16.898016,204.440935,0.290669,-9999.000000,256.182091,0.622895,-9999.000000
01/01/2013 14:30,14.485452,211.156847,0.250134,-9999.000000,211.669847,0.598068,-9999.000000
02/01/2013 10:00,13.947886,147.381556,0.241039,-9999.000000,200.529716,0.587964,-9999.000000
02/01/2013 10:30,16.482008,154.037658,0.283714,-9999.000000,246.854479,0.614922,-9999.000000
02/01/2013 11:00,18.464428,160.971560,0.316716,-9999.000000,283.234804,0.632029,-9999.000000
02/01/2013 11:30,19.845185,168.133280,0.339480,-9999.000000,308.403473,0.642045,-9999.000000
02/01/2013 12:00,20.586249,175.448753,0.351617,-9999.000000,321.664993,0.646538,-9999.000000
02/01/2013 12:30,20.666014,182.825954,0.352920,-9999.000000,323.114411,0.647053,-9999.000000
02/01/2013 13:00,20.082103,190.165256,0.343366,-9999.000000,312.504149,0.643217,-9999.000000
02/01/2013 13:30,18.851698,197.371750,0.323120,-9999.000000,289.701250,0.633646,-9999.000000
02/01/2013 14:00,17.009266,204.366340,0.292526,-9999.000000,255.904724,0.618262,-9999.000000
02/01/2013 14:30,14.602374,211.092996,0.252109,-9999.000000,211.951984,0.594166,-9999.000000
03/01/2013 10:00,13.989123,147.248376,0.241738,-9999.000000,202.732102,0.592703,-9999.000000
