Dz,Kh,Kv,vwc_r,vwc_w,vwc_fc,vwc_s,alpha,n,InitPsi
10,0.00265,0.00265,0.056,0.14,0.30,0.35,0.003,1.284,-990
10,0.00265,0.00265,0.056,0.14,0.30,0.35,0.003,1.284,-980
30,0.00265,0.00265,0.056,0.14,0.30,0.35,0.003,1.284,-950
50,0.00265,0.00265,0.056,0.14,0.30,0.35,0.003,1.284,-900
100,0.002,0.00265,0.056,0.14,0.33,0.38,0.0025,1.284,-800
100,0.001,0.00265,0.056,0.14,0.33,0.38,0.0025,1.284,-700
150,0.001,0.00265,0.056,0.14,0.33,0.38,0.001,1.284,-550
150,0.001,0.00265,0.056,0.14,0.33,0.42,0.001,1.284,-400
200,0.0001,0.00265,0.056,0.14,0.33,0.42,0.001,1.284,-200
200,0.0001,0.00265,0.056,0.14,0.35,0.42,0.001,1.284,0
500,0.00001,0.00265,0.056,0.14,0.35,0.42,0.001,1.284,500
500,0.00001,0.00265,0.056,0.14,0.35,0.42,0.001,1.284,500
500,0.00001,0.00265,0.056,0.14,0.35,0.42,0.001,1.284,500
500,0.00001,0.00265,0.056,0.14,0.35,0.42,0.001,1.284,500
500,0.00001,0.00265,0.056,0.14,0.35,0.42,0.001,1.284,500
