Date,SolarHeight[deg],SolarAzimuth[deg],SinSolarHeight,SWinMeasured[W/m2],SWinClearSky[W/m2],AtmTransmissivity,CloudTransmissivity
30/05/2015 06:00,13.311610,72.407477,0.230247,99.750000,170.359557,0.556680,0.581685
30/05/2015 07:00,23.360035,82.593050,0.396508,295.250000,352.412721,0.668712,0.837969
30/05/2015 08:00,33.644187,93.318150,0.554034,565.880000,534.348255,0.725660,1.000000
30/05/2015 09:00,43.796451,105.601580,0.692098,741.400000,697.136916,0.757881,1.000000
30/05/2015 10:00,53.254612,121.156784,0.801302,894.820000,825.787389,0.775405,1.000000
30/05/2015 11:00,60.951809,142.756413,0.874212,802.230000,913.385706,0.786140,0.880296
30/05/2015 12:00,64.940472,172.437618,0.905868,817.720000,952.357445,0.791049,0.860606
30/05/2015 13:00,63.396083,204.561540,0.894124,593.530000,937.784668,0.789186,0.634357
30/05/2015 14:00,57.117628,229.906893,0.839787,690.450000,873.300631,0.782482,0.792378
30/05/2015 15:00,48.294046,247.847514,0.746569,537.580000,761.664769,0.767679,0.707257
30/05/2015 16:00,38.376738,261.367148,0.620830,272.020000,613.261844,0.743301,0.444340
30/05/2015 17:00,28.108534,272.655373,0.471143,80.380000,439.263992,0.701568,0.183169
30/05/2015 18:00,17.921626,282.994087,0.307716,47.070000,254.109110,0.621403,0.184909
31/05/2015 06:00,13.395289,72.275415,0.231668,46.930000,170.724219,0.554627,0.273102
31/05/2015 07:00,23.438131,82.449572,0.397759,186.750000,352.062381,0.666159,0.530550
31/05/2015 08:00,33.721055,93.159377,0.555150,390.900000,534.421702,0.724531,0.732532
31/05/2015 09:00,43.877973,105.422720,0.693125,485.100000,695.528711,0.755253,0.698815
31/05/2015 10:00,53.349209,120.956905,0.802289,506.800000,823.322686,0.772385,0.616886
31/05/2015 11:00,61.070019,142.558835,0.875212,468.120000,911.045729,0.783479,0.514991
31/05/2015 12:00,65.084904,172.326367,0.906933,514.870000,949.634702,0.788111,0.543425
31/05/2015 13:00,63.547034,204.593949,0.895300,146.780000,934.951997,0.786018,0.157351
31/05/2015 14:00,57.257996,230.011597,0.841114,172.170000,870.188564,0.778710,0.198293
31/05/2015 15:00,48.423967,247.963792,0.748076,209.730000,760.936797,0.765642,0.276190
31/05/2015 16:00,38.501207,261.476107,0.622531,220.380000,613.030533,0.741224,0.360121
31/05/2015 17:00,28.231924,272.753467,0.473042,92.730000,437.868431,0.696752,0.211984
31/05/2015 18:00,18.047142,283.081267,0.309799,95.920000,254.451399,0.618250,0.376310
01/06/2015 06:00,13.473340,72.146705,0.232993,106.070000,171.916740,0.555498,0.613046
01/06/2015 07:00,23.510683,82.309832,0.398920,322.300000,353.173693,0.666523,0.912762
01/06/2015 08:00,33.792336,93.004689,0.556184,571.830000,533.297796,0.721887,1.000000
01/06/2015 09:00,43.953704,105.248145,0.694077,744.270000,694.289856,0.753107,1.000000
01/06/2015 10:00,53.437627,120.760900,0.803209,846.730000,823.076995,0.771509,1.000000
01/06/2015 11:00,61.181616,142.362875,0.876152,906.970000,911.870423,0.783589,0.996874
01/06/2015 12:00,65.222814,172.211789,0.907944,928.700000,951.399413,0.788940,0.978383
01/06/2015 13:00,63.692437,204.619029,0.896428,819.630000,938.084101,0.787902,0.875722
01/06/2015 14:00,57.393941,230.108108,0.842395,598.120000,874.169580,0.781324,0.685729
01/06/2015 15:00,48.550223,248.072432,0.749536,498.030000,768.467984,0.771951,0.649416
01/06/2015 16:00,38.622382,261.578186,0.624185,431.280000,614.849410,0.741682,0.702663
01/06/2015 17:00,28.352109,272.845309,0.474889,236.370000,442.629905,0.701805,0.534542
01/06/2015 18:00,18.169326,283.162662,0.311826,82.170000,259.103590,0.625654,0.316611
02/06/2015 06:00,13.545776,72.021443,0.234222,110.570000,172.746951,0.555419,0.636038
02/06/2015 07:00,23.577710,82.173940,0.399993,368.550000,353.865074,0.666239,1.000000
02/06/2015 08:00,33.858059,92.854222,0.557137,568.370000,533.789058,0.721534,1.000000
02/06/2015 09:00,44.023673,105.078032,0.694956,744.150000,694.877562,0.753019,1.000000
02/06/2015 10:00,53.519887,120.569013,0.804063,750.250000,822.893680,0.770750,0.913685
02/06/2015 11:00,61.286590,142.168835,0.877034,986.450000,910.394471,0.781770,1.000000
02/06/2015 12:00,65.354152,172.094076,0.908903,947.550000,949.703242,0.786940,1.000000
02/06/2015 13:00,63.832229,204.636750,0.897507,921.670000,935.067710,0.784660,0.987920
02/06/2015 14:00,57.525405,230.196343,0.843630,548.450000,871.800709,0.778300,0.630491
02/06/2015 15:00,48.672754,248.173370,0.750950,544.000000,760.684267,0.762922,0.716617
02/06/2015 16:00,38.740203,261.673346,0.625790,133.170000,613.986723,0.738963,0.217271
02/06/2015 17:00,28.469020,272.930876,0.476684,220.080000,441.873954,0.698178,0.498552
02/06/2015 18:00,18.288107,283.238264,0.313795,97.230000,258.297238,0.619978,0.375805
03/06/2015 06:00,13.612611,71.899722,0.235356,203.080000,175.042388,0.560253,1.000000
03/06/2015 07:00,23.639236,82.042005,0.400976,382.370000,354.506044,0.666003,1.000000
03/06/2015 08:00,33.918252,92.708110,0.558009,563.580000,534.201324,0.721174,1.000000
03/06/2015 09:00,44.087913,104.912555,0.695761,728.320000,694.833126,0.752320,1.000000
03/06/2015 10:00,53.596013,120.381484,0.804853,804.650000,822.810050,0.770142,0.980030
03/06/2015 11:00,61.384940,141.977017,0.877857,484.670000,907.485011,0.778768,0.535284
03/06/2015 12:00,65.478869,171.973434,0.909808,766.880000,944.526024,0.782099,0.813782
03/06/2015 13:00,63.966347,204.647097,0.898536,478.370000,932.180632,0.781569,0.514342
03/06/2015 14:00,57.652330,230.276228,0.844817,308.230000,867.927865,0.773979,0.355918
03/06/2015 15:00,48.791503,248.266549,0.752317,173.780000,756.351151,0.757419,0.230233
03/06/2015 16:00,38.854606,261.761551,0.627346,147.420000,607.546027,0.729610,0.243069
03/06/2015 17:00,28.582591,273.010149,0.478425,90.870000,434.952137,0.684938,0.209121
03/06/2015 18:00,18.403410,283.308069,0.315706,79.630000,253.624768,0.605255,0.313422
04/06/2015 06:00,13.673864,71.781633,0.236395,203.520000,174.445455,0.556048,1.000000
