Dz,Kh,Kv,vwc_r,vwc_w,vwc_fc,vwc_s,alpha,n
10,3.85E-03,3.85E-03,0.05,0.10,0.20,0.42,1.64E-03,1.51
20,3.85E-03,3.85E-03,0.05,0.10,0.20,0.42,1.64E-03,1.51
40,3.85E-03,3.85E-03,0.05,0.10,0.20,0.42,1.64E-03,1.51
80,3.85E-03,3.85E-03,0.05,0.10,0.20,0.42,1.64E-03,1.51
100,3.85E-03,3.85E-03,0.05,0.10,0.20,0.42,1.64E-03,1.51
150,3.85E-03,3.85E-03,0.05,0.10,0.20,0.42,1.64E-03,1.51
200,3.85E-03,3.85E-03,0.05,0.10,0.20,0.42,1.64E-03,1.51
300,3.85E-03,3.85E-03,0.05,0.10,0.20,0.42,1.64E-03,1.51
500,3.85E-03,3.85E-03,0.05,0.10,0.20,0.42,1.64E-03,1.51
600,3.85E-03,3.85E-03,0.05,0.10,0.20,0.42,1.64E-03,1.51

