Date, Hveg, thres_veg_1, thres_veg_2, LSAI, canopy fraction, decay coeff, snow burial coeff, root depth, min stomatal res
01/10/2009 00:00,20.01,50,10,0.2,0.104496,2,1,250,25
02/10/2009 00:00,20.01,50,10,0.2,0.104496,2,1,250,25
03/10/2009 00:00,20.01,50,10,0.2,0.104496,2,1,250,25
04/10/2009 00:00,20.01,50,10,0.2,0.104496,2,1,250,25
05/10/2009 00:00,20.01,50,10,0.2,0.104496,2,1,250,25
06/10/2009 00:00,21.01,50,10,0.21,0.10830564,2,1,250,25
07/10/2009 00:00,22.01,50,10,0.22,0.11212336,2,1,250,25
08/10/2009 00:00,23.01,50,10,0.23,0.11594916,2,1,250,25
09/10/2009 00:00,24.01,50,10,0.24,0.11978304,2,1,250,25
10/10/2009 00:00,24.01,50,10,0.24,0.11978304,2,1,250,25
11/10/2009 00:00,25.01,50,10,0.25,0.123625,2,1,250,25
12/10/2009 00:00,25.01,50,10,0.25,0.123625,2,1,250,25
13/10/2009 00:00,25.01,50,10,0.25,0.123625,2,1,250,25
14/10/2009 00:00,25.01,50,10,0.25,0.123625,2,1,250,25
15/10/2009 00:00,25.01,50,10,0.25,0.123625,2,1,250,25
16/10/2009 00:00,25.01,50,10,0.25,0.123625,2,1,250,25
17/10/2009 00:00,25.01,50,10,0.25,0.123625,2,1,250,25
18/10/2009 00:00,24.01,50,10,0.24,0.11978304,2,1,250,25
19/10/2009 00:00,24.01,50,10,0.24,0.11978304,2,1,250,25
20/10/2009 00:00,24.01,50,10,0.24,0.11978304,2,1,250,25
21/10/2009 00:00,24.01,50,10,0.24,0.11978304,2,1,250,25
22/10/2009 00:00,23.01,50,10,0.23,0.11594916,2,1,250,25
23/10/2009 00:00,23.01,50,10,0.23,0.11594916,2,1,250,25
24/10/2009 00:00,23.01,50,10,0.23,0.11594916,2,1,250,25
25/10/2009 00:00,24.01,50,10,0.24,0.11978304,2,1,250,25
26/10/2009 00:00,25.01,50,10,0.25,0.123625,2,1,250,25
27/10/2009 00:00,26.01,50,10,0.26,0.12747504,2,1,250,25
28/10/2009 00:00,27.01,50,10,0.27,0.13133316,2,1,250,25
29/10/2009 00:00,28.01,50,10,0.28,0.13519936,2,1,250,25
30/10/2009 00:00,29.01,50,10,0.29,0.13907364,2,1,250,25
31/10/2009 00:00,30.01,50,10,0.3,0.142956,2,1,250,25
01/11/2009 00:00,30.01,50,10,0.3,0.142956,2,1,250,25
02/11/2009 00:00,31.01,50,10,0.31,0.14684644,2,1,250,25
03/11/2009 00:00,30.01,50,10,0.3,0.142956,2,1,250,25
04/11/2009 00:00,30.01,50,10,0.3,0.142956,2,1,250,25
05/11/2009 00:00,30.01,50,10,0.3,0.142956,2,1,250,25
06/11/2009 00:00,29.01,50,10,0.29,0.13907364,2,1,250,25
07/11/2009 00:00,29.01,50,10,0.29,0.13907364,2,1,250,25
08/11/2009 00:00,29.01,50,10,0.29,0.13907364,2,1,250,25
09/11/2009 00:00,28.01,50,10,0.28,0.13519936,2,1,250,25
10/11/2009 00:00,66.01,50,10,0.66,0.28810224,2,1,250,25
11/11/2009 00:00,65.01,50,10,0.65,0.283929,2,1,250,25
12/11/2009 00:00,65.01,50,10,0.65,0.283929,2,1,250,25
13/11/2009 00:00,64.01,50,10,0.64,0.27976384,2,1,250,25
14/11/2009 00:00,64.01,50,10,0.64,0.27976384,2,1,250,25
15/11/2009 00:00,63.01,50,10,0.63,0.27560676,2,1,250,25
16/11/2009 00:00,63.01,50,10,0.63,0.27560676,2,1,250,25
17/11/2009 00:00,63.01,50,10,0.63,0.27560676,2,1,250,25
18/11/2009 00:00,62.01,50,10,0.62,0.27145776,2,1,250,25
19/11/2009 00:00,63.01,50,10,0.63,0.27560676,2,1,250,25
20/11/2009 00:00,64.01,50,10,0.64,0.27976384,2,1,250,25
21/11/2009 00:00,64.01,50,10,0.64,0.27976384,2,1,250,25
22/11/2009 00:00,65.01,50,10,0.65,0.283929,2,1,250,25
23/11/2009 00:00,65.01,50,10,0.65,0.283929,2,1,250,25
24/11/2009 00:00,65.01,50,10,0.65,0.283929,2,1,250,25
25/11/2009 00:00,65.01,50,10,0.65,0.283929,2,1,250,25
26/11/2009 00:00,66.01,50,10,0.66,0.28810224,2,1,250,25
27/11/2009 00:00,65.01,50,10,0.65,0.283929,2,1,250,25
28/11/2009 00:00,65.01,50,10,0.65,0.283929,2,1,250,25
29/11/2009 00:00,65.01,50,10,0.65,0.283929,2,1,250,25
30/11/2009 00:00,64.01,50,10,0.64,0.27976384,2,1,250,25
01/12/2009 00:00,65.01,50,10,0.65,0.283929,2,1,250,25
02/12/2009 00:00,65.01,50,10,0.65,0.283929,2,1,250,25
03/12/2009 00:00,66.01,50,10,0.66,0.28810224,2,1,250,25
04/12/2009 00:00,65.01,50,10,0.65,0.283929,2,1,250,25
05/12/2009 00:00,65.01,50,10,0.65,0.283929,2,1,250,25
06/12/2009 00:00,65.01,50,10,0.65,0.283929,2,1,250,25
07/12/2009 00:00,66.01,50,10,0.66,0.28810224,2,1,250,25
08/12/2009 00:00,66.01,50,10,0.66,0.28810224,2,1,250,25
09/12/2009 00:00,65.01,50,10,0.65,0.283929,2,1,250,25
10/12/2009 00:00,68.01,50,10,0.68,0.29647296,2,1,250,25
11/12/2009 00:00,67.01,50,10,0.67,0.29228356,2,1,250,25
12/12/2009 00:00,66.01,50,10,0.66,0.28810224,2,1,250,25
13/12/2009 00:00,65.01,50,10,0.65,0.283929,2,1,250,25
14/12/2009 00:00,66.01,50,10,0.66,0.28810224,2,1,250,25
15/12/2009 00:00,66.01,50,10,0.66,0.28810224,2,1,250,25
16/12/2009 00:00,66.01,50,10,0.66,0.28810224,2,1,250,25
17/12/2009 00:00,66.01,50,10,0.66,0.28810224,2,1,250,25
18/12/2009 00:00,66.01,50,10,0.66,0.28810224,2,1,250,25
19/12/2009 00:00,66.01,50,10,0.66,0.28810224,2,1,250,25
20/12/2009 00:00,66.01,50,10,0.66,0.28810224,2,1,250,25
21/12/2009 00:00,66.01,50,10,0.66,0.28810224,2,1,250,25
22/12/2009 00:00,66.01,50,10,0.66,0.28810224,2,1,250,25
23/12/2009 00:00,66.01,50,10,0.66,0.28810224,2,1,250,25
24/12/2009 00:00,65.01,50,10,0.65,0.283929,2,1,250,25
25/12/2009 00:00,65.01,50,10,0.65,0.283929,2,1,250,25
26/12/2009 00:00,65.01,50,10,0.65,0.283929,2,1,250,25
27/12/2009 00:00,66.01,50,10,0.66,0.28810224,2,1,250,25
28/12/2009 00:00,65.01,50,10,0.65,0.283929,2,1,250,25
29/12/2009 00:00,66.01,50,10,0.66,0.28810224,2,1,250,25
30/12/2009 00:00,66.01,50,10,0.66,0.28810224,2,1,250,25
31/12/2009 00:00,65.01,50,10,0.65,0.283929,2,1,250,25
01/01/2010 00:00,65.01,50,10,0.65,0.283929,2,1,250,25
02/01/2010 00:00,65.01,50,10,0.65,0.283929,2,1,250,25
03/01/2010 00:00,66.01,50,10,0.66,0.28810224,2,1,250,25
04/01/2010 00:00,66.01,50,10,0.66,0.28810224,2,1,250,25
05/01/2010 00:00,66.01,50,10,0.66,0.28810224,2,1,250,25
06/01/2010 00:00,66.01,50,10,0.66,0.28810224,2,1,250,25
