Date12[DDMMYYYYhhmm],JulianDayFromYear0[days],TimeFromStart[days],Simulation_Period,Run,IDpoint,10.000000 ,43.071341 ,119.371359 ,295.405732 ,701.540636 ,1638.548319 ,3800.350690 ,8787.918641 ,20294.906702  
09/04/2014 18:00,735698.750000,0.000000,0,1,1,-847.520602,-2627.464631,-1317.613520,-542.875924,-89.223157,-2715.629972,-3522.471222,-3307.240341,-4177.544945 
09/04/2014 19:00,735698.791667,0.041667,1,1,1,-900.250704,-2537.630225,-1315.915194,-541.604372,-91.813595,-2657.227809,-3522.469364,-3307.240469,-4177.544805 
09/04/2014 20:00,735698.833333,0.083333,1,1,1,-944.821031,-2467.807070,-1314.086832,-540.554586,-94.266908,-2604.810148,-3522.467297,-3307.240597,-4177.544665 
09/04/2014 21:00,735698.875000,0.125000,1,1,1,-983.713000,-2410.912522,-1312.169286,-539.689831,-96.600173,-2557.368133,-3522.465025,-3307.240725,-4177.544525 
09/04/2014 22:00,735698.916667,0.166667,1,1,1,-1018.350932,-2363.157746,-1310.182188,-538.980187,-98.827287,-2514.120496,-3522.462554,-3307.240853,-4177.544384 
09/04/2014 23:00,735698.958333,0.208333,1,1,1,-1049.568820,-2322.177281,-1308.139197,-538.401948,-100.959733,-2474.450912,-3522.459889,-3307.240981,-4177.544244 
10/04/2014 00:00,735699.000000,0.250000,1,1,1,-1077.984128,-2286.386312,-1306.051291,-537.936047,-103.007117,-2437.865323,-3522.457034,-3307.241109,-4177.544104 
10/04/2014 01:00,735699.041667,0.291667,1,1,1,-1104.128112,-2254.757027,-1303.929113,-537.566945,-104.977572,-2403.962117,-3522.453991,-3307.241237,-4177.543964 
10/04/2014 02:00,735699.083333,0.333333,1,1,1,-1128.240287,-2226.474104,-1301.778998,-537.281836,-106.878047,-2372.410783,-3522.450767,-3307.241365,-4177.543824 
10/04/2014 03:00,735699.125000,0.375000,1,1,1,-1150.601646,-2200.912469,-1299.606792,-537.070054,-108.714537,-2342.936339,-3522.447363,-3307.241493,-4177.543684 
10/04/2014 04:00,735699.166667,0.416667,1,1,1,-1171.470052,-2177.620479,-1297.418019,-536.922634,-110.492248,-2315.307758,-3522.443783,-3307.241621,-4177.543543 
10/04/2014 05:00,735699.208333,0.458333,1,1,1,-1191.030843,-2156.256362,-1295.217532,-536.831983,-112.215741,-2289.329232,-3522.440030,-3307.241749,-4177.543403 
10/04/2014 06:00,735699.250000,0.500000,1,1,1,-1209.399782,-2136.514840,-1293.008710,-536.791653,-113.889031,-2264.833482,-3522.436107,-3307.241877,-4177.543263 
10/04/2014 07:00,735699.291667,0.541667,1,1,1,-1228.109292,-2118.682503,-1291.214883,-536.842355,-115.515698,-2241.676568,-3522.432017,-3307.242005,-4177.543123 
10/04/2014 08:00,735699.333333,0.583333,1,1,1,-1255.504090,-2107.643180,-1293.148832,-537.344764,-117.099201,-2219.733859,-3522.427763,-3307.242133,-4177.542983 
10/04/2014 09:00,735699.375000,0.625000,1,1,1,-1319.089550,-2114.224384,-1305.005381,-538.968657,-118.643365,-2198.896975,-3522.423346,-3307.242261,-4177.542843 
10/04/2014 10:00,735699.416667,0.666667,1,1,1,-1439.519987,-2136.774294,-1324.943470,-541.481628,-120.151779,-2179.071365,-3522.418769,-3307.242388,-4177.542702 
10/04/2014 11:00,735699.458333,0.708333,1,1,1,-1642.008001,-2163.203701,-1344.625708,-543.955270,-121.626984,-2160.173992,-3522.414035,-3307.242516,-4177.542562 
10/04/2014 12:00,735699.500000,0.750000,1,1,1,-1939.689708,-2193.915608,-1363.615019,-546.345279,-123.070773,-2142.131262,-3522.409146,-3307.242644,-4177.542422 
10/04/2014 13:00,735699.541667,0.791667,1,1,1,-2259.419506,-2226.476128,-1381.142153,-548.572179,-124.484782,-2124.877591,-3522.404104,-3307.242772,-4177.542282 
10/04/2014 14:00,735699.583333,0.833333,1,1,1,-2488.241285,-2257.405796,-1396.656852,-550.583333,-125.870491,-2108.354297,-3522.398910,-3307.242900,-4177.542142 
10/04/2014 15:00,735699.625000,0.875000,1,1,1,-2621.869535,-2272.781449,-1403.198073,-551.671652,-127.228654,-2092.508623,-3522.393567,-3307.243028,-4177.542002 
10/04/2014 16:00,735699.666667,0.916667,1,1,1,-2737.908382,-2287.960240,-1409.588420,-552.761201,-128.560326,-2077.292872,-3522.388077,-3307.243156,-4177.541861 
10/04/2014 17:00,735699.708333,0.958333,1,1,1,-2790.913456,-2293.163652,-1410.462512,-553.301030,-129.866503,-2062.663943,-3522.382442,-3307.243284,-4177.541721 
10/04/2014 18:00,735699.750000,1.000000,1,1,1,-2814.543421,-2294.380512,-1409.308437,-553.651805,-131.148086,-2048.582727,-3522.376663,-3307.243412,-4177.541581 
10/04/2014 19:00,735699.791667,1.041667,1,1,1,-2823.894453,-2292.589850,-1406.671033,-553.867859,-132.406072,-2035.013682,-3522.370741,-3307.243540,-4177.541441 
10/04/2014 20:00,735699.833333,1.083333,1,1,1,-2829.481915,-2290.411289,-1403.959287,-554.093251,-133.641498,-2021.924459,-3522.364679,-3307.243668,-4177.541301 
10/04/2014 21:00,735699.875000,1.125000,1,1,1,-2833.601073,-2288.074108,-1401.263998,-554.336620,-134.855380,-2009.285563,-3522.358479,-3307.243796,-4177.541161 
10/04/2014 22:00,735699.916667,1.166667,1,1,1,-2837.660672,-2285.682097,-1398.585801,-554.596493,-136.048666,-1997.070042,-3522.352140,-3307.243924,-4177.541020 
10/04/2014 23:00,735699.958333,1.208333,1,1,1,-2839.845901,-2283.215039,-1395.919559,-554.871509,-137.222239,-1985.253216,-3522.345666,-3307.244052,-4177.540880 
11/04/2014 00:00,735700.000000,1.250000,1,1,1,-2840.257696,-2280.685958,-1393.265598,-555.160412,-138.376920,-1973.812425,-3522.339058,-3307.244179,-4177.540740 
11/04/2014 01:00,735700.041667,1.291667,1,1,1,-2839.613476,-2278.119778,-1390.625962,-555.462046,-139.513478,-1962.726826,-3522.332316,-3307.244307,-4177.540600 
11/04/2014 02:00,735700.083333,1.333333,1,1,1,-2838.704817,-2275.546131,-1388.003320,-555.775344,-140.632318,-1951.975044,-3522.325442,-3307.244435,-4177.540460 
11/04/2014 03:00,735700.125000,1.375000,1,1,1,-2836.886263,-2272.940741,-1385.395759,-556.099299,-141.733517,-1941.535205,-3522.318438,-3307.244563,-4177.540319 
11/04/2014 04:00,735700.166667,1.416667,1,1,1,-2835.742543,-2270.363505,-1382.809595,-556.433033,-142.818672,-1931.397486,-3522.311304,-3307.244691,-4177.540179 
11/04/2014 05:00,735700.208333,1.458333,1,1,1,-2835.231493,-2267.816082,-1380.245397,-556.775725,-143.888373,-1921.546647,-3522.304042,-3307.244819,-4177.540039 
11/04/2014 06:00,735700.250000,1.500000,1,1,1,-2834.126516,-2265.277016,-1377.712810,-557.128009,-144.943175,-1911.968538,-3522.296653,-3307.244947,-4177.539899 
11/04/2014 07:00,735700.291667,1.541667,1,1,1,-2835.418252,-2263.837911,-1375.826222,-557.555553,-145.983629,-1902.649996,-3522.289138,-3307.245075,-4177.539759 
11/04/2014 08:00,735700.333333,1.583333,1,1,1,-2851.394313,-2265.026705,-1375.315734,-558.135303,-147.010348,-1893.578769,-3522.281498,-3307.245203,-4177.539619 
11/04/2014 09:00,735700.375000,1.625000,1,1,1,-2902.207365,-2274.627677,-1379.281458,-559.200214,-148.024083,-1884.743445,-3522.273734,-3307.245331,-4177.539478 
11/04/2014 10:00,735700.416667,1.666667,1,1,1,-2982.247990,-2291.182206,-1386.857140,-560.656366,-149.025638,-1876.133409,-3522.265848,-3307.245458,-4177.539338 
11/04/2014 11:00,735700.458333,1.708333,1,1,1,-3038.548032,-2299.732141,-1389.802474,-561.618236,-150.015286,-1867.738749,-3522.257840,-3307.245586,-4177.539198 
11/04/2014 12:00,735700.500000,1.750000,1,1,1,-3137.533285,-2319.167700,-1398.509823,-563.197825,-150.993536,-1859.550142,-3522.249712,-3307.245714,-4177.539058 
11/04/2014 13:00,735700.541667,1.791667,1,1,1,-3329.470152,-2354.598009,-1415.421501,-565.644361,-151.962066,-1851.562730,-3522.241464,-3307.245842,-4177.538918 
11/04/2014 14:00,735700.583333,1.833333,1,1,1,-3496.613661,-2381.487136,-1427.057445,-567.524462,-152.919882,-1843.760744,-3522.233097,-3307.245970,-4177.538778 
11/04/2014 15:00,735700.625000,1.875000,1,1,1,-3656.416843,-2406.900660,-1437.475838,-569.271869,-153.867680,-1836.140285,-3522.224613,-3307.246098,-4177.538637 
11/04/2014 16:00,735700.666667,1.916667,1,1,1,-3802.425602,-2429.920971,-1446.263510,-570.845628,-154.805640,-1828.694076,-3522.216011,-3307.246226,-4177.538497 
11/04/2014 17:00,735700.708333,1.958333,1,1,1,-3937.598855,-2451.901489,-1454.287970,-572.339507,-155.733949,-1821.415231,-3522.207294,-3307.246354,-4177.538357 
