Date12[DDMMYYYYhhmm],JulianDayFromYear0[days],TimeFromStart[days],Simulation_Period,Run,IDpoint,10.000000 ,43.071341 ,119.371359 ,295.405732 ,701.540636 ,1638.548319 ,3800.350690 ,8787.918641 ,20294.906702  
09/04/2014 18:00,735698.750000,0.000000,0,1,1,0.329036,0.276701,0.307234,0.353011,0.471966,0.275343,0.264943,0.267414,0.258410 
09/04/2014 19:00,735698.791667,0.041667,1,1,1,0.325942,0.278142,0.307295,0.353143,0.469823,0.276237,0.264943,0.267414,0.258410 
09/04/2014 20:00,735698.833333,0.083333,1,1,1,0.323491,0.279306,0.307360,0.353252,0.467855,0.277059,0.264943,0.267414,0.258410 
09/04/2014 21:00,735698.875000,0.125000,1,1,1,0.321463,0.280283,0.307430,0.353341,0.466036,0.277821,0.264943,0.267414,0.258410 
09/04/2014 22:00,735698.916667,0.166667,1,1,1,0.319735,0.281125,0.307501,0.353415,0.464344,0.278530,0.264943,0.267414,0.258410 
09/04/2014 23:00,735698.958333,0.208333,1,1,1,0.318237,0.281864,0.307575,0.353476,0.462764,0.279193,0.264943,0.267414,0.258410 
10/04/2014 00:00,735699.000000,0.250000,1,1,1,0.316919,0.282522,0.307651,0.353524,0.461281,0.279817,0.264943,0.267414,0.258410 
10/04/2014 01:00,735699.041667,0.291667,1,1,1,0.315743,0.283114,0.307728,0.353563,0.459885,0.280404,0.264943,0.267414,0.258410 
10/04/2014 02:00,735699.083333,0.333333,1,1,1,0.314687,0.283652,0.307806,0.353593,0.458566,0.280960,0.264943,0.267414,0.258410 
10/04/2014 03:00,735699.125000,0.375000,1,1,1,0.313732,0.284145,0.307886,0.353615,0.457316,0.281488,0.264943,0.267414,0.258410 
10/04/2014 04:00,735699.166667,0.416667,1,1,1,0.312860,0.284601,0.307966,0.353631,0.456128,0.281989,0.264943,0.267414,0.258410 
10/04/2014 05:00,735699.208333,0.458333,1,1,1,0.312060,0.285024,0.308046,0.353640,0.454998,0.282467,0.264943,0.267414,0.258410 
10/04/2014 06:00,735699.250000,0.500000,1,1,1,0.311322,0.285419,0.308127,0.353644,0.453918,0.282924,0.264943,0.267414,0.258410 
10/04/2014 07:00,735699.291667,0.541667,1,1,1,0.310585,0.285780,0.308193,0.353639,0.452886,0.283362,0.264943,0.267414,0.258410 
10/04/2014 08:00,735699.333333,0.583333,1,1,1,0.309529,0.286005,0.308122,0.353586,0.451897,0.283781,0.264943,0.267414,0.258410 
10/04/2014 09:00,735699.375000,0.625000,1,1,1,0.307181,0.285870,0.307689,0.353417,0.450947,0.284184,0.264943,0.267414,0.258410 
10/04/2014 10:00,735699.416667,0.666667,1,1,1,0.303083,0.285414,0.306971,0.353155,0.450032,0.284572,0.264944,0.267414,0.258410 
10/04/2014 11:00,735699.458333,0.708333,1,1,1,0.297042,0.284885,0.306275,0.352899,0.449150,0.284946,0.264944,0.267414,0.258410 
10/04/2014 12:00,735699.500000,0.750000,1,1,1,0.289616,0.284281,0.305615,0.352653,0.448298,0.285306,0.264944,0.267414,0.258410 
10/04/2014 13:00,735699.541667,0.791667,1,1,1,0.283026,0.283652,0.305016,0.352425,0.447475,0.285654,0.264944,0.267414,0.258410 
10/04/2014 14:00,735699.583333,0.833333,1,1,1,0.278961,0.283064,0.304493,0.352221,0.446679,0.285990,0.264944,0.267414,0.258410 
10/04/2014 15:00,735699.625000,0.875000,1,1,1,0.276789,0.282775,0.304275,0.352110,0.445908,0.286316,0.264944,0.267414,0.258410 
10/04/2014 16:00,735699.666667,0.916667,1,1,1,0.275008,0.282493,0.304062,0.352000,0.445161,0.286631,0.264944,0.267414,0.258410 
10/04/2014 17:00,735699.708333,0.958333,1,1,1,0.274224,0.282396,0.304033,0.351945,0.444436,0.286937,0.264944,0.267414,0.258410 
10/04/2014 18:00,735699.750000,1.000000,1,1,1,0.273881,0.282374,0.304072,0.351910,0.443734,0.287234,0.264944,0.267414,0.258410 
10/04/2014 19:00,735699.791667,1.041667,1,1,1,0.273745,0.282407,0.304159,0.351888,0.443052,0.287523,0.264944,0.267414,0.258410 
10/04/2014 20:00,735699.833333,1.083333,1,1,1,0.273665,0.282447,0.304249,0.351865,0.442389,0.287803,0.264944,0.267414,0.258410 
10/04/2014 21:00,735699.875000,1.125000,1,1,1,0.273606,0.282491,0.304339,0.351840,0.441745,0.288076,0.264944,0.267414,0.258410 
10/04/2014 22:00,735699.916667,1.166667,1,1,1,0.273548,0.282535,0.304428,0.351814,0.441118,0.288342,0.264944,0.267414,0.258410 
10/04/2014 23:00,735699.958333,1.208333,1,1,1,0.273516,0.282581,0.304518,0.351786,0.440508,0.288600,0.264944,0.267414,0.258410 
11/04/2014 00:00,735700.000000,1.250000,1,1,1,0.273510,0.282628,0.304607,0.351757,0.439913,0.288853,0.264944,0.267414,0.258410 
11/04/2014 01:00,735700.041667,1.291667,1,1,1,0.273520,0.282676,0.304695,0.351727,0.439333,0.289099,0.264944,0.267414,0.258410 
11/04/2014 02:00,735700.083333,1.333333,1,1,1,0.273533,0.282724,0.304784,0.351696,0.438767,0.289339,0.264945,0.267414,0.258410 
11/04/2014 03:00,735700.125000,1.375000,1,1,1,0.273559,0.282772,0.304872,0.351663,0.438215,0.289574,0.264945,0.267414,0.258410 
11/04/2014 04:00,735700.166667,1.416667,1,1,1,0.273575,0.282821,0.304960,0.351629,0.437676,0.289804,0.264945,0.267414,0.258410 
11/04/2014 05:00,735700.208333,1.458333,1,1,1,0.273582,0.282868,0.305047,0.351595,0.437149,0.290028,0.264945,0.267414,0.258410 
11/04/2014 06:00,735700.250000,1.500000,1,1,1,0.273598,0.282916,0.305133,0.351560,0.436634,0.290248,0.264945,0.267414,0.258410 
11/04/2014 07:00,735700.291667,1.541667,1,1,1,0.273580,0.282943,0.305197,0.351517,0.436130,0.290463,0.264945,0.267414,0.258410 
11/04/2014 08:00,735700.333333,1.583333,1,1,1,0.273351,0.282921,0.305214,0.351459,0.435637,0.290673,0.264945,0.267414,0.258410 
11/04/2014 09:00,735700.375000,1.625000,1,1,1,0.272635,0.282741,0.305079,0.351352,0.435154,0.290880,0.264945,0.267414,0.258410 
11/04/2014 10:00,735700.416667,1.666667,1,1,1,0.271537,0.282433,0.304823,0.351207,0.434681,0.291082,0.264945,0.267414,0.258410 
11/04/2014 11:00,735700.458333,1.708333,1,1,1,0.270785,0.282275,0.304723,0.351112,0.434216,0.291280,0.264945,0.267414,0.258410 
11/04/2014 12:00,735700.500000,1.750000,1,1,1,0.269503,0.281919,0.304431,0.350955,0.433761,0.291474,0.264945,0.267414,0.258410 
11/04/2014 13:00,735700.541667,1.791667,1,1,1,0.267150,0.281278,0.303870,0.350713,0.433313,0.291664,0.264945,0.267414,0.258410 
11/04/2014 14:00,735700.583333,1.833333,1,1,1,0.265230,0.280799,0.303488,0.350529,0.432873,0.291851,0.264946,0.267414,0.258410 
11/04/2014 15:00,735700.625000,1.875000,1,1,1,0.263495,0.280353,0.303149,0.350358,0.432442,0.292035,0.264946,0.267414,0.258410 
11/04/2014 16:00,735700.666667,1.916667,1,1,1,0.261986,0.279953,0.302866,0.350204,0.432017,0.292215,0.264946,0.267414,0.258410 
11/04/2014 17:00,735700.708333,1.958333,1,1,1,0.260651,0.279576,0.302609,0.350059,0.431600,0.292392,0.264946,0.267414,0.258410 
11/04/2014 18:00,735700.750000,2.000000,1,1,1,0.260344,0.279491,0.302641,0.350004,0.431190,0.292566,0.264946,0.267414,0.258410 
11/04/2014 19:00,735700.791667,2.041667,1,1,1,0.260363,0.279469,0.302724,0.349966,0.430787,0.292736,0.264946,0.267414,0.258410 
11/04/2014 20:00,735700.833333,2.083333,1,1,1,0.260433,0.279458,0.302810,0.349928,0.430392,0.292905,0.264946,0.267414,0.258410 
11/04/2014 21:00,735700.875000,2.125000,1,1,1,0.260533,0.279453,0.302894,0.349890,0.430003,0.293070,0.264946,0.267414,0.258410 
11/04/2014 22:00,735700.916667,2.166667,1,1,1,0.260631,0.279451,0.302978,0.349851,0.429620,0.293232,0.264946,0.267414,0.258410 
11/04/2014 23:00,735700.958333,2.208333,1,1,1,0.260752,0.279453,0.303061,0.349812,0.429243,0.293392,0.264946,0.267414,0.258410 
12/04/2014 00:00,735701.000000,2.250000,1,1,1,0.260885,0.279459,0.303144,0.349773,0.428873,0.293550,0.264947,0.267414,0.258410 
12/04/2014 01:00,735701.041667,2.291667,1,1,1,0.261024,0.279467,0.303226,0.349734,0.428509,0.293705,0.264947,0.267414,0.258410 
12/04/2014 02:00,735701.083333,2.333333,1,1,1,0.261161,0.279476,0.303308,0.349694,0.428150,0.293857,0.264947,0.267414,0.258410 
12/04/2014 03:00,735701.125000,2.375000,1,1,1,0.261302,0.279488,0.303389,0.349654,0.427797,0.294007,0.264947,0.267414,0.258410 
12/04/2014 04:00,735701.166667,2.416667,1,1,1,0.261446,0.279502,0.303469,0.349614,0.427449,0.294155,0.264947,0.267414,0.258410 
12/04/2014 05:00,735701.208333,2.458333,1,1,1,0.261594,0.279517,0.303549,0.349574,0.427106,0.294301,0.264947,0.267414,0.258410 
12/04/2014 06:00,735701.250000,2.500000,1,1,1,0.261747,0.279534,0.303628,0.349534,0.426769,0.294445,0.264947,0.267414,0.258410 
12/04/2014 07:00,735701.291667,2.541667,1,1,1,0.261823,0.279528,0.303684,0.349486,0.426436,0.294587,0.264947,0.267414,0.258410 
12/04/2014 08:00,735701.333333,2.583333,1,1,1,0.261604,0.279425,0.303644,0.349409,0.426108,0.294726,0.264947,0.267414,0.258410 
12/04/2014 09:00,735701.375000,2.625000,1,1,1,0.261111,0.279244,0.303533,0.349309,0.425784,0.294864,0.264948,0.267414,0.258410 
