Date12.DDMMYYYYhhmm.,soil_moisture_content_20,soil_moisture_content_50,soil_moisture_content_200,soil_temperature_20,soil_temperature_50,soil_temperature_200,rainfall_amount
31/10/2014 13:00,0.48925,0.4945,0.4335,12.0975,9.285,10.085,-9999
31/10/2014 14:00,0.489,0.49475,0.43475,13.2525,9.3075,9.6575,-9999
31/10/2014 15:00,0.488,0.49425,0.4365,13.5325,9.675,9.4325,-9999
31/10/2014 16:00,0.488,0.494,0.436,12.8625,9.935,9.3,-9999
31/10/2014 17:00,0.48775,0.494,0.43675,11.08,9.79,9.235,-9999
31/10/2014 18:00,0.48725,0.494,0.437,9.655,9.3075,9.215,-9999
31/10/2014 19:00,0.48775,0.494,0.437,8.52,8.7325,9.205,-9999
31/10/2014 20:00,0.488,0.494,0.437,7.74025,8.2175,9.21,-9999
31/10/2014 21:00,0.488,0.494,0.437,7.08375,7.75475,9.2,-9999
31/10/2014 22:00,0.488,0.494,0.437,6.569,7.35975,9.1775,-9999
31/10/2014 23:00,0.488,0.494,0.43675,6.1625,7.02125,9.135,-9999
01/11/2014 00:00,0.488,0.494,0.437,5.7975,6.722,9.0775,-9999
01/11/2014 01:00,0.48825,0.494,0.437,5.444,6.44525,9.01,-9999
01/11/2014 02:00,0.488,0.494,0.43775,5.08275,6.18575,8.94,-9999
01/11/2014 03:00,0.488,0.494,0.4365,4.78025,5.92925,8.86,-9999
01/11/2014 04:00,0.488,0.494,0.436,4.58825,5.7205,8.775,-9999
01/11/2014 05:00,0.488,0.494,0.43675,4.39775,5.53125,8.6875,-9999
01/11/2014 06:00,0.488,0.494,0.43725,4.21075,5.35975,8.5975,-9999
01/11/2014 07:00,0.488,0.494,0.437,3.9745,5.181,8.51,-9999
01/11/2014 08:00,0.488,0.494,0.437,3.837,5.02375,8.4075,-9999
01/11/2014 09:00,0.488,0.494,0.4375,4.23225,4.97775,8.325,-9999
01/11/2014 10:00,0.488,0.494,0.437,5.6385,5.358,8.2325,-9999
01/11/2014 11:00,0.48775,0.494,0.43725,7.3115,6.0005,8.1475,-9999
01/11/2014 12:00,0.487,0.494,0.43825,9.6,6.83825,8.07,-9999
01/11/2014 13:00,0.48725,0.49375,0.438,11.2975,7.73125,8.015,-9999
01/11/2014 14:00,0.4875,0.493,0.438,12.37,8.5525,7.9795,-9999
01/11/2014 15:00,0.487,0.493,0.438,12.6025,9.2075,7.9845,-9999
01/11/2014 16:00,0.487,0.493,0.438,11.845,9.6025,8.03,-9999
01/11/2014 17:00,0.4875,0.49225,0.4375,10.2325,9.495,8.0975,-9999
01/11/2014 18:00,0.488,0.492,0.4375,8.7775,8.98,8.195,-9999
01/11/2014 19:00,0.488,0.492,0.437,7.6435,8.3675,8.2925,-9999
01/11/2014 20:00,0.48925,0.4925,0.437,6.85625,7.82525,8.375,-9999
01/11/2014 21:00,0.49,0.493,0.43725,6.25525,7.363,8.4425,-9999
01/11/2014 22:00,0.49075,0.493,0.438,5.727,6.95725,8.4825,-9999
01/11/2014 23:00,0.491,0.493,0.4375,5.2865,6.58025,8.495,-9999
02/11/2014 00:00,0.491,0.493,0.437,4.91525,6.2585,8.4925,-9999
02/11/2014 01:00,0.491,0.493,0.437,4.58375,5.9515,8.4675,-9999
02/11/2014 02:00,0.491,0.493,0.437,4.29175,5.692,8.425,-9999
02/11/2014 03:00,0.491,0.493,0.437,4.02675,5.45,8.3825,-9999
02/11/2014 04:00,0.491,0.493,0.437,3.794,5.2265,8.3225,-9999
02/11/2014 05:00,0.491,0.493,0.437,3.57875,5.02375,8.26,-9999
02/11/2014 06:00,0.491,0.493,0.43775,3.39,4.83075,8.19,-9999
02/11/2014 07:00,0.491,0.493,0.437,3.22275,4.65725,8.12,-9999
02/11/2014 08:00,0.491,0.493,0.437,3.07325,4.49075,8.0425,-9999
02/11/2014 09:00,0.49175,0.493,0.437,3.087,4.358,7.96525,-9999
02/11/2014 10:00,0.492,0.493,0.437,4.17575,4.52225,7.8915,-9999
02/11/2014 11:00,0.49125,0.493,0.437,6.51475,5.182,7.81,-9999
02/11/2014 12:00,0.49075,0.493,0.437,8.945,6.08925,7.736,-9999
02/11/2014 13:00,0.49,0.492,0.43775,10.7975,7.01775,7.675,-9999
02/11/2014 14:00,0.48925,0.492,0.43825,11.8075,7.8385,7.638,-9999
02/11/2014 15:00,0.489,0.492,0.43825,11.76,8.415,7.644,-9999
02/11/2014 16:00,0.489,0.492,0.438,10.945,8.725,7.691,-9999
02/11/2014 17:00,0.489,0.492,0.438,9.3,8.615,7.7595,-9999
02/11/2014 18:00,0.489,0.492,0.438,7.92575,8.148,7.85075,-9999
02/11/2014 19:00,0.489,0.492,0.438,6.88525,7.59325,7.94375,-9999
02/11/2014 20:00,0.489,0.4915,0.438,6.128,7.10275,8.025,-9999
02/11/2014 21:00,0.489,0.491,0.438,5.55525,6.66925,8.09,-9999
02/11/2014 22:00,0.489,0.49175,0.438,5.0685,6.2965,8.12,-9999
02/11/2014 23:00,0.489,0.492,0.438,4.65675,5.957,8.14,-9999
03/11/2014 00:00,0.489,0.492,0.438,4.3125,5.655,8.1325,-9999
03/11/2014 01:00,0.489,0.492,0.438,4.016,5.38175,8.11,-9999
03/11/2014 02:00,0.4895,0.492,0.438,3.73325,5.13875,8.0725,-9999
03/11/2014 03:00,0.48925,0.492,0.438,3.49925,4.9105,8.0325,-9999
03/11/2014 04:00,0.48925,0.492,0.438,3.287,4.70625,7.9755,-9999
03/11/2014 05:00,0.489,0.492,0.438,3.096,4.50675,7.91325,-9999
03/11/2014 06:00,0.489,0.492,0.4385,2.93625,4.33025,7.85375,-9999
03/11/2014 07:00,0.489,0.492,0.43875,2.7925,4.16625,7.78225,-9999
03/11/2014 08:00,0.489,0.492,0.438,2.669,4.01325,7.7075,-9999
03/11/2014 09:00,0.48825,0.492,0.437,2.6315,3.897,7.63575,-9999
03/11/2014 10:00,0.488,0.492,0.437,3.36975,3.984,7.56225,-9999
03/11/2014 11:00,0.4875,0.492,0.437,5.57475,4.584,7.48275,-9999
03/11/2014 12:00,0.48675,0.492,0.437,7.81575,5.4115,7.4125,-9999
03/11/2014 13:00,0.486,0.491,0.437,9.3675,6.25225,7.358,-9999
03/11/2014 14:00,0.48525,0.491,0.43725,10.1125,6.97975,7.31475,-9999
03/11/2014 15:00,0.485,0.491,0.43825,10.07,7.5015,7.315,-9999
03/11/2014 16:00,0.485,0.491,0.438,9.3075,7.783,7.35125,-9999
03/11/2014 17:00,0.485,0.491,0.438,8.46,7.76925,7.40675,-9999
03/11/2014 18:00,0.485,0.491,0.438,7.6825,7.6175,7.479,-9999
03/11/2014 19:00,0.485,0.491,0.438,6.69225,7.25,7.56,-9999
03/11/2014 20:00,0.485,0.491,0.438,5.97575,6.82575,7.631,-9999
03/11/2014 21:00,0.485,0.491,0.438,6.00525,6.56325,7.69225,-9999
03/11/2014 22:00,0.485,0.491,0.438,6.179,6.52225,7.73225,-9999
03/11/2014 23:00,0.485,0.491,0.43725,6.1735,6.521,7.7605,-9999
04/11/2014 00:00,0.485,0.491,0.438,6.1665,6.5115,7.7745,-9999
04/11/2014 01:00,0.48525,0.491,0.43725,6.09875,6.4835,7.781,-9999
04/11/2014 02:00,0.486,0.491,0.437,6.0455,6.45,7.783,-9999
04/11/2014 03:00,0.486,0.491,0.4375,6.07175,6.4435,7.78225,-9999
04/11/2014 04:00,0.486,0.491,0.438,6.0465,6.43475,7.784,-9999
04/11/2014 05:00,0.487,0.491,0.438,5.92175,6.39875,7.7795,-9999
04/11/2014 06:00,0.48725,0.491,0.43775,5.94825,6.366,7.77375,-9999
04/11/2014 07:00,0.48825,0.491,0.4375,5.9255,6.35425,7.76775,-9999
04/11/2014 08:00,0.48975,0.49175,0.438,5.85175,6.328,7.759,-9999
04/11/2014 09:00,0.49,0.492,0.438,5.93525,6.31325,7.7545,-9999
04/11/2014 10:00,0.49025,0.492,0.438,6.26125,6.40725,7.7445,-9999
04/11/2014 11:00,0.49275,0.4925,0.438,6.823,6.6465,7.7365,-9999
04/11/2014 12:00,0.493,0.493,0.438,6.8345,6.84275,7.73025,-9999
04/11/2014 13:00,0.493,0.493,0.438,6.9495,6.9565,7.727,-9999
04/11/2014 14:00,0.49375,0.493,0.438,7.21675,7.10075,7.73475,-9999
04/11/2014 15:00,0.494,0.494,0.438,7.31725,7.2695,7.74275,-9999
04/11/2014 16:00,0.494,0.494,0.4385,7.3895,7.3805,7.75125,-9999
04/11/2014 17:00,0.4945,0.494,0.438,7.19125,7.4095,7.77025,-9999
04/11/2014 18:00,0.4965,0.494,0.438,6.8785,7.30875,7.79275,-9999
04/11/2014 19:00,0.51225,0.4965,0.439,6.668,7.16225,7.81775,-9999
04/11/2014 20:00,0.52025,0.5015,0.43925,6.54275,7.04,7.83825,-9999
04/11/2014 21:00,0.52,0.50425,0.44,6.37725,6.917,7.85625,-9999
04/11/2014 22:00,0.51825,0.504,0.4405,6.31875,6.81175,7.867,-9999
04/11/2014 23:00,-9999,0.505,0.441,6.37425,6.77125,7.87025,-9999
05/11/2014 00:00,-9999,0.506,0.44125,6.4165,6.76275,7.86725,-9999
05/11/2014 01:00,-9999,0.5075,0.442,6.46825,6.7755,7.86825,-9999
