AngleFromNorthClockwise,HorizonHeight
0,13.2002237199127
2.5,13.2002237199127
5,13.2002237199127
7.5,13.2002237199127
10,13.2002237199127
12.5,13.2002237199127
15,13.2002237199127
17.5,13.2002237199127
20,13.2002237199127
22.5,13.2002237199127
25,11.5558170481184
27.5,11.5558170481184
30,9.0322186238623
32.5,9.0322186238623
35,9.0322186238623
37.5,9.0322186238623
40,9.0322186238623
42.5,9.0322186238623
45,9.0322186238623
47.5,6.96132034995456
50,6.96132034995456
52.5,6.96132034995456
55,4.26535177125475
57.5,4.40667258992177
60,4.23009082908893
62.5,5.3772465690816
65,4.83163584103563
67.5,4.85622509301208
70,5.05864491630152
72.5,4.84071783213784
75,5.47310820052601
77.5,4.69313750294337
80,3.68066706265791
82.5,2.79835635605845
85,2.76429074455084
87.5,2.8789036815119
90,3.83183854427058
92.5,5.01200911632424
95,6.29498123429127
97.5,6.98386008362283
100,7.3022416943252
102.5,7.4445875076751
105,7.95986752213151
107.5,8.07651878115248
110,7.45402344344087
112.5,7.06283815855155
115,6.0546900797418
117.5,5.10466474033471
120,4.25687725099382
122.5,5.05362884577255
125,5.50123443148848
127.5,5.64739199818127
130,6.27402470799072
132.5,6.69286849829396
135,7.21125787564353
137.5,7.08010348739742
140,6.21383587244286
142.5,6.78666230004726
145,7.55628912716657
147.5,8.25351292895142
150,9.21490986588175
152.5,9.70103974771054
155,9.72441568117198
157.5,9.53766152925301
160,9.55869860800243
162.5,9.48255342823198
165,9.30819090175593
167.5,9.06547660762627
170,8.76071013090879
172.5,8.78061873337491
175,9.01982495831656
177.5,9.36792341789873
180,10.7847732599341
182.5,11.633169504903
185,12.2779308648178
187.5,12.0345337214188
190,11.7501488303453
192.5,11.6120132235571
195,11.7405123062671
197.5,11.624737442437
200,11.5061381467135
202.5,11.4719502055179
205,11.3060943681252
207.5,11.0937827379099
210,10.6147148498838
212.5,10.3468136174019
215,9.93176054788742
217.5,9.64038927619612
220,9.07243454245694
222.5,7.9940223028911
225,7.65813790966879
227.5,7.7007368643362
230,7.43078577944898
232.5,7.05640822708091
235,6.59358484773972
237.5,5.65941571317105
240,5.39676436427382
242.5,4.68729250974044
245,4.25179697092333
247.5,3.62449522492954
250,2.54888164005365
252.5,2.04586195803229
255,1.74149583826969
257.5,1.71311790371374
260,0.956692436968577
262.5,0.995026026627988
265,0.57265641054855
267.5,0.500585842435261
270,1.36259577134398
272.5,1.39220058755975
275,1.57864829188273
277.5,1.53914186838912
280,1.55895911284312
282.5,1.70791779362659
285,1.42371234727627
287.5,1.91169907393465
290,1.66720023716131
292.5,3.00296697597269
295,3.00296697597269
297.5,4.23754861432485
300,4.23754861432485
302.5,4.23754861432485
305,5.28600000252773
307.5,6.67876583342547
310,7.43691296634013
312.5,7.43691296634013
315,7.43691296634013
317.5,8.49070692129483
320,8.49070692129483
322.5,8.49070692129483
325,13.2002237199127
327.5,13.2002237199127
330,13.2002237199127
332.5,13.2002237199127
335,13.2002237199127
337.5,13.2002237199127
340,13.2002237199127
342.5,13.2002237199127
345,13.2002237199127
347.5,13.2002237199127
350,13.2002237199127
352.5,13.2002237199127
355,13.2002237199127
357.5,13.2002237199127
