Date,SolarHeight[deg],SolarAzimuth[deg],SinSolarHeight,SWinMeasured[W/m2],SWinClearSky[W/m2],AtmTransmissivity,CloudTransmissivity
01/01/2012 10:00,13.940438,147.674804,0.240913,38.500000,201.114294,0.589996,0.192812
01/01/2012 11:00,18.404468,161.271818,0.315723,130.833333,289.851294,0.648836,0.454520
01/01/2012 12:00,20.471687,175.740832,0.349744,312.666667,331.624345,0.670133,0.949141
01/01/2012 13:00,19.917143,190.432808,0.340661,243.333333,320.904797,0.665762,0.763397
01/01/2012 14:00,16.803568,204.599343,0.289091,200.333333,258.666622,0.632368,0.780005
02/01/2012 10:00,13.974803,147.544028,0.241495,71.500000,202.330664,0.592125,0.355918
02/01/2012 11:00,18.460035,161.146010,0.316643,101.333333,290.900988,0.649285,0.350756
02/01/2012 12:00,20.548825,175.626698,0.351005,118.166667,332.606797,0.669695,0.357643
02/01/2012 13:00,20.013559,190.336895,0.342243,158.833333,322.170114,0.665290,0.496330
02/01/2012 14:00,16.914939,204.524983,0.290952,121.000000,260.120400,0.631849,0.468470
03/01/2012 10:00,14.016342,147.410932,0.242199,26.833333,206.696462,0.603143,0.130750
03/01/2012 11:00,18.523030,161.019109,0.317686,171.500000,298.425814,0.663892,0.578632
03/01/2012 12:00,20.633446,175.512940,0.352388,383.666667,340.074316,0.682042,1.000000
03/01/2012 13:00,20.117251,190.242884,0.343942,361.000000,329.021833,0.676079,1.000000
03/01/2012 14:00,17.033147,204.453874,0.292925,355.833333,266.306503,0.642516,1.000000
04/01/2012 10:00,14.065046,147.275594,0.243023,76.000000,207.337985,0.602966,0.369163
04/01/2012 11:00,18.593433,160.891190,0.318851,95.666667,298.143887,0.660846,0.323072
04/01/2012 12:00,20.725515,175.399630,0.353891,105.833333,339.643007,0.678289,0.313655
04/01/2012 13:00,20.228173,190.150846,0.345760,174.166667,328.762963,0.672003,0.533290
04/01/2012 14:00,17.158131,204.386079,0.295010,203.333333,267.349723,0.640480,0.765887
05/01/2012 10:00,14.120906,147.138093,0.243969,66.000000,210.586615,0.610050,0.315635
05/01/2012 11:00,18.671220,160.762325,0.320137,166.000000,301.983325,0.666679,0.553441
05/01/2012 12:00,20.824997,175.286838,0.355515,334.666667,345.578457,0.687004,0.974758
05/01/2012 13:00,20.346276,190.060848,0.347693,263.166667,335.290716,0.681548,0.790072
05/01/2012 14:00,17.289831,204.321663,0.297205,235.333333,272.479928,0.647961,0.869689
06/01/2012 10:00,14.183909,146.998506,0.245035,40.333333,210.792218,0.608006,0.192692
06/01/2012 11:00,18.756365,160.632589,0.321545,70.833333,302.815161,0.665608,0.235501
06/01/2012 12:00,20.931851,175.174636,0.357257,104.333333,346.340310,0.685180,0.303207
06/01/2012 13:00,20.471506,189.972960,0.349742,188.500000,336.348014,0.679712,0.564114
06/01/2012 14:00,17.428182,204.260690,0.299510,117.000000,274.650243,0.648116,0.428946
06/01/2012 15:00,12.121485,217.495023,0.209985,67.000000,168.620761,0.567554,0.399914
07/01/2012 10:00,14.254038,146.856914,0.246222,24.166667,216.317756,0.620961,0.112504
07/01/2012 11:00,18.848837,160.502055,0.323072,143.833333,310.601031,0.679520,0.466191
07/01/2012 12:00,21.046034,175.063095,0.359118,355.333333,354.361636,0.697445,1.000000
07/01/2012 13:00,20.603810,189.887249,0.351904,404.000000,343.131929,0.689189,1.000000
07/01/2012 14:00,17.573116,204.203221,0.301923,351.333333,280.340466,0.656284,1.000000
07/01/2012 15:00,12.273548,217.463487,0.212579,243.666667,172.734607,0.574330,1.000000
08/01/2012 10:00,14.331273,146.713394,0.247528,61.500000,212.863430,0.607851,0.290931
08/01/2012 11:00,18.948604,160.370799,0.324720,94.000000,305.002900,0.663921,0.310261
08/01/2012 12:00,21.167501,174.952285,0.361096,165.833333,349.282099,0.683717,0.477845
08/01/2012 13:00,20.743127,189.803783,0.354179,208.833333,340.438215,0.679421,0.617411
08/01/2012 14:00,17.724562,204.149320,0.304441,232.000000,279.874010,0.649805,0.834610
08/01/2012 15:00,12.431493,217.436508,0.215272,194.500000,174.342379,0.572454,1.000000
09/01/2012 10:00,14.415592,146.568027,0.248953,25.666667,216.567243,0.614923,0.119338
09/01/2012 11:00,19.055630,160.238894,0.326486,177.833333,310.593385,0.672473,0.576368
09/01/2012 12:00,21.296203,174.842278,0.363189,391.333333,355.444971,0.691811,1.000000
09/01/2012 13:00,20.889396,189.722631,0.356565,412.333333,347.289568,0.688498,1.000000
09/01/2012 14:00,17.882447,204.099047,0.307065,375.000000,285.884609,0.658130,1.000000
09/01/2012 15:00,12.595237,217.414136,0.218062,242.666667,179.609559,0.582239,1.000000
10/01/2012 10:00,14.506971,146.420892,0.250498,59.166667,216.184239,0.610094,0.275569
10/01/2012 11:00,19.169876,160.106415,0.328370,172.166667,310.012099,0.667411,0.559031
10/01/2012 12:00,21.432087,174.733143,0.365398,209.166667,355.321989,0.687441,0.592415
10/01/2012 13:00,21.042552,189.643859,0.359061,310.666667,347.321669,0.683824,0.900196
10/01/2012 14:00,18.046694,204.052465,0.309792,265.500000,286.735367,0.654325,0.932177
10/01/2012 15:00,12.764693,217.396421,0.220948,148.833333,181.286358,0.580043,0.826325
11/01/2012 10:00,14.605379,146.272071,0.252160,27.500000,215.620676,0.604541,0.128409
11/01/2012 11:00,19.291300,159.973435,0.330371,172.333333,309.255146,0.661803,0.560923
11/01/2012 12:00,21.575100,174.624952,0.367720,383.000000,355.630874,0.683749,1.000000
11/01/2012 13:00,21.202529,189.567536,0.361666,404.000000,347.704587,0.679704,1.000000
11/01/2012 14:00,18.217225,204.009632,0.312620,369.666667,287.455363,0.650087,1.000000
11/01/2012 15:00,12.939773,217.383409,0.223927,243.000000,182.469578,0.576109,1.000000
12/01/2012 10:00,14.710787,146.121643,0.253940,25.833333,224.967212,0.626383,0.115613
12/01/2012 11:00,19.419857,159.840029,0.332488,178.500000,321.078480,0.682793,0.559556
12/01/2012 12:00,21.725183,174.517775,0.370155,398.333333,367.509446,0.702005,1.000000
12/01/2012 13:00,21.369256,189.493728,0.364377,421.833333,357.831178,0.694359,1.000000
12/01/2012 14:00,18.393957,203.970610,0.315549,388.166667,297.269583,0.666105,1.000000
12/01/2012 15:00,13.120387,217.375148,0.226998,256.000000,191.828126,0.597519,1.000000
13/01/2012 10:00,14.823159,145.969688,0.255837,25.000000,223.070904,0.616562,0.112827
13/01/2012 11:00,19.555501,159.706270,0.334720,177.333333,318.454732,0.672767,0.560463
13/01/2012 12:00,21.882277,174.411682,0.372701,368.666667,365.040715,0.692598,1.000000
13/01/2012 13:00,21.542660,189.422503,0.367194,417.500000,357.670683,0.688795,1.000000
13/01/2012 14:00,18.576807,203.935457,0.318576,385.833333,297.895970,0.661236,1.000000
13/01/2012 15:00,13.306442,217.371685,0.230159,259.500000,192.662820,0.591938,1.000000
14/01/2012 10:00,14.942458,145.816287,0.257849,25.333333,231.194846,0.634101,0.110311
14/01/2012 11:00,19.698180,159.572233,0.337065,189.166667,329.442208,0.691214,0.577878
14/01/2012 12:00,22.046318,174.306743,0.375356,411.500000,377.015619,0.710339,1.000000
14/01/2012 13:00,21.722665,189.353925,0.370114,436.000000,369.640790,0.706311,1.000000
14/01/2012 14:00,18.765686,203.904232,0.321699,403.333333,308.969998,0.679236,1.000000
14/01/2012 15:00,13.497841,217.373062,0.233409,272.166667,200.954104,0.608886,1.000000
15/01/2012 10:00,15.068645,145.661520,0.259976,26.666667,238.575693,0.649070,0.112520
15/01/2012 11:00,19.847842,159.437990,0.339523,194.166667,337.963691,0.704047,0.578158
15/01/2012 12:00,22.217241,174.203028,0.378119,410.500000,384.717385,0.719642,1.000000
15/01/2012 13:00,21.909195,189.288062,0.373137,437.500000,378.637112,0.717730,1.000000
15/01/2012 14:00,18.960506,203.876993,0.324916,406.166667,317.596822,0.691373,1.000000
15/01/2012 15:00,13.694488,217.379325,0.236745,275.833333,208.014523,0.621475,1.000000
16/01/2012 10:00,15.201677,145.505467,0.262217,25.333333,240.587264,0.649034,0.105995
16/01/2012 11:00,20.004430,159.303615,0.342093,201.166667,339.354420,0.701728,0.596519
16/01/2012 12:00,22.394976,174.100606,0.380989,413.666667,388.768133,0.721838,1.000000
16/01/2012 13:00,22.102166,189.224980,0.376259,440.166667,382.167802,0.718507,1.000000
16/01/2012 14:00,19.161175,203.853796,0.328227,407.000000,319.678456,0.688979,1.000000
16/01/2012 15:00,13.896281,217.390514,0.240165,277.500000,210.503044,0.620037,1.000000
17/01/2012 10:00,15.341508,145.348208,0.264572,33.500000,234.176650,0.626209,0.143988
17/01/2012 11:00,20.167887,159.169181,0.344772,200.500000,331.186307,0.679613,0.609197
17/01/2012 12:00,22.579455,173.999546,0.383964,403.500000,379.735390,0.699705,1.000000
17/01/2012 13:00,22.301498,189.164743,0.379480,431.833333,374.471524,0.698163,1.000000
17/01/2012 14:00,19.367599,203.834699,0.331628,423.333333,315.035526,0.672107,1.000000
17/01/2012 15:00,14.103120,217.406670,0.243668,287.666667,208.560001,0.605572,1.000000
18/01/2012 10:00,15.488089,145.189823,0.267038,26.500000,237.811605,0.630153,0.112154
18/01/2012 11:00,20.338152,159.034759,0.347560,204.666667,336.593057,0.685274,0.611831
18/01/2012 12:00,22.770602,173.899917,0.387043,407.833333,385.876649,0.705475,1.000000
18/01/2012 13:00,22.507103,189.107416,0.382798,435.500000,380.484353,0.703334,1.000000
18/01/2012 14:00,19.579680,203.819756,0.335117,403.500000,320.924989,0.677648,1.000000
18/01/2012 15:00,14.314899,217.427833,0.247251,285.500000,214.041064,0.612575,1.000000
19/01/2012 10:00,15.641371,145.030390,0.269615,89.333333,237.513061,0.623448,0.378529
19/01/2012 11:00,20.515160,158.900422,0.350455,133.166667,334.563516,0.675626,0.400489
19/01/2012 12:00,22.968342,173.801786,0.390222,130.000000,382.840531,0.694335,0.341590
19/01/2012 13:00,22.718894,189.053065,0.386210,229.166667,378.154819,0.692967,0.609635
19/01/2012 14:00,19.797320,203.809024,0.338694,217.666667,319.804562,0.668262,0.684866
