Date12[DDMMYYYYhhmm],JulianDayFromYear0[days],TimeFromStart[days],Simulation_Period,Run,Prain_below_canopy[mm],Psnow_below_canopy[mm],Prain_above_canopy[mm],Prain_above_canopy[mm],Pnet[mm],Tair[C],Tsurface[C],Tvegetation[C],Evap_surface[mm],Transpiration_canopy[mm],LE[W/m2],H[W/m2],SW[W/m2],LW[W/m2],LEv[W/m2],Hv[W/m2],SWv[W/m2],LWv[W/m2],SWin[W/m2],LWin[W/m2],Mass_balance_error[mm],Mean_Time_Step[s]
01/01/2012 01:00,734869.041667,0.041667,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,5.000000,2.547124,1.288276,0.000065,0.000000,0.044736,-1.637000,0.000000,-29.785142,0.000000,-1.483278,0.000000,-1.175440,0.000000,300.008889,0.000077,900.000000
01/01/2012 02:00,734869.083333,0.083333,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.530911,1.134701,-0.575255,0.000136,0.000000,0.094561,0.156401,0.000000,-38.748043,0.000000,-0.861648,0.000000,-1.588806,0.000000,285.104402,0.000087,900.000000
01/01/2012 03:00,734869.125000,0.125000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.381987,0.007819,-1.981218,0.000061,0.000000,0.042693,-0.390092,0.000000,-38.655635,-0.026471,-0.979301,0.000000,-1.165847,0.000000,280.259713,0.000000,900.000000
01/01/2012 04:00,734869.166667,0.166667,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.415553,-0.486666,-2.300996,-0.000447,0.000000,-0.352263,-1.394124,0.000000,-35.756595,-0.149761,-1.133805,0.000000,-1.339554,0.000000,280.594321,0.000074,900.000000
01/01/2012 05:00,734869.208333,0.208333,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.934159,-0.707562,-2.173253,-0.001051,0.000000,-0.827499,-2.955178,0.000000,-31.546284,-0.347330,-1.297182,0.000000,-1.599296,0.000000,283.278433,0.000001,900.000000
01/01/2012 06:00,734869.250000,0.250000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.402733,-0.890651,-2.101000,-0.000987,0.000000,-0.777448,-3.009029,0.000000,-28.461767,-0.333072,-1.455505,0.000000,-1.767363,0.000000,285.149024,0.000003,900.000000
01/01/2012 07:00,734869.291667,0.291667,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.575078,-1.026121,-2.164242,-0.000968,0.000000,-0.762331,-3.791856,0.000000,-27.374381,-0.226979,-1.555672,0.000000,-1.801365,0.000000,285.504886,0.000016,900.000000
01/01/2012 08:00,734869.333333,0.333333,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,3.189050,-0.809435,-1.576924,-0.000938,0.000000,-0.738437,-5.418422,0.000000,-21.348381,-0.092627,-1.972957,0.000000,-1.874635,0.000000,291.950870,0.000400,900.000000
01/01/2012 09:00,734869.375000,0.375000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,3.005216,-0.162891,0.523731,-0.000521,0.000121,-0.410232,-3.901848,17.361000,-23.469168,0.087474,-1.022129,6.013725,-6.424752,26.532131,291.078541,0.000087,900.000000
01/01/2012 10:00,734869.416667,0.416667,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,4.701521,4.664338,14.069642,0.000342,0.005390,0.236608,-0.086231,128.587202,-47.449902,3.854049,3.736659,50.464361,-39.600597,201.907982,278.586674,0.000035,900.000000
01/01/2012 11:00,734869.458333,0.458333,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,6.763281,12.553854,23.057322,0.001012,0.011348,0.696031,4.760156,294.816312,-111.066478,8.094556,6.345248,78.874489,-61.249627,424.010466,253.677021,0.000017,900.000000
01/01/2012 12:00,734869.500000,0.500000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,7.312546,20.645102,28.645350,0.002424,0.015782,1.655321,14.574873,403.105710,-157.621922,10.960599,8.269483,86.569949,-65.601613,557.485135,255.649931,0.000010,900.000000
01/01/2012 13:00,734869.541667,0.541667,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,7.670324,21.844510,28.382133,0.002552,0.016237,1.738915,17.304266,308.179082,-156.114938,11.080313,8.045589,73.715810,-55.080381,434.249502,266.208175,0.000006,900.000000
01/01/2012 14:00,734869.583333,0.583333,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,5.793973,17.871933,22.022188,0.001734,0.010995,1.184408,17.832480,187.540572,-144.208566,7.509087,6.415687,51.820535,-39.622820,271.763416,259.340459,0.000004,900.000000
01/01/2012 15:00,734869.625000,0.625000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,5.956355,16.382648,22.104671,0.001243,0.011144,0.850484,17.698114,182.027528,-132.894409,7.595380,6.391903,58.842741,-44.048673,272.435698,259.803671,0.000003,900.000000
01/01/2012 16:00,734869.666667,0.666667,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,6.583649,12.324691,15.898506,0.000656,0.006509,0.449894,9.470321,73.868844,-108.133145,4.458552,3.722541,33.611231,-28.353096,120.861412,265.713342,0.000002,900.000000
01/01/2012 17:00,734869.708333,0.708333,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,6.099864,7.176334,4.302295,0.000160,0.000686,0.110375,1.505931,5.493863,-88.154999,0.474341,-0.735081,1.684663,-5.169412,8.163891,267.643853,0.000001,900.000000
01/01/2012 18:00,734869.750000,0.750000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,5.243050,4.269832,0.818007,-0.000065,0.000000,-0.045273,-1.509779,0.000000,-73.608639,0.000210,-1.820862,0.000000,-2.329158,0.000000,268.171584,0.000001,900.000000
01/01/2012 19:00,734869.791667,0.791667,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,4.386233,2.558161,-0.404056,-0.000276,0.000000,-0.191296,-2.566810,0.000000,-63.064022,-0.111524,-1.975449,0.000000,-2.352019,0.000000,269.596557,0.000001,900.000000
01/01/2012 20:00,734869.833333,0.833333,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,3.773052,1.421911,-1.062597,-0.000441,0.000000,-0.305978,-4.166623,0.000000,-54.941763,-0.402628,-2.003596,0.000000,-2.550551,0.000000,271.551893,0.000001,900.000000
01/01/2012 21:00,734869.875000,0.875000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,3.310219,0.609370,-1.536227,-0.000466,0.000000,-0.323502,-4.733803,0.000000,-48.994835,-0.471479,-2.011266,0.000000,-2.595257,0.000000,273.137712,0.000001,900.000000
01/01/2012 22:00,734869.916667,0.916667,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2.687422,-0.064218,-1.953821,-0.000440,0.000000,-0.305695,-3.434611,0.000000,-44.501204,-0.525930,-1.921151,0.000000,-2.553826,0.000000,274.085846,0.000000,900.000000
01/01/2012 23:00,734869.958333,0.958333,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2.419989,-0.446304,-2.130544,-0.000634,0.000000,-0.478047,-3.753656,0.000000,-40.035555,-0.568061,-1.886610,0.000000,-2.481955,0.000000,276.438664,0.000000,900.000000
02/01/2012 00:00,734870.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.919809,-0.747840,-2.331501,-0.000967,0.000000,-0.761221,-2.677995,0.000000,-37.540216,-0.470716,-1.754640,0.000000,-2.284611,0.000000,277.369105,0.000019,900.000000
02/01/2012 01:00,734870.041667,1.041667,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.919809,-1.061796,-2.518215,-0.000988,0.000000,-0.778131,-2.996614,0.000000,-35.910205,-0.503081,-1.832337,0.000000,-2.381225,0.000000,277.369105,0.000148,900.000000
02/01/2012 02:00,734870.083333,1.083333,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.427652,-1.269193,-2.613615,-0.000973,0.000000,-0.765790,-2.489266,0.000000,-33.235783,-0.558291,-1.665553,0.000000,-2.243412,0.000000,278.902319,0.000164,900.000000
02/01/2012 03:00,734870.125000,1.125000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.161269,-1.390158,-2.657177,-0.000917,0.000000,-0.722311,-2.293316,0.000000,-30.665912,-0.449313,-1.573169,0.000000,-2.029971,0.000000,280.771667,0.000044,900.000000
02/01/2012 04:00,734870.166667,1.166667,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.249894,-1.696657,-3.248946,-0.000912,0.000000,-0.718104,-1.881492,0.000000,-32.967667,-0.201097,-1.252400,0.000000,-1.638065,0.000000,277.458997,0.000208,900.000000
02/01/2012 05:00,734870.208333,1.208333,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.106406,-1.712164,-3.119005,-0.000923,0.000000,-0.727035,-1.599874,0.000000,-28.675684,-0.213485,-1.249800,0.000000,-1.390637,0.000000,281.415896,0.000196,900.000000
02/01/2012 06:00,734870.250000,1.250000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.689722,-1.751197,-3.161904,-0.000980,0.000000,-0.771879,-1.220473,0.000000,-27.773010,-0.129515,-1.030652,0.000000,-1.184665,0.000000,282.125986,0.000152,900.000000
02/01/2012 07:00,734870.291667,1.291667,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.664700,-1.687515,-2.953456,-0.001061,0.000000,-0.835724,-1.409970,0.000000,-24.365226,-0.128311,-0.956876,0.000000,-1.014908,0.000000,285.578980,0.000155,900.000000
02/01/2012 08:00,734870.333333,1.333333,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.278136,-1.465556,-2.507808,-0.001141,0.000000,-0.898674,-2.006145,0.000000,-20.047883,-0.100735,-0.933076,0.000000,-0.901073,0.000000,290.549336,0.000122,900.000000
02/01/2012 09:00,734870.375000,1.375000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.487333,-0.892463,-1.248953,-0.001088,0.000000,-0.856465,-0.570667,10.512577,-19.429369,0.003312,-0.317421,2.863322,-2.828776,15.251454,292.952649,0.000027,900.000000
02/01/2012 10:00,734870.416667,1.416667,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.890762,-0.036293,0.400703,-0.000447,0.000117,-0.352808,0.757034,27.848602,-20.846179,0.092279,0.530405,6.566688,-5.467218,39.300713,294.536251,0.000000,900.000000
02/01/2012 11:00,734870.458333,1.458333,0.000000,0.000000,0.012721,0.076464,0.013088,0.311942,0.050174,-0.838934,1.103533,1.387515,0.000071,0.000313,0.069772,2.124700,46.447114,-25.735284,0.373727,0.918821,9.171639,-6.503527,62.454551,295.237299,0.000049,900.000000
02/01/2012 12:00,734870.500000,1.500000,0.000000,0.000000,0.053944,0.066775,0.055500,0.185839,0.146027,-0.080138,1.573901,1.130627,0.000052,0.000047,0.065146,1.846416,41.779241,-25.387217,0.297313,0.499419,7.202711,-4.218790,54.006299,298.685905,0.000140,900.000000
