DATE[day/month/year hour:min],t[days],JDfrom0,JD,Qtot[m3/s],Vsup/Dt[m3/s],Vsub/Dt[m3/s],Vchannel[m3],Qoutlandsup[m3/s],Qoutlandsub[m3/s],Qoutbottom[m3/s]
01/01/2012 01:00,0.041667,734869.041667,0.041667,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.457986e-04
01/01/2012 02:00,0.083333,734869.083333,0.083333,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.315026e-04
01/01/2012 03:00,0.125000,734869.125000,0.125000,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.300375e-04
01/01/2012 04:00,0.166667,734869.166667,0.166667,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.264640e-04
01/01/2012 05:00,0.208333,734869.208333,0.208333,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.062865e-04
01/01/2012 06:00,0.250000,734869.250000,0.250000,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,8.981367e-05
01/01/2012 07:00,0.291667,734869.291667,0.291667,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,7.809005e-05
01/01/2012 08:00,0.333333,734869.333333,0.333333,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,6.922854e-05
01/01/2012 09:00,0.375000,734869.375000,0.375000,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,6.224510e-05
01/01/2012 10:00,0.416667,734869.416667,0.416667,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,5.657447e-05
01/01/2012 11:00,0.458333,734869.458333,0.458333,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,5.186451e-05
01/01/2012 12:00,0.500000,734869.500000,0.500000,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,4.788229e-05
01/01/2012 13:00,0.541667,734869.541667,0.541667,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,4.446657e-05
01/01/2012 14:00,0.583333,734869.583333,0.583333,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,4.150160e-05
01/01/2012 15:00,0.625000,734869.625000,0.625000,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,3.890183e-05
01/01/2012 16:00,0.666667,734869.666667,0.666667,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,3.660254e-05
01/01/2012 17:00,0.708333,734869.708333,0.708333,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,3.455370e-05
01/01/2012 18:00,0.750000,734869.750000,0.750000,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,3.271600e-05
01/01/2012 19:00,0.791667,734869.791667,0.791667,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,3.105807e-05
01/01/2012 20:00,0.833333,734869.833333,0.833333,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,2.955454e-05
01/01/2012 21:00,0.875000,734869.875000,0.875000,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,2.818467e-05
01/01/2012 22:00,0.916667,734869.916667,0.916667,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,2.693131e-05
