Date12[DDMMYYYYhhmm],JulianDayFromYear0[days],TimeFromStart[days],Simulation_Period,Run,IDpoint,Psnow_over_canopy[mm],Prain_over_canopy[mm],Psnow_under_canopy[mm],Prain_under_canopy[mm],Prain_rain_on_snow[mm],Wind_speed[m/s],Wind_direction[deg],Relative_Humidity[-],Pressure[mbar],Tair[C],Tdew[C],Tsurface[C],Tvegetation[C],Tcanopyair[C],Surface_Energy_balance[W/m2],Soil_heat_flux[W/m2],SWin[W/m2],SWbeam[W/m2],SWdiff[W/m2],LWin[W/m2],LWin_min[W/m2],LWin_max[W/m2],SWnet[W/m2],LWnet[W/m2],H[W/m2],LE[W/m2],Canopy_fraction[-],LSAI[m2/m2],z0veg[m],d0veg[m],Estored_canopy[W/m2],SWv[W/m2],LWv[W/m2],Hv[W/m2],LEv[W/m2],Hg_unveg[W/m2],LEg_unveg[W/m2],Hg_veg[W/m2],LEg_veg[W/m2],Evap_surface[mm],Trasp_canopy[mm],Water_on_canopy[mm],Snow_on_canopy[mm],Qvegetation[-],Qsurface[-],Qair[-],Qcanopyair[-],LObukhov[m],LObukhovcanopy[m],Wind_speed_top_canopy[m/s],Decay_of_K_in_canopy[-],SWup[W/m2],LWup[W/m2],Hup[W/m2],LEup[W/m2],snow_depth[mm],snow_water_equivalent[mm],snow_density[kg/m3],snow_temperature[C],snow_melted[mm],snow_subl[mm],snow_blown_away[mm],snow_subl_while_blown[mm],glac_depth[mm],glac_water_equivalent[mm],glac_density[kg/m3],glac_temperature[C],glac_melted[mm],glac_subl[mm],lowest_thawed_soil_depth[mm],highest_thawed_soil_depth[mm],lowest_water_table_depth[mm],highest_water_table_depth[mm]
01/01/2012 01:00,734869.041667,0.041667,1,1,1,0.000000,0.000000,0.000000,0.000000,0.000000,0.500000,0.000000,0.700000,0.000000,5.000000,-0.012389,2.547124,1.288276,4.868222,-28.192878,-28.192878,0.000000,0.000000,0.000000,300.008889,243.233799,270.929112,0.000000,-29.785142,-1.637000,0.044736,0.842432,0.285724,0.040000,0.266800,0.307838,0.000000,-1.175440,-1.483278,0.000000,-5.258758,0.284013,-0.959587,0.000000,0.000065,0.000000,0.000000,0.000000,0.004930,0.005397,0.004486,0.004486,12.537449,642660220100778368.000000,0.149537,95.817339,0.000000,331.717190,0.000000,0.000000,0.000000,0.000000,-9999.000000,-9999.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,50000.000000,0.000000,18157.982212,18157.982212
01/01/2012 02:00,734869.083333,0.083333,1,1,1,0.000000,0.000000,0.000000,0.000000,0.000000,2.534648,56.187296,0.804053,0.000000,1.530911,-1.525618,1.134701,-0.575255,1.489302,-38.999005,-38.999005,0.000000,0.000000,0.000000,285.104402,230.649466,257.529143,0.000000,-38.748043,0.156401,0.094561,0.842432,0.285724,0.040000,0.266800,-0.727159,0.000000,-1.588806,-0.861648,0.000000,1.768915,0.600428,-0.145203,0.000000,0.000136,0.000000,0.000000,0.000000,0.004316,0.004879,0.004023,0.004023,6595.341950,-134651165755812216832.000000,0.758049,95.817339,0.000000,326.269198,0.000000,0.000000,0.000000,0.000000,-9999.000000,-9999.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,50000.000000,0.000000,50000.000000,50000.000000
01/01/2012 03:00,734869.125000,0.125000,1,1,1,0.000000,0.000000,0.000000,0.000000,0.000000,1.274277,115.105702,0.849424,0.000000,0.381987,-1.851203,0.007819,-1.981218,0.348340,-38.308235,-38.308235,0.000000,0.000000,0.000000,280.259713,226.706392,253.155867,0.000000,-38.655635,-0.390092,0.042693,0.842432,0.285724,0.040000,0.266800,-0.160075,0.000000,-1.165847,-0.979301,-0.026471,-1.712981,0.271054,-0.142659,0.000000,0.000061,0.000000,0.000000,0.000000,0.003883,0.004493,0.003920,0.003919,315.380913,-168162198376591785984.000000,0.381104,95.817339,0.000000,320.752419,0.000000,0.000000,0.000000,0.000000,-9999.000000,-9999.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,50000.000000,0.000000,50000.000000,50000.000000
01/01/2012 04:00,734869.166667,0.166667,1,1,1,0.000000,0.000000,0.000000,0.000000,0.000000,2.409854,36.782459,0.871374,0.000000,0.415553,-1.471775,-0.486666,-2.300996,0.394963,-34.010209,-34.010209,0.000000,0.000000,0.000000,280.594321,227.298745,253.419656,0.000000,-35.756595,-1.394124,-0.352263,0.842432,0.285724,0.040000,0.266800,-0.055988,0.000000,-1.339554,-1.133805,-0.149761,-6.871949,-1.972400,-0.369552,-0.000000,-0.000447,0.000000,0.000000,0.000000,0.003792,0.004334,0.004031,0.004030,1860.363073,310713220184428904448.000000,0.720727,95.817339,0.000000,318.123880,0.000000,0.000000,0.000000,0.000000,-9999.000000,-9999.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,50000.000000,8.105971,50000.000000,50000.000000
01/01/2012 05:00,734869.208333,0.208333,1,1,1,0.000000,0.000000,0.000000,0.000000,0.000000,3.048028,41.817000,0.912489,0.000000,0.934159,-0.329872,-0.707562,-2.173253,0.915508,-27.763607,-27.763607,0.000000,0.000000,0.000000,283.278433,230.370966,255.736470,0.000000,-31.546284,-2.955178,-0.827499,0.842432,0.285724,0.040000,0.266800,0.045215,0.000000,-1.599296,-1.297182,-0.347330,-15.120261,-4.633454,-0.679821,-0.000000,-0.001051,0.000000,0.000000,0.000000,0.003828,0.004264,0.004384,0.004380,3341.985490,168819287152396599296.000000,0.911589,95.817339,0.000000,316.683790,0.000000,0.000000,0.000000,0.000000,-9999.000000,-9999.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,50000.000000,17.959731,50000.000000,50000.000000
01/01/2012 06:00,734869.250000,0.250000,1,1,1,0.000000,0.000000,0.000000,0.000000,0.000000,1.841986,47.860424,0.882313,0.000000,1.402733,-0.328820,-0.890651,-2.101000,1.368070,-24.675291,-24.675291,0.000000,0.000000,0.000000,285.149024,231.775671,257.439121,0.000000,-28.461767,-3.009029,-0.777448,0.842432,0.285724,0.040000,0.266800,0.021214,0.000000,-1.767363,-1.455505,-0.333072,-14.041073,-4.353204,-0.945595,-0.000000,-0.000987,0.000000,0.000000,0.000000,0.003848,0.004207,0.004384,0.004379,654.890828,23567540482573299712.000000,0.550892,95.817339,0.000000,315.532959,0.000000,0.000000,0.000000,0.000000,-9999.000000,-9999.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,50000.000000,18.762702,50000.000000,50000.000000
01/01/2012 07:00,734869.291667,0.291667,1,1,1,0.000000,0.000000,0.000000,0.000000,0.000000,2.189750,108.106037,0.833958,0.000000,1.575078,-0.931443,-1.026121,-2.164242,1.543911,-22.820194,-22.820194,0.000000,0.000000,0.000000,285.504886,231.477235,257.830663,0.000000,-27.374381,-3.791856,-0.762331,0.842432,0.285724,0.040000,0.266800,-0.018714,0.000000,-1.801365,-1.555672,-0.226979,-18.312237,-4.268556,-1.075964,-0.000000,-0.000968,0.000000,0.000000,0.000000,0.003830,0.004166,0.004195,0.004192,1020.278033,33518106113808953344.000000,0.654899,95.817339,0.000000,314.787106,0.000000,0.000000,0.000000,0.000000,-9999.000000,-9999.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,50000.000000,19.036673,50000.000000,50000.000000
01/01/2012 08:00,734869.333333,0.333333,1,1,1,0.000000,0.000000,0.000000,0.000000,0.000000,1.951737,114.381155,0.735459,0.000000,3.189050,-1.078170,-0.809435,-1.576924,3.144526,-15.191522,-15.191522,0.000000,0.000000,0.000000,291.950870,236.177315,263.714729,0.000000,-21.348381,-5.418422,-0.738437,0.842432,0.285724,0.040000,0.266800,0.190948,0.000000,-1.874635,-1.972957,-0.092627,-25.566436,-4.134764,-1.649938,-0.000000,-0.000938,0.000000,0.000000,0.000000,0.004000,0.004233,0.004150,0.004149,564.595356,14040179107798147072.000000,0.583715,95.817339,0.000000,315.040114,0.000000,0.000000,0.000000,0.000000,-9999.000000,-9999.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,50000.000000,18.955164,50000.000000,50000.000000
01/01/2012 09:00,734869.375000,0.375000,1,1,1,0.000000,0.000000,0.000000,0.000000,0.000000,1.659406,103.611490,0.732826,0.000000,3.005216,-1.304492,-0.162891,0.523731,2.977995,-1.796088,-1.796088,26.532131,3.895013,22.637118,291.078541,235.314524,262.945551,17.361000,-23.469168,-3.901848,-0.410232,0.842432,0.285724,0.040000,0.266800,0.523628,6.013725,-6.424752,-1.022129,0.087474,-17.761306,-2.297033,-1.309576,-0.000000,-0.000521,0.000121,0.000000,0.000000,0.004666,0.004438,0.004081,0.004083,669.954471,10175554560493281280.000000,0.496287,95.817339,4.104979,319.817472,0.000000,0.000000,0.000000,0.000000,-9999.000000,-9999.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,50000.000000,12.168936,50000.000000,50000.000000
01/01/2012 10:00,734869.416667,0.416667,1,1,1,0.000000,0.000000,0.000000,0.000000,0.000000,1.146932,117.909110,0.671038,0.000000,4.701521,-0.877768,4.664338,14.069642,4.839858,80.986923,80.986923,201.907982,114.430897,87.477084,278.586674,241.114995,200.711604,128.587202,-47.449902,-0.086231,0.236608,0.842432,0.285724,0.040000,0.266800,3.273057,50.464361,-39.600597,3.736659,3.854049,-0.158126,1.500269,-0.072784,0.000000,0.000342,0.005390,0.000000,0.000000,0.011910,0.006276,0.004211,0.004321,-75.085064,10187920925225232384.000000,0.350283,95.817339,30.808006,356.610098,0.000000,0.000000,0.000000,0.000000,-9999.000000,-9999.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,50000.000000,0.000000,50000.000000,50000.000000
01/01/2012 11:00,734869.458333,0.458333,1,1,1,0.000000,0.000000,0.000000,0.000000,0.000000,0.719642,182.689345,0.592060,0.000000,6.763281,-0.636219,12.553854,23.057322,7.076240,178.293646,178.293646,424.010466,322.351073,101.659393,253.677021,247.934988,91.859299,294.816312,-111.066478,4.760156,0.696031,0.842432,0.285724,0.040000,0.266800,3.185058,78.874489,-61.249627,6.345248,8.094556,18.378231,4.408127,2.213032,0.000000,0.001012,0.011348,0.000000,0.000000,0.021001,0.010797,0.004287,0.004596,-13.723738,-3150300690908329984.000000,0.232577,95.817339,62.747791,410.491955,0.000000,0.000000,0.000000,0.000000,-9999.000000,-9999.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,50000.000000,0.000000,50000.000000,50000.000000
