Date12[DDMMYYYYhhmm],JulianDayFromYear0[days],TimeFromStart[days],Simulation_Period,Run,IDpoint,10.000000 ,50.000000 ,200.000000 ,560.000000 ,1400.000000 ,3500.000000 ,7500.000000 ,16000.000000 ,36000.000000  
01/01/2012 00:00,734869.000000,0.000000,0,1,1,-4446.122556,-4410.482295,-4276.831316,-3956.068967,-3207.623487,-1336.509786,2227.516310,9801.071766,27621.202250 
01/01/2012 01:00,734869.041667,0.041667,1,1,1,-4432.151252,-4415.317391,-4277.436897,-3956.068967,-3207.623487,-1336.509865,-19.931854,-2.779399,-1.283109 
01/01/2012 02:00,734869.083333,0.083333,1,1,1,-4414.936456,-4422.552324,-4278.478106,-3956.068968,-3207.623487,-1336.509944,-26.804893,-10.005015,-1.565440 
01/01/2012 03:00,734869.125000,0.125000,1,1,1,-4386.492769,-4429.137353,-4279.809145,-3956.068968,-3207.623487,-1336.510022,-30.943667,-15.782991,-1.599087 
01/01/2012 04:00,734869.166667,0.166667,1,1,1,-21741.269333,-4458.537182,-4282.703524,-3956.068969,-3207.623487,-1336.510102,-34.050308,-20.578918,-3.186890 
01/01/2012 05:00,734869.208333,0.208333,1,1,1,-45751.343513,-4510.567312,-4287.025609,-3956.068970,-3207.623487,-1336.510181,-36.585449,-23.640167,-5.199574 
01/01/2012 06:00,734869.250000,0.250000,1,1,1,-58779.574840,-4562.592583,-4291.379999,-3956.068971,-3207.623487,-1336.510260,-38.750069,-25.950563,-6.738923 
01/01/2012 07:00,734869.291667,0.291667,1,1,1,-67356.324298,-4614.217512,-4295.713829,-3956.068974,-3207.623487,-1336.510339,-40.652001,-27.842482,-7.995110 
01/01/2012 08:00,734869.333333,0.333333,1,1,1,-53267.424057,-4665.738569,-4300.002697,-3956.068976,-3207.623487,-1336.510419,-42.356515,-29.462524,-9.063794 
01/01/2012 09:00,734869.375000,0.375000,1,1,1,-3756.122581,-4694.304392,-4303.620276,-3956.068980,-3207.623487,-1336.510498,-43.906424,-30.889526,-9.998420 
01/01/2012 10:00,734869.416667,0.416667,1,1,1,-3276.470330,-4727.943391,-4332.702128,-3956.068986,-3207.623487,-1336.510578,-45.331482,-32.171239,-10.831967 
01/01/2012 11:00,734869.458333,0.458333,1,1,1,-3556.244690,-4795.801393,-4392.701750,-3956.068998,-3207.623487,-1336.510657,-46.653288,-33.338991,-11.586300 
