Date12[DDMMYYYYhhmm],JulianDayFromYear0[days],TimeFromStart[days],Simulation_Period,Run,IDpoint,10.000000 ,50.000000 ,200.000000 ,560.000000 ,1400.000000 ,3500.000000 ,7500.000000 ,16000.000000 ,36000.000000  
01/01/2012 00:00,734869.000000,0.000000,0,1,1,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000 
01/01/2012 01:00,734869.041667,0.041667,1,1,1,2.894492,3.671730,3.991750,3.999961,4.000000,4.000000,4.000000,4.000000,4.000000 
01/01/2012 02:00,734869.083333,0.083333,1,1,1,1.615210,2.936216,3.952564,3.999628,4.000000,4.000000,4.000000,4.000000,4.000000 
01/01/2012 03:00,734869.125000,0.125000,1,1,1,0.479838,2.026584,3.870753,3.998565,3.999998,4.000000,4.000000,4.000000,4.000000 
01/01/2012 04:00,734869.166667,0.166667,1,1,1,-0.068186,1.319907,3.753725,3.996343,3.999992,4.000000,4.000000,4.000000,4.000000 
01/01/2012 05:00,734869.208333,0.208333,1,1,1,-0.366610,0.856811,3.616939,3.992694,3.999981,4.000000,4.000000,4.000000,4.000000 
01/01/2012 06:00,734869.250000,0.250000,1,1,1,-0.587792,0.535099,3.470984,3.987500,3.999961,4.000000,4.000000,4.000000,4.000000 
01/01/2012 07:00,734869.291667,0.291667,1,1,1,-0.746157,0.305280,3.322123,3.980729,3.999929,4.000000,4.000000,4.000000,4.000000 
01/01/2012 08:00,734869.333333,0.333333,1,1,1,-0.623135,0.204821,3.175896,3.972411,3.999882,4.000000,4.000000,4.000000,4.000000 
01/01/2012 09:00,734869.375000,0.375000,1,1,1,-0.140845,0.326348,3.042012,3.962664,3.999817,4.000000,4.000000,4.000000,4.000000 
01/01/2012 10:00,734869.416667,0.416667,1,1,1,3.667351,1.606663,2.955258,3.951842,3.999733,4.000000,4.000000,4.000000,4.000000 
01/01/2012 11:00,734869.458333,0.458333,1,1,1,10.358651,4.849559,3.003853,3.941086,3.999627,4.000000,4.000000,4.000000,4.000000 
01/01/2012 12:00,734869.500000,0.500000,1,1,1,17.821526,9.707662,3.274636,3.932551,3.999503,4.000000,4.000000,4.000000,4.000000 
01/01/2012 13:00,734869.541667,0.541667,1,1,1,20.205431,13.770014,3.765137,3.928799,3.999369,3.999999,4.000000,4.000000,4.000000 
01/01/2012 14:00,734869.583333,0.583333,1,1,1,17.572221,14.843183,4.334658,3.931306,3.999235,3.999999,4.000000,4.000000,4.000000 
01/01/2012 15:00,734869.625000,0.625000,1,1,1,16.005601,14.252952,4.852249,3.939846,3.999113,3.999999,4.000000,4.000000,4.000000 
01/01/2012 16:00,734869.666667,0.666667,1,1,1,12.869437,13.033372,5.285616,3.953484,3.999015,3.999999,4.000000,4.000000,4.000000 
01/01/2012 17:00,734869.708333,0.708333,1,1,1,8.215387,10.476027,5.579031,3.970828,3.998948,3.999998,4.000000,4.000000,4.000000 
01/01/2012 18:00,734869.750000,0.750000,1,1,1,5.158140,7.727207,5.706376,3.990006,3.998918,3.999998,4.000000,4.000000,4.000000 
01/01/2012 19:00,734869.791667,0.791667,1,1,1,3.301604,5.617650,5.702700,4.009344,3.998925,3.999998,4.000000,4.000000,4.000000 
01/01/2012 20:00,734869.833333,0.833333,1,1,1,2.044057,4.090902,5.609988,4.027674,3.998968,3.999997,4.000000,4.000000,4.000000 
01/01/2012 21:00,734869.875000,0.875000,1,1,1,1.150973,2.995003,5.460072,4.044248,3.999045,3.999997,4.000000,4.000000,4.000000 
01/01/2012 22:00,734869.916667,0.916667,1,1,1,0.437953,2.175997,5.274329,4.058612,3.999151,3.999997,4.000000,4.000000,4.000000 
01/01/2012 23:00,734869.958333,0.958333,1,1,1,-0.005475,1.566898,5.066848,4.070503,3.999281,3.999997,4.000000,4.000000,4.000000 
02/01/2012 00:00,734870.000000,1.000000,1,1,1,-0.328574,1.140972,4.849746,4.079804,3.999431,3.999996,4.000000,4.000000,4.000000 
02/01/2012 01:00,734870.041667,1.041667,1,1,1,-0.666923,0.776930,4.628891,4.086495,3.999596,3.999996,4.000000,4.000000,4.000000 
02/01/2012 02:00,734870.083333,1.083333,1,1,1,-0.900956,0.478027,4.407571,4.090600,3.999770,3.999996,4.000000,4.000000,4.000000 
02/01/2012 03:00,734870.125000,1.125000,1,1,1,-1.050672,0.248082,4.189333,4.092180,3.999948,3.999996,4.000000,4.000000,4.000000 
02/01/2012 04:00,734870.166667,1.166667,1,1,1,-1.323942,0.028295,3.975919,4.091325,4.000126,3.999996,4.000000,4.000000,4.000000 
02/01/2012 05:00,734870.208333,1.208333,1,1,1,-1.388888,-0.091932,3.769198,4.088136,4.000299,3.999996,4.000000,4.000000,4.000000 
02/01/2012 06:00,734870.250000,1.250000,1,1,1,-1.434970,-0.205897,3.572175,4.082753,4.000462,3.999996,4.000000,4.000000,4.000000 
02/01/2012 07:00,734870.291667,1.291667,1,1,1,-1.416256,-0.314317,3.383240,4.075306,4.000612,3.999996,4.000000,4.000000,4.000000 
02/01/2012 08:00,734870.333333,1.333333,1,1,1,-1.255371,-0.335868,3.205028,4.065934,4.000745,3.999997,4.000000,4.000000,4.000000 
02/01/2012 09:00,734870.375000,1.375000,1,1,1,-0.800651,-0.213901,3.043031,4.054824,4.000858,3.999997,4.000000,4.000000,4.000000 
02/01/2012 10:00,734870.416667,1.416667,1,1,1,-0.117231,0.028144,2.903050,4.042228,4.000946,3.999997,4.000000,4.000000,4.000000 
02/01/2012 11:00,734870.458333,1.458333,1,1,1,0.873774,0.685810,2.777242,4.024855,4.001018,3.999998,4.000000,4.000000,4.000000 
