Date12[DDMMYYYYhhmm],JulianDayFromYear0[days],TimeFromStart[days],Simulation_Period,Run,IDpoint,10.000000 ,50.000000 ,200.000000 ,560.000000 ,1400.000000 ,3500.000000 ,7500.000000 ,16000.000000 ,36000.000000  
01/01/2012 00:00,734869.000000,0.000000,0,1,1,0.055684,0.055698,0.055750,0.055892,0.056335,0.059710,0.416544,0.416544,0.416544 
01/01/2012 01:00,734869.041667,0.041667,1,1,1,0.055689,0.055696,0.055750,0.055892,0.056335,0.059710,0.336845,0.414512,0.416124 
01/01/2012 02:00,734869.083333,0.083333,1,1,1,0.055696,0.055693,0.055750,0.055892,0.056335,0.059710,0.299322,0.391187,0.415913 
01/01/2012 03:00,734869.125000,0.125000,1,1,1,0.055707,0.055690,0.055749,0.055892,0.056335,0.059710,0.279160,0.360642,0.415885 
01/01/2012 04:00,734869.166667,0.166667,1,1,1,0.054391,0.055679,0.055748,0.055892,0.056335,0.059710,0.265407,0.333156,0.413861 
01/01/2012 05:00,734869.208333,0.208333,1,1,1,0.054227,0.055660,0.055746,0.055892,0.056335,0.059710,0.255047,0.316073,0.409367 
01/01/2012 06:00,734869.250000,0.250000,1,1,1,0.054195,0.055641,0.055744,0.055892,0.056335,0.059710,0.246787,0.303737,0.404581 
01/01/2012 07:00,734869.291667,0.291667,1,1,1,0.054181,0.055623,0.055743,0.055892,0.056335,0.059710,0.239954,0.294073,0.399903 
01/01/2012 08:00,734869.333333,0.333333,1,1,1,0.054207,0.055605,0.055741,0.055892,0.056335,0.059710,0.234150,0.286136,0.395440 
01/01/2012 09:00,734869.375000,0.375000,1,1,1,0.055992,0.055596,0.055739,0.055892,0.056335,0.059710,0.229122,0.279411,0.391218 
01/01/2012 10:00,734869.416667,0.416667,1,1,1,0.056286,0.055585,0.055728,0.055892,0.056335,0.059710,0.224698,0.273584,0.387231 
01/01/2012 11:00,734869.458333,0.458333,1,1,1,0.056105,0.055562,0.055704,0.055892,0.056335,0.059710,0.220758,0.268452,0.383466 
01/01/2012 12:00,734869.500000,0.500000,1,1,1,0.055770,0.055538,0.055673,0.055892,0.056335,0.059710,0.217213,0.263871,0.379906 
01/01/2012 13:00,734869.541667,0.541667,1,1,1,0.055473,0.055497,0.055640,0.055892,0.056335,0.059710,0.213996,0.259740,0.376533 
01/01/2012 14:00,734869.583333,0.583333,1,1,1,0.055327,0.055452,0.055618,0.055892,0.056335,0.059710,0.211056,0.255983,0.373333 
01/01/2012 15:00,734869.625000,0.625000,1,1,1,0.055231,0.055400,0.055594,0.055892,0.056335,0.059710,0.208352,0.252540,0.370290 
01/01/2012 16:00,734869.666667,0.666667,1,1,1,0.055204,0.055363,0.055580,0.055892,0.056335,0.059710,0.205853,0.249365,0.367390 
01/01/2012 17:00,734869.708333,0.708333,1,1,1,0.055230,0.055350,0.055579,0.055892,0.056335,0.059710,0.203531,0.246423,0.364623 
01/01/2012 18:00,734869.750000,0.750000,1,1,1,0.055262,0.055343,0.055578,0.055892,0.056335,0.059710,0.201365,0.243683,0.361978 
01/01/2012 19:00,734869.791667,0.791667,1,1,1,0.055297,0.055339,0.055577,0.055892,0.056335,0.059710,0.199337,0.241121,0.359445 
01/01/2012 20:00,734869.833333,0.833333,1,1,1,0.055334,0.055337,0.055576,0.055892,0.056335,0.059710,0.197433,0.238718,0.357015 
01/01/2012 21:00,734869.875000,0.875000,1,1,1,0.055368,0.055337,0.055575,0.055892,0.056335,0.059710,0.195638,0.236454,0.354682 
01/01/2012 22:00,734869.916667,0.916667,1,1,1,0.055398,0.055337,0.055575,0.055892,0.056335,0.059710,0.193942,0.234318,0.352438 
