AngleFromNorthClockwise,HorizonHeight
0,3.32347424869446
2.5,3.25856942426201
5,3.88355332346984
7.5,4.0159952016013
10,5.01445592608895
12.5,5.27776712790528
15,5.66990351228559
17.5,6.29257674018608
20,6.50178386153071
22.5,6.54443436919172
25,7.39366125938435
27.5,8.16345777813526
30,9.30709029889851
32.5,9.56576739912294
35,9.19586673635839
37.5,8.84930758010107
40,8.2163080686585
42.5,6.91287657246293
45,6.79488084480707
47.5,7.87650098670851
50,8.27171577912961
52.5,8.16711647699881
55,7.9603111567323
57.5,8.38324178429079
60,8.5152533183319
62.5,8.63956434082378
65,8.56694016734986
67.5,9.00848284273538
70,9.09445117245643
72.5,8.97298961255493
75,8.91314496244139
77.5,8.88807758621916
80,8.57720271996483
82.5,8.58927446082645
85,8.36274743861589
87.5,8.3392521683256
90,7.87388257601338
92.5,7.72825990198008
95,8.68679453062936
97.5,7.98236659917626
100,7.8604341029729
102.5,8.37940285480844
105,10.6807304487201
107.5,12.2828167741587
110,12.0171008064788
112.5,12.0454891095524
115,12.0612443026505
117.5,12.1059061335082
120,12.2278856368004
122.5,11.8938339938164
125,11.5176917194025
127.5,11.1656440462271
130,10.5832323324329
132.5,9.75442449419277
135,9.53239880786156
137.5,9.26034886336961
140,9.1385042713157
142.5,10.1607905594144
145,11.0123153774826
147.5,11.0223950976393
150,10.8033340529149
152.5,10.8111961562272
155,10.7055067337258
157.5,10.4427159370847
160,10.474275447781
162.5,10.419804274188
165,10.8319906107235
167.5,11.2817552886378
170,10.8512000925415
172.5,10.2487747351699
175,9.50338595384466
177.5,8.6418284834371
180,8.56325090234992
182.5,8.08462444577381
185,5.81414754262662
187.5,5.00119438457028
190,4.32939282714574
192.5,3.80095234515373
195,3.29529333286755
197.5,2.94329607077835
200,2.85992465511018
202.5,3.31051275915648
205,2.51106954784548
207.5,4.67509677511001
210,4.90271225886729
212.5,4.84037212387386
215,6.03391814205255
217.5,5.83742751831413
220,5.57701774056978
222.5,6.25499735659519
225,6.16485912532279
227.5,7.12514372576194
230,9.26658061378282
232.5,9.64515051296184
235,10.0911631967619
237.5,11.1150918914505
240,12.3332109113927
242.5,12.8251437218965
245,14.2583844358144
247.5,15.4547451727537
250,16.0611509351259
252.5,16.8317039376185
255,17.8046253574636
257.5,18.3886383617061
260,18.5617745341659
262.5,18.4557103483012
265,18.3257663493711
267.5,19.1401741645684
270,18.7196452645991
272.5,18.2940563100166
275,17.7908833768216
277.5,17.870374184994
280,17.8520269581886
282.5,17.6449875228983
285,17.4311439665006
287.5,16.8783150220342
290,17.6600273316124
292.5,17.9480178237366
295,17.4474844477158
297.5,16.0581550395404
300,14.9543366395375
302.5,14.2635536029935
305,15.1529645936981
307.5,13.7917614748001
310,12.8914462859581
312.5,13.1544718388099
315,12.1778507913184
317.5,11.9735568506636
320,11.1151170294623
322.5,10.4935078730754
325,9.86795983252038
327.5,8.76220782755654
330,8.12685384879744
332.5,8.33449418084938
335,8.23992455463315
337.5,8.07890509641032
340,5.96215898425296
342.5,6.0146912264917
345,3.84099816408163
347.5,3.8578624852172
350,2.42951311745701
352.5,2.41477619315442
355,2.71292280612948
357.5,3.41568402240349
