GoF  SOIL__N  SOIL__LOG10_Alpha  SOIL__ThetaSat  SOIL__ThetaRes  SOIL__LOG10_NormalHydrConductivity  SCALAR__SoilRoughness  SCALAR__LSAI  SCALAR__CanopyFraction  SCALAR__DecayCoeffCanopy  SCALAR__RootDepth  SCALAR__MinStomatalRes  SCALAR__VegReflectVis  SCALAR__VegReflNIR  SCALAR__VegTransVis  SCALAR__VegTransNIR  SCALAR__CanDensSurface  SCALAR__SoilAlbVisDry  SCALAR__SoilAlbNIRDry  SCALAR__SoilAlbVisWet  SCALAR__SoilAlbNIRWet  SCALAR__SoilEmissiv
 5.142314e+02   1.196276e+00  -2.727649e+00   4.239985e-01   6.342076e-02  -1.947795e+00   1.341242e+02   2.086823e-01   8.324907e-01   5.887112e+00   4.563158e+02   1.478868e+01   1.248416e-01   1.981306e-01   1.020712e-01   1.007873e-01   3.919727e+00   1.412865e-01   1.300096e-01   9.821595e-02   5.000000e-02   8.421003e-01
 5.200742e+02   1.221075e+00  -2.863581e+00   4.891847e-01   5.894736e-02  -2.121024e+00   6.988680e+01   1.020832e-01   7.687541e-01   3.354043e+00   4.257323e+02   2.901520e+01   1.841776e-01   8.363780e-02   1.159056e-01   1.028067e-01   2.318242e+00   1.421374e-01   1.306257e-01   1.430827e-01   1.992477e-01   8.585913e-01
 5.171525e+02   1.166482e+00  -2.725539e+00   4.976553e-01   5.196495e-02  -2.194358e+00   2.668545e+01   1.185266e-01   8.287915e-01   3.329042e+00   3.624726e+02   3.624045e+01   1.761483e-01   1.657012e-01   1.175187e-01   1.432503e-01   3.964573e+00   1.503218e-01   1.328293e-01   1.625346e-01   2.004738e-01   8.206978e-01
 5.162741e+02   1.208409e+00  -2.789408e+00   4.272034e-01   6.131786e-02  -1.906427e+00   9.440958e+01   2.782692e-01   8.137872e-01   5.483992e+00   3.456430e+02   1.507609e+01   1.609709e-01   1.183684e-01   1.193248e-01   9.800729e-02   3.646258e+00   1.197517e-01   1.512991e-01   9.179349e-02   1.370748e-01   8.171210e-01
 5.152921e+02   1.190105e+00  -2.837436e+00   4.478888e-01   6.354425e-02  -1.846021e+00   1.642158e+02   2.825559e-01   7.917245e-01   7.209776e+00   4.399897e+02   1.246706e+01   1.184875e-01   1.722672e-01   8.565539e-02   1.357798e-01   4.385637e+00   1.292016e-01   1.166545e-01   5.420398e-02   9.800662e-02   8.626102e-01
 5.207256e+02   1.234499e+00  -2.765190e+00   4.525911e-01   5.921357e-02  -2.484195e+00   9.755327e+01   2.078078e-01   7.830710e-01   4.194129e+00   1.861233e+02   3.714330e+01   1.545260e-01   5.000000e-02   1.072280e-01   5.000000e-02   4.245950e+00   1.188653e-01   2.054538e-01   1.555099e-01   2.454639e-01   8.117302e-01
 5.192078e+02   1.214310e+00  -2.786334e+00   5.454908e-01   6.315091e-02  -2.064133e+00   7.405990e+01   2.827194e-01   9.365701e-01   5.825041e+00   4.945656e+02   1.019175e+01   1.445480e-01   1.684068e-01   1.166163e-01   1.883195e-01   3.473603e+00   1.705170e-01   1.169495e-01   1.138885e-01   1.917180e-01   8.481867e-01
 5.192578e+02   1.150000e+00  -3.162983e+00   4.996619e-01   5.614151e-02  -2.539563e+00   1.664984e+02   1.555053e-01   7.139740e-01   6.815844e+00   1.394892e+02   3.058547e+01   1.330964e-01   7.190754e-02   1.149364e-01   1.062426e-01   3.862277e+00   2.093802e-01   7.601795e-02   1.205141e-01   2.890333e-01   8.405697e-01
 5.248858e+02   1.210803e+00  -2.704832e+00   4.623606e-01   5.819717e-02  -2.344418e+00   1.000000e+01   8.199814e-02   9.059860e-01   1.246234e+01   3.508777e+02   3.229300e+01   1.489936e-01   7.184094e-02   9.538252e-02   1.378405e-01   3.478881e+00   8.873637e-02   2.098739e-01   9.457119e-02   1.988938e-01   8.064847e-01
 5.246448e+02   1.194508e+00  -2.563506e+00   5.281237e-01   6.885639e-02  -1.682749e+00   1.640060e+01   6.736165e-01   5.554628e-01   0.000000e+00   5.003206e+02   2.862743e+01   1.746508e-01   1.997969e-01   8.880387e-02   3.455710e-01   2.931553e+00   2.240970e-01   9.749082e-02   1.015189e-01   2.044784e-01   8.357174e-01
