Iter  Part1  Part2  Part3  Part4  Part5  Part6  Part7  Part8  Part9  Part10  Part11  Part12  Part13  Part14  Part15  Part16  Part17  Part18  Part19  Part20  Part21  Part22  Part23  Part24  Part25  Part26  Part27  Part28  Part29  Part30  Part31  Part32  Part33  Part34  Part35  Part36  Part37  Part38  Part39  Part40  Part41  Part42  Part43  Part44  Part45  Part46  Part47  Part48  Part49  Part50  Part51  Part52  Part53  Part54  Part55  Part56  Part57  Part58  Part59  Part60  Part61  Part62  Part63  Part64  Part65  Part66  Part67  Part68  Part69  Part70  Part71  Part72  Part73  Part74  Part75  Part76  Part77  Part78  Part79  Part80  Part81  Part82  Part83  Part84  Part85  Part86  Part87  Part88  Part89  Part90  Part91  Part92  Part93  Part94  Part95  Part96  Part97  Part98  Part99  Part100  Part101  Part102  Part103  Part104  Part105  Part106  Part107  Part108  Part109  Part110  Part111  Part112  Part113  Part114  Part115  Part116  Part117  Part118  Part119  Part120  Part121  Part122  Part123  Part124  Part125  Part126  Part127  
1   5.3501102E+02   5.3685052E+02   5.4814770E+02   5.3501102E+02   5.3685052E+02   5.4712175E+02   5.3654260E+02   5.3945644E+02   5.3501102E+02   5.3805006E+02   5.3501102E+02   5.4570008E+02   5.3501102E+02   5.3685052E+02   5.3805006E+02   5.3654260E+02   5.3501102E+02   5.3501102E+02   5.4110843E+02   5.3501102E+02   5.3805006E+02   5.3501102E+02   5.3848634E+02   5.3805006E+02   5.3654260E+02   5.3848634E+02   5.3805006E+02   5.3805006E+02   5.4712175E+02   5.3685052E+02   5.3501102E+02   5.3762258E+02   5.4110843E+02   5.3805006E+02   5.3848634E+02   5.3685052E+02   5.4381168E+02   5.4218716E+02   5.3654260E+02   5.3762258E+02   5.3501102E+02   5.3848634E+02   5.3501102E+02   5.3654260E+02   5.3848634E+02   5.4110843E+02   5.3685052E+02   5.4110843E+02   5.3501102E+02   5.3685052E+02   5.3848634E+02   5.4963217E+02   5.3848634E+02   5.3654260E+02   5.3762258E+02   5.4381168E+02   5.3501102E+02   5.4429847E+02   5.3501102E+02   5.4712175E+02   5.3685052E+02   5.3501102E+02   5.3805006E+02   5.4110843E+02   5.3501102E+02   5.3501102E+02   5.4570008E+02   5.3685052E+02   5.3501102E+02   5.3848634E+02   5.3762258E+02   5.3654260E+02   5.3762258E+02   5.3654260E+02   5.4429847E+02   5.3848634E+02   5.3685052E+02   5.3654260E+02   5.3848634E+02   5.4570008E+02   5.3685052E+02   5.3654260E+02   5.3762258E+02   5.3654260E+02   5.3805006E+02   5.3848634E+02   5.3848634E+02   5.4186753E+02   5.3654260E+02   5.3805006E+02   5.4429847E+02   5.3654260E+02   5.3848634E+02   5.3501102E+02   5.3762258E+02   5.3848634E+02   5.4218716E+02   5.3654260E+02   5.3501102E+02   5.3501102E+02   5.4110843E+02   5.3848634E+02   5.4963217E+02   5.3501102E+02   5.3654260E+02   5.3501102E+02   5.3501102E+02   5.3654260E+02   5.3501102E+02   5.3685052E+02   5.3685052E+02   5.3501102E+02   5.3501102E+02   5.3501102E+02   5.3654260E+02   5.3654260E+02   5.3685052E+02   5.3654260E+02   5.4186753E+02   5.3685052E+02   5.3762258E+02   5.4570008E+02   5.3654260E+02   5.3685052E+02   5.3805006E+02   5.3805006E+02   5.3762258E+02  
2   5.3501102E+02   5.3638962E+02   5.4276902E+02   5.2676622E+02   5.3685052E+02   5.4109444E+02   5.2676622E+02   5.3945644E+02   5.2676622E+02   5.3297561E+02   5.3297561E+02   5.2676622E+02   5.3297561E+02   5.3685052E+02   5.3297561E+02   5.3654260E+02   5.3501102E+02   5.2676622E+02   5.2676622E+02   5.3501102E+02   5.3805006E+02   5.2676622E+02   5.3848634E+02   5.2676622E+02   5.3297561E+02   5.3297561E+02   5.3297561E+02   5.2676622E+02   5.3638962E+02   5.3297561E+02   5.3501102E+02   5.3297561E+02   5.2676622E+02   5.3297561E+02   5.2676622E+02   5.3297561E+02   5.4000915E+02   5.4218716E+02   5.3654260E+02   5.3297561E+02   5.3501102E+02   5.3638962E+02   5.3501102E+02   5.3297561E+02   5.3848634E+02   5.2676622E+02   5.3638962E+02   5.3820112E+02   5.3501102E+02   5.3685052E+02   5.3297561E+02   5.4301198E+02   5.3848634E+02   5.3654260E+02   5.2676622E+02   5.4109444E+02   5.2676622E+02   5.2676622E+02   5.3501102E+02   5.3297561E+02   5.3638962E+02   5.3501102E+02   5.3805006E+02   5.4000915E+02   5.3501102E+02   5.3501102E+02   5.4000915E+02   5.3685052E+02   5.3501102E+02   5.3297561E+02   5.3762258E+02   5.2676622E+02   5.3762258E+02   5.3654260E+02   5.3820112E+02   5.3297561E+02   5.2676622E+02   5.3638962E+02   5.2676622E+02   5.3820112E+02   5.2676622E+02   5.3654260E+02   5.3762258E+02   5.3654260E+02   5.3805006E+02   5.3297561E+02   5.3638962E+02   5.3297561E+02   5.3654260E+02   5.3638962E+02   5.2676622E+02   5.2676622E+02   5.3638962E+02   5.2676622E+02   5.3762258E+02   5.2676622E+02   5.3638962E+02   5.2676622E+02   5.3297561E+02   5.3501102E+02   5.4000915E+02   5.3638962E+02   5.3638962E+02   5.3501102E+02   5.3654260E+02   5.2676622E+02   5.2676622E+02   5.2676622E+02   5.3501102E+02   5.3685052E+02   5.2676622E+02   5.3297561E+02   5.3501102E+02   5.2676622E+02   5.3654260E+02   5.3654260E+02   5.2676622E+02   5.3638962E+02   5.4109444E+02   5.3638962E+02   5.3762258E+02   5.3638962E+02   5.3638962E+02   5.3685052E+02   5.3297561E+02   5.3638962E+02   5.3297561E+02  
3   5.3501102E+02   5.3638962E+02   5.3653901E+02   5.1814004E+02   5.1814004E+02   5.3805583E+02   5.2676622E+02   5.3852530E+02   5.2676622E+02   5.3297561E+02   5.3297561E+02   5.2676622E+02   5.3297561E+02   5.1814004E+02   5.1814004E+02   5.1814004E+02   5.1814004E+02   5.1814004E+02   5.1814004E+02   5.3501102E+02   5.1814004E+02   5.2676622E+02   5.3848634E+02   5.2676622E+02   5.3297561E+02   5.3297561E+02   5.3297561E+02   5.2676622E+02   5.3638962E+02   5.3297561E+02   5.3501102E+02   5.3297561E+02   5.2676622E+02   5.3297561E+02   5.2676622E+02   5.3297561E+02   5.4000915E+02   5.3805583E+02   5.3653901E+02   5.3297561E+02   5.3501102E+02   5.3638962E+02   5.3501102E+02   5.3297561E+02   5.3848634E+02   5.2676622E+02   5.3638962E+02   5.3805583E+02   5.3501102E+02   5.3685052E+02   5.1814004E+02   5.3653901E+02   5.3817633E+02   5.1814004E+02   5.2676622E+02   5.4022775E+02   5.2676622E+02   5.2676622E+02   5.3501102E+02   5.1814004E+02   5.3638962E+02   5.3501102E+02   5.3805006E+02   5.3653901E+02   5.3501102E+02   5.3501102E+02   5.4000915E+02   5.3685052E+02   5.3501102E+02   5.3297561E+02   5.3762258E+02   5.2676622E+02   5.3762258E+02   5.1814004E+02   5.3653901E+02   5.1814004E+02   5.2676622E+02   5.3638962E+02   5.2676622E+02   5.3820112E+02   5.2676622E+02   5.3653901E+02   5.1814004E+02   5.3654260E+02   5.3653901E+02   5.1814004E+02   5.3638962E+02   5.3297561E+02   5.3654260E+02   5.3638962E+02   5.2676622E+02   5.2676622E+02   5.3638962E+02   5.2676622E+02   5.3762258E+02   5.2676622E+02   5.3638962E+02   5.2676622E+02   5.3297561E+02   5.3501102E+02   5.3653901E+02   5.3638962E+02   5.1814004E+02   5.3501102E+02   5.3653901E+02   5.1814004E+02   5.2676622E+02   5.1814004E+02   5.3501102E+02   5.1814004E+02   5.2676622E+02   5.3297561E+02   5.3501102E+02   5.2676622E+02   5.3654260E+02   5.3654260E+02   5.2676622E+02   5.3638962E+02   5.3805583E+02   5.1814004E+02   5.3762258E+02   5.3638962E+02   5.3638962E+02   5.3685052E+02   5.3297561E+02   5.3638962E+02   5.3297561E+02  
4   5.3501102E+02   5.3328805E+02   5.3600575E+02   5.1814004E+02   5.1814004E+02   5.3437385E+02   5.2676622E+02   5.3328805E+02   5.2676622E+02   5.3297561E+02   5.3297561E+02   5.2676622E+02   5.3297561E+02   5.1814004E+02   5.1814004E+02   5.1814004E+02   5.1814004E+02   5.1814004E+02   5.1814004E+02   5.3380543E+02   5.1814004E+02   5.2676622E+02   5.3380543E+02   5.2676622E+02   5.3297561E+02   5.3297561E+02   5.3297561E+02   5.2676622E+02   5.3328805E+02   5.3297561E+02   5.3328805E+02   5.3297561E+02   5.2676622E+02   5.3297561E+02   5.2676622E+02   5.3297561E+02   5.3437385E+02   5.3380543E+02   5.3600575E+02   5.3297561E+02   5.3501102E+02   5.3328805E+02   5.3501102E+02   5.3297561E+02   5.3437385E+02   5.2676622E+02   5.3328805E+02   5.3652717E+02   5.3501102E+02   5.3380543E+02   5.1814004E+02   5.3600575E+02   5.3652717E+02   5.1814004E+02   5.2676622E+02   5.3862564E+02   5.2676622E+02   5.2676622E+02   5.3437385E+02   5.1814004E+02   5.3328805E+02   5.3501102E+02   5.3437385E+02   5.3600575E+02   5.3501102E+02   5.3501102E+02   5.4000915E+02   5.3685052E+02   5.3501102E+02   5.3297561E+02   5.3652717E+02   5.2676622E+02   5.3437385E+02   5.1814004E+02   5.3380543E+02   5.1814004E+02   5.2676622E+02   5.3380543E+02   5.2676622E+02   5.3437385E+02   5.2676622E+02   5.3600575E+02   5.1814004E+02   5.3654260E+02   5.3328805E+02   5.1814004E+02   5.3638962E+02   5.3297561E+02   5.3437385E+02   5.3328805E+02   5.2676622E+02   5.2676622E+02   5.3600575E+02   5.2676622E+02   5.3328805E+02   5.2676622E+02   5.3638962E+02   5.2676622E+02   5.3297561E+02   5.3501102E+02   5.3437385E+02   5.3638962E+02   5.1814004E+02   5.3501102E+02   5.3437385E+02   5.1814004E+02   5.2676622E+02   5.1814004E+02   5.3501102E+02   5.1814004E+02   5.2676622E+02   5.3297561E+02   5.3501102E+02   5.2676622E+02   5.3654260E+02   5.3654260E+02   5.2676622E+02   5.3380543E+02   5.3800089E+02   5.1814004E+02   5.3652717E+02   5.3638962E+02   5.3638962E+02   5.3685052E+02   5.3297561E+02   5.3638962E+02   5.3297561E+02  
5   5.3371552E+02   5.2676622E+02   5.1814004E+02   5.1814004E+02   5.1814004E+02   5.3437385E+02   5.2676622E+02   5.1814004E+02   5.2676622E+02   5.2676622E+02   5.2676622E+02   5.2676622E+02   5.3227838E+02   5.1814004E+02   5.1814004E+02   5.1814004E+02   5.1814004E+02   5.1814004E+02   5.1814004E+02   5.2676622E+02   5.1814004E+02   5.2676622E+02   5.1814004E+02   5.2676622E+02   5.1814004E+02   5.1814004E+02   5.3297561E+02   5.1814004E+02   5.3221958E+02   5.3264531E+02   5.3328805E+02   5.2676622E+02   5.2676622E+02   5.3297561E+02   5.2676622E+02   5.1814004E+02   5.3227838E+02   5.3221958E+02   5.3445125E+02   5.2676622E+02   5.2676622E+02   5.3227838E+02   5.3221958E+02   5.3297561E+02   5.3221958E+02   5.2676622E+02   5.2676622E+02   5.3065348E+02   5.1814004E+02   5.3380543E+02   5.1814004E+02   5.2676622E+02   5.3227838E+02   5.1814004E+02   5.2676622E+02   5.3227838E+02   5.2676622E+02   5.2676622E+02   5.3227838E+02   5.1814004E+02   5.3065348E+02   5.3227838E+02   5.2676622E+02   5.3227838E+02   5.2676622E+02   5.2863552E+02   5.2676622E+02   5.3501102E+02   5.3454616E+02   5.2676622E+02   5.3065348E+02   5.2676622E+02   5.3437385E+02   5.1814004E+02   5.3065348E+02   5.1814004E+02   5.2676622E+02   5.3264531E+02   5.1814004E+02   5.3264531E+02   5.2676622E+02   5.3227838E+02   5.1814004E+02   5.1814004E+02   5.3227838E+02   5.1814004E+02   5.3221958E+02   5.3065348E+02   5.1814004E+02   5.3065348E+02   5.2676622E+02   5.2676622E+02   5.1814004E+02   5.1814004E+02   5.3065348E+02   5.2676622E+02   5.3221958E+02   5.2676622E+02   5.3297561E+02   5.2676622E+02   5.1814004E+02   5.2676622E+02   5.1814004E+02   5.3221958E+02   5.3221958E+02   5.1814004E+02   5.2676622E+02   5.1814004E+02   5.2863552E+02   5.1814004E+02   5.2676622E+02   5.3065348E+02   5.1814004E+02   5.2676622E+02   5.3445125E+02   5.3065348E+02   5.2676622E+02   5.2863552E+02   5.2863552E+02   5.1814004E+02   5.3221958E+02   5.1814004E+02   5.2863552E+02   5.1814004E+02   5.3297561E+02   5.3065348E+02   5.3297561E+02  
6   5.2132918E+02   5.2676622E+02   5.1814004E+02   5.1814004E+02   5.1814004E+02   5.2676622E+02   5.2132918E+02   5.1814004E+02   5.2132918E+02   5.2676622E+02   5.2132918E+02   5.2676622E+02   5.2863552E+02   5.1814004E+02   5.1814004E+02   5.1814004E+02   5.1814004E+02   5.1814004E+02   5.1814004E+02   5.2676622E+02   5.1814004E+02   5.2132918E+02   5.1814004E+02   5.2676622E+02   5.1814004E+02   5.1814004E+02   5.3065348E+02   5.1814004E+02   5.1814004E+02   5.2132918E+02   5.2132918E+02   5.2132918E+02   5.2676622E+02   5.1814004E+02   5.1814004E+02   5.1814004E+02   5.3227838E+02   5.3221958E+02   5.2132918E+02   5.2676622E+02   5.1814004E+02   5.3227838E+02   5.3221958E+02   5.2863552E+02   5.2676622E+02   5.2676622E+02   5.2132918E+02   5.2132918E+02   5.1814004E+02   5.3380543E+02   5.1814004E+02   5.1814004E+02   5.3227838E+02   5.1814004E+02   5.2676622E+02   5.1814004E+02   5.2676622E+02   5.2676622E+02   5.2132918E+02   5.1814004E+02   5.3065348E+02   5.3065348E+02   5.1814004E+02   5.3065348E+02   5.2676622E+02   5.1814004E+02   5.2132918E+02   5.2132918E+02   5.3353763E+02   5.2676622E+02   5.3065348E+02   5.2676622E+02   5.3227838E+02   5.1814004E+02   5.2132918E+02   5.1814004E+02   5.1814004E+02   5.3065348E+02   5.1814004E+02   5.3264531E+02   5.2676622E+02   5.3227838E+02   5.1814004E+02   5.1814004E+02   5.3065348E+02   5.1814004E+02   5.1814004E+02   5.1814004E+02   5.1814004E+02   5.2676622E+02   5.2676622E+02   5.1814004E+02   5.1814004E+02   5.1814004E+02   5.2863552E+02   5.2676622E+02   5.3221958E+02   5.2676622E+02   5.3253599E+02   5.2676622E+02   5.1814004E+02   5.2676622E+02   5.1814004E+02   5.3221958E+02   5.2676622E+02   5.1814004E+02   5.1814004E+02   5.1814004E+02   5.2863552E+02   5.1814004E+02   5.2676622E+02   5.2676622E+02   5.1814004E+02   5.2132918E+02   5.2863552E+02   5.1814004E+02   5.2132918E+02   5.2863552E+02   5.2132918E+02   5.1814004E+02   5.3221958E+02   5.1814004E+02   5.1814004E+02   5.1814004E+02   5.3251380E+02   5.1814004E+02   5.3272567E+02  
7   5.2132918E+02   5.2107006E+02   5.1814004E+02   5.1814004E+02   5.1814004E+02   5.2676622E+02   5.2132918E+02   5.1814004E+02   5.1814004E+02   5.2676622E+02   5.2107006E+02   5.1814004E+02   5.2107006E+02   5.1814004E+02   5.1814004E+02   5.1814004E+02   5.1814004E+02   5.1814004E+02   5.1814004E+02   5.2676622E+02   5.1814004E+02   5.2132918E+02   5.1814004E+02   5.2132918E+02   5.1814004E+02   5.1814004E+02   5.2107006E+02   5.1814004E+02   5.1814004E+02   5.2132918E+02   5.2132918E+02   5.2132918E+02   5.2676622E+02   5.1814004E+02   5.1814004E+02   5.1814004E+02   5.2132918E+02   5.2862081E+02   5.2107006E+02   5.2676622E+02   5.1814004E+02   5.1814004E+02   5.3065348E+02   5.2107006E+02   5.2676622E+02   5.2676622E+02   5.2132918E+02   5.2132918E+02   5.1814004E+02   5.1814004E+02   5.1814004E+02   5.1814004E+02   5.1814004E+02   5.1814004E+02   5.1814004E+02   5.1814004E+02   5.2676622E+02   5.2676622E+02   5.1814004E+02   5.1814004E+02   5.2132918E+02   5.2676622E+02   5.1814004E+02   5.2976641E+02   5.2676622E+02   5.1814004E+02   5.2132918E+02   5.2107006E+02   5.2132918E+02   5.2676622E+02   5.2717865E+02   5.2107006E+02   5.2676622E+02   5.1814004E+02   5.2132918E+02   5.1814004E+02   5.1814004E+02   5.2107006E+02   5.1814004E+02   5.2676622E+02   5.2676622E+02   5.2863552E+02   5.1814004E+02   5.1814004E+02   5.2107006E+02   5.1814004E+02   5.1814004E+02   5.1814004E+02   5.1814004E+02   5.2132918E+02   5.2132918E+02   5.1814004E+02   5.1814004E+02   5.1814004E+02   5.2676622E+02   5.2676622E+02   5.2904768E+02   5.2676622E+02   5.2717865E+02   5.2676622E+02   5.1814004E+02   5.2676622E+02   5.1814004E+02   5.2107006E+02   5.2107006E+02   5.1814004E+02   5.1814004E+02   5.1814004E+02   5.2862081E+02   5.1814004E+02   5.2107006E+02   5.2107006E+02   5.1814004E+02   5.2132918E+02   5.2863552E+02   5.1814004E+02   5.2132918E+02   5.2132918E+02   5.2107006E+02   5.1814004E+02   5.1814004E+02   5.1814004E+02   5.1814004E+02   5.1814004E+02   5.2132918E+02   5.1814004E+02   5.2107006E+02  
8   5.1814004E+02   5.2107006E+02   5.1745858E+02   5.1814004E+02   5.1814004E+02   5.2587381E+02   5.2132918E+02   5.1814004E+02   5.1814004E+02   5.2132918E+02   5.2107006E+02   5.1814004E+02   5.2107006E+02   5.1814004E+02   5.1745858E+02   5.1814004E+02   5.1745858E+02   5.1814004E+02   5.1745858E+02   5.2407051E+02   5.1814004E+02   5.2132918E+02   5.1814004E+02   5.2132918E+02   5.1745858E+02   5.1814004E+02   5.2107006E+02   5.1814004E+02   5.1745858E+02   5.2132918E+02   5.2132918E+02   5.2132918E+02   5.1814004E+02   5.1814004E+02   5.1814004E+02   5.1814004E+02   5.2132918E+02   5.2407051E+02   5.1745858E+02   5.1745858E+02   5.1814004E+02   5.1814004E+02   5.2132918E+02   5.1745858E+02   5.2398093E+02   5.2398093E+02   5.2107006E+02   5.1814004E+02   5.1814004E+02   5.1814004E+02   5.1745858E+02   5.1745858E+02   5.1814004E+02   5.1814004E+02   5.1814004E+02   5.1814004E+02   5.1814004E+02   5.1814004E+02   5.1814004E+02   5.1745858E+02   5.2107006E+02   5.2676622E+02   5.1814004E+02   5.1745858E+02   5.2407051E+02   5.1814004E+02   5.2107006E+02   5.2107006E+02   5.1745858E+02   5.2398093E+02   5.2700728E+02   5.2107006E+02   5.2426015E+02   5.1814004E+02   5.2132918E+02   5.1814004E+02   5.1814004E+02   5.1745858E+02   5.1745858E+02   5.1745858E+02   5.1745858E+02   5.2852186E+02   5.1814004E+02   5.1745858E+02   5.1814004E+02   5.1814004E+02   5.1814004E+02   5.1814004E+02   5.1745858E+02   5.1745858E+02   5.2132918E+02   5.1814004E+02   5.1814004E+02   5.1814004E+02   5.2676622E+02   5.1745858E+02   5.2426015E+02   5.2550090E+02   5.2107006E+02   5.2550090E+02   5.1814004E+02   5.2676622E+02   5.1814004E+02   5.2107006E+02   5.2107006E+02   5.1814004E+02   5.1814004E+02   5.1814004E+02   5.2862081E+02   5.1814004E+02   5.2107006E+02   5.2107006E+02   5.1745858E+02   5.2132918E+02   5.2426015E+02   5.1814004E+02   5.2132918E+02   5.2132918E+02   5.1814004E+02   5.1814004E+02   5.1814004E+02   5.1745858E+02   5.1745858E+02   5.1814004E+02   5.2132918E+02   5.1814004E+02   5.1745858E+02  
9   5.1814004E+02   5.2061302E+02   5.1745858E+02   5.1814004E+02   5.1814004E+02   5.2313845E+02   5.1925782E+02   5.1814004E+02   5.1814004E+02   5.2132918E+02   5.2107006E+02   5.1814004E+02   5.2107006E+02   5.1814004E+02   5.1745858E+02   5.1814004E+02   5.1745858E+02   5.1814004E+02   5.1745858E+02   5.2407051E+02   5.1814004E+02   5.2132918E+02   5.1814004E+02   5.2132918E+02   5.1745858E+02   5.1814004E+02   5.2107006E+02   5.1814004E+02   5.1745858E+02   5.1925782E+02   5.2132918E+02   5.2061302E+02   5.1814004E+02   5.1814004E+02   5.1814004E+02   5.1814004E+02   5.2132918E+02   5.2061302E+02   5.1745858E+02   5.1745858E+02   5.1814004E+02   5.1814004E+02   5.2132918E+02   5.1745858E+02   5.2398093E+02   5.2061302E+02   5.1925782E+02   5.1814004E+02   5.1814004E+02   5.1814004E+02   5.1745858E+02   5.1745858E+02   5.1814004E+02   5.1814004E+02   5.1814004E+02   5.1814004E+02   5.1814004E+02   5.1814004E+02   5.1814004E+02   5.1745858E+02   5.2107006E+02   5.2313845E+02   5.1814004E+02   5.1745858E+02   5.2061302E+02   5.1814004E+02   5.2107006E+02   5.2107006E+02   5.1745858E+02   5.1925782E+02   5.2700728E+02   5.2107006E+02   5.2313853E+02   5.1814004E+02   5.2132918E+02   5.1814004E+02   5.1814004E+02   5.1745858E+02   5.1745858E+02   5.1745858E+02   5.1745858E+02   5.2770608E+02   5.1814004E+02   5.1745858E+02   5.1814004E+02   5.1814004E+02   5.1814004E+02   5.1814004E+02   5.1745858E+02   5.1745858E+02   5.1925782E+02   5.1814004E+02   5.1814004E+02   5.1814004E+02   5.2676622E+02   5.1745858E+02   5.2061302E+02   5.1925782E+02   5.1925782E+02   5.2061302E+02   5.1814004E+02   5.2676622E+02   5.1814004E+02   5.1925782E+02   5.2061302E+02   5.1814004E+02   5.1814004E+02   5.1814004E+02   5.2780131E+02   5.1814004E+02   5.2107006E+02   5.2061302E+02   5.1745858E+02   5.2132918E+02   5.2313853E+02   5.1814004E+02   5.2132918E+02   5.2132918E+02   5.1814004E+02   5.1814004E+02   5.1814004E+02   5.1745858E+02   5.1745858E+02   5.1814004E+02   5.2061302E+02   5.1814004E+02   5.1745858E+02  
10   5.1814004E+02   5.2061302E+02   5.1745858E+02   5.1814004E+02   5.1814004E+02   5.1814004E+02   5.1925782E+02   5.1814004E+02   5.1814004E+02   5.1814004E+02   5.2107006E+02   5.1814004E+02   5.1745858E+02   5.1814004E+02   5.1745858E+02   5.1814004E+02   5.1745858E+02   5.1814004E+02   5.1745858E+02   5.2132918E+02   5.1814004E+02   5.2107006E+02   5.1814004E+02   5.2061302E+02   5.1745858E+02   5.1814004E+02   5.1814004E+02   5.1814004E+02   5.1745858E+02   5.1925782E+02   5.2132918E+02   5.1745858E+02   5.1814004E+02   5.1814004E+02   5.1814004E+02   5.1814004E+02   5.2132918E+02   5.2061302E+02   5.1745858E+02   5.1745858E+02   5.1814004E+02   5.1814004E+02   5.2132918E+02   5.1745858E+02   5.2061302E+02   5.1814004E+02   5.1925782E+02   5.1814004E+02   5.1814004E+02   5.1814004E+02   5.1745858E+02   5.1745858E+02   5.1814004E+02   5.1814004E+02   5.1814004E+02   5.1814004E+02   5.1814004E+02   5.1814004E+02   5.1745858E+02   5.1745858E+02   5.2107006E+02   5.1745858E+02   5.1814004E+02   5.1745858E+02   5.2061302E+02   5.1814004E+02   5.2058099E+02   5.2061302E+02   5.1745858E+02   5.1925782E+02   5.2061302E+02   5.2107006E+02   5.1925782E+02   5.1814004E+02   5.1745858E+02   5.1814004E+02   5.1814004E+02   5.1745858E+02   5.1745858E+02   5.1745858E+02   5.1745858E+02   5.1925782E+02   5.1814004E+02   5.1745858E+02   5.1814004E+02   5.1814004E+02   5.1814004E+02   5.1814004E+02   5.1745858E+02   5.1745858E+02   5.1925782E+02   5.1814004E+02   5.1745858E+02   5.1814004E+02   5.2403055E+02   5.1745858E+02   5.2061302E+02   5.1925782E+02   5.1925782E+02   5.1925782E+02   5.1814004E+02   5.2339752E+02   5.1814004E+02   5.1925782E+02   5.2061302E+02   5.1745858E+02   5.1814004E+02   5.1745858E+02   5.1925782E+02   5.1814004E+02   5.1745858E+02   5.2061302E+02   5.1745858E+02   5.2107006E+02   5.1745858E+02   5.1814004E+02   5.1814004E+02   5.2058099E+02   5.1814004E+02   5.1745858E+02   5.1814004E+02   5.1745858E+02   5.1745858E+02   5.1814004E+02   5.1745858E+02   5.1745858E+02   5.1745858E+02  
