Iter  Part  GoF  Model_Output  
1  1   6.2893841E+02   6.2893841E+02  
1  2   6.4596829E+02   6.4596829E+02  
1  3   6.0748127E+02   6.0748127E+02  
1  4   7.0064440E+02   7.0064440E+02  
1  5   5.5961661E+02   5.5961661E+02  
1  6   6.0450829E+02   6.0450829E+02  
1  7   5.7857594E+02   5.7857594E+02  
1  8   5.6404134E+02   5.6404134E+02  
1  9   6.0476386E+02   6.0476386E+02  
1  10   7.4194610E+02   7.4194610E+02  
1  11   5.7061408E+02   5.7061408E+02  
1  12   5.4712175E+02   5.4712175E+02  
1  13   5.5715450E+02   5.5715450E+02  
1  14   6.4006176E+02   6.4006176E+02  
1  15   7.6342514E+02   7.6342514E+02  
1  16   5.8237233E+02   5.8237233E+02  
1  17   6.5064723E+02   6.5064723E+02  
1  18   5.9449142E+02   5.9449142E+02  
1  19   5.6388886E+02   5.6388886E+02  
1  20   6.0546389E+02   6.0546389E+02  
1  21   6.1199632E+02   6.1199632E+02  
1  22   6.4187081E+02   6.4187081E+02  
1  23   6.3089342E+02   6.3089342E+02  
1  24   5.5180382E+02   5.5180382E+02  
1  25   6.3842275E+02   6.3842275E+02  
1  26   6.4310150E+02   6.4310150E+02  
1  27   7.0210835E+02   7.0210835E+02  
1  28   6.5723246E+02   6.5723246E+02  
1  29   6.2770141E+02   6.2770141E+02  
1  30   5.4110843E+02   5.4110843E+02  
1  31   5.3501102E+02   5.3501102E+02  
1  32   7.0729414E+02   7.0729414E+02  
1  33   5.7709818E+02   5.7709818E+02  
1  34   5.8194523E+02   5.8194523E+02  
1  35   5.4218716E+02   5.4218716E+02  
1  36   5.6512933E+02   5.6512933E+02  
1  37   5.9437508E+02   5.9437508E+02  
1  38   7.9872628E+02   7.9872628E+02  
1  39   5.9868291E+02   5.9868291E+02  
1  40   5.3762258E+02   5.3762258E+02  
1  41   5.9977879E+02   5.9977879E+02  
1  42   5.5917708E+02   5.5917708E+02  
1  43   5.5871834E+02   5.5871834E+02  
1  44   5.7836812E+02   5.7836812E+02  
1  45   5.9479020E+02   5.9479020E+02  
1  46   6.0194600E+02   6.0194600E+02  
1  47   8.1009973E+02   8.1009973E+02  
1  48   6.2184322E+02   6.2184322E+02  
1  49   5.6976538E+02   5.6976538E+02  
1  50   8.0388110E+02   8.0388110E+02  
1  51   5.4814770E+02   5.4814770E+02  
1  52   6.3451068E+02   6.3451068E+02  
1  53   5.9407793E+02   5.9407793E+02  
1  54   5.6055765E+02   5.6055765E+02  
1  55   6.4584655E+02   6.4584655E+02  
1  56   5.4381168E+02   5.4381168E+02  
1  57   6.6891765E+02   6.6891765E+02  
1  58   5.4963217E+02   5.4963217E+02  
1  59   6.5541638E+02   6.5541638E+02  
1  60   5.5809902E+02   5.5809902E+02  
1  61   6.0331004E+02   6.0331004E+02  
1  62   5.8085223E+02   5.8085223E+02  
1  63   5.4429847E+02   5.4429847E+02  
1  64   5.4570008E+02   5.4570008E+02  
1  65   7.4815724E+02   7.4815724E+02  
1  66   7.2340706E+02   7.2340706E+02  
1  67   5.5635046E+02   5.5635046E+02  
1  68   5.8147478E+02   5.8147478E+02  
1  69   5.3945644E+02   5.3945644E+02  
1  70   5.8102331E+02   5.8102331E+02  
1  71   5.7239405E+02   5.7239405E+02  
1  72   5.8254630E+02   5.8254630E+02  
1  73   5.5376197E+02   5.5376197E+02  
1  74   5.8284883E+02   5.8284883E+02  
1  75   5.6846552E+02   5.6846552E+02  
1  76   5.8500145E+02   5.8500145E+02  
1  77   6.1427523E+02   6.1427523E+02  
1  78   7.0150771E+02   7.0150771E+02  
1  79   6.7965162E+02   6.7965162E+02  
1  80   5.8402103E+02   5.8402103E+02  
1  81   5.7211521E+02   5.7211521E+02  
1  82   5.3805006E+02   5.3805006E+02  
1  83   5.5255969E+02   5.5255969E+02  
1  84   5.8632343E+02   5.8632343E+02  
1  85   7.5200567E+02   7.5200567E+02  
1  86   7.2526145E+02   7.2526145E+02  
1  87   5.3848634E+02   5.3848634E+02  
1  88   7.4883555E+02   7.4883555E+02  
1  89   5.5152312E+02   5.5152312E+02  
1  90   5.8596736E+02   5.8596736E+02  
1  91   5.9613432E+02   5.9613432E+02  
1  92   5.3654260E+02   5.3654260E+02  
1  93   6.2106981E+02   6.2106981E+02  
1  94   8.0623270E+02   8.0623270E+02  
1  95   5.9623713E+02   5.9623713E+02  
1  96   6.0433564E+02   6.0433564E+02  
1  97   5.8694667E+02   5.8694667E+02  
1  98   5.8061673E+02   5.8061673E+02  
1  99   5.8883603E+02   5.8883603E+02  
1  100   5.9356132E+02   5.9356132E+02  
1  101   5.7480607E+02   5.7480607E+02  
1  102   5.7057911E+02   5.7057911E+02  
1  103   5.7226362E+02   5.7226362E+02  
1  104   5.7355092E+02   5.7355092E+02  
1  105   5.6691161E+02   5.6691161E+02  
1  106   6.6461291E+02   6.6461291E+02  
1  107   6.3342806E+02   6.3342806E+02  
1  108   6.7100587E+02   6.7100587E+02  
1  109   6.2978072E+02   6.2978072E+02  
1  110   6.0991496E+02   6.0991496E+02  
1  111   6.3402274E+02   6.3402274E+02  
1  112   5.5033974E+02   5.5033974E+02  
1  113   5.9716529E+02   5.9716529E+02  
1  114   6.5113093E+02   6.5113093E+02  
1  115   6.9440186E+02   6.9440186E+02  
1  116   5.6111334E+02   5.6111334E+02  
1  117   5.3685052E+02   5.3685052E+02  
1  118   5.5501509E+02   5.5501509E+02  
1  119   5.4186753E+02   5.4186753E+02  
1  120   5.7101237E+02   5.7101237E+02  
1  121   5.9136586E+02   5.9136586E+02  
1  122   7.1503218E+02   7.1503218E+02  
1  123   5.5723315E+02   5.5723315E+02  
1  124   5.5467264E+02   5.5467264E+02  
1  125   6.4448584E+02   6.4448584E+02  
1  126   6.9478546E+02   6.9478546E+02  
1  127   6.2047374E+02   6.2047374E+02  
2  1   6.4361084E+02   6.4361084E+02  
2  2   6.0323959E+02   6.0323959E+02  
2  3   6.0222376E+02   6.0222376E+02  
2  4   6.8126008E+02   6.8126008E+02  
2  5   6.1697237E+02   6.1697237E+02  
2  6   5.4301198E+02   5.4301198E+02  
2  7   5.9672067E+02   5.9672067E+02  
2  8   5.5848037E+02   5.5848037E+02  
2  9   5.4276902E+02   5.4276902E+02  
2  10   6.0661022E+02   6.0661022E+02  
2  11   5.5327154E+02   5.5327154E+02  
2  12   5.9881804E+02   5.9881804E+02  
2  13   6.2323321E+02   6.2323321E+02  
2  14   5.8059197E+02   5.8059197E+02  
2  15   5.9330301E+02   5.9330301E+02  
2  16   6.1268585E+02   6.1268585E+02  
2  17   6.5002907E+02   6.5002907E+02  
2  18   5.8657282E+02   5.8657282E+02  
2  19   5.3761436E+02   5.3761436E+02  
2  20   7.7530096E+02   7.7530096E+02  
2  21   6.6158389E+02   6.6158389E+02  
2  22   5.4709004E+02   5.4709004E+02  
2  23   5.6135510E+02   5.6135510E+02  
2  24   5.5105774E+02   5.5105774E+02  
2  25   5.8648235E+02   5.8648235E+02  
2  26   5.4128339E+02   5.4128339E+02  
2  27   6.6518857E+02   6.6518857E+02  
2  28   5.8306288E+02   5.8306288E+02  
2  29   5.4766862E+02   5.4766862E+02  
2  30   5.9007184E+02   5.9007184E+02  
2  31   6.4950636E+02   6.4950636E+02  
2  32   5.8842536E+02   5.8842536E+02  
2  33   5.6292668E+02   5.6292668E+02  
2  34   6.4408226E+02   6.4408226E+02  
2  35   6.1020025E+02   6.1020025E+02  
2  36   5.8604318E+02   5.8604318E+02  
2  37   5.6585156E+02   5.6585156E+02  
2  38   5.7877527E+02   5.7877527E+02  
2  39   6.2282713E+02   6.2282713E+02  
2  40   5.6703123E+02   5.6703123E+02  
2  41   7.2756365E+02   7.2756365E+02  
2  42   5.4857438E+02   5.4857438E+02  
2  43   6.2717346E+02   6.2717346E+02  
2  44   5.8257708E+02   5.8257708E+02  
2  45   5.7861411E+02   5.7861411E+02  
2  46   5.9778789E+02   5.9778789E+02  
2  47   7.1546433E+02   7.1546433E+02  
2  48   5.9539532E+02   5.9539532E+02  
2  49   6.5697384E+02   6.5697384E+02  
2  50   6.4504485E+02   6.4504485E+02  
2  51   5.8531275E+02   5.8531275E+02  
2  52   6.8127345E+02   6.8127345E+02  
2  53   7.0648801E+02   7.0648801E+02  
2  54   5.6182735E+02   5.6182735E+02  
2  55   6.5113823E+02   6.5113823E+02  
2  56   6.5323243E+02   6.5323243E+02  
2  57   5.7165231E+02   5.7165231E+02  
2  58   5.7114496E+02   5.7114496E+02  
2  59   6.8910898E+02   6.8910898E+02  
2  60   5.4415170E+02   5.4415170E+02  
2  61   5.5993615E+02   5.5993615E+02  
2  62   7.0849247E+02   7.0849247E+02  
2  63   6.7691463E+02   6.7691463E+02  
2  64   5.4000915E+02   5.4000915E+02  
2  65   6.2447515E+02   6.2447515E+02  
2  66   5.4592826E+02   5.4592826E+02  
2  67   6.0404816E+02   6.0404816E+02  
2  68   5.4427866E+02   5.4427866E+02  
2  69   8.5666445E+02   8.5666445E+02  
2  70   6.3386926E+02   6.3386926E+02  
2  71   5.4903619E+02   5.4903619E+02  
2  72   6.2055874E+02   6.2055874E+02  
2  73   5.6768871E+02   5.6768871E+02  
2  74   6.2867614E+02   6.2867614E+02  
2  75   5.3820112E+02   5.3820112E+02  
2  76   5.7713371E+02   5.7713371E+02  
2  77   5.9869006E+02   5.9869006E+02  
2  78   5.7314609E+02   5.7314609E+02  
2  79   5.2676622E+02   5.2676622E+02  
2  80   6.6030915E+02   6.6030915E+02  
2  81   5.3638962E+02   5.3638962E+02  
2  82   6.0526489E+02   6.0526489E+02  
2  83   5.6616658E+02   5.6616658E+02  
2  84   6.2121390E+02   6.2121390E+02  
2  85   5.8540309E+02   5.8540309E+02  
2  86   6.7648861E+02   6.7648861E+02  
2  87   7.3978589E+02   7.3978589E+02  
2  88   5.8598929E+02   5.8598929E+02  
2  89   6.1228063E+02   6.1228063E+02  
2  90   5.6841809E+02   5.6841809E+02  
2  91   6.4788658E+02   6.4788658E+02  
2  92   5.9724042E+02   5.9724042E+02  
2  93   5.7250555E+02   5.7250555E+02  
2  94   5.8047321E+02   5.8047321E+02  
2  95   5.8674475E+02   5.8674475E+02  
2  96   5.7691018E+02   5.7691018E+02  
2  97   6.2526809E+02   6.2526809E+02  
2  98   6.2903221E+02   6.2903221E+02  
2  99   5.6362261E+02   5.6362261E+02  
2  100   5.4795063E+02   5.4795063E+02  
2  101   5.5802380E+02   5.5802380E+02  
2  102   5.4109444E+02   5.4109444E+02  
2  103   5.6652296E+02   5.6652296E+02  
2  104   5.7189994E+02   5.7189994E+02  
2  105   5.9744886E+02   5.9744886E+02  
2  106   6.4041240E+02   6.4041240E+02  
2  107   6.0658018E+02   6.0658018E+02  
2  108   5.9765822E+02   5.9765822E+02  
2  109   5.5864981E+02   5.5864981E+02  
2  110   7.2958181E+02   7.2958181E+02  
2  111   5.6421976E+02   5.6421976E+02  
2  112   5.9731940E+02   5.9731940E+02  
2  113   6.3021315E+02   6.3021315E+02  
2  114   5.7973702E+02   5.7973702E+02  
2  115   6.2899452E+02   6.2899452E+02  
2  116   6.7906402E+02   6.7906402E+02  
2  117   5.6135381E+02   5.6135381E+02  
2  118   5.4841554E+02   5.4841554E+02  
2  119   5.9961581E+02   5.9961581E+02  
2  120   6.8716701E+02   6.8716701E+02  
2  121   6.2976626E+02   6.2976626E+02  
2  122   5.8132430E+02   5.8132430E+02  
2  123   5.8626465E+02   5.8626465E+02  
2  124   6.8126559E+02   6.8126559E+02  
2  125   5.7720457E+02   5.7720457E+02  
2  126   6.2786076E+02   6.2786076E+02  
2  127   5.3297561E+02   5.3297561E+02  
3  1   6.4141950E+02   6.4141950E+02  
3  2   5.8744062E+02   5.8744062E+02  
3  3   6.1630095E+02   6.1630095E+02  
3  4   6.4378073E+02   6.4378073E+02  
3  5   6.4343221E+02   6.4343221E+02  
3  6   5.3817633E+02   5.3817633E+02  
3  7   5.6899696E+02   5.6899696E+02  
3  8   5.5349622E+02   5.5349622E+02  
3  9   6.0766857E+02   6.0766857E+02  
3  10   5.7186518E+02   5.7186518E+02  
3  11   5.4001281E+02   5.4001281E+02  
3  12   6.2415120E+02   6.2415120E+02  
3  13   5.8155654E+02   5.8155654E+02  
3  14   5.4644717E+02   5.4644717E+02  
3  15   5.5043190E+02   5.5043190E+02  
3  16   8.4221148E+02   8.4221148E+02  
3  17   6.9033800E+02   6.9033800E+02  
3  18   5.9500135E+02   5.9500135E+02  
3  19   5.8198090E+02   5.8198090E+02  
3  20   6.6935231E+02   6.6935231E+02  
3  21   5.5694499E+02   5.5694499E+02  
3  22   5.5913867E+02   5.5913867E+02  
3  23   5.4657799E+02   5.4657799E+02  
3  24   5.4059173E+02   5.4059173E+02  
3  25   5.4356075E+02   5.4356075E+02  
3  26   5.9895826E+02   5.9895826E+02  
3  27   6.3701093E+02   6.3701093E+02  
3  28   5.4168488E+02   5.4168488E+02  
3  29   5.5156483E+02   5.5156483E+02  
3  30   5.8842820E+02   5.8842820E+02  
3  31   5.9117444E+02   5.9117444E+02  
3  32   5.6471250E+02   5.6471250E+02  
3  33   6.2693372E+02   6.2693372E+02  
3  34   5.6130253E+02   5.6130253E+02  
3  35   5.6026171E+02   5.6026171E+02  
3  36   6.1976505E+02   6.1976505E+02  
3  37   5.8461398E+02   5.8461398E+02  
3  38   5.3805583E+02   5.3805583E+02  
3  39   6.7635084E+02   6.7635084E+02  
3  40   7.4927370E+02   7.4927370E+02  
3  41   6.8518441E+02   6.8518441E+02  
3  42   5.5585246E+02   5.5585246E+02  
3  43   6.9393181E+02   6.9393181E+02  
3  44   5.6224875E+02   5.6224875E+02  
3  45   6.0953229E+02   6.0953229E+02  
3  46   5.9164073E+02   5.9164073E+02  
3  47   6.0463361E+02   6.0463361E+02  
3  48   6.8781730E+02   6.8781730E+02  
3  49   7.8279884E+02   7.8279884E+02  
3  50   5.9160520E+02   5.9160520E+02  
3  51   6.0240716E+02   6.0240716E+02  
3  52   5.8664458E+02   5.8664458E+02  
3  53   6.7457034E+02   6.7457034E+02  
3  54   5.5679205E+02   5.5679205E+02  
3  55   5.8034894E+02   5.8034894E+02  
3  56   6.9018924E+02   6.9018924E+02  
3  57   5.7402218E+02   5.7402218E+02  
3  58   5.8723389E+02   5.8723389E+02  
3  59   7.9802221E+02   7.9802221E+02  
3  60   5.3653901E+02   5.3653901E+02  
3  61   5.6546699E+02   5.6546699E+02  
3  62   7.9112480E+02   7.9112480E+02  
3  63   6.8319716E+02   6.8319716E+02  
