Date12[DDMMYYYYhhmm],JulianDayFromYear0[days],TimeFromStart[days],Simulation_Period,Run,IDpoint,10.000000 ,50.000000 ,200.000000 ,560.000000 ,1400.000000 ,3500.000000 ,7500.000000 ,16000.000000 ,36000.000000  
09/04/2014 18:00,735698.750000,0.000000,0,1,1,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000 
09/04/2014 19:00,735698.791667,0.041667,1,1,1,3.397707,3.853769,3.997211,3.999990,4.000000,4.000000,4.000000,4.000000,4.000000 
09/04/2014 20:00,735698.833333,0.083333,1,1,1,2.839196,3.515004,3.982884,3.999897,4.000000,4.000000,4.000000,4.000000,4.000000 
09/04/2014 21:00,735698.875000,0.125000,1,1,1,2.505890,3.190760,3.955672,3.999609,4.000000,4.000000,4.000000,4.000000,4.000000 
09/04/2014 22:00,735698.916667,0.166667,1,1,1,2.216510,2.909771,3.917990,3.999030,3.999998,4.000000,4.000000,4.000000,4.000000 
09/04/2014 23:00,735698.958333,0.208333,1,1,1,1.963257,2.660590,3.871855,3.998082,3.999996,4.000000,4.000000,4.000000,4.000000 
10/04/2014 00:00,735699.000000,0.250000,1,1,1,1.745214,2.441598,3.819009,3.996707,3.999992,4.000000,4.000000,4.000000,4.000000 
10/04/2014 01:00,735699.041667,0.291667,1,1,1,1.514040,2.238632,3.760760,3.994860,3.999986,4.000000,4.000000,4.000000,4.000000 
10/04/2014 02:00,735699.083333,0.333333,1,1,1,1.306474,2.044409,3.697764,3.992502,3.999976,4.000000,4.000000,4.000000,4.000000 
10/04/2014 03:00,735699.125000,0.375000,1,1,1,1.132984,1.868551,3.630909,3.989604,3.999962,4.000000,4.000000,4.000000,4.000000 
10/04/2014 04:00,735699.166667,0.416667,1,1,1,0.991269,1.714244,3.561247,3.986145,3.999944,4.000000,4.000000,4.000000,4.000000 
10/04/2014 05:00,735699.208333,0.458333,1,1,1,0.858746,1.577491,3.489740,3.982112,3.999919,4.000000,4.000000,4.000000,4.000000 
10/04/2014 06:00,735699.250000,0.500000,1,1,1,0.824738,1.469599,3.417311,3.977500,3.999889,4.000000,4.000000,4.000000,4.000000 
10/04/2014 07:00,735699.291667,0.541667,1,1,1,1.588860,1.588517,3.349175,3.972332,3.999851,4.000000,4.000000,4.000000,4.000000 
10/04/2014 08:00,735699.333333,0.583333,1,1,1,3.930316,2.369695,3.305196,3.966748,3.999805,4.000000,4.000000,4.000000,4.000000 
10/04/2014 09:00,735699.375000,0.625000,1,1,1,8.838967,4.411939,3.325797,3.961166,3.999751,4.000000,4.000000,4.000000,4.000000 
10/04/2014 10:00,735699.416667,0.666667,1,1,1,15.569467,7.968936,3.467481,3.956454,3.999689,4.000000,4.000000,4.000000,4.000000 
10/04/2014 11:00,735699.458333,0.708333,1,1,1,22.427897,12.544357,3.774129,3.953912,3.999622,4.000000,4.000000,4.000000,4.000000 
