Date12[DDMMYYYYhhmm],JulianDayFromYear0[days],TimeFromStart[days],Simulation_Period,Run,IDpoint,10.000000 ,50.000000 ,200.000000 ,560.000000 ,1400.000000 ,3500.000000 ,7500.000000 ,16000.000000 ,36000.000000  
09/04/2014 18:00,735698.750000,0.000000,0,1,1,0.316523,0.316888,0.318284,0.321831,0.331400,0.369925,0.431480,0.431480,0.431480 
09/04/2014 19:00,735698.791667,0.041667,1,1,1,0.316500,0.316882,0.318284,0.321831,0.331400,0.369917,0.431480,0.431480,0.431480 
09/04/2014 20:00,735698.833333,0.083333,1,1,1,0.316491,0.316876,0.318283,0.321831,0.331400,0.369898,0.430937,0.431480,0.431480 
09/04/2014 21:00,735698.875000,0.125000,1,1,1,0.316486,0.316870,0.318283,0.321831,0.331400,0.369879,0.430014,0.431480,0.431480 
09/04/2014 22:00,735698.916667,0.166667,1,1,1,0.316481,0.316865,0.318283,0.321831,0.331400,0.369860,0.429112,0.431268,0.431480 
09/04/2014 23:00,735698.958333,0.208333,1,1,1,0.316477,0.316861,0.318282,0.321831,0.331400,0.369841,0.428356,0.430981,0.431397 
10/04/2014 00:00,735699.000000,0.250000,1,1,1,0.316473,0.316857,0.318281,0.321831,0.331400,0.369822,0.427687,0.430706,0.431280 
10/04/2014 01:00,735699.041667,0.291667,1,1,1,0.316469,0.316853,0.318281,0.321831,0.331400,0.369803,0.427081,0.430464,0.431181 
10/04/2014 02:00,735699.083333,0.333333,1,1,1,0.316466,0.316849,0.318280,0.321831,0.331400,0.369783,0.426522,0.430241,0.431089 
10/04/2014 03:00,735699.125000,0.375000,1,1,1,0.316463,0.316846,0.318279,0.321831,0.331400,0.369764,0.426001,0.430031,0.431001 
10/04/2014 04:00,735699.166667,0.416667,1,1,1,0.316462,0.316844,0.318278,0.321830,0.331400,0.369744,0.425512,0.429831,0.430917 
10/04/2014 05:00,735699.208333,0.458333,1,1,1,0.316460,0.316842,0.318277,0.321830,0.331400,0.369725,0.425050,0.429639,0.430835 
10/04/2014 06:00,735699.250000,0.500000,1,1,1,0.316459,0.316839,0.318276,0.321830,0.331400,0.369705,0.424610,0.429455,0.430755 
10/04/2014 07:00,735699.291667,0.541667,1,1,1,0.316441,0.316831,0.318269,0.321829,0.331400,0.369686,0.424191,0.429276,0.430677 
10/04/2014 08:00,735699.333333,0.583333,1,1,1,0.316370,0.316790,0.318235,0.321819,0.331400,0.369666,0.423790,0.429103,0.430601 
10/04/2014 09:00,735699.375000,0.625000,1,1,1,0.316098,0.316679,0.318160,0.321798,0.331400,0.369646,0.423404,0.428934,0.430525 
10/04/2014 10:00,735699.416667,0.666667,1,1,1,0.315303,0.316410,0.318046,0.321766,0.331400,0.369627,0.423033,0.428769,0.430452 
10/04/2014 11:00,735699.458333,0.708333,1,1,1,0.313523,0.315751,0.317893,0.321725,0.331399,0.369607,0.422675,0.428609,0.430379 
10/04/2014 12:00,735699.500000,0.750000,1,1,1,0.310873,0.314481,0.317701,0.321677,0.331399,0.369587,0.422329,0.428452,0.430307 
10/04/2014 13:00,735699.541667,0.791667,1,1,1,0.308482,0.312772,0.317477,0.321628,0.331399,0.369568,0.421994,0.428298,0.430237 
10/04/2014 14:00,735699.583333,0.833333,1,1,1,0.308012,0.311414,0.317269,0.321592,0.331399,0.369548,0.421669,0.428147,0.430167 
10/04/2014 15:00,735699.625000,0.875000,1,1,1,0.308203,0.310698,0.317090,0.321568,0.331398,0.369528,0.421354,0.427999,0.430098 
10/04/2014 16:00,735699.666667,0.916667,1,1,1,0.308189,0.310323,0.316908,0.321544,0.331398,0.369508,0.421047,0.427854,0.430030 
10/04/2014 17:00,735699.708333,0.958333,1,1,1,0.308469,0.310168,0.316748,0.321527,0.331397,0.369488,0.420749,0.427712,0.429963 
10/04/2014 18:00,735699.750000,1.000000,1,1,1,0.309040,0.310244,0.316613,0.321514,0.331397,0.369469,0.420458,0.427571,0.429896 
10/04/2014 19:00,735699.791667,1.041667,1,1,1,0.309486,0.310453,0.316504,0.321507,0.331396,0.369449,0.420174,0.427434,0.429831 
10/04/2014 20:00,735699.833333,1.083333,1,1,1,0.309822,0.310693,0.316410,0.321499,0.331396,0.369429,0.419897,0.427298,0.429766 
10/04/2014 21:00,735699.875000,1.125000,1,1,1,0.310095,0.310926,0.316324,0.321492,0.331395,0.369409,0.419626,0.427164,0.429701 
10/04/2014 22:00,735699.916667,1.166667,1,1,1,0.310327,0.311141,0.316247,0.321484,0.331394,0.369389,0.419362,0.427033,0.429637 
10/04/2014 23:00,735699.958333,1.208333,1,1,1,0.310563,0.311340,0.316178,0.321476,0.331394,0.369369,0.419103,0.426903,0.429574 
11/04/2014 00:00,735700.000000,1.250000,1,1,1,0.310800,0.311531,0.316116,0.321467,0.331393,0.369350,0.418850,0.426775,0.429511 
11/04/2014 01:00,735700.041667,1.291667,1,1,1,0.311024,0.311713,0.316061,0.321458,0.331393,0.369330,0.418601,0.426649,0.429449 
11/04/2014 02:00,735700.083333,1.333333,1,1,1,0.311225,0.311884,0.316012,0.321449,0.331392,0.369310,0.418358,0.426524,0.429388 
11/04/2014 03:00,735700.125000,1.375000,1,1,1,0.311416,0.312044,0.315970,0.321440,0.331391,0.369290,0.418119,0.426401,0.429327 
11/04/2014 04:00,735700.166667,1.416667,1,1,1,0.311583,0.312192,0.315932,0.321431,0.331391,0.369270,0.417885,0.426280,0.429266 
