Date12[DDMMYYYYhhmm],JulianDayFromYear0[days],TimeFromStart[days],Simulation_Period,Run,IDpoint,10.000000 ,50.000000 ,200.000000 ,560.000000 ,1400.000000 ,3500.000000 ,7500.000000 ,16000.000000 ,36000.000000  
09/04/2014 18:00,735698.750000,0.000000,0,1,1,0.273423,0.273744,0.274978,0.278134,0.286837,0.326480,0.489259,0.489259,0.489259 
09/04/2014 19:00,735698.791667,0.041667,1,1,1,0.273345,0.273742,0.274978,0.278134,0.286837,0.326480,0.489259,0.489259,0.489259 
09/04/2014 20:00,735698.833333,0.083333,1,1,1,0.273282,0.273740,0.274978,0.278134,0.286837,0.326480,0.489259,0.489259,0.489259 
09/04/2014 21:00,735698.875000,0.125000,1,1,1,0.273226,0.273738,0.274977,0.278134,0.286837,0.326480,0.489259,0.489259,0.489259 
09/04/2014 22:00,735698.916667,0.166667,1,1,1,0.273171,0.273736,0.274977,0.278134,0.286837,0.326480,0.489259,0.489259,0.489259 
09/04/2014 23:00,735698.958333,0.208333,1,1,1,0.273119,0.273734,0.274977,0.278134,0.286837,0.326480,0.489259,0.489259,0.489259 
10/04/2014 00:00,735699.000000,0.250000,1,1,1,0.273069,0.273732,0.274977,0.278134,0.286837,0.326480,0.489259,0.489259,0.489259 
10/04/2014 01:00,735699.041667,0.291667,1,1,1,0.273015,0.273730,0.274976,0.278134,0.286837,0.326480,0.489259,0.489259,0.489259 
10/04/2014 02:00,735699.083333,0.333333,1,1,1,0.272963,0.273728,0.274976,0.278134,0.286837,0.326480,0.489259,0.489259,0.489259 
10/04/2014 03:00,735699.125000,0.375000,1,1,1,0.272913,0.273726,0.274976,0.278134,0.286837,0.326480,0.489259,0.489259,0.489259 
10/04/2014 04:00,735699.166667,0.416667,1,1,1,0.272866,0.273725,0.274976,0.278134,0.286837,0.326480,0.489259,0.489259,0.489259 
10/04/2014 05:00,735699.208333,0.458333,1,1,1,0.272819,0.273723,0.274975,0.278134,0.286837,0.326480,0.489259,0.489259,0.489259 
10/04/2014 06:00,735699.250000,0.500000,1,1,1,0.272779,0.273721,0.274975,0.278134,0.286837,0.326480,0.489259,0.489259,0.489259 
10/04/2014 07:00,735699.291667,0.541667,1,1,1,0.272713,0.273718,0.274973,0.278134,0.286837,0.326480,0.489259,0.489259,0.489259 
10/04/2014 08:00,735699.333333,0.583333,1,1,1,0.272575,0.273696,0.274955,0.278134,0.286837,0.326480,0.489259,0.489259,0.489259 
10/04/2014 09:00,735699.375000,0.625000,1,1,1,0.272231,0.273625,0.274895,0.278134,0.286837,0.326480,0.489259,0.489259,0.489259 
10/04/2014 10:00,735699.416667,0.666667,1,1,1,0.271571,0.273582,0.274854,0.278134,0.286837,0.326480,0.489259,0.489259,0.489259 
10/04/2014 11:00,735699.458333,0.708333,1,1,1,0.270222,0.273601,0.274856,0.278134,0.286837,0.326480,0.489259,0.489259,0.489259 
10/04/2014 12:00,735699.500000,0.750000,1,1,1,0.267898,0.273635,0.274860,0.278134,0.286837,0.326480,0.489259,0.489259,0.489259 
10/04/2014 13:00,735699.541667,0.791667,1,1,1,0.264988,0.273671,0.274866,0.278134,0.286837,0.326480,0.489259,0.489259,0.489259 
10/04/2014 14:00,735699.583333,0.833333,1,1,1,0.262869,0.273676,0.274870,0.278134,0.286837,0.326480,0.489259,0.489259,0.489259 
10/04/2014 15:00,735699.625000,0.875000,1,1,1,0.261410,0.273594,0.274819,0.278134,0.286837,0.326480,0.489259,0.489259,0.489259 
10/04/2014 16:00,735699.666667,0.916667,1,1,1,0.260200,0.273501,0.274759,0.278134,0.286837,0.326480,0.489259,0.489259,0.489259 
10/04/2014 17:00,735699.708333,0.958333,1,1,1,0.259283,0.273435,0.274722,0.278134,0.286837,0.326480,0.489259,0.489259,0.489259 
10/04/2014 18:00,735699.750000,1.000000,1,1,1,0.258646,0.273394,0.274705,0.278134,0.286837,0.326480,0.489259,0.489259,0.489259 
10/04/2014 19:00,735699.791667,1.041667,1,1,1,0.258215,0.273374,0.274703,0.278134,0.286837,0.326480,0.489259,0.489259,0.489259 
10/04/2014 20:00,735699.833333,1.083333,1,1,1,0.257894,0.273360,0.274703,0.278134,0.286837,0.326480,0.489259,0.489259,0.489259 
10/04/2014 21:00,735699.875000,1.125000,1,1,1,0.257642,0.273349,0.274703,0.278134,0.286837,0.326480,0.489259,0.489259,0.489259 
10/04/2014 22:00,735699.916667,1.166667,1,1,1,0.257425,0.273340,0.274703,0.278134,0.286837,0.326480,0.489259,0.489259,0.489259 
10/04/2014 23:00,735699.958333,1.208333,1,1,1,0.257251,0.273332,0.274703,0.278134,0.286837,0.326480,0.489259,0.489259,0.489259 
11/04/2014 00:00,735700.000000,1.250000,1,1,1,0.257111,0.273325,0.274703,0.278134,0.286837,0.326480,0.489259,0.489259,0.489259 
11/04/2014 01:00,735700.041667,1.291667,1,1,1,0.256995,0.273318,0.274702,0.278134,0.286837,0.326480,0.489259,0.489259,0.489259 
11/04/2014 02:00,735700.083333,1.333333,1,1,1,0.256890,0.273312,0.274702,0.278134,0.286837,0.326480,0.489259,0.489259,0.489259 
11/04/2014 03:00,735700.125000,1.375000,1,1,1,0.256802,0.273307,0.274701,0.278134,0.286837,0.326480,0.489259,0.489259,0.489259 
