Iter  Part1  Part2  Part3  Part4  Part5  Part6  Part7  Part8  Part9  Part10  Part11  Part12  Part13  Part14  Part15  Part16  Part17  Part18  Part19  Part20  Part21  Part22  Part23  Part24  Part25  Part26  Part27  Part28  Part29  Part30  Part31  Part32  Part33  Part34  Part35  Part36  Part37  Part38  Part39  Part40  Part41  Part42  Part43  Part44  Part45  Part46  Part47  Part48  Part49  Part50  Part51  Part52  Part53  Part54  Part55  Part56  Part57  Part58  Part59  Part60  Part61  Part62  Part63  Part64  Part65  Part66  Part67  Part68  Part69  Part70  Part71  Part72  Part73  Part74  Part75  Part76  Part77  Part78  Part79  Part80  Part81  Part82  Part83  Part84  Part85  Part86  Part87  Part88  Part89  Part90  Part91  Part92  Part93  Part94  Part95  Part96  Part97  Part98  Part99  Part100  Part101  Part102  Part103  Part104  Part105  Part106  Part107  Part108  Part109  Part110  Part111  Part112  Part113  Part114  Part115  Part116  Part117  Part118  Part119  Part120  Part121  Part122  Part123  Part124  Part125  Part126  Part127  
1   4.4818000E-02   5.6807000E-02   5.2577000E-02   6.1539000E-02   4.9252000E-02   4.6408000E-02   4.9252000E-02   4.9252000E-02   5.7735000E-02   5.2577000E-02   5.0636000E-02   5.6807000E-02   4.9252000E-02   5.9177000E-02   4.6408000E-02   5.2620000E-02   5.2577000E-02   5.0636000E-02   5.2117000E-02   4.6408000E-02   5.2945000E-02   4.4818000E-02   5.0636000E-02   4.9252000E-02   5.2945000E-02   4.4818000E-02   4.4818000E-02   4.4818000E-02   4.6408000E-02   4.4818000E-02   5.0636000E-02   4.6408000E-02   4.6408000E-02   5.2945000E-02   5.0636000E-02   4.4818000E-02   6.5049000E-02   5.7735000E-02   5.6807000E-02   4.4818000E-02   5.2620000E-02   6.4274000E-02   5.0636000E-02   4.4818000E-02   5.2117000E-02   4.9252000E-02   4.4818000E-02   4.4818000E-02   5.7616000E-02   5.2620000E-02   4.6408000E-02   5.2577000E-02   5.9177000E-02   5.2577000E-02   4.6408000E-02   5.7735000E-02   5.0636000E-02   5.7735000E-02   5.2117000E-02   5.0636000E-02   5.2577000E-02   4.6408000E-02   5.2945000E-02   5.0636000E-02   4.9252000E-02   4.6408000E-02   5.2577000E-02   5.0636000E-02   4.9252000E-02   5.7616000E-02   5.2577000E-02   4.4818000E-02   4.9252000E-02   6.2624000E-02   5.6807000E-02   4.6408000E-02   5.9863000E-02   6.2192000E-02   5.7616000E-02   4.6408000E-02   6.9938000E-02   4.9252000E-02   4.6408000E-02   4.6408000E-02   4.6408000E-02   4.9252000E-02   6.1539000E-02   4.4818000E-02   5.2620000E-02   5.2945000E-02   4.9252000E-02   6.3637000E-02   4.4818000E-02   5.2117000E-02   4.4818000E-02   5.0636000E-02   5.9177000E-02   5.2577000E-02   5.0636000E-02   4.4818000E-02   5.6807000E-02   4.6408000E-02   5.2577000E-02   5.6807000E-02   4.4818000E-02   4.4818000E-02   4.4818000E-02   6.3637000E-02   5.0636000E-02   5.2117000E-02   4.6408000E-02   4.6408000E-02   4.6408000E-02   4.4818000E-02   4.6408000E-02   4.9252000E-02   5.2945000E-02   5.9177000E-02   5.7616000E-02   4.4818000E-02   5.2620000E-02   5.7616000E-02   5.7735000E-02   4.9252000E-02   4.4818000E-02   4.4818000E-02   4.6408000E-02  
2   4.4818000E-02   4.4534000E-02   4.5859000E-02   4.4153000E-02   4.4153000E-02   4.5943000E-02   4.4534000E-02   4.4534000E-02   4.5943000E-02   4.6677000E-02   4.4534000E-02   4.5880000E-02   4.5943000E-02   4.4153000E-02   4.4153000E-02   4.4153000E-02   4.4153000E-02   4.4153000E-02   4.4153000E-02   4.5943000E-02   4.4153000E-02   4.4818000E-02   4.4534000E-02   4.5880000E-02   4.4534000E-02   4.4534000E-02   4.4818000E-02   4.4818000E-02   4.6408000E-02   4.4818000E-02   4.5859000E-02   4.5943000E-02   4.6408000E-02   4.5880000E-02   5.0636000E-02   4.4818000E-02   6.1270000E-02   4.4534000E-02   4.5880000E-02   4.4534000E-02   4.5943000E-02   4.5943000E-02   4.5859000E-02   4.4818000E-02   4.5943000E-02   4.5859000E-02   4.4818000E-02   4.4818000E-02   5.1633000E-02   4.4534000E-02   4.4153000E-02   4.4534000E-02   4.4534000E-02   4.4153000E-02   4.6408000E-02   4.5880000E-02   4.6677000E-02   4.9904000E-02   4.9904000E-02   4.4153000E-02   4.6677000E-02   4.6408000E-02   4.5943000E-02   5.0636000E-02   4.9252000E-02   4.4534000E-02   4.5943000E-02   4.5859000E-02   4.9252000E-02   4.5880000E-02   4.5943000E-02   4.4818000E-02   4.9252000E-02   4.4153000E-02   4.5880000E-02   4.4153000E-02   4.5859000E-02   5.5054000E-02   4.5859000E-02   4.6408000E-02   4.5880000E-02   4.4534000E-02   4.4153000E-02   4.6408000E-02   4.6408000E-02   4.4153000E-02   4.6677000E-02   4.4534000E-02   4.4534000E-02   4.5943000E-02   4.5880000E-02   4.4534000E-02   4.4818000E-02   4.5859000E-02   4.4534000E-02   4.5943000E-02   4.5859000E-02   4.7774000E-02   5.0636000E-02   4.4818000E-02   4.5943000E-02   4.6408000E-02   4.4153000E-02   4.5859000E-02   4.4534000E-02   4.4153000E-02   4.4534000E-02   4.4153000E-02   4.4534000E-02   4.4153000E-02   4.4534000E-02   4.5943000E-02   4.6408000E-02   4.4818000E-02   4.6408000E-02   4.5880000E-02   4.7774000E-02   4.5943000E-02   4.4534000E-02   4.4153000E-02   4.7774000E-02   4.5880000E-02   4.5943000E-02   4.6677000E-02   4.4818000E-02   4.4818000E-02   4.4534000E-02  
3   4.4818000E-02   4.4534000E-02   4.5859000E-02   4.4153000E-02   4.4153000E-02   4.5943000E-02   4.4534000E-02   4.4534000E-02   4.5738000E-02   4.6677000E-02   4.4534000E-02   4.5880000E-02   4.5738000E-02   4.4153000E-02   4.4153000E-02   4.4153000E-02   4.4153000E-02   4.4153000E-02   4.4153000E-02   4.5738000E-02   4.4153000E-02   4.4818000E-02   4.4534000E-02   4.5880000E-02   4.4534000E-02   4.4534000E-02   4.4818000E-02   4.4818000E-02   4.6408000E-02   4.4818000E-02   4.5738000E-02   4.5943000E-02   4.6408000E-02   4.5880000E-02   4.7529000E-02   4.4818000E-02   5.3773000E-02   4.4534000E-02   4.5880000E-02   4.4534000E-02   4.5738000E-02   4.5943000E-02   4.5738000E-02   4.4818000E-02   4.5943000E-02   4.5859000E-02   4.4818000E-02   4.4818000E-02   4.5738000E-02   4.4534000E-02   4.4153000E-02   4.4534000E-02   4.4534000E-02   4.4153000E-02   4.6408000E-02   4.5880000E-02   4.5738000E-02   4.7529000E-02   4.5738000E-02   4.4153000E-02   4.6677000E-02   4.5738000E-02   4.5943000E-02   5.0636000E-02   4.5738000E-02   4.4534000E-02   4.5943000E-02   4.5859000E-02   4.5738000E-02   4.5880000E-02   4.5943000E-02   4.4818000E-02   4.9252000E-02   4.4153000E-02   4.5880000E-02   4.4153000E-02   4.5859000E-02   4.8916000E-02   4.5859000E-02   4.6408000E-02   4.5880000E-02   4.4534000E-02   4.4153000E-02   4.6408000E-02   4.6408000E-02   4.4153000E-02   4.6677000E-02   4.4534000E-02   4.4534000E-02   4.5943000E-02   4.5880000E-02   4.4534000E-02   4.4818000E-02   4.5738000E-02   4.4534000E-02   4.5943000E-02   4.5859000E-02   4.7529000E-02   4.5738000E-02   4.4818000E-02   4.5943000E-02   4.6408000E-02   4.4153000E-02   4.5738000E-02   4.4534000E-02   4.4153000E-02   4.4534000E-02   4.4153000E-02   4.4534000E-02   4.4153000E-02   4.4534000E-02   4.5738000E-02   4.5738000E-02   4.4818000E-02   4.6408000E-02   4.5880000E-02   4.7529000E-02   4.5943000E-02   4.4534000E-02   4.4153000E-02   4.7774000E-02   4.5880000E-02   4.5943000E-02   4.6677000E-02   4.4818000E-02   4.4818000E-02   4.4534000E-02  
4   4.4818000E-02   4.4534000E-02   4.5859000E-02   4.4153000E-02   4.4153000E-02   4.5859000E-02   4.4534000E-02   4.4534000E-02   4.4818000E-02   4.4534000E-02   4.4534000E-02   4.5738000E-02   4.4534000E-02   4.4153000E-02   4.4153000E-02   4.4153000E-02   4.4153000E-02   4.4153000E-02   4.4153000E-02   4.4818000E-02   4.4153000E-02   4.4818000E-02   4.4534000E-02   4.5738000E-02   4.4153000E-02   4.4534000E-02   4.4534000E-02   4.4818000E-02   4.4534000E-02   4.4153000E-02   4.5738000E-02   4.4153000E-02   4.6408000E-02   4.5880000E-02   4.5943000E-02   4.4534000E-02   4.4153000E-02   4.4534000E-02   4.4153000E-02   4.4534000E-02   4.4534000E-02   4.5738000E-02   4.5738000E-02   4.4818000E-02   4.5943000E-02   4.5859000E-02   4.4818000E-02   4.4818000E-02   4.4153000E-02   4.4153000E-02   4.4153000E-02   4.4534000E-02   4.4534000E-02   4.4153000E-02   4.6408000E-02   4.5880000E-02   4.5738000E-02   4.4153000E-02   4.4153000E-02   4.4153000E-02   4.6677000E-02   4.5738000E-02   4.5943000E-02   4.4153000E-02   4.5738000E-02   4.4534000E-02   4.5943000E-02   4.4818000E-02   4.5738000E-02   4.4153000E-02   4.4153000E-02   4.4818000E-02   4.4534000E-02   4.4153000E-02   4.5880000E-02   4.4153000E-02   4.5859000E-02   4.4818000E-02   4.5859000E-02   4.6408000E-02   4.5859000E-02   4.4534000E-02   4.4153000E-02   4.5738000E-02   4.4153000E-02   4.4153000E-02   4.5738000E-02   4.4153000E-02   4.4534000E-02   4.4534000E-02   4.5880000E-02   4.4534000E-02   4.4153000E-02   4.5738000E-02   4.4534000E-02   4.5738000E-02   4.5859000E-02   4.6408000E-02   4.5738000E-02   4.4818000E-02   4.4153000E-02   4.6408000E-02   4.4153000E-02   4.4818000E-02   4.4534000E-02   4.4153000E-02   4.4534000E-02   4.4153000E-02   4.4534000E-02   4.4153000E-02   4.4153000E-02   4.4534000E-02   4.4153000E-02   4.4534000E-02   4.6408000E-02   4.5880000E-02   4.5880000E-02   4.4818000E-02   4.4534000E-02   4.4153000E-02   4.4153000E-02   4.5738000E-02   4.5943000E-02   4.5859000E-02   4.4818000E-02   4.4818000E-02   4.4534000E-02  
5   4.4153000E-02   4.4534000E-02   4.3250000E-02   4.4153000E-02   4.3873000E-02   4.5738000E-02   4.3250000E-02   4.4534000E-02   4.3873000E-02   4.4534000E-02   4.3250000E-02   4.3250000E-02   4.3873000E-02   4.3250000E-02   4.3250000E-02   4.3250000E-02   4.4153000E-02   4.4153000E-02   4.4153000E-02   4.4818000E-02   4.4153000E-02   4.3843000E-02   4.4534000E-02   4.3873000E-02   4.4153000E-02   4.3843000E-02   4.3250000E-02   4.3250000E-02   4.4534000E-02   4.4153000E-02   4.5738000E-02   4.3250000E-02   4.6408000E-02   4.3250000E-02   4.3250000E-02   4.4153000E-02   4.3873000E-02   4.4534000E-02   4.3250000E-02   4.3873000E-02   4.3250000E-02   4.3250000E-02   4.3843000E-02   4.4818000E-02   4.4818000E-02   4.3250000E-02   4.3843000E-02   4.3250000E-02   4.3843000E-02   4.3843000E-02   4.4153000E-02   4.4534000E-02   4.4534000E-02   4.4153000E-02   4.3843000E-02   4.4153000E-02   4.3250000E-02   4.3843000E-02   4.4153000E-02   4.3250000E-02   4.4534000E-02   4.4153000E-02   4.3843000E-02   4.4153000E-02   4.5553000E-02   4.4534000E-02   4.5880000E-02   4.4534000E-02   4.3250000E-02   4.4153000E-02   4.4153000E-02   4.4818000E-02   4.3843000E-02   4.4153000E-02   4.4153000E-02   4.4153000E-02   4.5859000E-02   4.3873000E-02   4.5859000E-02   4.3250000E-02   4.5553000E-02   4.3250000E-02   4.3873000E-02   4.3873000E-02   4.4153000E-02   4.4153000E-02   4.5738000E-02   4.3843000E-02   4.4534000E-02   4.4534000E-02   4.4534000E-02   4.4534000E-02   4.3873000E-02   4.4534000E-02   4.3250000E-02   4.4818000E-02   4.5859000E-02   4.3250000E-02   4.5738000E-02   4.4818000E-02   4.3250000E-02   4.3873000E-02   4.4153000E-02   4.4818000E-02   4.3843000E-02   4.4153000E-02   4.3250000E-02   4.3843000E-02   4.4534000E-02   4.4153000E-02   4.4153000E-02   4.3250000E-02   4.4153000E-02   4.3250000E-02   4.3873000E-02   4.3843000E-02   4.3873000E-02   4.4818000E-02   4.4153000E-02   4.4153000E-02   4.4153000E-02   4.5738000E-02   4.5943000E-02   4.5859000E-02   4.4818000E-02   4.4153000E-02   4.4534000E-02  
6   4.3874000E-02   4.4192000E-02   4.3250000E-02   4.3874000E-02   4.3873000E-02   4.5158000E-02   4.3250000E-02   4.4299000E-02   4.3873000E-02   4.3874000E-02   4.3250000E-02   4.3250000E-02   4.3873000E-02   4.3250000E-02   4.3250000E-02   4.3250000E-02   4.4153000E-02   4.4153000E-02   4.4153000E-02   4.4818000E-02   4.4153000E-02   4.3843000E-02   4.4534000E-02   4.3873000E-02   4.4153000E-02   4.3843000E-02   4.3250000E-02   4.3250000E-02   4.4534000E-02   4.4153000E-02   4.5738000E-02   4.3250000E-02   4.4192000E-02   4.3250000E-02   4.3250000E-02   4.4153000E-02   4.3873000E-02   4.4534000E-02   4.3250000E-02   4.3873000E-02   4.3250000E-02   4.3250000E-02   4.3843000E-02   4.3874000E-02   4.4192000E-02   4.3250000E-02   4.3843000E-02   4.3250000E-02   4.3843000E-02   4.3843000E-02   4.4153000E-02   4.3874000E-02   4.4534000E-02   4.4153000E-02   4.3843000E-02   4.4153000E-02   4.3250000E-02   4.3843000E-02   4.3874000E-02   4.3250000E-02   4.4534000E-02   4.4153000E-02   4.3843000E-02   4.4153000E-02   4.5553000E-02   4.4534000E-02   4.5880000E-02   4.4192000E-02   4.3250000E-02   4.3874000E-02   4.4153000E-02   4.3874000E-02   4.3843000E-02   4.3874000E-02   4.4153000E-02   4.4153000E-02   4.4950000E-02   4.3873000E-02   4.5859000E-02   4.3250000E-02   4.4192000E-02   4.3250000E-02   4.3873000E-02   4.3873000E-02   4.4153000E-02   4.4153000E-02   4.5738000E-02   4.3843000E-02   4.3874000E-02   4.4299000E-02   4.3874000E-02   4.3874000E-02   4.3873000E-02   4.4534000E-02   4.3250000E-02   4.4192000E-02   4.5859000E-02   4.3250000E-02   4.4192000E-02   4.4818000E-02   4.3250000E-02   4.3873000E-02   4.3874000E-02   4.4299000E-02   4.3843000E-02   4.4153000E-02   4.3250000E-02   4.3843000E-02   4.4534000E-02   4.4153000E-02   4.4153000E-02   4.3250000E-02   4.3874000E-02   4.3250000E-02   4.3873000E-02   4.3843000E-02   4.3873000E-02   4.4299000E-02   4.4153000E-02   4.4153000E-02   4.4153000E-02   4.4573000E-02   4.4573000E-02   4.3874000E-02   4.3874000E-02   4.4153000E-02   4.4534000E-02  
7   4.3250000E-02   4.3222000E-02   4.3250000E-02   4.3700000E-02   4.3873000E-02   4.2783000E-02   4.3250000E-02   4.3432000E-02   4.3222000E-02   4.3874000E-02   4.3250000E-02   4.3250000E-02   4.3843000E-02   4.3244000E-02   4.2783000E-02   4.3222000E-02   4.3700000E-02   4.3250000E-02   4.3873000E-02   4.2783000E-02   4.2783000E-02   4.3843000E-02   4.3250000E-02   4.3244000E-02   4.3432000E-02   4.3843000E-02   4.3250000E-02   4.3222000E-02   4.3250000E-02   4.3900000E-02   4.2783000E-02   4.3250000E-02   4.3700000E-02   4.3250000E-02   4.3250000E-02   4.3432000E-02   4.3873000E-02   4.3250000E-02   4.3222000E-02   4.3843000E-02   4.3250000E-02   4.3250000E-02   4.3481000E-02   4.3843000E-02   4.3874000E-02   4.3222000E-02   4.3222000E-02   4.3250000E-02   4.3843000E-02   4.3843000E-02   4.3432000E-02   4.3843000E-02   4.3244000E-02   4.3244000E-02   4.2783000E-02   4.3244000E-02   4.2783000E-02   4.3843000E-02   4.3250000E-02   4.2783000E-02   4.2783000E-02   4.3250000E-02   4.3432000E-02   4.4153000E-02   4.3244000E-02   4.3843000E-02   4.3481000E-02   4.3432000E-02   4.3222000E-02   4.3700000E-02   4.4153000E-02   4.3874000E-02   4.3244000E-02   4.3222000E-02   4.3222000E-02   4.4153000E-02   4.3222000E-02   4.3244000E-02   4.3244000E-02   4.3250000E-02   4.4192000E-02   4.3222000E-02   4.3432000E-02   4.2783000E-02   4.3873000E-02   4.3222000E-02   4.3873000E-02   4.3843000E-02   4.3873000E-02   4.3244000E-02   4.3250000E-02   4.3874000E-02   4.3873000E-02   4.3250000E-02   4.3244000E-02   4.3222000E-02   4.3222000E-02   4.3250000E-02   4.3700000E-02   4.2783000E-02   4.3250000E-02   4.2783000E-02   4.3222000E-02   4.3432000E-02   4.3481000E-02   4.3481000E-02   4.3250000E-02   4.3250000E-02   4.3432000E-02   4.2783000E-02   4.3432000E-02   4.3250000E-02   4.3222000E-02   4.3250000E-02   4.3244000E-02   4.3843000E-02   4.3873000E-02   4.3244000E-02   4.3250000E-02   4.2783000E-02   4.3244000E-02   4.3244000E-02   4.3244000E-02   4.3481000E-02   4.3244000E-02   4.3481000E-02   4.3244000E-02  
8   4.3250000E-02   4.3222000E-02   4.3250000E-02   4.3700000E-02   4.3873000E-02   4.2783000E-02   4.3250000E-02   4.3432000E-02   4.3222000E-02   4.3719000E-02   4.3250000E-02   4.3250000E-02   4.3843000E-02   4.3244000E-02   4.2783000E-02   4.3222000E-02   4.3700000E-02   4.3250000E-02   4.3719000E-02   4.2783000E-02   4.2783000E-02   4.3719000E-02   4.3250000E-02   4.3244000E-02   4.3432000E-02   4.3843000E-02   4.3250000E-02   4.3222000E-02   4.3250000E-02   4.3900000E-02   4.2783000E-02   4.3250000E-02   4.3700000E-02   4.3250000E-02   4.3250000E-02   4.3432000E-02   4.3719000E-02   4.3250000E-02   4.3222000E-02   4.3451000E-02   4.3250000E-02   4.3250000E-02   4.3481000E-02   4.3719000E-02   4.3874000E-02   4.3222000E-02   4.3222000E-02   4.3250000E-02   4.3451000E-02   4.3451000E-02   4.3432000E-02   4.3451000E-02   4.3244000E-02   4.3244000E-02   4.2783000E-02   4.3244000E-02   4.2783000E-02   4.3843000E-02   4.3250000E-02   4.2783000E-02   4.2783000E-02   4.3250000E-02   4.3432000E-02   4.4153000E-02   4.3244000E-02   4.3843000E-02   4.3481000E-02   4.3432000E-02   4.3222000E-02   4.3700000E-02   4.3719000E-02   4.3874000E-02   4.3244000E-02   4.3222000E-02   4.3222000E-02   4.3451000E-02   4.3222000E-02   4.3244000E-02   4.3244000E-02   4.3250000E-02   4.3719000E-02   4.3222000E-02   4.3432000E-02   4.2783000E-02   4.3451000E-02   4.3222000E-02   4.3873000E-02   4.3843000E-02   4.3873000E-02   4.3244000E-02   4.3250000E-02   4.3451000E-02   4.3873000E-02   4.3250000E-02   4.3244000E-02   4.3222000E-02   4.3222000E-02   4.3250000E-02   4.3451000E-02   4.2783000E-02   4.3250000E-02   4.2783000E-02   4.3222000E-02   4.3432000E-02   4.3481000E-02   4.3481000E-02   4.3250000E-02   4.3250000E-02   4.3432000E-02   4.2783000E-02   4.3432000E-02   4.3250000E-02   4.3222000E-02   4.3250000E-02   4.3244000E-02   4.3843000E-02   4.3873000E-02   4.3244000E-02   4.3250000E-02   4.2783000E-02   4.3244000E-02   4.3244000E-02   4.3244000E-02   4.3481000E-02   4.3244000E-02   4.3481000E-02   4.3244000E-02  
9   4.2709000E-02   4.2181000E-02   4.2783000E-02   4.2181000E-02   4.3481000E-02   4.2709000E-02   4.2783000E-02   4.2181000E-02   4.2181000E-02   4.3719000E-02   4.2181000E-02   4.1951000E-02   4.3222000E-02   4.3072000E-02   4.1951000E-02   4.3072000E-02   4.2709000E-02   4.1951000E-02   4.2181000E-02   4.2783000E-02   4.2181000E-02   4.3250000E-02   4.3250000E-02   4.1951000E-02   4.1951000E-02   4.2709000E-02   4.2181000E-02   4.3222000E-02   4.3250000E-02   4.3072000E-02   4.1951000E-02   4.1951000E-02   4.3072000E-02   4.3250000E-02   4.3244000E-02   4.2783000E-02   4.1951000E-02   4.3250000E-02   4.3222000E-02   4.3451000E-02   4.2783000E-02   4.2709000E-02   4.3072000E-02   4.3222000E-02   4.3432000E-02   4.2783000E-02   4.3222000E-02   4.2181000E-02   4.3222000E-02   4.2181000E-02   4.3072000E-02   4.2181000E-02   4.3222000E-02   4.3244000E-02   4.2783000E-02   4.3072000E-02   4.1951000E-02   4.2709000E-02   4.1951000E-02   4.2709000E-02   4.2181000E-02   4.3072000E-02   4.2709000E-02   4.1951000E-02   4.1951000E-02   4.1951000E-02   4.1951000E-02   4.3250000E-02   4.3222000E-02   4.1951000E-02   4.3222000E-02   4.1951000E-02   4.3244000E-02   4.3072000E-02   4.2783000E-02   4.3222000E-02   4.1951000E-02   4.2181000E-02   4.2783000E-02   4.2181000E-02   4.1951000E-02   4.1951000E-02   4.2709000E-02   4.2783000E-02   4.2783000E-02   4.2709000E-02   4.1951000E-02   4.3481000E-02   4.1951000E-02   4.2181000E-02   4.2783000E-02   4.3432000E-02   4.3432000E-02   4.2709000E-02   4.1951000E-02   4.2783000E-02   4.3222000E-02   4.2783000E-02   4.2181000E-02   4.2709000E-02   4.1951000E-02   4.2783000E-02   4.1951000E-02   4.3072000E-02   4.2181000E-02   4.3244000E-02   4.2783000E-02   4.3250000E-02   4.3244000E-02   4.2783000E-02   4.3432000E-02   4.2181000E-02   4.3222000E-02   4.3222000E-02   4.3244000E-02   4.3451000E-02   4.3873000E-02   4.1951000E-02   4.3244000E-02   4.2783000E-02   4.2709000E-02   4.2181000E-02   4.2181000E-02   4.1951000E-02   4.1951000E-02   4.3481000E-02   4.2181000E-02  
10   4.2709000E-02   4.2181000E-02   4.2550000E-02   4.2181000E-02   4.3481000E-02   4.2709000E-02   4.2550000E-02   4.2181000E-02   4.2181000E-02   4.3719000E-02   4.2181000E-02   4.1951000E-02   4.3222000E-02   4.3072000E-02   4.1951000E-02   4.3072000E-02   4.2709000E-02   4.1951000E-02   4.2181000E-02   4.2783000E-02   4.2181000E-02   4.2923000E-02   4.3250000E-02   4.1951000E-02   4.1951000E-02   4.2550000E-02   4.2181000E-02   4.3222000E-02   4.3250000E-02   4.2923000E-02   4.1951000E-02   4.1951000E-02   4.3072000E-02   4.3250000E-02   4.3244000E-02   4.2550000E-02   4.1951000E-02   4.3250000E-02   4.3222000E-02   4.3451000E-02   4.2550000E-02   4.2709000E-02   4.3072000E-02   4.3222000E-02   4.3432000E-02   4.2550000E-02   4.3222000E-02   4.2181000E-02   4.3222000E-02   4.2181000E-02   4.3072000E-02   4.2181000E-02   4.3222000E-02   4.3244000E-02   4.2783000E-02   4.3072000E-02   4.1951000E-02   4.2709000E-02   4.1951000E-02   4.2709000E-02   4.2181000E-02   4.3072000E-02   4.2550000E-02   4.1951000E-02   4.1951000E-02   4.1951000E-02   4.1951000E-02   4.2923000E-02   4.2923000E-02   4.1951000E-02   4.3222000E-02   4.1951000E-02   4.2923000E-02   4.3072000E-02   4.2550000E-02   4.3222000E-02   4.1951000E-02   4.2181000E-02   4.2550000E-02   4.2181000E-02   4.1951000E-02   4.1951000E-02   4.2709000E-02   4.2550000E-02   4.2550000E-02   4.2709000E-02   4.1951000E-02   4.3481000E-02   4.1951000E-02   4.2181000E-02   4.2550000E-02   4.3432000E-02   4.3432000E-02   4.2709000E-02   4.1951000E-02   4.2550000E-02   4.3222000E-02   4.2550000E-02   4.2181000E-02   4.2709000E-02   4.1951000E-02   4.2783000E-02   4.1951000E-02   4.2923000E-02   4.2181000E-02   4.3244000E-02   4.2550000E-02   4.3250000E-02   4.3244000E-02   4.2783000E-02   4.3432000E-02   4.2181000E-02   4.3222000E-02   4.3222000E-02   4.2923000E-02   4.3451000E-02   4.2923000E-02   4.1951000E-02   4.3244000E-02   4.2783000E-02   4.2550000E-02   4.2181000E-02   4.2181000E-02   4.1951000E-02   4.1951000E-02   4.3481000E-02   4.2181000E-02  
