Iter    Part1    Part2    Part3    Part4    Part5    Part6    Part7    Part8    Part9    Part10    Part11    Part12    Part13    Part14    Part15    Part16    Part17    Part18    Part19    Part20    Part21    Part22    Part23    Part24    Part25    Part26    Part27    Part28    Part29    Part30    Part31    Part32    Part33    Part34    Part35    Part36    Part37    Part38    Part39    Part40    Part41    Part42    Part43    Part44    Part45    Part46    Part47    Part48    Part49    Part50    Part51    Part52    Part53    Part54    Part55    Part56    Part57    Part58    Part59    Part60    Part61    Part62    Part63    Part64    Part65    Part66    Part67    Part68    Part69    Part70    Part71    Part72    Part73    Part74    Part75    Part76    Part77    Part78    Part79    Part80    Part81    Part82    Part83    Part84    Part85    Part86    Part87    Part88    Part89    Part90    Part91    Part92    Part93    Part94    Part95    Part96    Part97    Part98    Part99    Part100    Part101    Part102    Part103    Part104    Part105    Part106    Part107    Part108    Part109    Part110    Part111    Part112    Part113    Part114    Part115    Part116    Part117    Part118    Part119    Part120    Part121    Part122    Part123    Part124    Part125    Part126    Part127  
1   6.1539000E-02   2.6535500E-01   7.0189000E-02   2.4510300E-01   9.2356000E-02   1.6542600E-01   6.4274000E-02   7.3383000E-02   6.5278000E-02   1.6636800E-01   6.2192000E-02   1.3357600E-01   1.0398600E-01   1.4558400E-01   2.3597700E-01   1.2487400E-01   1.1459700E-01   7.1454000E-02   1.3354200E-01   4.6408000E-02   6.2637000E-02   4.4818000E-02   1.2224800E-01   4.9252000E-02   2.1872900E-01   2.2370400E-01   1.2902400E-01   1.6891300E-01   5.2577000E-02   1.5201500E-01   1.8800400E-01   2.6128200E-01   1.6799800E-01   1.4813700E-01   5.9177000E-02   1.1185400E-01   1.9925900E-01   9.7686000E-02   1.9728200E-01   5.2620000E-02   2.0841200E-01   1.0125700E-01   9.6533000E-02   8.8559000E-02   2.0557000E-01   1.8203900E-01   5.2117000E-02   2.7399300E-01   8.2730000E-02   1.1132300E-01   1.1586500E-01   7.6172000E-02   1.6843300E-01   6.5049000E-02   2.5752300E-01   6.9493000E-02   5.0636000E-02   7.6252000E-02   2.0298100E-01   5.6807000E-02   2.5819300E-01   2.0258900E-01   8.0267000E-02   8.3265000E-02   1.6941400E-01   2.7026100E-01   6.2624000E-02   1.1352200E-01   6.7835000E-02   9.6504000E-02   7.0054000E-02   1.7666600E-01   5.7735000E-02   2.2366500E-01   5.9863000E-02   9.5306000E-02   8.8031000E-02   2.0083200E-01   7.9641000E-02   1.2789900E-01   1.8532500E-01   5.2945000E-02   2.3955400E-01   1.7037300E-01   1.3430500E-01   2.2818000E-01   7.6295000E-02   2.4464200E-01   1.6840100E-01   1.9214100E-01   2.1719000E-01   6.3637000E-02   1.1820200E-01   1.8752500E-01   1.6516500E-01   1.3543800E-01   1.0059000E-01   5.7616000E-02   1.2534100E-01   6.3503000E-02   1.6892600E-01   1.8857700E-01   7.5313000E-02   7.0646000E-02   1.3977100E-01   2.6775000E-01   6.0154000E-02   2.8768400E-01   1.6206100E-01   1.1155000E-01   1.8053700E-01   8.0025000E-02   1.6081500E-01   1.0745600E-01   1.3146900E-01   1.1959300E-01   9.3320000E-02   6.6963000E-02   1.5267600E-01   8.8153000E-02   1.7142500E-01   2.3622000E-01   1.0124100E-01   6.9938000E-02   9.6527000E-02   1.0715600E-01   2.1492800E-01  
2   4.9904000E-02   1.6050600E-01   1.3342600E-01   1.4589000E-01   7.8530000E-02   5.2488000E-02   1.0014400E-01   5.6405000E-02   6.3882000E-02   1.4112000E-01   1.0019800E-01   2.1647700E-01   1.2752900E-01   1.5737300E-01   5.6988000E-02   5.1752000E-02   1.0198600E-01   1.1270200E-01   2.0980200E-01   5.3889000E-02   1.0417100E-01   5.4456000E-02   1.1481800E-01   1.0156100E-01   9.8396000E-02   9.4342000E-02   2.3245900E-01   4.5880000E-02   5.2644000E-02   5.4562000E-02   7.8273000E-02   8.9555000E-02   7.5432000E-02   2.0349500E-01   1.0789800E-01   6.1491000E-02   1.0700400E-01   9.9568000E-02   1.0157900E-01   1.5017900E-01   2.4142600E-01   1.4195400E-01   1.4235500E-01   6.3426000E-02   5.4028000E-02   2.4745700E-01   6.2691000E-02   5.5054000E-02   1.7795200E-01   2.0378500E-01   8.2675000E-02   8.0597000E-02   2.1681800E-01   7.0942000E-02   2.4079600E-01   1.8519100E-01   7.5668000E-02   9.3265000E-02   1.6285600E-01   1.2448100E-01   6.1270000E-02   1.3085500E-01   2.1165300E-01   9.5999000E-02   9.7032000E-02   4.4534000E-02   1.4377800E-01   4.5859000E-02   1.7264800E-01   1.1238500E-01   1.0640500E-01   1.6698300E-01   7.3034000E-02   6.8637000E-02   4.7774000E-02   4.4153000E-02   1.6827300E-01   6.4902000E-02   5.1109000E-02   1.2418800E-01   1.2289200E-01   1.6796600E-01   1.1016100E-01   1.6281000E-01   6.3959000E-02   5.1633000E-02   9.0032000E-02   1.3051900E-01   1.1031900E-01   5.4737000E-02   2.4095900E-01   7.0793000E-02   9.1147000E-02   7.2408000E-02   1.1623600E-01   6.2858000E-02   1.5928200E-01   2.3942700E-01   1.1481000E-01   7.2385000E-02   1.5155800E-01   1.6619800E-01   9.2589000E-02   8.1695000E-02   1.8292200E-01   4.6677000E-02   5.7683000E-02   1.1491200E-01   1.4015500E-01   2.4454200E-01   1.1449500E-01   4.5943000E-02   1.6323600E-01   1.1723100E-01   2.3094000E-01   1.2345600E-01   6.9005000E-02   7.0309000E-02   5.6900000E-02   7.6270000E-02   2.0422400E-01   9.0838000E-02   1.2741000E-01   2.0257200E-01   1.1795400E-01   1.6800900E-01   6.6088000E-02  
3   1.8622300E-01   5.9416000E-02   1.2073300E-01   7.0564000E-02   7.9602000E-02   1.3508200E-01   1.3085000E-01   4.9956000E-02   5.3773000E-02   9.9775000E-02   1.2819200E-01   2.9392600E-01   6.8779000E-02   1.2151800E-01   7.8015000E-02   1.6549200E-01   9.0457000E-02   1.2509000E-01   2.5538800E-01   5.9405000E-02   1.3708000E-01   5.1665000E-02   1.0767800E-01   1.1807700E-01   1.1155400E-01   5.6439000E-02   2.6657400E-01   8.5260000E-02   5.7191000E-02   1.0056200E-01   4.5738000E-02   5.4359000E-02   6.9339000E-02   2.1950500E-01   1.7967200E-01   7.9232000E-02   2.1048200E-01   1.1083300E-01   1.5603400E-01   2.2792600E-01   2.5093800E-01   1.3847900E-01   1.5979700E-01   6.9661000E-02   8.9180000E-02   2.5438700E-01   5.2148000E-02   1.0896700E-01   2.2611500E-01   1.8977800E-01   1.2763400E-01   1.1504400E-01   1.9768200E-01   1.1084500E-01   1.4183700E-01   1.2510000E-01   8.4746000E-02   1.2438200E-01   1.5133100E-01   1.4160700E-01   5.5011000E-02   7.8225000E-02   2.2486300E-01   1.1932900E-01   1.2827400E-01   5.0182000E-02   1.5686200E-01   1.0090000E-01   2.1235200E-01   1.0135900E-01   7.1754000E-02   1.0001200E-01   9.7165000E-02   7.8424000E-02   7.3549000E-02   6.7862000E-02   9.1266000E-02   1.5629900E-01   4.7529000E-02   8.2747000E-02   4.8916000E-02   1.7741200E-01   5.2717000E-02       Inf   7.4672000E-02   1.1970700E-01   6.7023000E-02   5.5919000E-02   1.0893900E-01   1.0340600E-01   2.0452100E-01   8.3944000E-02   7.2023000E-02   5.7381000E-02       Inf   6.2265000E-02   1.3441000E-01   2.6937800E-01   9.5755000E-02   9.9740000E-02   1.0892200E-01   1.2702700E-01   1.0202900E-01   1.4894900E-01   1.0936400E-01   7.2333000E-02   6.4610000E-02   8.6115000E-02   1.5475800E-01   2.5856400E-01   8.1670000E-02   5.8637000E-02   1.5662400E-01   8.3970000E-02   2.1806400E-01   6.7461000E-02   6.6854000E-02   5.6742000E-02   5.2682000E-02   7.9739000E-02   2.2214000E-01   8.0961000E-02   1.4996700E-01   2.1110000E-01   1.0089000E-01   1.9621200E-01   7.5827000E-02  
4   1.6258700E-01   5.9704000E-02   1.2749800E-01   8.7976000E-02   1.1497500E-01   5.5261000E-02   1.1496000E-01   4.9949000E-02   6.0283000E-02   1.0477500E-01   1.2462900E-01   2.8155100E-01   7.9396000E-02   4.7911000E-02   8.5187000E-02   1.0347000E-01   6.7112000E-02   6.3029000E-02   2.2555500E-01   7.1761000E-02   1.2154000E-01   1.1351500E-01   8.4230000E-02   7.4294000E-02   1.2001900E-01   6.3885000E-02   2.6173500E-01   8.3982000E-02   9.2404000E-02   5.5919000E-02   1.0929700E-01   6.6275000E-02   8.3518000E-02   1.1790200E-01   2.0481000E-01   1.7603600E-01   1.7608300E-01   1.2192500E-01   9.6038000E-02   1.9236700E-01   1.6892100E-01   6.4883000E-02   1.2021700E-01   5.4058000E-02   8.3098000E-02   2.2008500E-01   1.3165900E-01   5.1803000E-02   9.9804000E-02   9.7364000E-02   5.9492000E-02   8.6586000E-02   1.0720700E-01   8.5603000E-02   5.2744000E-02   5.8178000E-02   6.4902000E-02   1.4017300E-01   1.6119900E-01   1.1440600E-01   1.2062800E-01   6.2091000E-02   1.8295900E-01   6.2771000E-02   5.1972000E-02   5.5527000E-02   5.8122000E-02   7.5203000E-02   2.0799700E-01   5.2704000E-02   8.6582000E-02   5.4364000E-02   1.1210200E-01   9.2899000E-02   4.9362000E-02   7.7031000E-02   8.4016000E-02   9.9014000E-02   5.2600000E-02   7.0448000E-02   7.8571000E-02   9.4363000E-02   5.8861000E-02   9.3362000E-02   7.4901000E-02   2.2960500E-01   6.4175000E-02   1.2740500E-01   1.8224800E-01   6.3199000E-02   1.6536400E-01   1.4097700E-01   6.6626000E-02   6.2325000E-02   9.8896000E-02   1.3254600E-01   1.0392800E-01   1.4976200E-01   8.1665000E-02   7.7083000E-02   6.0763000E-02   7.0185000E-02   8.5751000E-02   1.0476800E-01   5.7989000E-02   9.7603000E-02   9.3789000E-02   8.9747000E-02   9.5588000E-02   2.0932300E-01   7.3348000E-02   7.7911000E-02   1.3257300E-01   8.2246000E-02   1.7975200E-01   5.8482000E-02   7.8793000E-02   8.1840000E-02   5.8484000E-02   1.3379700E-01   2.2281300E-01       Inf   7.8208000E-02   1.6258300E-01   4.7542000E-02   9.1140000E-02   8.5671000E-02  
5   8.8922000E-02   4.7271000E-02   1.4792300E-01   8.8063000E-02   1.1488300E-01   6.5461000E-02   8.6759000E-02   6.5605000E-02   4.3873000E-02   5.9332000E-02   9.1479000E-02   1.8069900E-01   9.6960000E-02   4.7541000E-02   4.8285000E-02   1.7990400E-01   5.8389000E-02   6.7813000E-02   1.3408800E-01   4.8789000E-02   4.9018000E-02   1.3969500E-01   7.5456000E-02   5.5195000E-02   7.2842000E-02   4.8709000E-02   2.0846200E-01   5.9863000E-02   7.9639000E-02   5.3639000E-02   1.2497900E-01   6.1048000E-02   5.9075000E-02   5.0457000E-02   1.0545600E-01   1.8405300E-01   1.4024500E-01   1.2702300E-01   1.6360200E-01   1.4097100E-01   8.6075000E-02   5.9980000E-02   1.0040700E-01   4.6462000E-02   6.0311000E-02   1.7543900E-01   1.7931600E-01   1.0693500E-01   7.0287000E-02   4.3843000E-02   7.4231000E-02   7.0644000E-02   5.2413000E-02   5.0208000E-02   5.0518000E-02   7.1740000E-02   4.6564000E-02   1.1030700E-01   1.2119200E-01   6.6094000E-02   1.5314700E-01   9.1095000E-02   8.5855000E-02   4.8018000E-02   6.9985000E-02   1.0639000E-01   4.6770000E-02   6.7081000E-02   1.2414400E-01   6.6051000E-02   1.2652900E-01   4.5686000E-02   9.5534000E-02   5.0159000E-02   6.2508000E-02   5.2625000E-02   4.6797000E-02   5.5824000E-02   6.1589000E-02   5.7375000E-02   4.9327000E-02   5.4801000E-02   7.0049000E-02   8.5352000E-02   7.9434000E-02   1.2582400E-01   5.4364000E-02   1.1022800E-01   1.5568500E-01   6.5292000E-02   1.0504300E-01   1.6504700E-01   6.4673000E-02   7.0062000E-02   7.3837000E-02   1.6711900E-01   1.1868400E-01   6.2946000E-02   4.8576000E-02   7.8243000E-02   6.0067000E-02   6.3465000E-02   9.5448000E-02   4.5553000E-02   5.6320000E-02   1.0278100E-01   1.0074700E-01   6.0826000E-02   7.2453000E-02   4.7342000E-02   6.2274000E-02   4.3250000E-02   6.4674000E-02   6.9854000E-02   7.3969000E-02   6.2958000E-02   9.2547000E-02   1.1593700E-01   4.6334000E-02   8.3597000E-02   1.7252800E-01   1.4382800E-01   5.5466000E-02   6.1913000E-02   1.0320100E-01   9.5008000E-02   1.2943800E-01  
6   8.5770000E-02   4.4950000E-02   1.1808700E-01   5.5018000E-02   7.1815000E-02   1.0019200E-01   8.3728000E-02   7.2451000E-02   4.9094000E-02   5.2264000E-02   5.1710000E-02   7.0874000E-02   1.0938100E-01   5.0304000E-02   8.6056000E-02   1.7314500E-01   6.6253000E-02   9.2121000E-02   6.3263000E-02   6.6080000E-02   4.5905000E-02   9.8148000E-02   5.3169000E-02   1.0412600E-01   5.2879000E-02   8.7091000E-02   4.9530000E-02   5.4102000E-02   5.3863000E-02   5.4830000E-02   1.2143500E-01   6.5828000E-02   4.7340000E-02   4.5158000E-02   1.0323700E-01   1.1371000E-01   9.9946000E-02   6.0461000E-02   1.4538000E-01   6.1310000E-02   9.4555000E-02   6.2095000E-02   6.4250000E-02   4.8953000E-02   5.4756000E-02   9.5334000E-02   1.0151400E-01   1.0978500E-01   7.5960000E-02   4.7016000E-02   1.0562900E-01   5.2774000E-02   5.8745000E-02   5.8076000E-02   6.9507000E-02   5.0647000E-02   4.4573000E-02   6.9621000E-02   8.6547000E-02   1.3479400E-01   1.2626600E-01   8.5548000E-02   1.3401900E-01   5.8610000E-02   1.0042100E-01   1.4825200E-01   5.0346000E-02   1.0775900E-01   5.3754000E-02   7.0426000E-02   1.0438100E-01   5.1703000E-02   6.3211000E-02   5.8927000E-02   5.2506000E-02   4.7458000E-02   5.7926000E-02   4.9614000E-02   4.7825000E-02   6.1985000E-02   8.1750000E-02   1.6030900E-01   5.3037000E-02   7.8272000E-02   5.2683000E-02   4.9648000E-02   4.9210000E-02   8.2035000E-02   1.1917500E-01   4.5698000E-02   5.9651000E-02   1.2910800E-01   4.9493000E-02   5.7721000E-02   6.7908000E-02   1.1782900E-01   1.9388500E-01   6.9107000E-02   4.8943000E-02   6.0613000E-02   8.0961000E-02   1.5974600E-01   1.1405500E-01   6.1786000E-02   7.1947000E-02   8.6335000E-02   6.4363000E-02   4.4192000E-02   1.3370600E-01   8.7669000E-02   6.4428000E-02   6.1861000E-02   4.3874000E-02   5.2660000E-02   5.7308000E-02   6.9820000E-02   1.0949200E-01   1.2652300E-01   4.6378000E-02   5.8903000E-02   7.7621000E-02   1.4265400E-01   4.7247000E-02   4.4299000E-02   9.1863000E-02   8.0302000E-02   1.1855100E-01  
7   9.8124000E-02   4.3222000E-02   6.4705000E-02   4.5447000E-02   4.5212000E-02   9.9320000E-02   8.7719000E-02   4.4801000E-02   6.9090000E-02   8.2488000E-02   6.0010000E-02   1.0752500E-01   6.8497000E-02   4.9421000E-02   1.1555700E-01   9.1438000E-02   6.7685000E-02   5.9187000E-02   5.4131000E-02   4.3432000E-02   4.2783000E-02   7.7378000E-02   4.3700000E-02   5.5072000E-02   4.5724000E-02   9.8336000E-02   1.1493300E-01   5.0734000E-02   5.0050000E-02   5.6700000E-02   1.1627900E-01   9.6013000E-02   4.9832000E-02   4.5044000E-02   1.8155000E-01   5.8683000E-02   5.6785000E-02   7.0178000E-02   1.0546100E-01   9.0464000E-02   1.7411500E-01   4.5928000E-02   5.4295000E-02   6.0224000E-02   5.9617000E-02   6.0590000E-02   5.3370000E-02   7.5951000E-02   5.1424000E-02   4.7203000E-02   5.7437000E-02   4.6094000E-02   5.9519000E-02   5.2884000E-02   1.1036800E-01   7.1561000E-02   6.5762000E-02   5.8227000E-02   6.1842000E-02   1.2314000E-01   7.1558000E-02   5.0003000E-02   8.0646000E-02   6.8587000E-02   1.0571300E-01   1.2671000E-01   5.7879000E-02   1.3489200E-01   6.4333000E-02   6.6009000E-02   8.9423000E-02   4.9979000E-02   5.2184000E-02   6.0199000E-02   4.5467000E-02   5.1336000E-02   5.1890000E-02   6.5912000E-02   6.4185000E-02   8.0536000E-02   1.2143000E-01   5.5821000E-02   6.3416000E-02   7.7385000E-02   4.3900000E-02   7.3122000E-02   6.1484000E-02   7.1950000E-02   7.3438000E-02   4.3244000E-02   9.8895000E-02   1.0637400E-01   4.5081000E-02   8.0380000E-02   6.0221000E-02   4.6791000E-02   1.8572600E-01   6.5645000E-02   6.1730000E-02   5.0541000E-02   7.2932000E-02   1.4958100E-01   1.5420400E-01   5.0778000E-02   6.5996000E-02   5.3127000E-02   4.9153000E-02   5.2897000E-02   1.8900900E-01   9.1853000E-02   8.5494000E-02   6.2501000E-02   4.6034000E-02   6.6717000E-02   4.3481000E-02   6.2989000E-02   1.1449600E-01   6.5665000E-02   4.8669000E-02   9.7651000E-02   7.4256000E-02   7.7968000E-02   5.1315000E-02   9.2761000E-02   7.2934000E-02   6.5857000E-02   6.0256000E-02  
8   5.1512000E-02   4.5328000E-02   8.8260000E-02   4.6631000E-02   4.6551000E-02   5.1388000E-02   5.8187000E-02   7.8334000E-02   4.6162000E-02   1.3264000E-01   6.7624000E-02   9.2228000E-02   4.6414000E-02   5.0716000E-02   9.4538000E-02   5.1646000E-02   4.4719000E-02   4.6468000E-02   4.7932000E-02   4.7491000E-02   4.3079000E-02   5.4327000E-02   4.5815000E-02   5.9382000E-02   5.3696000E-02   7.6402000E-02   7.3206000E-02   4.7863000E-02   5.2548000E-02   4.8415000E-02   4.9349000E-02   1.0134300E-01   8.5678000E-02   6.6189000E-02   1.0856900E-01   9.7244000E-02   4.8617000E-02   4.9869000E-02   8.3751000E-02   1.2973300E-01   8.0732000E-02   4.9264000E-02   5.1371000E-02   6.3616000E-02   6.1301000E-02   4.8821000E-02   6.0209000E-02   4.6554000E-02   4.3451000E-02   4.6867000E-02   4.9367000E-02   4.5198000E-02   5.1994000E-02   8.6871000E-02   8.2417000E-02   8.6531000E-02   7.2033000E-02   4.6536000E-02   6.4852000E-02   7.9418000E-02   4.5980000E-02   5.5199000E-02   6.3209000E-02   6.1870000E-02   7.6315000E-02   6.5676000E-02   5.0320000E-02   1.1686600E-01   4.8547000E-02   6.8573000E-02   7.5541000E-02   4.6136000E-02   4.4162000E-02   4.7001000E-02   4.7052000E-02   7.3097000E-02   4.6888000E-02   5.0372000E-02   5.7716000E-02   4.3719000E-02   5.5797000E-02   5.9450000E-02   8.7659000E-02   7.4786000E-02   5.2621000E-02   6.7044000E-02   4.5218000E-02   5.8250000E-02   4.7302000E-02   5.0231000E-02   1.1121100E-01   8.5507000E-02   5.0796000E-02   5.3788000E-02   1.0839800E-01   5.1963000E-02   1.0553000E-01   6.8568000E-02   7.4611000E-02   4.8743000E-02   5.1107000E-02   5.1816000E-02   1.5558900E-01   4.4574000E-02   5.9223000E-02   4.4195000E-02   6.2995000E-02   5.2866000E-02   1.3061800E-01   7.9093000E-02   8.0414000E-02   5.7142000E-02   5.4520000E-02   4.8717000E-02   4.4225000E-02   5.0287000E-02   1.0331700E-01   5.2225000E-02   5.9763000E-02   9.8500000E-02   5.8267000E-02   4.5613000E-02   5.4119000E-02   6.8941000E-02   5.0442000E-02   4.6686000E-02   5.4847000E-02  
9   5.7318000E-02   5.2930000E-02   8.9043000E-02   6.6482000E-02   4.8228000E-02   5.7958000E-02   7.8301000E-02   9.1861000E-02   4.9704000E-02   1.1489300E-01   5.4746000E-02   5.3866000E-02   5.9248000E-02   5.0264000E-02   5.0845000E-02   7.1766000E-02   4.2709000E-02   6.7493000E-02   1.2537000E-01   6.4312000E-02   4.3270000E-02   4.3536000E-02   4.3992000E-02   4.5310000E-02   5.8034000E-02   4.6052000E-02   4.9521000E-02   5.6966000E-02   6.4378000E-02   4.4414000E-02   4.4214000E-02   6.2109000E-02   7.7596000E-02   1.2121600E-01   4.6186000E-02   6.0190000E-02   4.9963000E-02   4.7992000E-02   5.2004000E-02   7.8813000E-02   6.2825000E-02   6.5461000E-02   4.9133000E-02   5.5871000E-02   6.6483000E-02   4.7468000E-02   5.1298000E-02   5.1331000E-02   4.7343000E-02   4.5704000E-02   5.8389000E-02   5.1467000E-02   9.1306000E-02   1.4551700E-01   6.3066000E-02   9.7353000E-02   4.3766000E-02   4.4092000E-02   5.0568000E-02   4.7484000E-02   4.4610000E-02   8.4929000E-02   7.8972000E-02   4.6330000E-02   4.5664000E-02   4.4281000E-02   4.6394000E-02   6.5763000E-02   5.4375000E-02   8.4015000E-02   5.9762000E-02   4.3772000E-02   4.4021000E-02   6.5634000E-02   5.2204000E-02   5.3024000E-02   4.7573000E-02   4.3457000E-02   4.8456000E-02   5.5148000E-02   4.4843000E-02   9.9040000E-02   9.3722000E-02   4.7663000E-02   6.1844000E-02   5.3056000E-02   4.3072000E-02   6.9404000E-02   4.9076000E-02   7.8347000E-02   8.4100000E-02   1.2179900E-01   6.5793000E-02   9.7286000E-02   5.1079000E-02   4.3462000E-02   4.5470000E-02   6.0729000E-02   4.2181000E-02   4.3511000E-02   4.1951000E-02   9.6998000E-02   1.0927700E-01   6.3778000E-02   5.6137000E-02   4.8851000E-02   5.5140000E-02   5.0925000E-02   4.6083000E-02   5.0643000E-02   6.2465000E-02   4.5889000E-02   7.4825000E-02   6.2541000E-02   5.1800000E-02   4.5630000E-02   1.5042400E-01   5.8253000E-02   6.2553000E-02   7.6046000E-02   5.4209000E-02   6.7813000E-02   5.2915000E-02   6.2553000E-02   5.3812000E-02   7.5646000E-02   4.4478000E-02  
10   9.1905000E-02   6.1062000E-02   8.7092000E-02   4.9398000E-02   5.3551000E-02   1.1826000E-01   8.8709000E-02   1.0194100E-01   6.3511000E-02   5.6834000E-02   5.7739000E-02   4.5696000E-02   4.4596000E-02   8.4645000E-02   5.2348000E-02   8.9460000E-02   4.4036000E-02   8.2281000E-02   1.1633200E-01   5.4207000E-02   4.2550000E-02   5.0226000E-02   4.6410000E-02   4.5020000E-02   6.4682000E-02   4.3783000E-02   4.8188000E-02   5.5938000E-02   4.5998000E-02   4.8604000E-02   4.5943000E-02   4.8559000E-02   6.2015000E-02   1.0200400E-01   4.6120000E-02   7.9126000E-02   5.0935000E-02   5.1954000E-02   5.4513000E-02   1.6426400E-01   6.6061000E-02   7.2463000E-02   4.6002000E-02   4.3699000E-02   7.0386000E-02   4.9055000E-02   4.8936000E-02   4.5232000E-02   5.3643000E-02   4.4083000E-02   6.0782000E-02   5.9349000E-02   1.2182600E-01   1.3032400E-01   5.2689000E-02   1.0542400E-01   4.3958000E-02   4.9005000E-02   4.2923000E-02   5.9264000E-02   4.8797000E-02   7.8662000E-02   6.4504000E-02   4.8931000E-02   5.8180000E-02   4.3862000E-02   4.5559000E-02   5.2910000E-02   5.0690000E-02   1.2804400E-01   4.9169000E-02   4.3556000E-02   4.6565000E-02   8.6588000E-02   4.6029000E-02   4.9438000E-02   5.7355000E-02   4.3482000E-02   4.3693000E-02   6.0767000E-02   4.3762000E-02   7.2709000E-02   6.8656000E-02   5.2773000E-02   6.1444000E-02   9.6281000E-02   4.3549000E-02   7.4206000E-02   4.6470000E-02   4.9061000E-02   5.0725000E-02   8.6185000E-02   4.5451000E-02   1.0706200E-01   4.8899000E-02   5.2716000E-02   7.7319000E-02   1.4708000E-01   6.0080000E-02   4.6865000E-02   4.9891000E-02   1.0700400E-01   7.9064000E-02   5.8797000E-02   4.7780000E-02   5.0218000E-02   5.9287000E-02   6.1162000E-02   4.4809000E-02   4.7258000E-02   4.8243000E-02   4.4207000E-02   6.1348000E-02   4.7760000E-02   5.7553000E-02   4.4389000E-02   1.1141600E-01   9.5104000E-02   5.6422000E-02   4.5512000E-02   5.6234000E-02   7.2178000E-02   4.6262000E-02   6.1574000E-02   5.4460000E-02   9.1936000E-02   4.6953000E-02  
