Iter  Part1  Part2  Part3  Part4  Part5  Part6  Part7  Part8  Part9  Part10  Part11  Part12  Part13  Part14  Part15  Part16  Part17  Part18  Part19  Part20  Part21  Part22  Part23  Part24  Part25  Part26  Part27  Part28  Part29  Part30  Part31  Part32  Part33  Part34  Part35  Part36  Part37  Part38  Part39  Part40  Part41  Part42  Part43  Part44  Part45  Part46  Part47  Part48  Part49  Part50  Part51  Part52  Part53  Part54  Part55  Part56  Part57  Part58  Part59  Part60  Part61  Part62  Part63  Part64  Part65  Part66  Part67  Part68  Part69  Part70  Part71  Part72  Part73  Part74  Part75  Part76  Part77  Part78  Part79  Part80  Part81  Part82  Part83  Part84  Part85  Part86  Part87  Part88  Part89  Part90  Part91  Part92  Part93  Part94  Part95  Part96  Part97  Part98  Part99  Part100  Part101  Part102  Part103  Part104  Part105  Part106  Part107  Part108  Part109  Part110  Part111  Part112  Part113  Part114  Part115  Part116  Part117  Part118  Part119  Part120  Part121  Part122  Part123  Part124  Part125  Part126  Part127  
1   6.1539000E-02   2.6535500E-01   7.0189000E-02   2.4510300E-01   9.2356000E-02   1.6542600E-01   6.4274000E-02   7.3383000E-02   6.5278000E-02   1.6636800E-01   6.2192000E-02   1.3357600E-01   1.0398600E-01   1.4558400E-01   2.3597700E-01   1.2487400E-01   1.1459700E-01   7.1454000E-02   1.3354200E-01   4.6408000E-02   6.2637000E-02   4.4818000E-02   1.2224800E-01   4.9252000E-02   2.1872900E-01   2.2370400E-01   1.2902400E-01   1.6891300E-01   5.2577000E-02   1.5201500E-01   1.8800400E-01   2.6128200E-01   1.6799800E-01   1.4813700E-01   5.9177000E-02   1.1185400E-01   1.9925900E-01   9.7686000E-02   1.9728200E-01   5.2620000E-02   2.0841200E-01   1.0125700E-01   9.6533000E-02   8.8559000E-02   2.0557000E-01   1.8203900E-01   5.2117000E-02   2.7399300E-01   8.2730000E-02   1.1132300E-01   1.1586500E-01   7.6172000E-02   1.6843300E-01   6.5049000E-02   2.5752300E-01   6.9493000E-02   5.0636000E-02   7.6252000E-02   2.0298100E-01   5.6807000E-02   2.5819300E-01   2.0258900E-01   8.0267000E-02   8.3265000E-02   1.6941400E-01   2.7026100E-01   6.2624000E-02   1.1352200E-01   6.7835000E-02   9.6504000E-02   7.0054000E-02   1.7666600E-01   5.7735000E-02   2.2366500E-01   5.9863000E-02   9.5306000E-02   8.8031000E-02   2.0083200E-01   7.9641000E-02   1.2789900E-01   1.8532500E-01   5.2945000E-02   2.3955400E-01   1.7037300E-01   1.3430500E-01   2.2818000E-01   7.6295000E-02   2.4464200E-01   1.6840100E-01   1.9214100E-01   2.1719000E-01   6.3637000E-02   1.1820200E-01   1.8752500E-01   1.6516500E-01   1.3543800E-01   1.0059000E-01   5.7616000E-02   1.2534100E-01   6.3503000E-02   1.6892600E-01   1.8857700E-01   7.5313000E-02   7.0646000E-02   1.3977100E-01   2.6775000E-01   6.0154000E-02   2.8768400E-01   1.6206100E-01   1.1155000E-01   1.8053700E-01   8.0025000E-02   1.6081500E-01   1.0745600E-01   1.3146900E-01   1.1959300E-01   9.3320000E-02   6.6963000E-02   1.5267600E-01   8.8153000E-02   1.7142500E-01   2.3622000E-01   1.0124100E-01   6.9938000E-02   9.6527000E-02   1.0715600E-01   2.1492800E-01  
2   4.9904000E-02   1.6050600E-01   7.0189000E-02   1.4589000E-01   7.8530000E-02   5.2488000E-02   6.4274000E-02   5.6405000E-02   6.3882000E-02   1.4112000E-01   6.2192000E-02   1.3357600E-01   1.0398600E-01   1.4558400E-01   5.6988000E-02   5.1752000E-02   1.0198600E-01   7.1454000E-02   1.3354200E-01   4.6408000E-02   6.2637000E-02   4.4818000E-02   1.1481800E-01   4.9252000E-02   9.8396000E-02   9.4342000E-02   1.2902400E-01   4.5880000E-02   5.2577000E-02   5.4562000E-02   7.8273000E-02   8.9555000E-02   7.5432000E-02   1.4813700E-01   5.9177000E-02   6.1491000E-02   1.0700400E-01   9.7686000E-02   1.0157900E-01   5.2620000E-02   2.0841200E-01   1.0125700E-01   9.6533000E-02   6.3426000E-02   5.4028000E-02   1.8203900E-01   5.2117000E-02   5.5054000E-02   8.2730000E-02   1.1132300E-01   8.2675000E-02   7.6172000E-02   1.6843300E-01   6.5049000E-02   2.4079600E-01   6.9493000E-02   5.0636000E-02   7.6252000E-02   1.6285600E-01   5.6807000E-02   6.1270000E-02   1.3085500E-01   8.0267000E-02   8.3265000E-02   9.7032000E-02   4.4534000E-02   6.2624000E-02   4.5859000E-02   6.7835000E-02   9.6504000E-02   7.0054000E-02   1.6698300E-01   5.7735000E-02   6.8637000E-02   4.7774000E-02   4.4153000E-02   8.8031000E-02   6.4902000E-02   5.1109000E-02   1.2418800E-01   1.2289200E-01   5.2945000E-02   1.1016100E-01   1.6281000E-01   6.3959000E-02   5.1633000E-02   7.6295000E-02   1.3051900E-01   1.1031900E-01   5.4737000E-02   2.1719000E-01   6.3637000E-02   9.1147000E-02   7.2408000E-02   1.1623600E-01   6.2858000E-02   1.0059000E-01   5.7616000E-02   1.1481000E-01   6.3503000E-02   1.5155800E-01   1.6619800E-01   7.5313000E-02   7.0646000E-02   1.3977100E-01   4.6677000E-02   5.7683000E-02   1.1491200E-01   1.4015500E-01   1.1155000E-01   1.1449500E-01   4.5943000E-02   1.6081500E-01   1.0745600E-01   1.3146900E-01   1.1959300E-01   6.9005000E-02   6.6963000E-02   5.6900000E-02   7.6270000E-02   1.7142500E-01   9.0838000E-02   1.0124100E-01   6.9938000E-02   9.6527000E-02   1.0715600E-01   6.6088000E-02  
3   4.9904000E-02   5.9416000E-02   7.0189000E-02   7.0564000E-02   7.8530000E-02   5.2488000E-02   6.4274000E-02   4.9956000E-02   5.3773000E-02   9.9775000E-02   6.2192000E-02   1.3357600E-01   6.8779000E-02   1.2151800E-01   5.6988000E-02   5.1752000E-02   9.0457000E-02   7.1454000E-02   1.3354200E-01   4.6408000E-02   6.2637000E-02   4.4818000E-02   1.0767800E-01   4.9252000E-02   9.8396000E-02   5.6439000E-02   1.2902400E-01   4.5880000E-02   5.2577000E-02   5.4562000E-02   4.5738000E-02   5.4359000E-02   6.9339000E-02   1.4813700E-01   5.9177000E-02   6.1491000E-02   1.0700400E-01   9.7686000E-02   1.0157900E-01   5.2620000E-02   2.0841200E-01   1.0125700E-01   9.6533000E-02   6.3426000E-02   5.4028000E-02   1.8203900E-01   5.2117000E-02   5.5054000E-02   8.2730000E-02   1.1132300E-01   8.2675000E-02   7.6172000E-02   1.6843300E-01   6.5049000E-02   1.4183700E-01   6.9493000E-02   5.0636000E-02   7.6252000E-02   1.5133100E-01   5.6807000E-02   5.5011000E-02   7.8225000E-02   8.0267000E-02   8.3265000E-02   9.7032000E-02   4.4534000E-02   6.2624000E-02   4.5859000E-02   6.7835000E-02   9.6504000E-02   7.0054000E-02   1.0001200E-01   5.7735000E-02   6.8637000E-02   4.7774000E-02   4.4153000E-02   8.8031000E-02   6.4902000E-02   4.7529000E-02   8.2747000E-02   4.8916000E-02   5.2945000E-02   5.2717000E-02   1.6281000E-01   6.3959000E-02   5.1633000E-02   6.7023000E-02   5.5919000E-02   1.0893900E-01   5.4737000E-02   2.0452100E-01   6.3637000E-02   7.2023000E-02   5.7381000E-02   1.1623600E-01   6.2265000E-02   1.0059000E-01   5.7616000E-02   9.5755000E-02   6.3503000E-02   1.0892200E-01   1.2702700E-01   7.5313000E-02   7.0646000E-02   1.0936400E-01   4.6677000E-02   5.7683000E-02   8.6115000E-02   1.4015500E-01   1.1155000E-01   8.1670000E-02   4.5943000E-02   1.5662400E-01   8.3970000E-02   1.3146900E-01   6.7461000E-02   6.6854000E-02   5.6742000E-02   5.2682000E-02   7.6270000E-02   1.7142500E-01   8.0961000E-02   1.0124100E-01   6.9938000E-02   9.6527000E-02   1.0715600E-01   6.6088000E-02  
4   4.9904000E-02   5.9416000E-02   7.0189000E-02   7.0564000E-02   7.8530000E-02   5.2488000E-02   6.4274000E-02   4.9949000E-02   5.3773000E-02   9.9775000E-02   6.2192000E-02   1.3357600E-01   6.8779000E-02   4.7911000E-02   5.6988000E-02   5.1752000E-02   6.7112000E-02   6.3029000E-02   1.3354200E-01   4.6408000E-02   6.2637000E-02   4.4818000E-02   8.4230000E-02   4.9252000E-02   9.8396000E-02   5.6439000E-02   1.2902400E-01   4.5880000E-02   5.2577000E-02   5.4562000E-02   4.5738000E-02   5.4359000E-02   6.9339000E-02   1.1790200E-01   5.9177000E-02   6.1491000E-02   1.0700400E-01   9.7686000E-02   9.6038000E-02   5.2620000E-02   1.6892100E-01   6.4883000E-02   9.6533000E-02   5.4058000E-02   5.4028000E-02   1.8203900E-01   5.2117000E-02   5.1803000E-02   8.2730000E-02   9.7364000E-02   5.9492000E-02   7.6172000E-02   1.0720700E-01   6.5049000E-02   5.2744000E-02   5.8178000E-02   5.0636000E-02   7.6252000E-02   1.5133100E-01   5.6807000E-02   5.5011000E-02   6.2091000E-02   8.0267000E-02   6.2771000E-02   5.1972000E-02   4.4534000E-02   5.8122000E-02   4.5859000E-02   6.7835000E-02   5.2704000E-02   7.0054000E-02   5.4364000E-02   5.7735000E-02   6.8637000E-02   4.7774000E-02   4.4153000E-02   8.4016000E-02   6.4902000E-02   4.7529000E-02   7.0448000E-02   4.8916000E-02   5.2945000E-02   5.2717000E-02   9.3362000E-02   6.3959000E-02   5.1633000E-02   6.4175000E-02   5.5919000E-02   1.0893900E-01   5.4737000E-02   1.6536400E-01   6.3637000E-02   6.6626000E-02   5.7381000E-02   9.8896000E-02   6.2265000E-02   1.0059000E-01   5.7616000E-02   8.1665000E-02   6.3503000E-02   6.0763000E-02   7.0185000E-02   7.5313000E-02   7.0646000E-02   5.7989000E-02   4.6677000E-02   5.7683000E-02   8.6115000E-02   9.5588000E-02   1.1155000E-01   7.3348000E-02   4.5943000E-02   1.3257300E-01   8.2246000E-02   1.3146900E-01   5.8482000E-02   6.6854000E-02   5.6742000E-02   5.2682000E-02   7.6270000E-02   1.7142500E-01   8.0961000E-02   7.8208000E-02   6.9938000E-02   4.7542000E-02   9.1140000E-02   6.6088000E-02  
5   4.9904000E-02   4.7271000E-02   7.0189000E-02   7.0564000E-02   7.8530000E-02   5.2488000E-02   6.4274000E-02   4.9949000E-02   4.3873000E-02   5.9332000E-02   6.2192000E-02   1.3357600E-01   6.8779000E-02   4.7541000E-02   4.8285000E-02   5.1752000E-02   5.8389000E-02   6.3029000E-02   1.3354200E-01   4.6408000E-02   4.9018000E-02   4.4818000E-02   7.5456000E-02   4.9252000E-02   7.2842000E-02   4.8709000E-02   1.2902400E-01   4.5880000E-02   5.2577000E-02   5.3639000E-02   4.5738000E-02   5.4359000E-02   5.9075000E-02   5.0457000E-02   5.9177000E-02   6.1491000E-02   1.0700400E-01   9.7686000E-02   9.6038000E-02   5.2620000E-02   8.6075000E-02   5.9980000E-02   9.6533000E-02   4.6462000E-02   5.4028000E-02   1.7543900E-01   5.2117000E-02   5.1803000E-02   7.0287000E-02   4.3843000E-02   5.9492000E-02   7.0644000E-02   5.2413000E-02   5.0208000E-02   5.0518000E-02   5.8178000E-02   4.6564000E-02   7.6252000E-02   1.2119200E-01   5.6807000E-02   5.5011000E-02   6.2091000E-02   8.0267000E-02   4.8018000E-02   5.1972000E-02   4.4534000E-02   4.6770000E-02   4.5859000E-02   6.7835000E-02   5.2704000E-02   7.0054000E-02   4.5686000E-02   5.7735000E-02   5.0159000E-02   4.7774000E-02   4.4153000E-02   4.6797000E-02   5.5824000E-02   4.7529000E-02   5.7375000E-02   4.8916000E-02   5.2945000E-02   5.2717000E-02   8.5352000E-02   6.3959000E-02   5.1633000E-02   5.4364000E-02   5.5919000E-02   1.0893900E-01   5.4737000E-02   1.0504300E-01   6.3637000E-02   6.4673000E-02   5.7381000E-02   7.3837000E-02   6.2265000E-02   1.0059000E-01   5.7616000E-02   4.8576000E-02   6.3503000E-02   6.0067000E-02   6.3465000E-02   7.5313000E-02   4.5553000E-02   5.6320000E-02   4.6677000E-02   5.7683000E-02   6.0826000E-02   7.2453000E-02   4.7342000E-02   6.2274000E-02   4.3250000E-02   6.4674000E-02   6.9854000E-02   7.3969000E-02   5.8482000E-02   6.6854000E-02   5.6742000E-02   4.6334000E-02   7.6270000E-02   1.7142500E-01   8.0961000E-02   5.5466000E-02   6.1913000E-02   4.7542000E-02   9.1140000E-02   6.6088000E-02  
6   4.9904000E-02   4.4950000E-02   7.0189000E-02   5.5018000E-02   7.1815000E-02   5.2488000E-02   6.4274000E-02   4.9949000E-02   4.3873000E-02   5.2264000E-02   5.1710000E-02   7.0874000E-02   6.8779000E-02   4.7541000E-02   4.8285000E-02   5.1752000E-02   5.8389000E-02   6.3029000E-02   6.3263000E-02   4.6408000E-02   4.5905000E-02   4.4818000E-02   5.3169000E-02   4.9252000E-02   5.2879000E-02   4.8709000E-02   4.9530000E-02   4.5880000E-02   5.2577000E-02   5.3639000E-02   4.5738000E-02   5.4359000E-02   4.7340000E-02   4.5158000E-02   5.9177000E-02   6.1491000E-02   9.9946000E-02   6.0461000E-02   9.6038000E-02   5.2620000E-02   8.6075000E-02   5.9980000E-02   6.4250000E-02   4.6462000E-02   5.4028000E-02   9.5334000E-02   5.2117000E-02   5.1803000E-02   7.0287000E-02   4.3843000E-02   5.9492000E-02   5.2774000E-02   5.2413000E-02   5.0208000E-02   5.0518000E-02   5.0647000E-02   4.4573000E-02   6.9621000E-02   8.6547000E-02   5.6807000E-02   5.5011000E-02   6.2091000E-02   8.0267000E-02   4.8018000E-02   5.1972000E-02   4.4534000E-02   4.6770000E-02   4.5859000E-02   5.3754000E-02   5.2704000E-02   7.0054000E-02   4.5686000E-02   5.7735000E-02   5.0159000E-02   4.7774000E-02   4.4153000E-02   4.6797000E-02   4.9614000E-02   4.7529000E-02   5.7375000E-02   4.8916000E-02   5.2945000E-02   5.2717000E-02   7.8272000E-02   5.2683000E-02   4.9648000E-02   4.9210000E-02   5.5919000E-02   1.0893900E-01   4.5698000E-02   5.9651000E-02   6.3637000E-02   4.9493000E-02   5.7381000E-02   6.7908000E-02   6.2265000E-02   1.0059000E-01   5.7616000E-02   4.8576000E-02   6.0613000E-02   6.0067000E-02   6.3465000E-02   7.5313000E-02   4.5553000E-02   5.6320000E-02   4.6677000E-02   5.7683000E-02   4.4192000E-02   7.2453000E-02   4.7342000E-02   6.2274000E-02   4.3250000E-02   4.3874000E-02   5.2660000E-02   5.7308000E-02   5.8482000E-02   6.6854000E-02   5.6742000E-02   4.6334000E-02   5.8903000E-02   7.7621000E-02   8.0961000E-02   4.7247000E-02   4.4299000E-02   4.7542000E-02   8.0302000E-02   6.6088000E-02  
7   4.9904000E-02   4.3222000E-02   6.4705000E-02   4.5447000E-02   4.5212000E-02   5.2488000E-02   6.4274000E-02   4.4801000E-02   4.3873000E-02   5.2264000E-02   5.1710000E-02   7.0874000E-02   6.8497000E-02   4.7541000E-02   4.8285000E-02   5.1752000E-02   5.8389000E-02   5.9187000E-02   5.4131000E-02   4.3432000E-02   4.2783000E-02   4.4818000E-02   4.3700000E-02   4.9252000E-02   4.5724000E-02   4.8709000E-02   4.9530000E-02   4.5880000E-02   5.0050000E-02   5.3639000E-02   4.5738000E-02   5.4359000E-02   4.7340000E-02   4.5044000E-02   5.9177000E-02   5.8683000E-02   5.6785000E-02   6.0461000E-02   9.6038000E-02   5.2620000E-02   8.6075000E-02   4.5928000E-02   5.4295000E-02   4.6462000E-02   5.4028000E-02   6.0590000E-02   5.2117000E-02   5.1803000E-02   5.1424000E-02   4.3843000E-02   5.7437000E-02   4.6094000E-02   5.2413000E-02   5.0208000E-02   5.0518000E-02   5.0647000E-02   4.4573000E-02   5.8227000E-02   6.1842000E-02   5.6807000E-02   5.5011000E-02   5.0003000E-02   8.0267000E-02   4.8018000E-02   5.1972000E-02   4.4534000E-02   4.6770000E-02   4.5859000E-02   5.3754000E-02   5.2704000E-02   7.0054000E-02   4.5686000E-02   5.2184000E-02   5.0159000E-02   4.5467000E-02   4.4153000E-02   4.6797000E-02   4.9614000E-02   4.7529000E-02   5.7375000E-02   4.8916000E-02   5.2945000E-02   5.2717000E-02   7.7385000E-02   4.3900000E-02   4.9648000E-02   4.9210000E-02   5.5919000E-02   7.3438000E-02   4.3244000E-02   5.9651000E-02   6.3637000E-02   4.5081000E-02   5.7381000E-02   6.0221000E-02   4.6791000E-02   1.0059000E-01   5.7616000E-02   4.8576000E-02   5.0541000E-02   6.0067000E-02   6.3465000E-02   7.5313000E-02   4.5553000E-02   5.6320000E-02   4.6677000E-02   4.9153000E-02   4.4192000E-02   7.2453000E-02   4.7342000E-02   6.2274000E-02   4.3250000E-02   4.3874000E-02   5.2660000E-02   4.3481000E-02   5.8482000E-02   6.6854000E-02   5.6742000E-02   4.6334000E-02   5.8903000E-02   7.4256000E-02   7.7968000E-02   4.7247000E-02   4.4299000E-02   4.7542000E-02   6.5857000E-02   6.0256000E-02  
8   4.9904000E-02   4.3222000E-02   6.4705000E-02   4.5447000E-02   4.5212000E-02   5.1388000E-02   5.8187000E-02   4.4801000E-02   4.3873000E-02   5.2264000E-02   5.1710000E-02   7.0874000E-02   4.6414000E-02   4.7541000E-02   4.8285000E-02   5.1646000E-02   4.4719000E-02   4.6468000E-02   4.7932000E-02   4.3432000E-02   4.2783000E-02   4.4818000E-02   4.3700000E-02   4.9252000E-02   4.5724000E-02   4.8709000E-02   4.9530000E-02   4.5880000E-02   5.0050000E-02   4.8415000E-02   4.5738000E-02   5.4359000E-02   4.7340000E-02   4.5044000E-02   5.9177000E-02   5.8683000E-02   4.8617000E-02   4.9869000E-02   8.3751000E-02   5.2620000E-02   8.0732000E-02   4.5928000E-02   5.1371000E-02   4.6462000E-02   5.4028000E-02   4.8821000E-02   5.2117000E-02   4.6554000E-02   4.3451000E-02   4.3843000E-02   4.9367000E-02   4.5198000E-02   5.1994000E-02   5.0208000E-02   5.0518000E-02   5.0647000E-02   4.4573000E-02   4.6536000E-02   6.1842000E-02   5.6807000E-02   4.5980000E-02   5.0003000E-02   6.3209000E-02   4.8018000E-02   5.1972000E-02   4.4534000E-02   4.6770000E-02   4.5859000E-02   4.8547000E-02   5.2704000E-02   7.0054000E-02   4.5686000E-02   4.4162000E-02   4.7001000E-02   4.5467000E-02   4.4153000E-02   4.6797000E-02   4.9614000E-02   4.7529000E-02   4.3719000E-02   4.8916000E-02   5.2945000E-02   5.2717000E-02   7.4786000E-02   4.3900000E-02   4.9648000E-02   4.5218000E-02   5.5919000E-02   4.7302000E-02   4.3244000E-02   5.9651000E-02   6.3637000E-02   4.5081000E-02   5.3788000E-02   6.0221000E-02   4.6791000E-02   1.0059000E-01   5.7616000E-02   4.8576000E-02   4.8743000E-02   5.1107000E-02   5.1816000E-02   7.5313000E-02   4.4574000E-02   5.6320000E-02   4.4195000E-02   4.9153000E-02   4.4192000E-02   7.2453000E-02   4.7342000E-02   6.2274000E-02   4.3250000E-02   4.3874000E-02   4.8717000E-02   4.3481000E-02   5.0287000E-02   6.6854000E-02   5.2225000E-02   4.6334000E-02   5.8903000E-02   5.8267000E-02   4.5613000E-02   4.7247000E-02   4.4299000E-02   4.7542000E-02   4.6686000E-02   5.4847000E-02  
9   4.9904000E-02   4.3222000E-02   6.4705000E-02   4.5447000E-02   4.5212000E-02   5.1388000E-02   5.8187000E-02   4.4801000E-02   4.3873000E-02   5.2264000E-02   5.1710000E-02   5.3866000E-02   4.6414000E-02   4.7541000E-02   4.8285000E-02   5.1646000E-02   4.2709000E-02   4.6468000E-02   4.7932000E-02   4.3432000E-02   4.2783000E-02   4.3536000E-02   4.3700000E-02   4.5310000E-02   4.5724000E-02   4.6052000E-02   4.9521000E-02   4.5880000E-02   5.0050000E-02   4.4414000E-02   4.4214000E-02   5.4359000E-02   4.7340000E-02   4.5044000E-02   4.6186000E-02   5.8683000E-02   4.8617000E-02   4.7992000E-02   5.2004000E-02   5.2620000E-02   6.2825000E-02   4.5928000E-02   4.9133000E-02   4.6462000E-02   5.4028000E-02   4.7468000E-02   5.1298000E-02   4.6554000E-02   4.3451000E-02   4.3843000E-02   4.9367000E-02   4.5198000E-02   5.1994000E-02   5.0208000E-02   5.0518000E-02   5.0647000E-02   4.3766000E-02   4.4092000E-02   5.0568000E-02   4.7484000E-02   4.4610000E-02   5.0003000E-02   6.3209000E-02   4.6330000E-02   4.5664000E-02   4.4281000E-02   4.6394000E-02   4.5859000E-02   4.8547000E-02   5.2704000E-02   5.9762000E-02   4.3772000E-02   4.4021000E-02   4.7001000E-02   4.5467000E-02   4.4153000E-02   4.6797000E-02   4.3457000E-02   4.7529000E-02   4.3719000E-02   4.4843000E-02   5.2945000E-02   5.2717000E-02   4.7663000E-02   4.3900000E-02   4.9648000E-02   4.3072000E-02   5.5919000E-02   4.7302000E-02   4.3244000E-02   5.9651000E-02   6.3637000E-02   4.5081000E-02   5.3788000E-02   5.1079000E-02   4.3462000E-02   4.5470000E-02   5.7616000E-02   4.2181000E-02   4.3511000E-02   4.1951000E-02   5.1816000E-02   7.5313000E-02   4.4574000E-02   5.6137000E-02   4.4195000E-02   4.9153000E-02   4.4192000E-02   4.6083000E-02   4.7342000E-02   6.2274000E-02   4.3250000E-02   4.3874000E-02   4.8717000E-02   4.3481000E-02   4.5630000E-02   6.6854000E-02   5.2225000E-02   4.6334000E-02   5.8903000E-02   5.4209000E-02   4.5613000E-02   4.7247000E-02   4.4299000E-02   4.7542000E-02   4.6686000E-02   4.4478000E-02  
10   4.9904000E-02   4.3222000E-02   6.4705000E-02   4.5447000E-02   4.5212000E-02   5.1388000E-02   5.8187000E-02   4.4801000E-02   4.3873000E-02   5.2264000E-02   5.1710000E-02   4.5696000E-02   4.4596000E-02   4.7541000E-02   4.8285000E-02   5.1646000E-02   4.2709000E-02   4.6468000E-02   4.7932000E-02   4.3432000E-02   4.2550000E-02   4.3536000E-02   4.3700000E-02   4.5020000E-02   4.5724000E-02   4.3783000E-02   4.8188000E-02   4.5880000E-02   4.5998000E-02   4.4414000E-02   4.4214000E-02   4.8559000E-02   4.7340000E-02   4.5044000E-02   4.6120000E-02   5.8683000E-02   4.8617000E-02   4.7992000E-02   5.2004000E-02   5.2620000E-02   6.2825000E-02   4.5928000E-02   4.6002000E-02   4.3699000E-02   5.4028000E-02   4.7468000E-02   4.8936000E-02   4.5232000E-02   4.3451000E-02   4.3843000E-02   4.9367000E-02   4.5198000E-02   5.1994000E-02   5.0208000E-02   5.0518000E-02   5.0647000E-02   4.3766000E-02   4.4092000E-02   4.2923000E-02   4.7484000E-02   4.4610000E-02   5.0003000E-02   6.3209000E-02   4.6330000E-02   4.5664000E-02   4.3862000E-02   4.5559000E-02   4.5859000E-02   4.8547000E-02   5.2704000E-02   4.9169000E-02   4.3556000E-02   4.4021000E-02   4.7001000E-02   4.5467000E-02   4.4153000E-02   4.6797000E-02   4.3457000E-02   4.3693000E-02   4.3719000E-02   4.3762000E-02   5.2945000E-02   5.2717000E-02   4.7663000E-02   4.3900000E-02   4.9648000E-02   4.3072000E-02   5.5919000E-02   4.6470000E-02   4.3244000E-02   5.0725000E-02   6.3637000E-02   4.5081000E-02   5.3788000E-02   4.8899000E-02   4.3462000E-02   4.5470000E-02   5.7616000E-02   4.2181000E-02   4.3511000E-02   4.1951000E-02   5.1816000E-02   7.5313000E-02   4.4574000E-02   4.7780000E-02   4.4195000E-02   4.9153000E-02   4.4192000E-02   4.4809000E-02   4.7258000E-02   4.8243000E-02   4.3250000E-02   4.3874000E-02   4.7760000E-02   4.3481000E-02   4.4389000E-02   6.6854000E-02   5.2225000E-02   4.6334000E-02   4.5512000E-02   5.4209000E-02   4.5613000E-02   4.6262000E-02   4.4299000E-02   4.7542000E-02   4.6686000E-02   4.4478000E-02  
