RankingNmbr ParameterName RelativeImportance RelativeImportance.Norm
1           SOIL__N                            224.679374850855 0.342751518054897
2           SOIL__ThetaSat                     163.105139741925 0.2488191641365
3           SOIL__LOG10_Alpha                  72.6265131482984 0.110792758120933
4           SOIL__LOG10_NormalHydrConductivity 71.723608936086 0.109415365159967
5           SCALAR__SoilEmissiv                39.548826590128 0.0603322862192159
6           SCALAR__SoilRoughness              33.8684412396234 0.0516667791903011
7           SOIL__ThetaRes                     22.5971091427202 0.0344722049696859
8           SCALAR__CanopyFraction             8.7234262748707 0.0133077083748194
9           SCALAR__SoilAlbNIRDry              5.05806182601993 0.00771614381798367
10          SCALAR__SoilAlbNIRWet              4.34818052636843 0.00663321000060124
11          SCALAR__SoilAlbVisDry              4.21423501693792 0.00642887425894974
12          SCALAR__SoilAlbVisWet              3.42024377990345 0.00521762955971331
13          SCALAR__LSAI                       0.620716371300185 0.000946911476346653
14          SCALAR__DecayCoeffCanopy           0.439708569903233 0.000670781552317052
15          SCALAR__VegTransNIR                0.144116351604133 0.00021985150315484
16          SCALAR__RootDepth                  0.141578616899561 0.000215980153490501
17          SCALAR__MinStomatalRes             0.0921686957477253 0.000140604630067372
18          SCALAR__VegReflNIR                 0.0759913095561014 0.000115925801941648
19          SCALAR__VegTransVis                0.0491601966885737 7.49945652736085e-05
20          SCALAR__VegReflectVis              0.0230795866948282 3.52082312004969e-05
21          SCALAR__CanDensSurface             0.0171091341610155 2.61002226403099e-05
