Date12[DDMMYYYYhhmm],JulianDayFromYear0[days],TimeFromStart[days],Simulation_Period,Run,Prain_below_canopy[mm],Psnow_below_canopy[mm],Prain_above_canopy[mm],Prain_above_canopy[mm],Pnet[mm],Tair[C],Tsurface[C],Tvegetation[C],Evap_surface[mm],Transpiration_canopy[mm],LE[W/m2],H[W/m2],SW[W/m2],LW[W/m2],LEv[W/m2],Hv[W/m2],SWv[W/m2],LWv[W/m2],SWin[W/m2],LWin[W/m2],Mass_balance_error[mm],Mean_Time_Step[s]
09/04/2014 19:00,735698.791667,0.041667,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,8.460000,3.239707,-0.158175,0.001727,0.000001,1.195790,-5.750893,2.423377,-26.139536,0.001018,-5.858757,2.283111,-9.111593,4.695695,287.874575,0.000000,900.000000
09/04/2014 20:00,735698.833333,0.083333,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,8.250000,2.734271,-0.621017,0.001430,0.000000,0.990339,-6.090730,0.000000,-24.030954,0.000000,-6.037958,0.000000,-6.909875,0.000000,289.585770,0.000000,900.000000
09/04/2014 21:00,735698.875000,0.125000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,8.040000,2.450532,-0.787856,0.001282,0.000000,0.888322,-6.182247,0.000000,-22.792868,-0.000466,-6.012514,0.000000,-6.271968,0.000000,290.386241,0.000000,900.000000
09/04/2014 22:00,735698.916667,0.166667,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,7.870000,2.191196,-1.023053,0.001277,0.000000,0.885183,-6.288482,0.000000,-22.965056,0.000002,-6.061772,0.000000,-6.763898,0.000000,288.704532,0.000000,900.000000
09/04/2014 23:00,735698.958333,0.208333,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,7.660002,1.966046,-1.231373,0.001227,0.000000,0.850479,-6.311066,0.000000,-22.642649,-0.005776,-6.065339,0.000000,-6.537983,0.000000,288.224849,0.000000,900.000000
10/04/2014 00:00,735699.000000,0.250000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,7.670000,1.776073,-1.387953,0.001178,0.000000,0.816984,-6.539250,0.000000,-22.430944,-0.028239,-6.180923,0.000000,-6.576803,0.000000,287.641921,0.000000,900.000000
10/04/2014 01:00,735699.041667,0.291667,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,7.550000,1.554879,-1.712975,0.001257,0.000000,0.871799,-6.654791,0.000000,-23.506682,0.000035,-6.326750,0.000000,-7.307869,0.000000,284.685881,0.000000,900.000000
10/04/2014 02:00,735699.083333,0.333333,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,7.590003,1.368266,-1.955475,0.001224,0.000000,0.848880,-6.910379,0.000000,-23.537341,-0.006558,-6.522609,0.000000,-7.021968,0.000000,283.891803,0.000000,900.000000
10/04/2014 03:00,735699.125000,0.375000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,7.990000,1.226685,-2.079155,0.001183,0.000000,0.820909,-7.517692,0.000000,-23.480565,-0.029374,-6.877824,0.000000,-7.157415,0.000000,283.275695,0.000000,900.000000
10/04/2014 04:00,735699.166667,0.416667,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,7.690000,1.107558,-2.122247,0.001117,0.000000,0.775070,-7.321633,0.000000,-22.817681,-0.086640,-6.706085,0.000000,-6.858065,0.000000,283.836027,0.000000,900.000000
