Date12[DDMMYYYYhhmm],JulianDayFromYear0[days],TimeFromStart[days],Simulation_Period,Run,IDpoint,10.000000 ,50.000000 ,200.000000 ,560.000000 ,1400.000000 ,3500.000000 ,7500.000000 ,16000.000000 ,36000.000000  
09/04/2014 18:00,735698.750000,0.000000,0,1,1,-4819.969873,-4781.332840,-4636.443966,-4288.710669,-3477.332975,-1448.888739,2414.814566,10625.184089,29943.700615 
09/04/2014 19:00,735698.791667,0.041667,1,1,1,-4829.395525,-4781.591694,-4636.461785,-4288.710669,-3477.332975,-1448.888739,2414.810943,10624.976385,29890.106009 
09/04/2014 20:00,735698.833333,0.083333,1,1,1,-4836.988882,-4781.851168,-4636.483193,-4288.710669,-3477.332975,-1448.888739,2414.793145,10624.442057,29836.653916 
09/04/2014 21:00,735698.875000,0.125000,1,1,1,-4843.726992,-4782.092128,-4636.507002,-4288.710669,-3477.332975,-1448.888739,2414.750521,10623.588448,29783.343091 
09/04/2014 22:00,735698.916667,0.166667,1,1,1,-4850.422054,-4782.330108,-4636.533482,-4288.710669,-3477.332975,-1448.888739,2414.673036,10622.422590,29730.172311 
09/04/2014 23:00,735698.958333,0.208333,1,1,1,-4856.821396,-4782.560367,-4636.561853,-4288.710669,-3477.332975,-1448.888739,2414.551240,10620.951223,29677.140378 
10/04/2014 00:00,735699.000000,0.250000,1,1,1,-4862.942645,-4782.782331,-4636.591618,-4288.710669,-3477.332975,-1448.888739,2414.376237,10619.180807,29624.246109 
10/04/2014 01:00,735699.041667,0.291667,1,1,1,-4869.492879,-4783.014838,-4636.623642,-4288.710669,-3477.332975,-1448.888739,2414.139656,10617.117536,29571.488346 
10/04/2014 02:00,735699.083333,0.333333,1,1,1,-4875.845846,-4783.243682,-4636.656890,-4288.710669,-3477.332975,-1448.888739,2413.833624,10614.767352,29518.865948 
10/04/2014 03:00,735699.125000,0.375000,1,1,1,-4881.975698,-4783.464866,-4636.690814,-4288.710669,-3477.332975,-1448.888740,2413.450743,10612.135955,29466.377793 
10/04/2014 04:00,735699.166667,0.416667,1,1,1,-4887.737542,-4783.675715,-4636.724975,-4288.710669,-3477.332975,-1448.888740,2412.984061,10609.228819,29414.022776 
10/04/2014 05:00,735699.208333,0.458333,1,1,1,-4893.456736,-4783.883151,-4636.759541,-4288.710669,-3477.332975,-1448.888740,2412.427051,10606.051199,29361.799812 
