RankingNmbr ParameterName RelativeImportance RelativeImportance.Norm
1           SCALAR__CanopyFraction             23.142007721992 0.261195995579194
2           SOIL__ThetaSat                     18.5868917125457 0.209783945451176
3           SOIL__N                            13.5279923057414 0.152685862909291
4           SCALAR__SoilEmissiv                9.66796733132342 0.10911906964461
5           SOIL__LOG10_Alpha                  8.59242261187175 0.0969797610261898
6           SOIL__LOG10_NormalHydrConductivity 3.6376312486938 0.0410567106781166
7           SCALAR__SoilAlbNIRDry              2.2703344288282 0.0256244950118122
8           SCALAR__SoilAlbNIRWet              2.01524960932338 0.0227454391326465
9           SCALAR__SoilAlbVisDry              1.55023151888604 0.0174969375958203
10          SCALAR__SoilAlbVisWet              1.50540986918984 0.0169910508310875
11          SCALAR__SoilRoughness              1.37183897069245 0.0154834813828118
12          SOIL__ThetaRes                     0.885370275409756 0.00999287414125757
13          SCALAR__LSAI                       0.857302494115419 0.00967608260929786
14          SCALAR__DecayCoeffCanopy           0.348559700358797 0.00393407516960957
15          SCALAR__VegTransNIR                0.190020266188518 0.00214469432400056
16          SCALAR__MinStomatalRes             0.142277440763918 0.00160583723915518
17          SCALAR__VegReflNIR                 0.123582770104197 0.00139483682926634
18          SCALAR__CanDensSurface             0.0870228579772644 0.00098219749559231
19          SCALAR__VegReflectVis              0.0534573985237555 0.000603355534067042
20          SCALAR__VegTransVis                0.033842817561449 0.000381972408459936
21          SCALAR__RootDepth                  0.0107494153268064 0.000121325006538274
