Iter  GoF  SOIL__N  SOIL__LOG10_Alpha  SOIL__ThetaSat  SOIL__ThetaRes  SOIL__LOG10_NormalHydrConductivity  SCALAR__SoilRoughness  SCALAR__LSAI  SCALAR__CanopyFraction  SCALAR__DecayCoeffCanopy  SCALAR__RootDepth  SCALAR__MinStomatalRes  SCALAR__VegReflectVis  SCALAR__VegReflNIR  SCALAR__VegTransVis  SCALAR__VegTransNIR  SCALAR__CanDensSurface  SCALAR__SoilAlbVisDry  SCALAR__SoilAlbNIRDry  SCALAR__SoilAlbVisWet  SCALAR__SoilAlbNIRWet  SCALAR__SoilEmissiv  
1   5.3501102E+02   1.9366422E+00  -3.2269674E+00   4.5020474E-01   4.4852568E-02  -2.9271231E+00   1.1908779E+02   4.4886321E-01   9.6319043E-01   2.7099720E+00   9.5918471E+02   6.9738943E+01   1.6115165E-01   3.7661616E-01   8.0015940E-02   6.9345420E-02   7.5204283E+00   2.3814230E-01   1.4852573E-01   2.7243899E-01   4.1572791E-01   9.3946092E-01  
2   5.2676622E+02   1.1894233E+00  -2.7762310E+00   5.8054797E-01   5.0713425E-02  -1.2187213E+00   9.9980772E+01   4.3813821E-01   5.0556719E-01   3.2618197E+00   9.2930924E+02   8.2697569E+01   1.2742334E-01   1.6853168E-01   3.7825996E-02   2.9433068E-01   5.9064701E+00   2.5336208E-01   1.9945736E-01   2.1732006E-01   3.5687807E-01   8.5062073E-01  
3   5.1814004E+02   1.1500000E+00  -2.8347156E+00   4.2812667E-01   5.5993114E-02  -2.3281853E+00   1.0000000E+01   1.9343312E-01   7.2428918E-01   3.6396329E+00   1.5245208E+02   1.0000000E+01   2.0000000E-01   9.3333818E-02   1.5000000E-01   5.0000000E-02   3.0542173E+00   1.4129521E-01   1.3102006E-01   1.3629494E-01   2.3523914E-01   8.0000000E-01  
4   5.1814004E+02   1.1500000E+00  -2.8347156E+00   4.2812667E-01   5.5993114E-02  -2.3281853E+00   1.0000000E+01   1.9343312E-01   7.2428918E-01   3.6396329E+00   1.5245208E+02   1.0000000E+01   2.0000000E-01   9.3333818E-02   1.5000000E-01   5.0000000E-02   3.0542173E+00   1.4129521E-01   1.3102006E-01   1.3629494E-01   2.3523914E-01   8.0000000E-01  
5   5.1814004E+02   1.1500000E+00  -2.8347156E+00   4.2812667E-01   5.5993114E-02  -2.3281853E+00   1.0000000E+01   1.9343312E-01   7.2428918E-01   3.6396329E+00   1.5245208E+02   1.0000000E+01   2.0000000E-01   9.3333818E-02   1.5000000E-01   5.0000000E-02   3.0542173E+00   1.4129521E-01   1.3102006E-01   1.3629494E-01   2.3523914E-01   8.0000000E-01  
6   5.1814004E+02   1.1500000E+00  -2.8347156E+00   4.2812667E-01   5.5993114E-02  -2.3281853E+00   1.0000000E+01   1.9343312E-01   7.2428918E-01   3.6396329E+00   1.5245208E+02   1.0000000E+01   2.0000000E-01   9.3333818E-02   1.5000000E-01   5.0000000E-02   3.0542173E+00   1.4129521E-01   1.3102006E-01   1.3629494E-01   2.3523914E-01   8.0000000E-01  
7   5.1814004E+02   1.1500000E+00  -2.8347156E+00   4.2812667E-01   5.5993114E-02  -2.3281853E+00   1.0000000E+01   1.9343312E-01   7.2428918E-01   3.6396329E+00   1.5245208E+02   1.0000000E+01   2.0000000E-01   9.3333818E-02   1.5000000E-01   5.0000000E-02   3.0542173E+00   1.4129521E-01   1.3102006E-01   1.3629494E-01   2.3523914E-01   8.0000000E-01  
8   5.1745858E+02   1.1998186E+00  -2.5507427E+00   4.5546657E-01   6.1195527E-02  -2.0582431E+00   3.9212240E+01   1.3462229E-01   8.7492537E-01   4.0641811E+00   4.1357160E+02   5.1460613E+01   1.3316240E-01   5.0000000E-02   1.0506473E-01   7.5698593E-02   3.8955685E+00   1.3426647E-01   2.2137225E-01   8.1719947E-02   1.0817751E-01   8.0000000E-01  
9   5.1745858E+02   1.1998186E+00  -2.5507427E+00   4.5546657E-01   6.1195527E-02  -2.0582431E+00   3.9212240E+01   1.3462229E-01   8.7492537E-01   4.0641811E+00   4.1357160E+02   5.1460613E+01   1.3316240E-01   5.0000000E-02   1.0506473E-01   7.5698593E-02   3.8955685E+00   1.3426647E-01   2.2137225E-01   8.1719947E-02   1.0817751E-01   8.0000000E-01  
10   5.1745858E+02   1.1998186E+00  -2.5507427E+00   4.5546657E-01   6.1195527E-02  -2.0582431E+00   3.9212240E+01   1.3462229E-01   8.7492537E-01   4.0641811E+00   4.1357160E+02   5.1460613E+01   1.3316240E-01   5.0000000E-02   1.0506473E-01   7.5698593E-02   3.8955685E+00   1.3426647E-01   2.2137225E-01   8.1719947E-02   1.0817751E-01   8.0000000E-01  
11   5.1745858E+02   1.1998186E+00  -2.5507427E+00   4.5546657E-01   6.1195527E-02  -2.0582431E+00   3.9212240E+01   1.3462229E-01   8.7492537E-01   4.0641811E+00   4.1357160E+02   5.1460613E+01   1.3316240E-01   5.0000000E-02   1.0506473E-01   7.5698593E-02   3.8955685E+00   1.3426647E-01   2.2137225E-01   8.1719947E-02   1.0817751E-01   8.0000000E-01  
