Iter  Part1  Part2  Part3  Part4  Part5  Part6  Part7  Part8  Part9  Part10  Part11  Part12  Part13  Part14  Part15  Part16  Part17  Part18  Part19  Part20  Part21  Part22  Part23  Part24  Part25  Part26  Part27  Part28  Part29  Part30  Part31  Part32  Part33  Part34  Part35  Part36  Part37  Part38  Part39  Part40  Part41  Part42  Part43  Part44  Part45  Part46  Part47  Part48  Part49  Part50  Part51  Part52  Part53  Part54  Part55  Part56  Part57  Part58  Part59  Part60  Part61  Part62  Part63  Part64  Part65  Part66  Part67  Part68  Part69  Part70  Part71  Part72  Part73  Part74  Part75  Part76  Part77  Part78  Part79  Part80  Part81  Part82  Part83  Part84  Part85  Part86  Part87  Part88  Part89  Part90  Part91  Part92  Part93  Part94  Part95  Part96  Part97  Part98  Part99  Part100  Part101  Part102  Part103  Part104  Part105  Part106  Part107  Part108  Part109  Part110  Part111  Part112  Part113  Part114  Part115  Part116  Part117  Part118  Part119  Part120  Part121  Part122  Part123  Part124  Part125  Part126  Part127  
1   6.2893841E+02   6.4596829E+02   6.0748127E+02   7.0064440E+02   5.5961661E+02   6.0450829E+02   5.7857594E+02   5.6404134E+02   6.0476386E+02   7.4194610E+02   5.7061408E+02   5.4712175E+02   5.5715450E+02   6.4006176E+02   7.6342514E+02   5.8237233E+02   6.5064723E+02   5.9449142E+02   5.6388886E+02   6.0546389E+02   6.1199632E+02   6.4187081E+02   6.3089342E+02   5.5180382E+02   6.3842275E+02   6.4310150E+02   7.0210835E+02   6.5723246E+02   6.2770141E+02   5.4110843E+02   5.3501102E+02   7.0729414E+02   5.7709818E+02   5.8194523E+02   5.4218716E+02   5.6512933E+02   5.9437508E+02   7.9872628E+02   5.9868291E+02   5.3762258E+02   5.9977879E+02   5.5917708E+02   5.5871834E+02   5.7836812E+02   5.9479020E+02   6.0194600E+02   8.1009973E+02   6.2184322E+02   5.6976538E+02   8.0388110E+02   5.4814770E+02   6.3451068E+02   5.9407793E+02   5.6055765E+02   6.4584655E+02   5.4381168E+02   6.6891765E+02   5.4963217E+02   6.5541638E+02   5.5809902E+02   6.0331004E+02   5.8085223E+02   5.4429847E+02   5.4570008E+02   7.4815724E+02   7.2340706E+02   5.5635046E+02   5.8147478E+02   5.3945644E+02   5.8102331E+02   5.7239405E+02   5.8254630E+02   5.5376197E+02   5.8284883E+02   5.6846552E+02   5.8500145E+02   6.1427523E+02   7.0150771E+02   6.7965162E+02   5.8402103E+02   5.7211521E+02   5.3805006E+02   5.5255969E+02   5.8632343E+02   7.5200567E+02   7.2526145E+02   5.3848634E+02   7.4883555E+02   5.5152312E+02   5.8596736E+02   5.9613432E+02   5.3654260E+02   6.2106981E+02   8.0623270E+02   5.9623713E+02   6.0433564E+02   5.8694667E+02   5.8061673E+02   5.8883603E+02   5.9356132E+02   5.7480607E+02   5.7057911E+02   5.7226362E+02   5.7355092E+02   5.6691161E+02   6.6461291E+02   6.3342806E+02   6.7100587E+02   6.2978072E+02   6.0991496E+02   6.3402274E+02   5.5033974E+02   5.9716529E+02   6.5113093E+02   6.9440186E+02   5.6111334E+02   5.3685052E+02   5.5501509E+02   5.4186753E+02   5.7101237E+02   5.9136586E+02   7.1503218E+02   5.5723315E+02   5.5467264E+02   6.4448584E+02   6.9478546E+02   6.2047374E+02  
2   6.2893841E+02   6.0323959E+02   6.0222376E+02   6.8126008E+02   5.5961661E+02   5.4301198E+02   5.7857594E+02   5.5848037E+02   5.4276902E+02   6.0661022E+02   5.5327154E+02   5.4712175E+02   5.5715450E+02   5.8059197E+02   5.9330301E+02   5.8237233E+02   6.5002907E+02   5.8657282E+02   5.3761436E+02   6.0546389E+02   6.1199632E+02   5.4709004E+02   5.6135510E+02   5.5105774E+02   5.8648235E+02   5.4128339E+02   6.6518857E+02   5.8306288E+02   5.4766862E+02   5.4110843E+02   5.3501102E+02   5.8842536E+02   5.6292668E+02   5.8194523E+02   5.4218716E+02   5.6512933E+02   5.6585156E+02   5.7877527E+02   5.9868291E+02   5.3762258E+02   5.9977879E+02   5.4857438E+02   5.5871834E+02   5.7836812E+02   5.7861411E+02   5.9778789E+02   7.1546433E+02   5.9539532E+02   5.6976538E+02   6.4504485E+02   5.4814770E+02   6.3451068E+02   5.9407793E+02   5.6055765E+02   6.4584655E+02   5.4381168E+02   5.7165231E+02   5.4963217E+02   6.5541638E+02   5.4415170E+02   5.5993615E+02   5.8085223E+02   5.4429847E+02   5.4000915E+02   6.2447515E+02   5.4592826E+02   5.5635046E+02   5.4427866E+02   5.3945644E+02   5.8102331E+02   5.4903619E+02   5.8254630E+02   5.5376197E+02   5.8284883E+02   5.3820112E+02   5.7713371E+02   5.9869006E+02   5.7314609E+02   5.2676622E+02   5.8402103E+02   5.3638962E+02   5.3805006E+02   5.5255969E+02   5.8632343E+02   5.8540309E+02   6.7648861E+02   5.3848634E+02   5.8598929E+02   5.5152312E+02   5.6841809E+02   5.9613432E+02   5.3654260E+02   5.7250555E+02   5.8047321E+02   5.8674475E+02   5.7691018E+02   5.8694667E+02   5.8061673E+02   5.6362261E+02   5.4795063E+02   5.5802380E+02   5.4109444E+02   5.6652296E+02   5.7189994E+02   5.6691161E+02   6.4041240E+02   6.0658018E+02   5.9765822E+02   5.5864981E+02   6.0991496E+02   5.6421976E+02   5.5033974E+02   5.9716529E+02   5.7973702E+02   6.2899452E+02   5.6111334E+02   5.3685052E+02   5.4841554E+02   5.4186753E+02   5.7101237E+02   5.9136586E+02   5.8132430E+02   5.5723315E+02   5.5467264E+02   5.7720457E+02   6.2786076E+02   5.3297561E+02  
3   6.2893841E+02   5.8744062E+02   6.0222376E+02   6.4378073E+02   5.5961661E+02   5.3817633E+02   5.6899696E+02   5.5349622E+02   5.4276902E+02   5.7186518E+02   5.4001281E+02   5.4712175E+02   5.5715450E+02   5.4644717E+02   5.5043190E+02   5.8237233E+02   6.5002907E+02   5.8657282E+02   5.3761436E+02   6.0546389E+02   5.5694499E+02   5.4709004E+02   5.4657799E+02   5.4059173E+02   5.4356075E+02   5.4128339E+02   6.3701093E+02   5.4168488E+02   5.4766862E+02   5.4110843E+02   5.3501102E+02   5.6471250E+02   5.6292668E+02   5.6130253E+02   5.4218716E+02   5.6512933E+02   5.6585156E+02   5.3805583E+02   5.9868291E+02   5.3762258E+02   5.9977879E+02   5.4857438E+02   5.5871834E+02   5.6224875E+02   5.7861411E+02   5.9164073E+02   6.0463361E+02   5.9539532E+02   5.6976538E+02   5.9160520E+02   5.4814770E+02   5.8664458E+02   5.9407793E+02   5.5679205E+02   5.8034894E+02   5.4381168E+02   5.7165231E+02   5.4963217E+02   6.5541638E+02   5.3653901E+02   5.5993615E+02   5.8085223E+02   5.4429847E+02   5.4000915E+02   5.6296824E+02   5.4278836E+02   5.5635046E+02   5.4427866E+02   5.3945644E+02   5.8102331E+02   5.4903619E+02   5.8254630E+02   5.5376197E+02   5.5734354E+02   5.3820112E+02   5.1814004E+02   5.9869006E+02   5.4022775E+02   5.2676622E+02   5.8402103E+02   5.3638962E+02   5.3805006E+02   5.4794428E+02   5.8632343E+02   5.8085102E+02   6.0290269E+02   5.3848634E+02   5.6264872E+02   5.5152312E+02   5.3852530E+02   5.9613432E+02   5.3654260E+02   5.5990450E+02   5.5240481E+02   5.8674475E+02   5.7691018E+02   5.8694667E+02   5.8061673E+02   5.5676036E+02   5.4795063E+02   5.4438388E+02   5.4109444E+02   5.6652296E+02   5.7189994E+02   5.6691161E+02   5.7620810E+02   5.9644634E+02   5.6865882E+02   5.5572801E+02   6.0991496E+02   5.4976089E+02   5.5033974E+02   5.9716529E+02   5.5855214E+02   6.2723526E+02   5.6111334E+02   5.3685052E+02   5.4188060E+02   5.4186753E+02   5.7101237E+02   5.9136586E+02   5.8132430E+02   5.5723315E+02   5.5467264E+02   5.6513807E+02   6.2786076E+02   5.3297561E+02  
4   6.2893841E+02   5.8744062E+02   6.0222376E+02   5.9030346E+02   5.5961661E+02   5.3817633E+02   5.6899696E+02   5.5349622E+02   5.4276902E+02   5.7016576E+02   5.3380543E+02   5.4712175E+02   5.5715450E+02   5.3437385E+02   5.5043190E+02   5.7912314E+02   6.2169753E+02   5.8642068E+02   5.3761436E+02   6.0546389E+02   5.5694499E+02   5.4709004E+02   5.4260878E+02   5.4059173E+02   5.4356075E+02   5.4128339E+02   6.2980391E+02   5.3862564E+02   5.4766862E+02   5.3985538E+02   5.3501102E+02   5.4487828E+02   5.6292668E+02   5.6130253E+02   5.4218716E+02   5.6512933E+02   5.4139285E+02   5.3800089E+02   5.9868291E+02   5.3762258E+02   5.9977879E+02   5.4857438E+02   5.5871834E+02   5.4983947E+02   5.7861411E+02   5.7438734E+02   6.0463361E+02   5.4712850E+02   5.6976538E+02   5.5775828E+02   5.4814770E+02   5.5996947E+02   5.9407793E+02   5.5679205E+02   5.3671304E+02   5.4381168E+02   5.4635760E+02   5.4963217E+02   6.5541638E+02   5.3600575E+02   5.5207391E+02   5.8085223E+02   5.4429847E+02   5.4000915E+02   5.6296824E+02   5.4278836E+02   5.5635046E+02   5.4427866E+02   5.3945644E+02   5.8102331E+02   5.3652717E+02   5.8254630E+02   5.5376197E+02   5.5734354E+02   5.3820112E+02   5.1814004E+02   5.9869006E+02   5.3870679E+02   5.2676622E+02   5.8402103E+02   5.3638962E+02   5.3805006E+02   5.4692745E+02   5.8632343E+02   5.6716349E+02   5.6405538E+02   5.3848634E+02   5.5484595E+02   5.5152312E+02   5.3328805E+02   5.9613432E+02   5.3654260E+02   5.5767957E+02   5.5240481E+02   5.6915674E+02   5.7568086E+02   5.8694667E+02   5.8061673E+02   5.5676036E+02   5.4795063E+02   5.4438388E+02   5.4109444E+02   5.6652296E+02   5.7189994E+02   5.6691161E+02   5.4938249E+02   5.9644634E+02   5.6865882E+02   5.5572801E+02   6.0991496E+02   5.4505010E+02   5.5033974E+02   5.9716529E+02   5.5855214E+02   6.0459732E+02   5.6111334E+02   5.3685052E+02   5.4188060E+02   5.4186753E+02   5.7101237E+02   5.9136586E+02   5.8132430E+02   5.5475569E+02   5.5467264E+02   5.5874629E+02   5.7797501E+02   5.3297561E+02  
5   5.5343127E+02   5.7433214E+02   6.0222376E+02   5.5448717E+02   5.3593839E+02   5.3817633E+02   5.6043244E+02   5.5349622E+02   5.3613063E+02   5.5449520E+02   5.2863552E+02   5.4712175E+02   5.5715450E+02   5.3437385E+02   5.5043190E+02   5.7912314E+02   5.5802877E+02   5.8527219E+02   5.3761436E+02   6.0546389E+02   5.5694499E+02   5.4709004E+02   5.4131672E+02   5.4059173E+02   5.3445125E+02   5.4128339E+02   5.8287433E+02   5.3862564E+02   5.4315773E+02   5.3985538E+02   5.3501102E+02   5.3221958E+02   5.6292668E+02   5.6130253E+02   5.4218716E+02   5.5926770E+02   5.3788105E+02   5.3554783E+02   5.9868291E+02   5.3762258E+02   5.7555443E+02   5.4857438E+02   5.5871834E+02   5.4125468E+02   5.7392599E+02   5.7438734E+02   5.8155995E+02   5.4712850E+02   5.6976538E+02   5.5117114E+02   5.4724889E+02   5.4740142E+02   5.9407793E+02   5.4331531E+02   5.3671304E+02   5.4381168E+02   5.3227838E+02   5.4806379E+02   6.5541638E+02   5.3600575E+02   5.5207391E+02   5.8085223E+02   5.4429847E+02   5.4000915E+02   5.6296824E+02   5.4278836E+02   5.5175120E+02   5.4427866E+02   5.3945644E+02   5.8102331E+02   5.3454616E+02   5.8254630E+02   5.5376197E+02   5.5734354E+02   5.3065348E+02   5.1814004E+02   5.8541293E+02   5.3864716E+02   5.2676622E+02   5.6781697E+02   5.3638962E+02   5.3805006E+02   5.4692745E+02   5.8632343E+02   5.4532727E+02   5.6405538E+02   5.3371552E+02   5.5484595E+02   5.5152312E+02   5.3328805E+02   5.4960075E+02   5.3654260E+02   5.5767957E+02   5.5240481E+02   5.5900057E+02   5.6798525E+02   5.8529509E+02   5.8061673E+02   5.4963773E+02   5.4795063E+02   5.4224869E+02   5.3264531E+02   5.6162304E+02   5.7189994E+02   5.6170700E+02   5.4071638E+02   5.9644634E+02   5.6865882E+02   5.5572801E+02   6.0991496E+02   5.4479097E+02   5.4792866E+02   5.9716529E+02   5.5855214E+02   5.7503450E+02   5.6111334E+02   5.3685052E+02   5.4188060E+02   5.4186753E+02   5.7101237E+02   5.9136586E+02   5.8132430E+02   5.4527382E+02   5.4672475E+02   5.5336175E+02   5.5495158E+02   5.3297561E+02  
6   5.5209875E+02   5.6135034E+02   5.7204374E+02   5.3253599E+02   5.3593839E+02   5.3817633E+02   5.6043244E+02   5.5349622E+02   5.3613063E+02   5.5449520E+02   5.2863552E+02   5.4397674E+02   5.5715450E+02   5.3437385E+02   5.5043190E+02   5.7912314E+02   5.4807957E+02   5.8527219E+02   5.3761436E+02   6.0546389E+02   5.5694499E+02   5.3669195E+02   5.4131672E+02   5.4059173E+02   5.3445125E+02   5.3672158E+02   5.6435766E+02   5.3862564E+02   5.3462588E+02   5.3985538E+02   5.3501102E+02   5.2132918E+02   5.6292668E+02   5.4397589E+02   5.4218716E+02   5.5918109E+02   5.3788105E+02   5.3554783E+02   5.8834533E+02   5.3762258E+02   5.5844712E+02   5.4857438E+02   5.5871834E+02   5.3777854E+02   5.3881716E+02   5.7137488E+02   5.6262797E+02   5.4712850E+02   5.6976538E+02   5.3913086E+02   5.4724889E+02   5.4598389E+02   5.4521455E+02   5.4331531E+02   5.3671304E+02   5.4381168E+02   5.3227838E+02   5.4618804E+02   5.9323759E+02   5.3600575E+02   5.5207391E+02   5.6132306E+02   5.4169055E+02   5.4000915E+02   5.6296824E+02   5.4278836E+02   5.3876128E+02   5.4427866E+02   5.3945644E+02   5.8102331E+02   5.3454616E+02   5.3251380E+02   5.5376197E+02   5.5734354E+02   5.3065348E+02   5.1814004E+02   5.6890832E+02   5.3584345E+02   5.2676622E+02   5.4222946E+02   5.3638962E+02   5.3805006E+02   5.4692745E+02   5.8632343E+02   5.4380307E+02   5.6405538E+02   5.3353763E+02   5.5484595E+02   5.4121678E+02   5.3328805E+02   5.4960075E+02   5.3654260E+02   5.4509830E+02   5.5112101E+02   5.4424991E+02   5.6798525E+02   5.7039555E+02   5.8061673E+02   5.4025110E+02   5.4795063E+02   5.4224869E+02   5.3264531E+02   5.6162304E+02   5.7189994E+02   5.4599237E+02   5.3429272E+02   5.7978202E+02   5.6865882E+02   5.5572801E+02   6.0991496E+02   5.4479097E+02   5.4592090E+02   5.9716529E+02   5.4560200E+02   5.7503450E+02   5.6111334E+02   5.3454673E+02   5.4188060E+02   5.3272567E+02   5.5225412E+02   5.9136586E+02   5.8132430E+02   5.3368083E+02   5.4672475E+02   5.5270627E+02   5.3968342E+02   5.3297561E+02  
7   5.5209875E+02   5.6135034E+02   5.7204374E+02   5.3253599E+02   5.3497069E+02   5.3817633E+02   5.5289917E+02   5.2717865E+02   5.3613063E+02   5.5117899E+02   5.2863552E+02   5.4397674E+02   5.5715450E+02   5.3437385E+02   5.5043190E+02   5.7912314E+02   5.4807957E+02   5.6669146E+02   5.3761436E+02   6.0546389E+02   5.5694499E+02   5.3669195E+02   5.4131672E+02   5.4059173E+02   5.3445125E+02   5.3672158E+02   5.6435766E+02   5.3818913E+02   5.2972209E+02   5.3985538E+02   5.3501102E+02   5.2132918E+02   5.6292668E+02   5.3210402E+02   5.4218716E+02   5.5918109E+02   5.3788105E+02   5.2904768E+02   5.4674815E+02   5.3753683E+02   5.5463955E+02   5.3453512E+02   5.4696084E+02   5.3618748E+02   5.3827747E+02   5.4256722E+02   5.4040657E+02   5.4712850E+02   5.6976538E+02   5.3829832E+02   5.4724889E+02   5.4598389E+02   5.4521455E+02   5.4331531E+02   5.3671304E+02   5.4381168E+02   5.3227838E+02   5.4618804E+02   5.3662513E+02   5.3600575E+02   5.5024022E+02   5.6132306E+02   5.3370187E+02   5.3625840E+02   5.6296824E+02   5.4278836E+02   5.3318479E+02   5.4427866E+02   5.2992242E+02   5.6950857E+02   5.3454616E+02   5.3251380E+02   5.5376197E+02   5.5734354E+02   5.3065348E+02   5.1814004E+02   5.3926117E+02   5.3377576E+02   5.2676622E+02   5.4222946E+02   5.3638962E+02   5.3805006E+02   5.3852793E+02   5.6066654E+02   5.4380307E+02   5.6405538E+02   5.3252201E+02   5.5484595E+02   5.4121678E+02   5.3328805E+02   5.4960075E+02   5.3654260E+02   5.4509830E+02   5.3155297E+02   5.3512813E+02   5.2862081E+02   5.6796496E+02   5.7548161E+02   5.3831109E+02   5.4795063E+02   5.3980781E+02   5.3264531E+02   5.4990067E+02   5.7189994E+02   5.4599237E+02   5.3429272E+02   5.4361005E+02   5.6865882E+02   5.5572801E+02   6.0936597E+02   5.4479097E+02   5.4592090E+02   5.9716529E+02   5.2976641E+02   5.7503450E+02   5.4456636E+02   5.3046265E+02   5.3249146E+02   5.2107006E+02   5.5225412E+02   5.3660616E+02   5.7999568E+02   5.2895507E+02   5.4672475E+02   5.5270627E+02   5.3610065E+02   5.3297561E+02  
8   5.5120054E+02   5.4476147E+02   5.3510826E+02   5.3253599E+02   5.3244818E+02   5.3485587E+02   5.3218232E+02   5.2717865E+02   5.3613063E+02   5.3845029E+02   5.2863552E+02   5.3536860E+02   5.4003178E+02   5.3437385E+02   5.3928832E+02   5.4664654E+02   5.4807957E+02   5.6669146E+02   5.3761436E+02   5.4478395E+02   5.5694499E+02   5.3669195E+02   5.4131672E+02   5.3670980E+02   5.3445125E+02   5.3672158E+02   5.3626889E+02   5.3261725E+02   5.2972209E+02   5.3985538E+02   5.3336239E+02   5.2132918E+02   5.6292668E+02   5.3119337E+02   5.4218716E+02   5.5918109E+02   5.3788105E+02   5.2904768E+02   5.3721578E+02   5.3753683E+02   5.4796133E+02   5.3453512E+02   5.4696084E+02   5.3618748E+02   5.3827747E+02   5.2968398E+02   5.3166842E+02   5.4297597E+02   5.6160505E+02   5.2852186E+02   5.4724889E+02   5.3548210E+02   5.4521455E+02   5.4331531E+02   5.2550090E+02   5.4381168E+02   5.2912968E+02   5.4618804E+02   5.3662513E+02   5.3600575E+02   5.4347992E+02   5.4284521E+02   5.2407051E+02   5.3625840E+02   5.6296824E+02   5.3030653E+02   5.3318479E+02   5.4427866E+02   5.2992242E+02   5.6219000E+02   5.3454616E+02   5.3251380E+02   5.5376197E+02   5.5734354E+02   5.3065348E+02   5.1814004E+02   5.3617656E+02   5.3322794E+02   5.2676622E+02   5.4222946E+02   5.3343023E+02   5.3805006E+02   5.3700100E+02   5.6066654E+02   5.4380307E+02   5.3107216E+02   5.2587381E+02   5.5484595E+02   5.4121678E+02   5.3016201E+02   5.4819757E+02   5.3529293E+02   5.4509830E+02   5.3155297E+02   5.3512813E+02   5.2862081E+02   5.5123905E+02   5.6828858E+02   5.3831109E+02   5.4795063E+02   5.3771618E+02   5.2904602E+02   5.4990067E+02   5.5542209E+02   5.4599237E+02   5.3429272E+02   5.4361005E+02   5.6865882E+02   5.3841556E+02   5.9505801E+02   5.4479097E+02   5.4592090E+02   5.8013574E+02   5.2398093E+02   5.7503450E+02   5.2426015E+02   5.3046265E+02   5.3249146E+02   5.2107006E+02   5.5225412E+02   5.3524466E+02   5.1745858E+02   5.2700728E+02   5.2782351E+02   5.3561704E+02   5.3610065E+02   5.3297561E+02  
9   5.4322939E+02   5.3804612E+02   5.3510826E+02   5.3253599E+02   5.2569510E+02   5.2313845E+02   5.2721830E+02   5.1925782E+02   5.3613063E+02   5.3845029E+02   5.2863552E+02   5.3536860E+02   5.3622444E+02   5.3437385E+02   5.3249354E+02   5.4664654E+02   5.3879297E+02   5.5962420E+02   5.2882748E+02   5.4478395E+02   5.5694499E+02   5.3669195E+02   5.4131672E+02   5.3012337E+02   5.3445125E+02   5.3672158E+02   5.3626889E+02   5.3067449E+02   5.2972209E+02   5.3985538E+02   5.3336239E+02   5.2132918E+02   5.6292668E+02   5.2780131E+02   5.3398292E+02   5.5918109E+02   5.3788105E+02   5.2904768E+02   5.3721578E+02   5.3753683E+02   5.3410905E+02   5.3453512E+02   5.3849260E+02   5.3595299E+02   5.3827747E+02   5.2968398E+02   5.2932243E+02   5.3759663E+02   5.3722453E+02   5.2852186E+02   5.2061302E+02   5.3032604E+02   5.4521455E+02   5.4331531E+02   5.2550090E+02   5.4381168E+02   5.2912968E+02   5.3612404E+02   5.3662513E+02   5.3600575E+02   5.3980998E+02   5.4035118E+02   5.2407051E+02   5.3625840E+02   5.6296824E+02   5.3030653E+02   5.3318479E+02   5.4427866E+02   5.2458916E+02   5.6219000E+02   5.3064109E+02   5.3251380E+02   5.5376197E+02   5.4776198E+02   5.2981811E+02   5.1814004E+02   5.3617656E+02   5.3322794E+02   5.2676622E+02   5.4222946E+02   5.3343023E+02   5.3756664E+02   5.3700100E+02   5.6066654E+02   5.3009024E+02   5.3107216E+02   5.2587381E+02   5.3170718E+02   5.4121678E+02   5.3016201E+02   5.3710992E+02   5.3072180E+02   5.4509830E+02   5.2770608E+02   5.3512813E+02   5.2862081E+02   5.4638158E+02   5.6828858E+02   5.3831109E+02   5.4795063E+02   5.3771618E+02   5.2904602E+02   5.4990067E+02   5.3378234E+02   5.3767437E+02   5.3429272E+02   5.4361005E+02   5.3009628E+02   5.3626272E+02   5.8445327E+02   5.3904790E+02   5.4592090E+02   5.4209277E+02   5.2398093E+02   5.5691406E+02   5.2313853E+02   5.2958596E+02   5.3163574E+02   5.2107006E+02   5.2987111E+02   5.3524466E+02   5.1745858E+02   5.2700728E+02   5.2782351E+02   5.2545663E+02   5.3610065E+02   5.3297561E+02  
10   5.3771474E+02   5.3488507E+02   5.2841657E+02   5.3253599E+02   5.2569510E+02   5.2313845E+02   5.2403055E+02   5.1925782E+02   5.2861313E+02   5.3007434E+02   5.2863552E+02   5.3536860E+02   5.3622444E+02   5.3437385E+02   5.3226311E+02   5.4664654E+02   5.3245855E+02   5.5962420E+02   5.2882748E+02   5.4478395E+02   5.5694499E+02   5.3669195E+02   5.4131672E+02   5.3012337E+02   5.3445125E+02   5.3672158E+02   5.3165498E+02   5.3067449E+02   5.2972209E+02   5.3985538E+02   5.3073108E+02   5.2132918E+02   5.4613286E+02   5.2780131E+02   5.3398292E+02   5.2427721E+02   5.3741224E+02   5.2904768E+02   5.3721578E+02   5.3753683E+02   5.2888441E+02   5.3453512E+02   5.2594983E+02   5.3595299E+02   5.3827747E+02   5.2968398E+02   5.2932243E+02   5.3542666E+02   5.3056162E+02   5.2852186E+02   5.2061302E+02   5.3032604E+02   5.4521455E+02   5.4331531E+02   5.2550090E+02   5.4381168E+02   5.2879229E+02   5.3188502E+02   5.3662513E+02   5.3556185E+02   5.2891965E+02   5.4035118E+02   5.2407051E+02   5.3297638E+02   5.5989242E+02   5.3030653E+02   5.3150145E+02   5.3725466E+02   5.2458916E+02   5.6219000E+02   5.3064109E+02   5.3124885E+02   5.5376197E+02   5.4776198E+02   5.2058099E+02   5.1814004E+02   5.3617656E+02   5.3178094E+02   5.2676622E+02   5.4222946E+02   5.3343023E+02   5.3718046E+02   5.3700100E+02   5.6066654E+02   5.3009024E+02   5.3107216E+02   5.2587381E+02   5.3170718E+02   5.4092004E+02   5.3016201E+02   5.3151527E+02   5.3072180E+02   5.4509830E+02   5.2196381E+02   5.3512813E+02   5.2862081E+02   5.4638158E+02   5.3119364E+02   5.3062119E+02   5.3998453E+02   5.3771618E+02   5.2718535E+02   5.4990067E+02   5.3098349E+02   5.2880723E+02   5.3429272E+02   5.4361005E+02   5.3009628E+02   5.3626272E+02   5.4023004E+02   5.2339752E+02   5.4592090E+02   5.4209277E+02   5.2398093E+02   5.5691406E+02   5.2313853E+02   5.2594660E+02   5.2938671E+02   5.2107006E+02   5.2817759E+02   5.3136320E+02   5.1745858E+02   5.2700728E+02   5.2782351E+02   5.2545663E+02   5.3317253E+02   5.3297561E+02  
