Date12[DDMMYYYYhhmm],JulianDayFromYear0[days],TimeFromStart[days],Simulation_Period,Run,Prain_below_canopy[mm],Psnow_below_canopy[mm],Prain_above_canopy[mm],Prain_above_canopy[mm],Pnet[mm],Tair[C],Tsurface[C],Tvegetation[C],Evap_surface[mm],Transpiration_canopy[mm],LE[W/m2],H[W/m2],SW[W/m2],LW[W/m2],LEv[W/m2],Hv[W/m2],SWv[W/m2],LWv[W/m2],SWin[W/m2],LWin[W/m2],Mass_balance_error[mm],Mean_Time_Step[s]
09/04/2014 19:00,735698.791667,0.041667,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,8.460000,3.169293,1.500354,0.000753,0.000245,0.521380,-2.068337,3.389808,-29.614332,0.169759,-6.746617,0.794764,-6.355984,4.695695,287.874575,0.000001,900.000000
09/04/2014 20:00,735698.833333,0.083333,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,8.250000,2.613015,1.534204,0.000611,0.000000,0.423399,-2.252673,0.000000,-26.265023,0.000000,-6.462981,0.000000,-6.557577,0.000000,289.585770,0.000096,900.000000
09/04/2014 21:00,735698.875000,0.125000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,8.040000,2.296244,1.409552,0.000539,0.000000,0.373466,-2.311487,0.000000,-24.587263,0.000000,-6.367810,0.000000,-6.433045,0.000000,290.386241,0.000032,900.000000
09/04/2014 22:00,735698.916667,0.166667,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,7.870000,2.005902,1.167104,0.000528,0.000000,0.366235,-2.367039,0.000000,-24.753901,0.000000,-6.438435,0.000000,-6.600404,0.000000,288.704532,0.000013,900.000000
09/04/2014 23:00,735698.958333,0.208333,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,7.660002,1.757600,0.964757,0.000502,0.000000,0.347890,-2.388049,0.000000,-24.258223,0.000000,-6.431684,0.000000,-6.543631,0.000000,288.224849,0.000083,900.000000
10/04/2014 00:00,735699.000000,0.250000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,7.670000,1.543905,0.839425,0.000471,0.000000,0.326723,-2.488621,0.000000,-23.910209,0.000000,-6.555669,0.000000,-6.623461,0.000000,287.641921,0.000030,900.000000
10/04/2014 01:00,735699.041667,0.291667,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,7.550000,1.301493,0.544408,0.000498,0.000000,0.345245,-2.538848,0.000000,-25.155818,0.000000,-6.733478,0.000000,-6.935284,0.000000,284.685881,0.000002,900.000000
10/04/2014 02:00,735699.083333,0.333333,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,7.590003,1.096418,0.385236,0.000474,0.000000,0.328848,-2.645995,0.000000,-25.010062,0.000000,-6.921946,0.000000,-6.995904,0.000000,283.891803,0.000001,900.000000
10/04/2014 03:00,735699.125000,0.375000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,7.990000,0.927625,0.378150,0.000440,0.000000,0.305676,-2.894938,0.000000,-24.774766,0.000000,-7.295301,0.000000,-7.267151,0.000000,283.275695,0.000000,900.000000
10/04/2014 04:00,735699.166667,0.416667,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,7.690000,0.793229,0.308255,0.000416,0.000000,0.288499,-2.831137,0.000000,-23.937479,0.000000,-7.074396,0.000000,-7.125406,0.000000,283.836027,0.000000,900.000000
10/04/2014 05:00,735699.208333,0.458333,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,7.899991,0.661858,0.264979,0.000402,0.000000,0.279207,-2.980460,0.000000,-23.971526,0.000000,-7.309408,0.000000,-7.325183,0.000000,283.074045,0.000000,900.000000
10/04/2014 06:00,735699.250000,0.500000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,6.990000,0.677035,0.355550,0.000365,0.000097,0.253336,-2.598446,3.195290,-21.497104,0.067206,-6.347046,0.723951,-6.707056,4.397974,286.784780,0.000000,900.000000
10/04/2014 07:00,735699.291667,0.541667,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,7.350000,1.750606,2.264189,0.000562,0.002918,0.390167,-2.344676,41.565234,-26.046105,2.022149,-4.752678,9.442293,-10.537266,57.237665,284.031631,0.000000,900.000000
10/04/2014 08:00,735699.333333,0.583333,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,9.359993,4.742795,9.959125,0.001010,0.015630,0.699056,-2.266185,116.525619,-30.323577,10.746959,0.906176,41.853127,-23.771858,177.412294,286.245662,0.000000,900.000000
10/04/2014 09:00,735699.375000,0.625000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,10.550000,10.708014,16.844087,0.005071,0.035503,3.491030,-0.079933,254.388880,-49.107678,24.266163,6.946992,69.638822,-34.803613,362.840388,286.455803,0.000000,900.000000
10/04/2014 10:00,735699.416667,0.666667,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,12.110000,18.393689,20.564322,0.020357,0.053357,13.922643,8.620416,405.976690,-78.575181,36.341971,9.813579,85.288797,-37.085585,550.209386,288.591942,0.000000,900.000000
10/04/2014 11:00,735699.458333,0.708333,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,13.119999,25.766462,22.777530,0.058722,0.068640,39.909599,27.555054,540.626063,-113.344942,46.653341,11.240230,95.389410,-36.223627,712.460740,286.501893,0.000000,900.000000
10/04/2014 12:00,735699.500000,0.750000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,13.990000,31.832421,24.875036,0.110948,0.079335,74.985801,49.572877,637.051305,-139.751113,53.813154,12.248207,101.306059,-34.042319,827.246388,290.683560,0.000000,900.000000
10/04/2014 13:00,735699.541667,0.791667,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,14.380000,33.713185,24.976543,0.137913,0.079568,92.982036,59.486105,585.055943,-149.421142,53.966704,11.333447,95.329176,-30.369737,762.581913,291.058911,0.000000,900.000000
10/04/2014 14:00,735699.583333,0.833333,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,13.860001,28.241037,20.242414,0.095053,0.056740,64.291304,42.566464,293.635300,-128.291487,38.658979,5.683411,62.908767,-22.181502,400.085392,286.244857,0.000000,900.000000
10/04/2014 15:00,735699.625000,0.875000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,13.470000,23.363153,15.156038,0.055938,0.034188,37.990322,24.546663,157.034090,-107.404058,23.408358,0.000402,35.348980,-15.082604,215.937263,287.834329,0.000000,900.000000
10/04/2014 16:00,735699.666667,0.916667,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,13.290000,22.006763,14.856394,0.043136,0.032316,29.348012,18.790541,174.216402,-99.528006,22.134167,0.354324,39.183171,-16.394510,239.492993,290.183650,0.000000,900.000000
10/04/2014 17:00,735699.708333,0.958333,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,12.799997,18.819090,11.165586,0.028290,0.020828,19.293644,10.973612,86.993751,-90.767510,14.315645,-3.429635,19.859661,-11.680910,119.932261,285.405225,0.000000,900.000000
