Date12[DDMMYYYYhhmm],JulianDayFromYear0[days],TimeFromStart[days],Simulation_Period,Run,IDpoint,10.000000 ,50.000000 ,200.000000 ,560.000000 ,1400.000000 ,3500.000000 ,7500.000000 ,16000.000000 ,36000.000000  
09/04/2014 18:00,735698.750000,0.000000,0,1,1,-4819.969873,-4781.332840,-4636.443966,-4288.710669,-3477.332975,-1448.888739,2414.814566,10625.184089,29943.700615 
09/04/2014 19:00,735698.791667,0.041667,1,1,1,-4822.428810,-4781.885378,-4636.508475,-4288.724524,-3477.333046,-1449.165888,431.022078,8094.313499,22677.809135 
09/04/2014 20:00,735698.833333,0.083333,1,1,1,-4823.368616,-4782.546329,-4636.535561,-4288.724800,-3477.333364,-1449.834257,-15.750876,4263.532553,16672.687767 
09/04/2014 21:00,735698.875000,0.125000,1,1,1,-4823.916834,-4783.150818,-4636.576200,-4288.725248,-3477.333974,-1450.507248,-36.385795,250.086518,11348.376248 
09/04/2014 22:00,735698.916667,0.166667,1,1,1,-4824.441783,-4783.693841,-4636.628507,-4288.725928,-3477.334878,-1451.185075,-54.703178,-7.162479,5281.775968 
09/04/2014 23:00,735698.958333,0.208333,1,1,1,-4824.875840,-4784.177044,-4636.690524,-4288.726889,-3477.336078,-1451.866629,-69.381889,-14.676102,-3.269341 
10/04/2014 00:00,735699.000000,0.250000,1,1,1,-4825.222457,-4784.599159,-4636.760398,-4288.728171,-3477.337575,-1452.551212,-82.021213,-21.222087,-6.825941 
10/04/2014 01:00,735699.041667,0.291667,1,1,1,-4825.682635,-4784.998619,-4636.837303,-4288.729808,-3477.339371,-1453.238381,-93.292345,-26.695379,-9.562411 
10/04/2014 02:00,735699.083333,0.333333,1,1,1,-4826.027101,-4785.366119,-4636.920094,-4288.731828,-3477.341465,-1453.927822,-103.558649,-31.568472,-11.970968 
10/04/2014 03:00,735699.125000,0.375000,1,1,1,-4826.265720,-4785.686152,-4637.007443,-4288.734253,-3477.343860,-1454.619295,-113.044518,-36.037488,-14.181036 
10/04/2014 04:00,735699.166667,0.416667,1,1,1,-4826.458839,-4785.959948,-4637.098101,-4288.737100,-3477.346556,-1455.312607,-121.900555,-40.206850,-16.251123 
10/04/2014 05:00,735699.208333,0.458333,1,1,1,-4826.643512,-4786.198813,-4637.191109,-4288.740379,-3477.349554,-1456.007601,-130.233878,-44.140408,-18.214084 
10/04/2014 06:00,735699.250000,0.500000,1,1,1,-4826.779754,-4786.411935,-4637.305683,-4288.749533,-3477.352855,-1456.704144,-138.124013,-47.880842,-20.090772 
10/04/2014 07:00,735699.291667,0.541667,1,1,1,-4828.614818,-4787.340526,-4638.021934,-4288.916456,-3477.356552,-1457.402123,-145.631991,-51.458526,-21.895519 
10/04/2014 08:00,735699.333333,0.583333,1,1,1,-4836.178026,-4791.585657,-4641.456131,-4289.789190,-3477.361145,-1458.101437,-152.805897,-54.896087,-23.638744 
10/04/2014 09:00,735699.375000,0.625000,1,1,1,-4865.287884,-4803.329282,-4649.158352,-4291.773494,-3477.367738,-1458.802000,-159.684440,-58.210994,-25.328340 
10/04/2014 10:00,735699.416667,0.666667,1,1,1,-4951.486214,-4831.918345,-4660.846771,-4294.771768,-3477.377485,-1459.503732,-166.299342,-61.417108,-26.970485 
10/04/2014 11:00,735699.458333,0.708333,1,1,1,-5150.245002,-4902.740421,-4676.545462,-4298.657138,-3477.391413,-1460.206566,-172.676996,-64.525682,-28.570137 
10/04/2014 12:00,735699.500000,0.750000,1,1,1,-5462.018630,-5042.273723,-4696.437190,-4303.193457,-3477.410316,-1460.910437,-178.839646,-67.546018,-30.131360 
10/04/2014 13:00,735699.541667,0.791667,1,1,1,-5760.572418,-5236.609697,-4719.625627,-4307.817821,-3477.434534,-1461.615289,-184.806250,-70.485929,-31.657543 
10/04/2014 14:00,735699.583333,0.833333,1,1,1,-5821.240040,-5396.743572,-4741.263963,-4311.255972,-3477.463311,-1462.321068,-190.593128,-73.352062,-33.151552 
10/04/2014 15:00,735699.625000,0.875000,1,1,1,-5796.458299,-5483.208964,-4760.014243,-4313.519988,-3477.495281,-1463.027727,-196.214447,-76.150139,-34.615843 
10/04/2014 16:00,735699.666667,0.916667,1,1,1,-5798.303092,-5529.150370,-4779.215998,-4315.754177,-3477.529911,-1463.735220,-201.682603,-78.885128,-36.052542 
10/04/2014 17:00,735699.708333,0.958333,1,1,1,-5762.242475,-5548.220995,-4796.108999,-4317.424256,-3477.566880,-1464.443506,-207.008517,-81.561388,-37.463508 
10/04/2014 18:00,735699.750000,1.000000,1,1,1,-5689.319635,-5538.849329,-4810.367685,-4318.597073,-3477.605567,-1465.152546,-212.201870,-84.182765,-38.850377 
10/04/2014 19:00,735699.791667,1.041667,1,1,1,-5633.123868,-5513.197616,-4821.914673,-4319.351095,-3477.645496,-1465.862304,-217.271291,-86.752681,-40.214602 
10/04/2014 20:00,735699.833333,1.083333,1,1,1,-5591.123075,-5483.859467,-4832.009674,-4320.024992,-3477.686423,-1466.572747,-222.224513,-89.274194,-41.557481 
10/04/2014 21:00,735699.875000,1.125000,1,1,1,-5557.214485,-5455.480619,-4841.146341,-4320.739909,-3477.728358,-1467.283841,-227.068497,-91.750056,-42.880181 
10/04/2014 22:00,735699.916667,1.166667,1,1,1,-5528.682547,-5429.601218,-4849.386392,-4321.491131,-3477.771343,-1467.995558,-231.809537,-94.182755,-44.183754 
10/04/2014 23:00,735699.958333,1.208333,1,1,1,-5499.693054,-5405.554215,-4856.793891,-4322.274278,-3477.815413,-1468.707868,-236.453346,-96.574546,-45.469156 
11/04/2014 00:00,735700.000000,1.250000,1,1,1,-5470.879898,-5382.711488,-4863.422073,-4323.085262,-3477.860597,-1469.420745,-241.005128,-98.927489,-46.737258 
11/04/2014 01:00,735700.041667,1.291667,1,1,1,-5443.709644,-5361.012984,-4869.321099,-4323.920254,-3477.906923,-1470.134164,-245.469640,-101.243464,-47.988857 
11/04/2014 02:00,735700.083333,1.333333,1,1,1,-5419.436939,-5340.743292,-4874.546649,-4324.775699,-3477.954412,-1470.848099,-249.851243,-103.524199,-49.224685 
11/04/2014 03:00,735700.125000,1.375000,1,1,1,-5396.544441,-5321.811089,-4879.152614,-4325.648324,-3478.003083,-1471.562529,-254.153949,-105.771287,-50.445415 
11/04/2014 04:00,735700.166667,1.416667,1,1,1,-5376.503318,-5304.349764,-4883.194758,-4326.535135,-3478.052952,-1472.277432,-258.381458,-107.986196,-51.651673 
11/04/2014 05:00,735700.208333,1.458333,1,1,1,-5358.195678,-5288.310967,-4886.726097,-4327.433420,-3478.104029,-1472.992786,-262.537189,-110.170288,-52.844034 
11/04/2014 06:00,735700.250000,1.500000,1,1,1,-5340.790545,-5273.527786,-4889.874848,-4328.361344,-3478.156331,-1473.708573,-266.624312,-112.324826,-54.023036 
11/04/2014 07:00,735700.291667,1.541667,1,1,1,-5327.245767,-5260.817919,-4893.388636,-4329.493317,-3478.209997,-1474.424771,-270.645771,-114.450988,-55.189179 
11/04/2014 08:00,735700.333333,1.583333,1,1,1,-5325.871567,-5252.113604,-4897.465196,-4330.861187,-3478.265303,-1475.141365,-274.604305,-116.549870,-56.342929 
11/04/2014 09:00,735700.375000,1.625000,1,1,1,-5351.659908,-5252.864903,-4903.986100,-4332.901492,-3478.322755,-1475.858336,-278.502471,-118.622497,-57.484725 
11/04/2014 10:00,735700.416667,1.666667,1,1,1,-5395.066968,-5265.823235,-4912.706269,-4335.516328,-3478.383046,-1476.575667,-282.342656,-120.669831,-58.614974 
11/04/2014 11:00,735700.458333,1.708333,1,1,1,-5403.823640,-5280.180352,-4919.156928,-4337.568400,-3478.446083,-1477.293343,-286.127096,-122.692772,-59.734063 
11/04/2014 12:00,735700.500000,1.750000,1,1,1,-5458.887306,-5302.750420,-4928.751444,-4340.368558,-3478.512010,-1478.011348,-289.857889,-124.692168,-60.842353 
11/04/2014 13:00,735700.541667,1.791667,1,1,1,-5603.659397,-5354.817759,-4943.447708,-4344.327466,-3478.581975,-1478.729668,-293.537002,-126.668815,-61.940186 
11/04/2014 14:00,735700.583333,1.833333,1,1,1,-5679.566682,-5420.154083,-4956.771408,-4347.744029,-3478.656171,-1479.448289,-297.166288,-128.623467,-63.027884 
11/04/2014 15:00,735700.625000,1.875000,1,1,1,-5744.108640,-5481.207131,-4970.205864,-4350.974591,-3478.734139,-1480.167196,-300.747491,-130.556832,-64.105753 
11/04/2014 16:00,735700.666667,1.916667,1,1,1,-5789.672965,-5534.806115,-4983.692974,-4354.039137,-3478.815706,-1480.886378,-304.282259,-132.469583,-65.174081 
11/04/2014 17:00,735700.708333,1.958333,1,1,1,-5828.205451,-5580.074947,-4997.490343,-4357.049286,-3478.900735,-1481.605820,-307.772146,-134.362355,-66.233141 
11/04/2014 18:00,735700.750000,2.000000,1,1,1,-5794.500603,-5602.766830,-5006.880815,-4358.930256,-3478.988520,-1482.325512,-311.218622,-136.235752,-67.283194 
11/04/2014 19:00,735700.791667,2.041667,1,1,1,-5750.323215,-5602.155315,-5013.982944,-4360.296529,-3479.078158,-1483.045441,-314.623080,-138.090344,-68.324487 
11/04/2014 20:00,735700.833333,2.083333,1,1,1,-5716.761063,-5590.700513,-5020.228635,-4361.565168,-3479.169378,-1483.765587,-317.986681,-139.926711,-69.357316 
11/04/2014 21:00,735700.875000,2.125000,1,1,1,-5680.188051,-5573.611152,-5025.936974,-4362.853488,-3479.262168,-1484.485923,-321.310371,-141.745430,-70.382018 
11/04/2014 22:00,735700.916667,2.166667,1,1,1,-5653.556939,-5554.982505,-5031.055728,-4364.158555,-3479.356545,-1485.206462,-324.595821,-143.546882,-71.398621 
11/04/2014 23:00,735700.958333,2.208333,1,1,1,-5623.802831,-5535.327682,-5035.568703,-4365.477294,-3479.452524,-1485.927194,-327.844164,-145.331540,-72.407327 
12/04/2014 00:00,735701.000000,2.250000,1,1,1,-5599.190066,-5516.018423,-5039.495165,-4366.806659,-3479.550114,-1486.648109,-331.056479,-147.099853,-73.408334 
12/04/2014 01:00,735701.041667,2.291667,1,1,1,-5576.898566,-5497.660361,-5042.871460,-4368.143764,-3479.649324,-1487.369196,-334.233791,-148.852249,-74.401828 
12/04/2014 02:00,735701.083333,2.333333,1,1,1,-5556.249131,-5480.346491,-5045.738908,-4369.485934,-3479.750157,-1488.090447,-337.377081,-150.589140,-75.387989 
12/04/2014 03:00,735701.125000,2.375000,1,1,1,-5536.342310,-5463.953465,-5048.136333,-4370.830702,-3479.852616,-1488.811852,-340.487283,-152.310916,-76.366988 
12/04/2014 04:00,735701.166667,2.416667,1,1,1,-5517.849931,-5448.475286,-5050.102084,-4372.175799,-3479.956698,-1489.533401,-343.565292,-154.017955,-77.338991 
12/04/2014 05:00,735701.208333,2.458333,1,1,1,-5500.793689,-5433.932117,-5051.673826,-4373.519160,-3480.062401,-1490.255087,-346.611961,-155.710615,-78.304155 
12/04/2014 06:00,735701.250000,2.500000,1,1,1,-5485.113179,-5420.320322,-5052.916792,-4374.866293,-3480.169721,-1490.976900,-349.628109,-157.389243,-79.262632 
12/04/2014 07:00,735701.291667,2.541667,1,1,1,-5475.982331,-5409.174516,-5054.753541,-4376.431891,-3480.278790,-1491.698833,-352.614517,-159.054170,-80.214568 
12/04/2014 08:00,735701.333333,2.583333,1,1,1,-5485.195679,-5404.028662,-5058.174662,-4378.438123,-3480.390009,-1492.420877,-355.571938,-160.705714,-81.160104 
12/04/2014 09:00,735701.375000,2.625000,1,1,1,-5510.739351,-5407.252340,-5062.802523,-4380.767066,-3480.503791,-1493.143024,-358.501090,-162.344181,-82.099375 
12/04/2014 10:00,735701.416667,2.666667,1,1,1,-5551.159534,-5420.242098,-5068.705430,-4383.397219,-3480.620460,-1493.865268,-361.402664,-163.969866,-83.032511 
12/04/2014 11:00,735701.458333,2.708333,1,1,1,-5659.482811,-5455.264958,-5079.499193,-4387.145255,-3480.740841,-1494.587600,-364.277323,-165.583050,-83.959637 
12/04/2014 12:00,735701.500000,2.750000,1,1,1,-5801.845884,-5519.489874,-5092.863004,-4391.344394,-3480.865788,-1495.310014,-367.125706,-167.184008,-84.880874 
12/04/2014 13:00,735701.541667,2.791667,1,1,1,-6035.654163,-5623.508614,-5110.576821,-4396.279552,-3480.995909,-1496.032503,-369.948425,-168.773000,-85.796340 
12/04/2014 14:00,735701.583333,2.833333,1,1,1,-6361.015765,-5783.300309,-5132.558422,-4401.706232,-3481.131870,-1496.755068,-372.746197,-170.350276,-86.706114 
12/04/2014 15:00,735701.625000,2.875000,1,1,1,-6483.615660,-5941.926927,-5154.238642,-4406.392651,-3481.273406,-1497.477687,-375.519334,-171.916091,-87.610370 
12/04/2014 16:00,735701.666667,2.916667,1,1,1,-6638.054391,-6078.880103,-5178.813795,-4411.237735,-3481.420191,-1498.200363,-378.268513,-173.470674,-88.509181 
12/04/2014 17:00,735701.708333,2.958333,1,1,1,-6713.254168,-6191.955984,-5203.455961,-4415.684322,-3481.572083,-1498.923088,-380.994259,-175.014253,-89.402649 
12/04/2014 18:00,735701.750000,3.000000,1,1,1,-6640.415297,-6247.770600,-5222.177938,-4418.533409,-3481.727894,-1499.645856,-383.697081,-176.547048,-90.290872 
12/04/2014 19:00,735701.791667,3.041667,1,1,1,-6547.119015,-6251.408270,-5237.107439,-4420.552763,-3481.886288,-1500.368663,-386.377471,-178.069272,-91.173944 
12/04/2014 20:00,735701.833333,3.083333,1,1,1,-6464.708193,-6228.744693,-5250.519919,-4422.445817,-3482.046847,-1501.091501,-389.035900,-179.581129,-92.051960 
12/04/2014 21:00,735701.875000,3.125000,1,1,1,-6395.524017,-6195.305514,-5262.800558,-4424.387491,-3482.209573,-1501.814366,-391.672827,-181.082819,-92.925007 
12/04/2014 22:00,735701.916667,3.166667,1,1,1,-6325.609171,-6156.456632,-5273.804252,-4426.371351,-3482.374512,-1502.537251,-394.288694,-182.574535,-93.793173 
12/04/2014 23:00,735701.958333,3.208333,1,1,1,-6271.696654,-6117.245421,-5283.523885,-4428.390670,-3482.541703,-1503.260151,-396.883926,-184.056461,-94.656541 
13/04/2014 00:00,735702.000000,3.250000,1,1,1,-6216.971026,-6078.430426,-5292.000214,-4430.438889,-3482.711176,-1503.983061,-399.458939,-185.528780,-95.515194 
13/04/2014 01:00,735702.041667,3.291667,1,1,1,-6166.892860,-6041.011907,-5299.307103,-4432.509773,-3482.882955,-1504.705976,-402.014130,-186.991667,-96.369210 
13/04/2014 02:00,735702.083333,3.333333,1,1,1,-6123.396460,-6005.869073,-5305.537820,-4434.597537,-3483.057057,-1505.428890,-404.549887,-188.445289,-97.218666 
13/04/2014 03:00,735702.125000,3.375000,1,1,1,-6083.294892,-5973.099721,-5310.787483,-4436.696895,-3483.233495,-1506.151799,-407.066584,-189.889814,-98.063636 
13/04/2014 04:00,735702.166667,3.416667,1,1,1,-6046.431235,-5942.623602,-5315.149584,-4438.803056,-3483.412273,-1506.874697,-409.564585,-191.325399,-98.904194 
13/04/2014 05:00,735702.208333,3.458333,1,1,1,-6012.216117,-5914.245765,-5318.710296,-4440.911701,-3483.593393,-1507.597580,-412.044241,-192.752200,-99.740410 
13/04/2014 06:00,735702.250000,3.500000,1,1,1,-5981.444724,-5887.928299,-5321.562199,-4443.021794,-3483.776853,-1508.320443,-414.505893,-194.170368,-100.572351 
13/04/2014 07:00,735702.291667,3.541667,1,1,1,-5957.601191,-5864.993086,-5324.705314,-4445.350013,-3483.962766,-1509.043281,-416.949871,-195.580048,-101.400086 
13/04/2014 08:00,735702.333333,3.583333,1,1,1,-5949.569167,-5849.761455,-5331.132619,-4448.567827,-3484.151781,-1509.766091,-419.376496,-196.981384,-102.223678 
13/04/2014 09:00,735702.375000,3.625000,1,1,1,-5991.241676,-5849.986555,-5342.383447,-4453.011649,-3484.345175,-1510.488868,-421.786080,-198.374512,-103.043191 
