Iter  GoF  SOIL__N  SOIL__LOG10_Alpha  SOIL__ThetaSat  SOIL__ThetaRes  SOIL__LOG10_NormalHydrConductivity  SCALAR__SoilRoughness  SCALAR__LSAI  SCALAR__CanopyFraction  SCALAR__DecayCoeffCanopy  SCALAR__RootDepth  SCALAR__MinStomatalRes  SCALAR__VegReflectVis  SCALAR__VegReflNIR  SCALAR__VegTransVis  SCALAR__VegTransNIR  SCALAR__CanDensSurface  SCALAR__SoilAlbVisDry  SCALAR__SoilAlbNIRDry  SCALAR__SoilAlbVisWet  SCALAR__SoilAlbNIRWet  SCALAR__SoilEmissiv  
1   6.9771583E+02   1.2951988E+00  -3.2360548E+00   6.8857318E-01   4.7166223E-02  -3.2663561E+00   4.9872583E+02   2.5305256E-01   5.1183314E-01   1.6416694E+01   1.1011447E+02   9.3526780E+01   7.4003709E-02   1.3032458E-01   7.1848128E-03   3.5971820E-01   4.7578109E+00   6.9811915E-02   3.5811646E-01   5.0781124E-02   3.4854810E-01   8.6744008E-01  
2   6.9684285E+02   1.2224190E+00  -2.8719419E+00   5.9812239E-01   6.4353558E-02  -1.9485015E+00   3.7341367E+02   5.3410936E-01   1.7513837E-01   1.8434190E+01   2.1230463E+02   6.0306543E+01   8.1581800E-02   3.3940765E-01   9.2849060E-02   8.4168040E-02   5.3964675E+00   1.2316795E-01   2.8453824E-01   5.5009840E-02   3.9008516E-01   8.0929997E-01  
3   6.8345414E+02   1.1500000E+00  -3.0851663E+00   6.7792810E-01   5.9175794E-02  -1.7213945E+00   2.2560810E+02   4.8984555E-01   2.8850697E-01   0.0000000E+00   1.0000000E+03   1.0000000E+02   1.3204266E-01   5.0000000E-02   4.0683337E-02   3.8365769E-01   8.0000000E+00   1.6064264E-01   1.2268551E-01   9.6951911E-02   4.4773686E-01   8.2513144E-01  
4   6.8345414E+02   1.1500000E+00  -3.0851663E+00   6.7792810E-01   5.9175794E-02  -1.7213945E+00   2.2560810E+02   4.8984555E-01   2.8850697E-01   0.0000000E+00   1.0000000E+03   1.0000000E+02   1.3204266E-01   5.0000000E-02   4.0683337E-02   3.8365769E-01   8.0000000E+00   1.6064264E-01   1.2268551E-01   9.6951911E-02   4.4773686E-01   8.2513144E-01  
5   6.8345414E+02   1.1500000E+00  -3.0851663E+00   6.7792810E-01   5.9175794E-02  -1.7213945E+00   2.2560810E+02   4.8984555E-01   2.8850697E-01   0.0000000E+00   1.0000000E+03   1.0000000E+02   1.3204266E-01   5.0000000E-02   4.0683337E-02   3.8365769E-01   8.0000000E+00   1.6064264E-01   1.2268551E-01   9.6951911E-02   4.4773686E-01   8.2513144E-01  
6   6.8345414E+02   1.1500000E+00  -3.0851663E+00   6.7792810E-01   5.9175794E-02  -1.7213945E+00   2.2560810E+02   4.8984555E-01   2.8850697E-01   0.0000000E+00   1.0000000E+03   1.0000000E+02   1.3204266E-01   5.0000000E-02   4.0683337E-02   3.8365769E-01   8.0000000E+00   1.6064264E-01   1.2268551E-01   9.6951911E-02   4.4773686E-01   8.2513144E-01  
7   6.8345414E+02   1.1500000E+00  -3.0851663E+00   6.7792810E-01   5.9175794E-02  -1.7213945E+00   2.2560810E+02   4.8984555E-01   2.8850697E-01   0.0000000E+00   1.0000000E+03   1.0000000E+02   1.3204266E-01   5.0000000E-02   4.0683337E-02   3.8365769E-01   8.0000000E+00   1.6064264E-01   1.2268551E-01   9.6951911E-02   4.4773686E-01   8.2513144E-01  
8   6.8345414E+02   1.1500000E+00  -3.0851663E+00   6.7792810E-01   5.9175794E-02  -1.7213945E+00   2.2560810E+02   4.8984555E-01   2.8850697E-01   0.0000000E+00   1.0000000E+03   1.0000000E+02   1.3204266E-01   5.0000000E-02   4.0683337E-02   3.8365769E-01   8.0000000E+00   1.6064264E-01   1.2268551E-01   9.6951911E-02   4.4773686E-01   8.2513144E-01  
9   6.8345414E+02   1.1500000E+00  -3.0851663E+00   6.7792810E-01   5.9175794E-02  -1.7213945E+00   2.2560810E+02   4.8984555E-01   2.8850697E-01   0.0000000E+00   1.0000000E+03   1.0000000E+02   1.3204266E-01   5.0000000E-02   4.0683337E-02   3.8365769E-01   8.0000000E+00   1.6064264E-01   1.2268551E-01   9.6951911E-02   4.4773686E-01   8.2513144E-01  
10   6.8210826E+02   1.1531922E+00  -3.1372612E+00   6.6390326E-01   6.3050184E-02  -1.7600991E+00   1.7412622E+02   2.5515892E-01   3.8497322E-01   8.8807488E-01   9.5031126E+02   5.3669589E+01   1.0643566E-01   1.0158985E-01   2.7789968E-02   3.0458190E-01   6.1051268E+00   1.7848162E-01   1.5353860E-01   6.1747126E-02   4.1853338E-01   8.3236490E-01  
