GoF  SOIL__N  SOIL__LOG10_Alpha  SOIL__ThetaSat  SOIL__ThetaRes  SOIL__LOG10_NormalHydrConductivity  SCALAR__SoilRoughness  SCALAR__LSAI  SCALAR__CanopyFraction  SCALAR__DecayCoeffCanopy  SCALAR__RootDepth  SCALAR__MinStomatalRes  SCALAR__VegReflectVis  SCALAR__VegReflNIR  SCALAR__VegTransVis  SCALAR__VegTransNIR  SCALAR__CanDensSurface  SCALAR__SoilAlbVisDry  SCALAR__SoilAlbNIRDry  SCALAR__SoilAlbVisWet  SCALAR__SoilAlbNIRWet  SCALAR__SoilEmissiv
 6.798606e+02   1.194906e+00  -3.301030e+00   6.547288e-01   6.363475e-02  -1.794252e+00   3.526181e+02   8.577422e-01   4.290132e-01   1.731124e+01   1.000000e+03   9.271926e+01   9.596423e-02   1.046061e-01   1.955173e-02   4.061363e-01   7.503163e+00   8.948186e-02   2.298160e-01   1.266647e-01   5.000000e-02   8.413870e-01
 6.775298e+02   1.150000e+00  -3.263494e+00   6.513053e-01   6.532284e-02  -2.245231e+00   2.993753e+02   7.099684e-01   4.502297e-01   3.400073e+01   9.256942e+02   8.543245e+01   1.038759e-01   7.031755e-02   8.346251e-02   3.298136e-01   7.602347e+00   6.271401e-02   2.785978e-01   5.555642e-02   1.069725e-01   8.371751e-01
 6.836704e+02   1.159113e+00  -3.185445e+00   6.643703e-01   5.940892e-02  -1.519241e+00   1.366267e+02   2.360890e-01   3.604926e-01   1.435973e+01   8.181316e+02   6.037462e+01   1.296810e-01   9.725436e-02   9.272051e-02   2.733611e-01   6.792967e+00   1.707505e-01   1.558281e-01   1.766620e-01   3.181820e-01   8.177906e-01
 6.811152e+02   1.196269e+00  -3.222231e+00   6.779462e-01   5.567804e-02  -1.699011e+00   2.555968e+02   7.668147e-01   3.751409e-01   2.317122e+01   9.384245e+02   9.153987e+01   1.050624e-01   7.762204e-02   5.860147e-02   3.963060e-01   4.127530e+00   1.504770e-01   2.311243e-01   7.292252e-02   1.936984e-01   8.000000e-01
 6.784101e+02   1.150000e+00  -3.222290e+00   6.811410e-01   5.646971e-02  -1.882999e+00   2.530725e+02   4.668922e-01   3.437428e-01   1.530482e+01   8.705616e+02   9.465050e+01   1.058136e-01   1.137094e-01   1.041773e-01   3.042329e-01   5.770670e+00   1.269816e-01   1.263201e-01   1.175200e-01   2.267552e-01   8.223869e-01
 6.846667e+02   1.214711e+00  -3.266960e+00   6.953626e-01   6.228015e-02  -2.146200e+00   4.008058e+02   2.998878e-01   5.107908e-01   0.000000e+00   9.860526e+02   8.153079e+01   8.180746e-02   2.552932e-01   2.666818e-02   4.119212e-01   1.761180e+00   8.450252e-02   2.601493e-01   1.215403e-01   1.400314e-01   8.428274e-01
 6.794329e+02   1.153955e+00  -3.250508e+00   6.709442e-01   5.641229e-02  -2.243939e+00   1.983343e+02   4.491638e-01   4.017692e-01   3.256939e+01   8.417206e+02   8.198692e+01   1.203708e-01   1.083621e-01   1.177226e-01   3.608971e-01   6.657759e+00   1.748388e-01   2.157300e-01   1.228804e-01   1.887892e-01   8.107004e-01
 6.815323e+02   1.150000e+00  -3.109919e+00   7.000000e-01   6.359998e-02  -1.298139e+00   3.733558e+02   6.746999e-01   3.953370e-01   1.529789e+01   6.685751e+02   9.274586e+01   1.177436e-01   5.000000e-02   4.955633e-02   4.721584e-01   7.318923e+00   1.947992e-01   6.788479e-02   8.313101e-02   4.079129e-01   8.415110e-01
 6.765735e+02   1.171658e+00  -3.253113e+00   7.000000e-01   7.362706e-02  -2.114265e+00   1.074959e+02   8.043585e-01   3.063644e-01   1.779811e+01   8.788713e+02   9.614476e+01   1.210053e-01   1.936973e-01   4.501054e-02   2.779393e-01   4.912653e+00   1.106685e-01   1.237179e-01   8.760559e-02   1.724441e-01   8.344497e-01
 6.810044e+02   1.150000e+00  -3.138246e+00   6.790917e-01   6.263644e-02  -2.030813e+00   1.618748e+02   6.148995e-01   2.768669e-01   2.012914e+01   9.590269e+02   7.925326e+01   1.236592e-01   1.244769e-01   5.694895e-02   3.684053e-01   7.956146e+00   1.362449e-01   7.247566e-02   1.209208e-01   1.509423e-01   8.270463e-01
 6.786578e+02   1.156742e+00  -3.301030e+00   6.960403e-01   7.424774e-02  -2.411045e+00   2.714345e+02   5.539033e-01   4.272429e-01   3.577088e+01   9.470354e+02   9.752954e+01   1.166726e-01   6.656615e-02   5.901822e-02   3.704921e-01   7.278455e+00   9.126020e-02   1.534525e-01   1.103297e-01   2.463587e-01   8.449127e-01
 6.791501e+02   1.174874e+00  -3.301030e+00   6.837044e-01   5.686266e-02  -2.248840e+00   3.332773e+02   8.292893e-01   3.188789e-01   2.863528e+01   9.826952e+02   9.447944e+01   1.122320e-01   7.807351e-02   1.053381e-01   3.721590e-01   7.805689e+00   1.551743e-01   2.861846e-01   7.423289e-02   1.127089e-01   8.392680e-01
 6.763682e+02   1.178909e+00  -3.267545e+00   6.752834e-01   6.292118e-02  -2.146195e+00   2.260395e+02   7.606034e-01   3.987472e-01   1.774409e+01   9.280561e+02   1.000000e+02   9.046428e-02   5.000000e-02   4.746257e-02   3.877702e-01   7.744486e+00   1.107704e-01   2.814443e-01   5.000000e-02   1.262036e-01   8.083882e-01
 6.826108e+02   1.150000e+00  -3.264207e+00   6.370309e-01   7.051840e-02  -8.162902e-01   2.710147e+02   5.809133e-01   2.768390e-01   3.209977e+01   9.825194e+02   8.444619e+01   1.386122e-01   1.393855e-01   1.193724e-01   4.686296e-01   7.048982e+00   6.682102e-02   2.531285e-01   6.776282e-02   5.000000e-02   8.851499e-01
 6.790581e+02   1.186422e+00  -3.222651e+00   6.677850e-01   5.930352e-02  -2.067970e+00   1.435785e+02   7.762019e-01   2.907970e-01   2.563976e+01   9.662384e+02   8.044709e+01   7.583150e-02   1.074089e-01   4.323555e-02   3.135111e-01   7.356168e+00   1.178614e-01   2.079056e-01   6.408412e-02   6.744252e-02   8.078937e-01
 6.769370e+02   1.150000e+00  -3.154361e+00   6.886342e-01   6.086249e-02  -1.932902e+00   2.692368e+02   8.609983e-01   3.765589e-01   4.397633e+01   9.680166e+02   9.171507e+01   1.022244e-01   7.334047e-02   4.566242e-02   3.388684e-01   7.127909e+00   1.401332e-01   1.464422e-01   1.120233e-01   1.418826e-01   8.283908e-01
 6.788201e+02   1.163238e+00  -3.268036e+00   7.000000e-01   7.290155e-02  -2.187063e+00   2.691125e+02   6.905866e-01   3.782993e-01   2.718457e+01   8.876377e+02   8.698388e+01   1.041274e-01   5.000000e-02   3.596065e-02   3.146156e-01   4.600270e+00   7.766881e-02   2.695352e-01   6.194796e-02   8.279003e-02   8.067765e-01
 6.817507e+02   1.238385e+00  -3.194960e+00   7.000000e-01   5.850264e-02  -2.225993e+00   2.426171e+02   6.502479e-01   3.760541e-01   1.290189e+01   9.841994e+02   8.291469e+01   1.116512e-01   7.080019e-02   4.855263e-02   3.596441e-01   6.724287e+00   1.187607e-01   1.173880e-01   8.696130e-02   1.732169e-01   8.162999e-01
 6.798664e+02   1.208780e+00  -3.262032e+00   6.907655e-01   6.312593e-02  -1.963591e+00   1.631262e+02   7.887995e-01   3.344210e-01   2.469393e+01   8.531587e+02   7.873866e+01   9.365803e-02   1.258922e-01   6.312921e-02   3.852129e-01   5.321978e+00   1.532119e-01   6.876531e-02   1.292051e-01   2.741526e-01   8.087348e-01
 6.758279e+02   1.150000e+00  -3.240092e+00   6.908946e-01   6.162808e-02  -2.270100e+00   2.951724e+02   7.979023e-01   4.677276e-01   1.866394e+01   9.814810e+02   9.557983e+01   9.594266e-02   9.122355e-02   2.418672e-02   4.151549e-01   7.604394e+00   5.000000e-02   2.671719e-01   1.027253e-01   7.383307e-02   8.534999e-01
 6.771213e+02   1.160753e+00  -3.183597e+00   6.797481e-01   7.508278e-02  -2.051843e+00   1.783664e+02   7.078551e-01   4.039367e-01   2.508175e+01   9.617882e+02   8.879247e+01   1.394324e-01   1.312511e-01   4.833246e-02   3.323351e-01   6.632636e+00   8.299188e-02   2.034519e-01   1.016475e-01   7.330129e-02   8.346116e-01
 6.766503e+02   1.150000e+00  -3.299713e+00   6.805751e-01   5.876399e-02  -2.355390e+00   2.752090e+02   7.781413e-01   3.916247e-01   1.725423e+01   9.790312e+02   8.987310e+01   1.111771e-01   8.278868e-02   3.159046e-02   3.967878e-01   7.521047e+00   9.294256e-02   3.137801e-01   1.086538e-01   1.216592e-01   8.342153e-01
 6.761184e+02   1.160263e+00  -3.301030e+00   6.850034e-01   6.666753e-02  -2.267071e+00   3.031842e+02   7.735027e-01   4.800725e-01   2.711665e+01   9.524195e+02   8.809196e+01   9.522718e-02   1.085811e-01   4.068588e-02   4.114775e-01   8.000000e+00   8.801607e-02   3.239040e-01   6.451664e-02   5.000000e-02   8.560756e-01
 6.773838e+02   1.150000e+00  -3.174529e+00   6.594054e-01   6.227831e-02  -1.797171e+00   2.424937e+02   5.218101e-01   4.134318e-01   1.531645e+01   8.988988e+02   8.131318e+01   1.395057e-01   9.212227e-02   7.420879e-02   2.732057e-01   6.679101e+00   1.002448e-01   1.533752e-01   1.144355e-01   1.462184e-01   8.295866e-01
 6.796361e+02   1.150000e+00  -3.245382e+00   6.804659e-01   6.149178e-02  -1.642278e+00   1.702598e+02   4.243958e-01   3.894045e-01   3.519405e+01   6.957158e+02   8.731059e+01   1.397645e-01   1.409877e-01   5.491503e-02   3.295801e-01   5.195994e+00   9.659935e-02   1.621276e-01   1.199655e-01   2.311790e-01   8.330643e-01
 6.804396e+02   1.178090e+00  -3.140871e+00   6.778767e-01   6.600415e-02  -1.616579e+00   2.816370e+02   8.146133e-01   3.262752e-01   1.872134e+01   8.475908e+02   8.454870e+01   9.109740e-02   1.019314e-01   7.402525e-02   3.333603e-01   5.779648e+00   1.345609e-01   1.850780e-01   1.185089e-01   2.407849e-01   8.351226e-01
 6.780700e+02   1.153185e+00  -3.123028e+00   6.525152e-01   6.648015e-02  -1.714086e+00   1.844727e+02   6.674740e-01   4.042335e-01   1.638212e+01   7.458472e+02   7.197693e+01   9.240531e-02   5.000000e-02   5.020117e-02   3.717350e-01   7.735121e+00   1.395856e-01   2.810646e-01   5.000000e-02   1.393911e-01   8.060549e-01
 6.770707e+02   1.156196e+00  -3.280949e+00   6.494692e-01   6.812538e-02  -2.261413e+00   1.058414e+02   4.035402e-01   4.069790e-01   2.347042e+01   1.000000e+03   9.902765e+01   1.193399e-01   6.936847e-02   7.389266e-02   3.530605e-01   6.660155e+00   1.139441e-01   1.645306e-01   5.802178e-02   1.616847e-01   8.084333e-01
 6.794033e+02   1.193620e+00  -3.301030e+00   6.706752e-01   6.183950e-02  -1.838952e+00   2.897355e+02   8.268462e-01   4.472322e-01   2.613764e+01   8.960791e+02   8.229211e+01   1.171725e-01   9.452035e-02   5.626420e-02   4.639015e-01   6.568628e+00   1.290013e-01   2.539519e-01   6.413948e-02   9.760019e-02   8.069466e-01
 6.793572e+02   1.170117e+00  -3.094384e+00   6.801493e-01   5.447547e-02  -1.890410e+00   9.872170e+01   4.806300e-01   3.242469e-01   1.863545e+01   9.167450e+02   9.132705e+01   1.151263e-01   7.959476e-02   5.250634e-02   3.903868e-01   5.608206e+00   1.497837e-01   2.456789e-01   1.440811e-01   8.410235e-02   8.324427e-01
 6.768251e+02   1.156677e+00  -3.301030e+00   6.881903e-01   6.573466e-02  -1.737529e+00   2.567793e+02   5.901965e-01   3.813992e-01   2.655973e+01   8.229316e+02   8.743351e+01   8.840473e-02   7.500146e-02   5.629270e-02   3.141023e-01   5.953173e+00   7.089795e-02   2.930839e-01   7.925943e-02   1.410630e-01   8.121986e-01
 6.814419e+02   1.191907e+00  -3.294778e+00   6.672857e-01   6.753490e-02  -1.819808e+00   3.406552e+02   4.726379e-01   4.008870e-01   2.329960e+01   7.828046e+02   7.543605e+01   1.111241e-01   1.039885e-01   6.614133e-02   3.422321e-01   6.920467e+00   6.436715e-02   3.207380e-01   6.029966e-02   1.564607e-01   8.550993e-01
 6.818452e+02   1.210829e+00  -3.150421e+00   6.582992e-01   6.457288e-02  -2.410405e+00   2.434516e+02   7.467833e-01   3.658268e-01   2.435693e+01   9.852089e+02   8.819653e+01   1.205357e-01   5.000000e-02   6.133126e-02   3.162902e-01   6.380389e+00   1.607946e-01   1.449933e-01   6.953784e-02   1.362377e-01   8.061705e-01
 6.808429e+02   1.182620e+00  -3.215014e+00   6.814552e-01   5.950830e-02  -2.593024e+00   2.728572e+02   9.645890e-01   3.255980e-01   2.186479e+01   7.242915e+02   7.345462e+01   1.100868e-01   8.679106e-02   5.836005e-02   3.068466e-01   6.455919e+00   1.520089e-01   1.223966e-01   1.608856e-01   2.973388e-01   8.031136e-01
 6.793416e+02   1.196359e+00  -3.193064e+00   6.902419e-01   6.712247e-02  -1.889174e+00   2.927777e+02   7.593592e-01   3.493846e-01   2.569219e+01   8.446357e+02   9.740146e+01   1.100322e-01   1.169583e-01   2.550908e-02   3.632768e-01   7.803343e+00   8.179674e-02   2.494621e-01   7.234053e-02   1.352676e-01   8.110632e-01
 6.822630e+02   1.160334e+00  -3.184713e+00   6.537569e-01   6.069176e-02  -2.174477e+00   1.189577e+02   5.845020e-01   3.571190e-01   1.778951e+01   8.853393e+02   9.006245e+01   1.316932e-01   1.687536e-01   6.124280e-02   3.756552e-01   5.127339e+00   1.520908e-01   1.427378e-01   1.208117e-01   3.454777e-01   8.101673e-01
