Date12[DDMMYYYYhhmm],JulianDayFromYear0[days],TimeFromStart[days],Simulation_Period,Run,IDpoint,5.000000 ,15.000000 ,27.500000 ,50.000000 ,102.500000 ,200.000000 ,380.000000 ,750.000000  
09/04/2014 18:00,735698.750000,0.000000,0,1,1,-4650.623800,-4641.313242,-4629.675044,-4608.726289,-4559.845858,-4469.067916,-4301.477869,-3956.987217 
09/04/2014 19:00,735698.791667,0.041667,1,1,1,-4699.413604,-4682.558385,-4662.667643,-4630.028036,-4566.011086,-4469.774217,-4301.653114,-3963.995911 
09/04/2014 20:00,735698.833333,0.083333,1,1,1,-4711.484725,-4695.941932,-4677.016760,-4644.508688,-4575.803358,-4472.196510,-4302.166256,-3970.884835 
09/04/2014 21:00,735698.875000,0.125000,1,1,1,-4719.565741,-4704.542115,-4686.091758,-4653.984317,-4584.409680,-4475.790661,-4303.079870,-3977.660889 
09/04/2014 22:00,735698.916667,0.166667,1,1,1,-4724.862221,-4710.319766,-4692.360793,-4660.848071,-4591.485615,-4479.910269,-4304.400446,-3984.332585 
09/04/2014 23:00,735698.958333,0.208333,1,1,1,-4732.025707,-4717.331602,-4699.210605,-4667.468616,-4597.686944,-4484.190887,-4306.100944,-3990.908093 
10/04/2014 00:00,735699.000000,0.250000,1,1,1,-4741.773127,-4726.509002,-4707.755875,-4675.083301,-4603.872379,-4488.560030,-4308.145395,-3997.394943 
10/04/2014 01:00,735699.041667,0.291667,1,1,1,-4749.355346,-4734.051928,-4715.202577,-4682.252809,-4610.107136,-4493.049199,-4310.502722,-4003.800036 
10/04/2014 02:00,735699.083333,0.333333,1,1,1,-4757.790015,-4742.188367,-4722.992773,-4689.490126,-4616.305154,-4497.642792,-4313.145138,-4010.129721 
10/04/2014 03:00,735699.125000,0.375000,1,1,1,-4756.675840,-4742.396155,-4724.583529,-4692.886253,-4621.476218,-4502.225804,-4316.043897,-4016.389807 
10/04/2014 04:00,735699.166667,0.416667,1,1,1,-4743.311487,-4731.703892,-4716.841718,-4689.394624,-4623.759209,-4506.372916,-4319.152063,-4022.585393 
10/04/2014 05:00,735699.208333,0.458333,1,1,1,-4740.479591,-4728.779815,-4714.007123,-4687.189448,-4624.257578,-4509.737998,-4322.397345,-4028.720454 
10/04/2014 06:00,735699.250000,0.500000,1,1,1,-4739.370507,-4727.604860,-4712.854970,-4686.300025,-4624.612704,-4512.477706,-4325.714879,-4034.797745 
10/04/2014 07:00,735699.291667,0.541667,1,1,1,-4743.437329,-4730.842611,-4715.255530,-4687.719525,-4625.542593,-4514.874920,-4329.076764,-4040.829152 
10/04/2014 08:00,735699.333333,0.583333,1,1,1,-4753.966716,-4739.884240,-4722.673263,-4692.897302,-4628.081520,-4517.407795,-4332.589751,-4046.906876 
10/04/2014 09:00,735699.375000,0.625000,1,1,1,-4828.335014,-4803.360802,-4773.947287,-4726.566205,-4639.571525,-4521.477316,-4336.615677,-4053.278744 
10/04/2014 10:00,735699.416667,0.666667,1,1,1,-4976.562623,-4935.484485,-4886.860407,-4808.549335,-4672.337702,-4529.581011,-4340.781203,-4059.534792 
10/04/2014 11:00,735699.458333,0.708333,1,1,1,-5186.656851,-5128.100631,-5057.855697,-4942.254471,-4735.606557,-4545.674127,-4345.109853,-4065.362683 
10/04/2014 12:00,735699.500000,0.750000,1,1,1,-5481.759814,-5399.808922,-5301.340881,-5138.033734,-4837.895770,-4574.948533,-4350.834553,-4071.169058 
10/04/2014 13:00,735699.541667,0.791667,1,1,1,-5643.864039,-5564.325850,-5466.468864,-5297.667975,-4955.923761,-4618.734582,-4358.806590,-4076.985959 
10/04/2014 14:00,735699.583333,0.833333,1,1,1,-5622.430026,-5564.217349,-5490.522287,-5356.923651,-5048.291154,-4670.249629,-4369.521808,-4082.855615 
10/04/2014 15:00,735699.625000,0.875000,1,1,1,-5545.181395,-5503.576701,-5449.524244,-5348.253051,-5097.100782,-4719.748135,-4383.436158,-4089.330014 
10/04/2014 16:00,735699.666667,0.916667,1,1,1,-5497.001955,-5461.405413,-5415.252778,-5329.169602,-5117.240720,-4760.660901,-4399.081319,-4095.898542 
10/04/2014 17:00,735699.708333,0.958333,1,1,1,-5475.352402,-5441.644839,-5398.497973,-5319.222617,-5127.727781,-4792.817815,-4415.479573,-4102.435684 
10/04/2014 18:00,735699.750000,1.000000,1,1,1,-5436.129177,-5407.193455,-5369.840937,-5300.538648,-5130.751801,-4817.712966,-4432.019730,-4108.941434 
10/04/2014 19:00,735699.791667,1.041667,1,1,1,-5388.087307,-5364.292623,-5333.079630,-5274.043794,-5125.963412,-4836.221435,-4448.326971,-4115.480950 
10/04/2014 20:00,735699.833333,1.083333,1,1,1,-5334.937479,-5316.087298,-5290.817921,-5241.728871,-5114.416012,-4849.035507,-4464.159778,-4122.145073 
10/04/2014 21:00,735699.875000,1.125000,1,1,1,-5294.939998,-5278.195153,-5255.807371,-5212.345251,-5099.564998,-4856.965603,-4479.226177,-4128.937225 
10/04/2014 22:00,735699.916667,1.166667,1,1,1,-5263.463892,-5247.938412,-5227.289015,-5187.397228,-5084.487031,-4861.220135,-4493.307608,-4135.855127 
10/04/2014 23:00,735699.958333,1.208333,1,1,1,-5237.108926,-5222.491509,-5203.129898,-5165.875768,-5070.266422,-4862.939138,-4506.326221,-4142.876189 
11/04/2014 00:00,735700.000000,1.250000,1,1,1,-5212.837773,-5199.174341,-5181.091244,-5146.288823,-5056.913133,-4862.957262,-4518.272555,-4149.978786 
