Date12[DDMMYYYYhhmm],JulianDayFromYear0[days],TimeFromStart[days],Simulation_Period,Run,IDpoint,5.000000 ,15.000000 ,27.500000 ,50.000000 ,102.500000 ,200.000000 ,380.000000 ,750.000000  
09/04/2014 18:00,735698.750000,0.000000,0,1,1,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000 
09/04/2014 19:00,735698.791667,0.041667,1,1,1,3.669974,3.779704,3.870814,3.954267,3.995902,3.999876,3.999999,4.000000 
09/04/2014 20:00,735698.833333,0.083333,1,1,1,3.357156,3.498760,3.641913,3.818994,3.972593,3.998661,3.999984,4.000000 
09/04/2014 21:00,735698.875000,0.125000,1,1,1,3.152966,3.298135,3.454414,3.671280,3.928111,3.994899,3.999913,4.000000 
09/04/2014 22:00,735698.916667,0.166667,1,1,1,2.956284,3.114147,3.285938,3.532582,3.869378,3.987660,3.999724,3.999999 
09/04/2014 23:00,735698.958333,0.208333,1,1,1,2.767779,2.935883,3.121834,3.396273,3.800951,3.976523,3.999341,3.999996 
10/04/2014 00:00,735699.000000,0.250000,1,1,1,2.645289,2.803697,2.986180,3.269991,3.726310,3.961366,3.998689,3.999991 
10/04/2014 01:00,735699.041667,0.291667,1,1,1,2.496351,2.666704,2.859244,3.156031,3.649534,3.942372,3.997695,3.999982 
10/04/2014 02:00,735699.083333,0.333333,1,1,1,2.400119,2.559755,2.747078,3.047708,3.571869,3.919862,3.996296,3.999967 
10/04/2014 03:00,735699.125000,0.375000,1,1,1,2.293978,2.457895,2.647852,2.951637,3.495480,3.894244,3.994435,3.999943 
10/04/2014 04:00,735699.166667,0.416667,1,1,1,2.025124,2.244754,2.482791,2.834817,3.418579,3.865897,3.992068,3.999910 
10/04/2014 05:00,735699.208333,0.458333,1,1,1,1.822080,2.042841,2.294876,2.684872,3.334238,3.834737,3.989155,3.999863 
10/04/2014 06:00,735699.250000,0.500000,1,1,1,1.752425,1.938265,2.167913,2.551487,3.244213,3.800541,3.985651,3.999800 
10/04/2014 07:00,735699.291667,0.541667,1,1,1,2.497024,2.401548,2.394669,2.560195,3.165355,3.763831,3.981515,3.999719 
10/04/2014 08:00,735699.333333,0.583333,1,1,1,4.398349,3.809479,3.336222,2.965973,3.152533,3.727962,3.976752,3.999616 
10/04/2014 09:00,735699.375000,0.625000,1,1,1,8.457707,6.938164,5.557296,4.101560,3.299128,3.701571,3.971499,3.999488 
10/04/2014 10:00,735699.416667,0.666667,1,1,1,13.490182,11.180295,8.901975,6.139627,3.726931,3.700734,3.966161,3.999336 
10/04/2014 11:00,735699.458333,0.708333,1,1,1,18.478082,15.631180,12.675911,8.774335,4.493241,3.745999,3.961529,3.999159 
10/04/2014 12:00,735699.500000,0.750000,1,1,1,22.225430,19.307315,16.110745,11.537994,5.562716,3.855524,3.958774,3.998967 
10/04/2014 13:00,735699.541667,0.791667,1,1,1,24.268159,21.636637,18.602854,13.927961,6.815624,4.038885,3.959298,3.998771 
10/04/2014 14:00,735699.583333,0.833333,1,1,1,20.831773,19.957838,18.418464,15.090581,8.047081,4.292582,3.964499,3.998592 
10/04/2014 15:00,735699.625000,0.875000,1,1,1,17.062169,16.956013,16.408600,14.613847,8.958843,4.593525,3.975406,3.998457 
10/04/2014 16:00,735699.666667,0.916667,1,1,1,15.969709,15.599818,15.050986,13.753780,9.485459,4.909121,3.992388,3.998394 
10/04/2014 17:00,735699.708333,0.958333,1,1,1,13.491414,13.733069,13.699661,12.988341,9.752127,5.216042,4.015240,3.998432 
10/04/2014 18:00,735699.750000,1.000000,1,1,1,10.877765,11.443247,11.840664,11.858773,9.783468,5.498453,4.043396,3.998598 
10/04/2014 19:00,735699.791667,1.041667,1,1,1,8.814049,9.506206,10.118983,10.610449,9.602664,5.743100,4.076017,3.998914 
10/04/2014 20:00,735699.833333,1.083333,1,1,1,7.477451,8.118905,8.758630,9.466733,9.272407,5.941790,4.112081,3.999399 
10/04/2014 21:00,735699.875000,1.125000,1,1,1,6.755545,7.279748,7.841661,8.566688,8.869177,6.092453,4.150507,4.000064 
10/04/2014 22:00,735699.916667,1.166667,1,1,1,6.164173,6.650039,7.174197,7.884961,8.454198,6.198186,4.190275,4.000917 
10/04/2014 23:00,735699.958333,1.208333,1,1,1,5.589186,6.067824,6.587750,7.312464,8.053752,6.264521,4.230495,4.001962 
11/04/2014 00:00,735700.000000,1.250000,1,1,1,5.108824,5.566053,6.072980,6.805183,7.674072,6.297197,4.270422,4.003197 
11/04/2014 01:00,735700.041667,1.291667,1,1,1,4.642046,5.099357,5.607066,6.350273,7.317012,6.301511,4.309445,4.004617 
11/04/2014 02:00,735700.083333,1.333333,1,1,1,4.251376,4.690782,5.187405,5.933831,6.981130,6.282128,4.347073,4.006216 
11/04/2014 03:00,735700.125000,1.375000,1,1,1,3.935332,4.352441,4.830034,5.564336,6.666478,6.243123,4.382915,4.007986 
11/04/2014 04:00,735700.166667,1.416667,1,1,1,3.700501,4.086532,4.535926,5.244254,6.374281,6.188177,4.416674,4.009915 
11/04/2014 05:00,735700.208333,1.458333,1,1,1,3.471849,3.845250,4.279048,4.966329,6.105403,6.120638,4.448128,4.011992 
11/04/2014 06:00,735700.250000,1.500000,1,1,1,3.367193,3.686648,4.077197,4.725176,5.858638,6.043429,4.477130,4.014205 
11/04/2014 07:00,735700.291667,1.541667,1,1,1,4.360440,4.293868,4.353621,4.682666,5.649085,5.959589,4.503594,4.016540 
11/04/2014 08:00,735700.333333,1.583333,1,1,1,5.893884,5.528931,5.237705,5.064746,5.535635,5.874998,4.527530,4.018985 
11/04/2014 09:00,735700.375000,1.625000,1,1,1,8.848922,7.782542,6.836957,5.893682,5.568722,5.798898,4.549117,4.021528 
11/04/2014 10:00,735700.416667,1.666667,1,1,1,12.200299,10.669130,9.154585,7.324050,5.816867,5.743928,4.568756,4.024157 
11/04/2014 11:00,735700.458333,1.708333,1,1,1,11.547310,10.957739,10.090496,8.527041,6.250707,5.722980,4.587118,4.026865 
11/04/2014 12:00,735700.500000,1.750000,1,1,1,13.377440,12.145784,10.902237,9.206825,6.702500,5.737594,4.604981,4.029648 
11/04/2014 13:00,735700.541667,1.791667,1,1,1,17.597535,15.464875,13.333683,10.594372,7.232296,5.786507,4.623063,4.032504 
11/04/2014 14:00,735700.583333,1.833333,1,1,1,16.808457,15.843743,14.476763,12.008648,7.908288,5.876020,4.642140,4.035438 
11/04/2014 15:00,735700.625000,1.875000,1,1,1,16.149397,15.350678,14.322122,12.443536,8.537734,6.003883,4.663010,4.038455 
11/04/2014 16:00,735700.666667,1.916667,1,1,1,15.182350,14.703196,13.990313,12.524127,9.036161,6.157810,4.686252,4.041566 
11/04/2014 17:00,735700.708333,1.958333,1,1,1,14.495767,14.094753,13.531949,12.377091,9.391556,6.324880,4.712161,4.044784 
11/04/2014 18:00,735700.750000,2.000000,1,1,1,11.612644,12.074847,12.257588,11.878792,9.600856,6.493594,4.740777,4.048120 
11/04/2014 19:00,735700.791667,2.041667,1,1,1,9.096910,9.791238,10.376293,10.766208,9.591753,6.650138,4.771880,4.051586 
11/04/2014 20:00,735700.833333,2.083333,1,1,1,7.745260,8.361144,8.974002,9.638801,9.382759,6.780393,4.804958,4.055194 
11/04/2014 21:00,735700.875000,2.125000,1,1,1,7.008982,7.523775,8.070953,8.770230,9.064875,6.877022,4.839307,4.058949 
11/04/2014 22:00,735700.916667,2.166667,1,1,1,6.390107,6.877184,7.401152,8.110957,8.710831,6.939496,4.874186,4.062855 
11/04/2014 23:00,735700.958333,2.208333,1,1,1,6.037244,6.445453,6.908439,7.587550,8.356254,6.970765,4.908915,4.066911 
12/04/2014 00:00,735701.000000,2.250000,1,1,1,5.703193,6.092029,6.528861,7.177478,8.022042,6.975252,4.942917,4.071115 
12/04/2014 01:00,735701.041667,2.291667,1,1,1,5.332038,5.723315,6.161107,6.812482,7.712516,6.957638,4.975725,4.075460 
12/04/2014 02:00,735701.083333,2.333333,1,1,1,4.965416,5.358826,5.801201,6.465566,7.423176,6.921903,5.006977,4.079939 
