Date12[DDMMYYYYhhmm],JulianDayFromYear0[days],TimeFromStart[days],Simulation_Period,Run,IDpoint,5.000000 ,15.000000 ,27.500000 ,50.000000 ,102.500000 ,200.000000 ,380.000000 ,750.000000  
09/04/2014 18:00,735698.750000,0.000000,0,1,1,0.572236,0.572358,0.572509,0.572784,0.573428,0.574640,0.576936,0.581902 
09/04/2014 19:00,735698.791667,0.041667,1,1,1,0.571604,0.571822,0.572080,0.572505,0.573346,0.574631,0.576933,0.581797 
09/04/2014 20:00,735698.833333,0.083333,1,1,1,0.571449,0.571649,0.571894,0.572316,0.573217,0.574598,0.576926,0.581695 
09/04/2014 21:00,735698.875000,0.125000,1,1,1,0.571345,0.571538,0.571776,0.572192,0.573103,0.574550,0.576913,0.581594 
09/04/2014 22:00,735698.916667,0.166667,1,1,1,0.571277,0.571464,0.571695,0.572103,0.573010,0.574495,0.576895,0.581495 
09/04/2014 23:00,735698.958333,0.208333,1,1,1,0.571185,0.571373,0.571607,0.572017,0.572929,0.574437,0.576871,0.581397 
10/04/2014 00:00,735699.000000,0.250000,1,1,1,0.571060,0.571255,0.571497,0.571919,0.572847,0.574378,0.576843,0.581301 
10/04/2014 01:00,735699.041667,0.291667,1,1,1,0.570963,0.571159,0.571401,0.571826,0.572766,0.574318,0.576810,0.581206 
10/04/2014 02:00,735699.083333,0.333333,1,1,1,0.570855,0.571054,0.571301,0.571732,0.572684,0.574257,0.576773,0.581113 
10/04/2014 03:00,735699.125000,0.375000,1,1,1,0.570869,0.571052,0.571280,0.571688,0.572617,0.574195,0.576733,0.581020 
10/04/2014 04:00,735699.166667,0.416667,1,1,1,0.571040,0.571189,0.571380,0.571733,0.572587,0.574140,0.576690,0.580929 
10/04/2014 05:00,735699.208333,0.458333,1,1,1,0.571076,0.571226,0.571416,0.571762,0.572580,0.574095,0.576645,0.580839 
10/04/2014 06:00,735699.250000,0.500000,1,1,1,0.571091,0.571241,0.571431,0.571773,0.572576,0.574058,0.576599,0.580749 
10/04/2014 07:00,735699.291667,0.541667,1,1,1,0.571039,0.571200,0.571400,0.571755,0.572563,0.574026,0.576552,0.580661 
10/04/2014 08:00,735699.333333,0.583333,1,1,1,0.570904,0.571084,0.571305,0.571688,0.572530,0.573992,0.576504,0.580572 
10/04/2014 09:00,735699.375000,0.625000,1,1,1,0.569961,0.570276,0.570649,0.571255,0.572380,0.573938,0.576448,0.580478 
10/04/2014 10:00,735699.416667,0.666667,1,1,1,0.568119,0.568624,0.569228,0.570210,0.571954,0.573830,0.576391,0.580387 
10/04/2014 11:00,735699.458333,0.708333,1,1,1,0.565589,0.566285,0.567129,0.568541,0.571139,0.573616,0.576331,0.580302 
10/04/2014 12:00,735699.500000,0.750000,1,1,1,0.562188,0.563115,0.564247,0.566166,0.569840,0.573228,0.576252,0.580217 
10/04/2014 13:00,735699.541667,0.791667,1,1,1,0.560390,0.561266,0.562360,0.564290,0.568372,0.572653,0.576142,0.580132 
