Date12.DDMMYYYYhhmm.,rainfall_amount,wind_speed,wind_from_direction,relative_humidity,air_temperature,soil_moisture_content_20,soil_moisture_content_50,soil_moisture_content_200,latent_heat_flux_in_air,sensible_heat_flux_in_air,net_radiation,surface_downwelling_shortwave_flux,surface_upwelling_shortwave_flux,surface_downwelling_longwave_flux,surface_upwelling_longwave_flux
09/04/2014 18:00,0,0,245.1,0.2541,7.98,-9999,0.21934,0.17535,-9999,-9999,-9999,-9999,-9999,-9999,-9999
09/04/2014 19:00,0,4.74,277.77,0.2602,7.82,-9999,0.2187175,0.174935,-9999,-9999,-9999,-9999,-9999,-9999,-9999
09/04/2014 20:00,0,4.6,312.4,0.2869,6.17,-9999,0.2183025,0.175765,-9999,-9999,-9999,-9999,-9999,-9999,-9999
09/04/2014 21:00,0,3.32,249.62,0.3173,4.74,-9999,0.21768,0.1763875,-9999,-9999,-9999,-9999,-9999,-9999,-9999
09/04/2014 22:00,0,3.83,256.57,0.3076,4.48,-9999,0.217265,0.17701,-9999,-9999,-9999,-9999,-9999,-9999,-9999
09/04/2014 23:00,0,4.29,339.2,0.2779,4.51,-9999,0.21685,0.17701,-9999,-9999,-9999,-9999,-9999,-9999,-9999
10/04/2014 00:00,0,3.08,260.38,0.2866,4.19,-9999,0.21685,0.177425,-9999,-9999,-9999,-9999,-9999,-9999,-9999
10/04/2014 01:00,0,2.16,249.89,0.3195,3.58,-9999,0.2162275,0.17784,-9999,-9999,-9999,-9999,-9999,-9999,-9999
10/04/2014 02:00,0,2.75,261.46,0.3144,3.54,-9999,0.21602,0.1780475,-9999,-9999,-9999,-9999,-9999,-9999,-9999
10/04/2014 03:00,0,2.53,337.07,0.3438,3.6,-9999,0.21602,0.17867,-9999,-9999,-9999,-9999,-9999,-9999,-9999
10/04/2014 04:00,0,2.73,323.57,0.3706,2.88,-9999,0.2158125,0.17867,-9999,-9999,-9999,-9999,-9999,-9999,-9999
10/04/2014 05:00,0,2.32,334.65,0.3623,3.5,-9999,0.21519,0.17867,-9999,-9999,-9999,-9999,-9999,-9999,-9999
10/04/2014 06:00,0,2.95,86.07,0.3376,4.55,-9999,0.21519,0.17867,-9999,-9999,-9999,-9999,-9999,-9999,-9999
10/04/2014 07:00,0,3.81,319.82,0.3438,5.06,-9999,0.21436,0.1792925,-9999,-9999,-9999,-9999,-9999,-9999,-9999
10/04/2014 08:00,0,3.27,256,0.3834,5.32,-9999,0.21436,0.1795,-9999,-9999,-9999,-9999,-9999,-9999,-9999
10/04/2014 09:00,0,3.36,246.17,0.406,5.92,-9999,0.21436,0.1795,-9999,-9999,-9999,-9999,-9999,-9999,-9999
10/04/2014 10:00,0,2.51,299,0.409,7.1,-9999,0.2137375,0.1797075,-9999,-9999,-9999,-9999,-9999,-9999,-9999
10/04/2014 11:00,0,4.81,267.85,0.4263,7.62,-9999,0.21353,0.18033,-9999,-9999,-9999,-9999,-9999,-9999,-9999
10/04/2014 12:00,0,5.81,248.66,0.4234,8.06,-9999,0.21353,0.18033,-9999,-9999,-9999,-9999,-9999,-9999,-9999
10/04/2014 13:00,0,5.86,278.7,0.4035,9.58,-9999,0.2133225,0.18033,-9999,-9999,-9999,-9999,-9999,-9999,-9999
10/04/2014 14:00,0,6.12,293.62,0.4034,10.56,-9999,0.2127,0.18033,-9999,-9999,-9999,-9999,-9999,-9999,-9999
10/04/2014 15:00,0,5.62,273.95,0.4167,10.66,-9999,0.21187,0.18033,-9999,-9999,-9999,-9999,-9999,-9999,-9999
10/04/2014 16:00,0,6.18,304.48,0.4217,10.91,-9999,0.21104,0.18033,-9999,-9999,-9999,-9999,-9999,-9999,-9999
10/04/2014 17:00,0,5.93,309.85,0.4556,10.29,-9999,0.2104175,0.18033,-9999,-9999,-9999,-9999,-9999,-9999,-9999
10/04/2014 18:00,0,5.62,301.93,0.4955,9.27,-9999,0.20938,0.18033,-9999,-9999,-9999,-9999,-9999,-9999,-9999
10/04/2014 19:00,0,4.38,299.93,0.5085,9.11,-9999,0.2091725,0.18033,-9999,-9999,-9999,-9999,-9999,-9999,-9999
10/04/2014 20:00,0,5.05,331.57,0.5109,8.33,-9999,0.2083425,0.18033,-9999,-9999,-9999,-9999,-9999,-9999,-9999
10/04/2014 21:00,0,5.35,306.25,0.5324,7.88,-9999,0.20772,0.18033,-9999,-9999,-9999,-9999,-9999,-9999,-9999
10/04/2014 22:00,0,4.41,284.77,0.5488,7.65,-9999,0.20772,0.18033,-9999,-9999,-9999,-9999,-9999,-9999,-9999
10/04/2014 23:00,0,4.03,291.43,0.5538,7.47,-9999,0.20772,0.18033,-9999,-9999,-9999,-9999,-9999,-9999,-9999
11/04/2014 00:00,0,3.61,290.38,0.5553,7.25,-9999,0.20772,0.18033,-9999,-9999,-9999,-9999,-9999,-9999,-9999
11/04/2014 01:00,0,3.67,323.7,0.5532,7,-9999,0.2075125,0.18033,-9999,-9999,-9999,-9999,-9999,-9999,-9999
11/04/2014 02:00,0,4.09,337.18,0.5469,6.97,-9999,0.20689,0.18033,-9999,-9999,-9999,-9999,-9999,-9999,-9999
11/04/2014 03:00,0,3.97,338.65,0.542,6.79,-9999,0.20689,0.18033,-9999,-9999,-9999,-9999,-9999,-9999,-9999
