Date12[DDMMYYYYhhmm],JulianDayFromYear0[days],TimeFromStart[days],Simulation_Period,Run,IDpoint,5.000000 ,15.000000 ,27.500000 ,50.000000 ,102.500000 ,200.000000 ,380.000000 ,750.000000  
09/04/2014 18:00,735698.750000,0.000000,0,1,1,-4650.623800,-4641.313242,-4629.675044,-4608.726289,-4559.845858,-4469.067916,-4301.477869,-3956.987217 
09/04/2014 19:00,735698.791667,0.041667,1,1,1,-4785.723326,-4686.209329,-4647.109234,-4613.470596,-4560.762366,-4469.067916,-4301.477869,-3956.987224 
09/04/2014 20:00,735698.833333,0.083333,1,1,1,-4878.966868,-4722.691427,-4662.611542,-4617.947941,-4561.645287,-4469.067917,-4301.477869,-3956.987231 
09/04/2014 21:00,735698.875000,0.125000,1,1,1,-4950.810008,-4754.968599,-4677.317332,-4622.415815,-4562.570349,-4469.067917,-4301.477869,-3956.987238 
09/04/2014 22:00,735698.916667,0.166667,1,1,1,-5006.186428,-4784.469964,-4691.710390,-4626.989673,-4563.558361,-4469.067918,-4301.477869,-3956.987245 
09/04/2014 23:00,735698.958333,0.208333,1,1,1,-5058.703709,-4814.226576,-4706.707573,-4631.859903,-4564.637997,-4469.067919,-4301.477869,-3956.987252 
10/04/2014 00:00,735699.000000,0.250000,1,1,1,-5115.257925,-4845.198128,-4722.379692,-4636.937223,-4565.769106,-4469.067920,-4301.477869,-3956.987259 
10/04/2014 01:00,735699.041667,0.291667,1,1,1,-5169.251128,-4877.328882,-4739.031505,-4642.378259,-4566.977328,-4469.067921,-4301.477869,-3956.987266 
10/04/2014 02:00,735699.083333,0.333333,1,1,1,-5223.181726,-4909.695800,-4756.046838,-4647.955456,-4568.218001,-4469.067923,-4301.477869,-3956.987272 
10/04/2014 03:00,735699.125000,0.375000,1,1,1,-5249.537051,-4935.812301,-4771.390525,-4653.236187,-4569.419893,-4469.067925,-4301.477869,-3956.987279 
10/04/2014 04:00,735699.166667,0.416667,1,1,1,-5219.317746,-4946.428243,-4782.263025,-4657.773424,-4570.565445,-4469.067927,-4301.477869,-3956.987286 
10/04/2014 05:00,735699.208333,0.458333,1,1,1,-5194.175000,-4954.544501,-4792.039067,-4662.135727,-4571.753113,-4469.067930,-4301.477869,-3956.987293 
