GoF  SOIL__N  SOIL__LOG10_Alpha  SOIL__ThetaSat  SOIL__ThetaRes  SOIL__LOG10_NormalHydrConductivity  SCALAR__SoilRoughness  SCALAR__LSAI  SCALAR__CanopyFraction  SCALAR__DecayCoeffCanopy  SCALAR__RootDepth  SCALAR__MinStomatalRes  SCALAR__VegReflectVis  SCALAR__VegReflNIR  SCALAR__VegTransVis  SCALAR__VegTransNIR  SCALAR__CanDensSurface  SCALAR__SoilAlbVisDry  SCALAR__SoilAlbNIRDry  SCALAR__SoilAlbVisWet  SCALAR__SoilAlbNIRWet  SCALAR__SoilEmissiv
 5.376900e-02   1.891879e+00  -2.209629e+00   4.004949e-01   4.518886e-02  -4.301030e+00   4.997653e+01   3.909515e-01   0.000000e+00   4.796565e+01   8.891652e+02   2.091579e+01   1.741499e-01   2.759267e-01   9.081629e-02   4.422294e-01   6.067797e+00   2.512984e-01   9.230768e-02   3.126495e-01   1.818485e-01   9.741548e-01
 5.292800e-02   1.931318e+00  -2.102543e+00   4.142258e-01   4.863762e-02  -4.301030e+00   7.443578e+01   3.451819e-01   1.534776e-01   4.331356e+01   8.455261e+02   3.041037e+01   1.472328e-01   3.533985e-01   1.173504e-01   5.190318e-01   3.602760e+00   1.944462e-01   5.757154e-02   3.855687e-01   2.216035e-01   9.443774e-01
 5.427700e-02   1.886465e+00  -2.149660e+00   4.225708e-01   4.181465e-02  -4.295176e+00   4.798365e+01   4.680815e-01   6.062446e-02   5.864213e+01   7.513341e+02   2.973434e+01   1.367267e-01   3.055735e-01   1.039919e-01   3.459963e-01   4.981670e+00   2.510020e-01   8.783364e-02   2.914850e-01   3.804451e-01   9.827855e-01
 5.241600e-02   1.817899e+00  -2.117367e+00   4.087064e-01   4.038881e-02  -4.301030e+00   6.511283e+01   6.092394e-01   4.881575e-02   5.025250e+01   6.138784e+02   4.436186e+01   1.362504e-01   3.266325e-01   1.070523e-01   4.950244e-01   1.000000e-01   2.431525e-01   9.202339e-02   3.013111e-01   3.822947e-01   9.555391e-01
 5.201000e-02   1.768561e+00  -2.117197e+00   4.047615e-01   4.298313e-02  -4.301030e+00   1.674956e+01   5.326146e-01   1.822495e-02   5.144230e+01   8.016163e+02   2.610159e+01   1.221681e-01   2.829843e-01   6.641463e-02   4.079918e-01   3.815546e+00   2.252341e-01   5.402150e-02   3.410155e-01   2.931824e-01   9.479919e-01
 5.436800e-02   1.768346e+00  -2.161625e+00   4.065058e-01   4.357036e-02  -4.301030e+00   8.457710e+01   3.285232e-01   4.937425e-02   4.495801e+01   7.141137e+02   4.285300e+01   1.971168e-01   3.401622e-01   1.021384e-01   4.293373e-01   4.698333e+00   2.893519e-01   7.345216e-02   3.889780e-01   3.231911e-01   9.915187e-01
 5.190900e-02   1.928443e+00  -2.096910e+00   4.140876e-01   4.217675e-02  -4.301030e+00   1.202138e+02   5.804273e-01   4.660549e-02   5.425548e+01   6.583772e+02   2.409649e+01   1.442868e-01   3.671820e-01   1.098396e-01   5.526974e-01   2.872152e+00   2.433424e-01   1.021046e-01   3.600447e-01   3.792533e-01   9.759798e-01
 5.203900e-02   1.810312e+00  -2.096910e+00   4.000000e-01   4.272894e-02  -4.301030e+00   6.845900e+01   4.498073e-01   3.745336e-02   5.104557e+01   6.480210e+02   2.379678e+01   1.010876e-01   3.266305e-01   9.415405e-02   4.653375e-01   2.923803e+00   2.632743e-01   5.368779e-02   3.086023e-01   3.346315e-01   9.645734e-01
 5.412600e-02   1.778268e+00  -2.158115e+00   4.227451e-01   4.593750e-02  -4.222264e+00   3.638126e+01   7.702385e-01   0.000000e+00   6.614591e+01   6.370225e+02   4.435849e+01   9.444928e-02   2.737026e-01   9.289781e-02   5.315034e-01   2.227517e+00   2.097057e-01   6.531064e-02   2.969440e-01   3.190329e-01   9.608745e-01
 5.185500e-02   1.841418e+00  -2.096910e+00   4.000000e-01   4.000000e-02  -4.301030e+00   4.193655e+01   3.630175e-01   2.091719e-02   5.206280e+01   6.221976e+02   4.001000e+01   1.322118e-01   2.880270e-01   4.452849e-02   4.554632e-01   6.075428e+00   2.591805e-01   9.781481e-02   3.487162e-01   3.595089e-01   9.673743e-01
 5.353600e-02   1.851035e+00  -2.193270e+00   4.000000e-01   4.122601e-02  -4.301030e+00   5.076992e+01   5.733071e-01   9.281709e-02   6.006549e+01   9.461931e+02   3.441233e+01   1.392495e-01   1.945460e-01   9.405617e-02   3.529473e-01   4.218395e+00   2.548519e-01   7.969629e-02   2.797543e-01   3.266410e-01   9.504108e-01
 5.530500e-02   1.961527e+00  -2.161190e+00   4.121802e-01   4.589645e-02  -4.301030e+00   8.673350e+01   2.975997e-01   2.126111e-01   7.500000e+01   7.236968e+02   1.730799e+01   1.162006e-01   2.462997e-01   1.218078e-01   5.265132e-01   2.270981e+00   2.971647e-01   7.575072e-02   2.114269e-01   2.963742e-01   9.961938e-01
 5.227900e-02   1.747334e+00  -2.180330e+00   4.000000e-01   4.000000e-02  -4.301030e+00   1.000000e+01   4.332579e-01   0.000000e+00   5.462223e+01   7.031618e+02   5.320500e+01   1.360401e-01   2.413019e-01   1.815318e-02   4.607297e-01   6.548102e+00   1.877751e-01   5.820980e-02   2.434785e-01   3.700175e-01   9.620899e-01
 5.326500e-02   1.809808e+00  -2.096910e+00   4.124515e-01   4.493436e-02  -4.226861e+00   1.564960e+01   3.024315e-01   0.000000e+00   6.767733e+01   9.214190e+02   3.976876e+01   1.668183e-01   2.923158e-01   5.594235e-02   2.785709e-01   5.354110e+00   2.625074e-01   7.773471e-02   3.126161e-01   2.365958e-01   9.605746e-01
 5.351600e-02   1.881823e+00  -2.096910e+00   4.122822e-01   4.000000e-02  -4.216283e+00   2.029035e+02   5.003944e-01   5.925781e-02   4.543700e+01   5.202803e+02   3.571576e+01   1.229918e-01   2.831060e-01   7.419771e-02   5.186448e-01   3.535789e+00   2.101747e-01   5.000000e-02   2.469361e-01   3.333485e-01   9.651672e-01
 5.327400e-02   1.902090e+00  -2.173884e+00   4.126819e-01   4.140192e-02  -4.301030e+00   2.696978e+01   2.325062e-01   0.000000e+00   5.360006e+01   8.806182e+02   7.818795e+01   1.359253e-01   3.715376e-01   4.566262e-02   3.641881e-01   6.986799e+00   2.642315e-01   6.562863e-02   3.073110e-01   2.206287e-01   9.367120e-01
 5.304800e-02   1.796056e+00  -2.096910e+00   4.265012e-01   4.163294e-02  -4.301030e+00   1.108852e+02   4.852444e-01   3.742488e-02   6.643029e+01   6.766278e+02   4.955759e+01   1.371931e-01   2.544488e-01   1.099609e-01   4.360554e-01   1.848514e+00   2.637955e-01   5.000000e-02   3.336466e-01   2.739457e-01   9.134771e-01
 5.214400e-02   1.992099e+00  -2.120366e+00   4.058501e-01   4.443484e-02  -4.301030e+00   1.679524e+01   3.165167e-01   2.660174e-02   4.683640e+01   7.241566e+02   3.520986e+01   1.649152e-01   3.286305e-01   7.977774e-02   3.869036e-01   4.916040e+00   2.454090e-01   7.643925e-02   3.080009e-01   3.410374e-01   9.633996e-01
 5.561700e-02   1.792324e+00  -2.250024e+00   4.000000e-01   4.071073e-02  -4.227482e+00   9.464115e+01   4.589986e-01   7.864818e-02   4.019752e+01   6.294570e+02   2.460828e+01   1.613779e-01   3.625127e-01   1.206642e-01   5.239705e-01   2.176398e+00   2.692705e-01   6.690583e-02   3.819340e-01   4.177206e-01   9.828472e-01
 5.321200e-02   1.971143e+00  -2.179915e+00   4.186584e-01   4.000000e-02  -4.301030e+00   8.202022e+01   3.240086e-01   1.840818e-02   3.577938e+01   8.617305e+02   2.937846e+01   1.753643e-01   3.753403e-01   4.368361e-02   5.947953e-01   5.685861e+00   2.714971e-01   9.718030e-02   3.071279e-01   2.356960e-01   9.700501e-01
 5.577000e-02   1.851113e+00  -2.263627e+00   4.247817e-01   4.355621e-02  -4.226980e+00   7.762687e+01   4.656894e-01   4.399023e-02   5.785045e+01   7.289835e+02   3.819479e+01   1.231593e-01   3.348484e-01   6.294219e-02   4.957941e-01   1.879366e+00   2.368623e-01   7.755130e-02   2.878453e-01   3.555577e-01   9.609868e-01
 5.308700e-02   1.825385e+00  -2.201294e+00   4.110891e-01   4.311697e-02  -4.301030e+00   2.492264e+02   2.399679e-01   6.274688e-02   2.055954e+01   6.777755e+02   4.644439e+01   1.149792e-01   2.221202e-01   6.469839e-02   4.780749e-01   6.835619e+00   2.493028e-01   7.017123e-02   3.742997e-01   3.238321e-01   1.000000e+00
 6.154900e-02   1.878061e+00  -2.229673e+00   4.561413e-01   4.230403e-02  -4.020224e+00   1.601894e+02   6.074645e-01   1.646859e-02   7.500000e+01   6.141544e+02   6.115995e+01   1.454610e-01   7.788724e-02   1.130931e-01   5.600395e-01   1.397816e+00   2.226283e-01   1.086918e-01   3.098018e-01   3.861667e-01   1.000000e+00
 5.292200e-02   1.972172e+00  -2.114257e+00   4.198212e-01   4.229795e-02  -4.301030e+00   1.276132e+02   4.569350e-01   1.215248e-01   3.486551e+01   7.727673e+02   3.124980e+01   1.963787e-01   3.856677e-01   8.368329e-02   3.242849e-01   6.043959e+00   2.510733e-01   7.176067e-02   3.843404e-01   1.894388e-01   9.739185e-01
 5.263400e-02   1.832544e+00  -2.096910e+00   4.012734e-01   4.333886e-02  -4.301030e+00   1.747872e+02   4.400783e-01   1.215325e-01   2.226180e+01   6.793733e+02   3.792933e+01   1.548825e-01   3.805785e-01   6.495679e-02   3.967658e-01   6.271834e+00   2.746207e-01   1.087041e-01   3.651999e-01   2.858579e-01   9.851511e-01
 5.295600e-02   2.000000e+00  -2.181620e+00   4.007315e-01   4.276470e-02  -4.301030e+00   7.093923e+01   4.173413e-01   4.069364e-02   3.172732e+01   7.596824e+02   2.306483e+01   1.728759e-01   3.282937e-01   6.374180e-02   5.256599e-01   5.481607e+00   2.870895e-01   1.392591e-01   3.103467e-01   3.442609e-01   9.669553e-01
 5.426200e-02   1.946444e+00  -2.166578e+00   4.000000e-01   4.735972e-02  -4.301030e+00   1.000000e+01   6.254502e-01   9.190813e-02   4.512670e+01   5.822732e+02   4.213210e+01   1.104805e-01   2.531515e-01   1.135268e-01   3.842106e-01   3.326629e+00   3.000000e-01   1.412483e-01   3.892076e-01   2.358039e-01   9.675032e-01
 5.245700e-02   1.879648e+00  -2.133649e+00   4.022206e-01   4.143337e-02  -4.301030e+00   4.894048e+01   3.582420e-01   5.374702e-02   5.087958e+01   9.155341e+02   3.027353e+01   1.548607e-01   3.318670e-01   3.898123e-02   4.107784e-01   5.422081e+00   2.562268e-01   5.815364e-02   3.738053e-01   2.586485e-01   9.559561e-01
 5.257500e-02   1.817849e+00  -2.154489e+00   4.000000e-01   4.227571e-02  -4.301030e+00   6.947151e+01   4.874042e-01   2.410980e-02   3.962227e+01   8.765113e+02   2.594557e+01   1.496035e-01   3.406463e-01   4.834321e-02   5.000864e-01   4.627659e+00   2.568890e-01   7.138959e-02   3.155154e-01   2.852051e-01   9.832063e-01
 5.288900e-02   1.948818e+00  -2.192789e+00   4.000000e-01   5.330359e-02  -4.301030e+00   9.688670e+01   8.700640e-02   1.819335e-01   3.137295e+01   6.129676e+02   1.000000e+01   1.464629e-01   2.754559e-01   2.988766e-02   4.073176e-01   4.758416e+00   2.163662e-01   1.242423e-01   2.801924e-01   4.522103e-01   1.000000e+00
 5.298200e-02   1.876637e+00  -2.240947e+00   4.017565e-01   4.295928e-02  -4.301030e+00   1.279170e+02   6.705587e-01   7.817893e-03   4.411575e+01   6.734154e+02   3.545317e+01   1.307033e-01   3.539774e-01   1.198849e-01   5.141623e-01   1.150262e+00   2.237900e-01   7.023006e-02   2.793067e-01   3.799919e-01   9.835584e-01
 5.205600e-02   1.943770e+00  -2.151771e+00   4.087432e-01   4.598124e-02  -4.301030e+00   8.729255e+01   2.384030e-01   3.629784e-02   5.292107e+01   8.233251e+02   3.583932e+01   1.359233e-01   3.572673e-01   6.725868e-02   4.415736e-01   5.152925e+00   2.567413e-01   5.277773e-02   3.943733e-01   3.212704e-01   9.546851e-01
 5.464700e-02   1.806731e+00  -2.176415e+00   4.110640e-01   4.031662e-02  -4.218939e+00   1.217072e+02   5.994352e-01   5.465997e-02   5.760264e+01   5.057144e+02   2.057958e+01   1.031530e-01   1.632437e-01   1.203893e-01   6.000000e-01   1.845171e+00   2.804759e-01   8.998521e-02   2.994512e-01   1.401959e-01   9.918249e-01
 5.746100e-02   1.711638e+00  -2.096910e+00   4.212913e-01   4.440465e-02  -4.301030e+00   3.346027e+01   2.414095e-01   4.902300e-02   5.334841e+01   9.557284e+02   4.932993e+01   1.344511e-01   3.453449e-01   6.545971e-02   4.004348e-01   4.945133e+00   2.865496e-01   1.267876e-01   3.417095e-01   3.180523e-01   9.815781e-01
 5.528300e-02   1.842974e+00  -2.122374e+00   4.216648e-01   4.810075e-02  -4.200659e+00   1.161543e+02   3.144131e-01   1.641130e-01   6.423848e+01   7.639565e+02   5.276114e+01   1.025420e-01   3.404846e-01   1.161159e-01   3.552884e-01   3.913023e+00   2.392532e-01   5.189492e-02   2.909597e-01   3.199449e-01   9.412273e-01
 5.310800e-02   1.966422e+00  -2.096910e+00   4.262449e-01   4.160948e-02  -4.301030e+00   1.784190e+02   6.162845e-01   1.272179e-01   3.684392e+01   9.438036e+02   2.935875e+01   1.612482e-01   3.384933e-01   6.279016e-02   2.718789e-01   6.447564e+00   1.720345e-01   1.285212e-01   3.415379e-01   1.700144e-01   9.916964e-01
 5.325900e-02   1.874967e+00  -2.257189e+00   4.050956e-01   4.080331e-02  -4.301030e+00   1.513318e+02   4.811073e-01   3.796388e-02   3.837261e+01   8.140991e+02   5.279281e+01   1.436503e-01   2.726028e-01   9.496838e-02   3.978134e-01   3.857584e+00   2.475382e-01   8.928968e-02   3.539422e-01   3.348888e-01   9.747710e-01
 5.378500e-02   1.954815e+00  -2.172457e+00   4.215900e-01   4.643376e-02  -4.273709e+00   1.633288e+02   5.971845e-01   0.000000e+00   5.648723e+01   7.527016e+02   3.736396e+01   1.497478e-01   3.380124e-01   5.897485e-02   3.453697e-01   2.153300e+00   2.988957e-01   5.703486e-02   2.956708e-01   2.087491e-01   9.309223e-01
 5.343600e-02   1.893669e+00  -2.111546e+00   4.227798e-01   4.509206e-02  -4.301030e+00   1.252740e+02   8.794628e-02   0.000000e+00   5.115506e+01   8.065148e+02   4.972809e+01   1.359999e-01   3.511478e-01   8.278148e-02   4.605071e-01   7.045708e+00   2.506531e-01   1.412797e-01   3.479603e-01   3.797598e-01   9.786129e-01
 5.339300e-02   1.799419e+00  -2.108681e+00   4.002933e-01   4.094378e-02  -4.240499e+00   9.151213e+01   4.692753e-01   1.338637e-01   4.703946e+01   6.520746e+02   3.113806e+01   1.306445e-01   3.376380e-01   1.139111e-01   6.000000e-01   2.581544e+00   2.264213e-01   8.857566e-02   3.457453e-01   4.117463e-01   9.796722e-01
 5.218500e-02   1.896197e+00  -2.123312e+00   4.027410e-01   4.112364e-02  -4.278984e+00   3.815695e+01   3.738590e-01   4.615377e-02   4.780155e+01   7.507141e+02   4.709263e+01   1.617129e-01   2.850737e-01   3.935804e-02   4.463055e-01   6.829959e+00   2.558471e-01   7.392169e-02   3.362433e-01   3.946160e-01   9.561614e-01
 5.240200e-02   1.955367e+00  -2.126745e+00   4.100784e-01   4.113543e-02  -4.262242e+00   7.013369e+01   3.672753e-01   2.194639e-02   4.671044e+01   7.694810e+02   3.982475e+01   1.539199e-01   3.381968e-01   5.630204e-02   4.461764e-01   4.583155e+00   2.525975e-01   9.365691e-02   3.226842e-01   3.360463e-01   9.784908e-01
 5.523900e-02   1.872087e+00  -2.105329e+00   4.138619e-01   4.068484e-02  -4.051267e+00   1.155777e+02   4.898581e-01   5.587147e-02   3.958904e+01   5.725699e+02   3.395084e+01   1.401082e-01   3.428647e-01   9.272127e-02   5.201213e-01   2.503358e+00   2.799853e-01   7.464860e-02   3.192313e-01   3.486657e-01   9.773925e-01
 5.484100e-02   1.721874e+00  -2.140119e+00   4.462333e-01   4.287921e-02  -4.301030e+00   5.713806e+01   3.145235e-01   2.484727e-02   5.716756e+01   8.510082e+02   4.611982e+01   1.509940e-01   3.764195e-01   7.591795e-02   4.280797e-01   2.632319e+00   1.956865e-01   5.000000e-02   2.866931e-01   1.773438e-01   9.483544e-01
 5.197200e-02   1.854898e+00  -2.096910e+00   4.000000e-01   4.284590e-02  -4.301030e+00   2.493229e+01   1.635920e-01   1.634423e-02   6.688826e+01   8.892091e+02   3.860011e+01   1.352128e-01   3.131195e-01   5.152059e-02   3.556712e-01   6.415257e+00   2.718081e-01   5.754276e-02   3.207382e-01   3.436195e-01   9.424960e-01
 5.274500e-02   1.857686e+00  -2.096910e+00   4.153949e-01   5.202117e-02  -4.301030e+00   8.678607e+01   3.624818e-01   1.026914e-02   6.719444e+01   5.963122e+02   3.912715e+01   1.441783e-01   2.545849e-01   5.242028e-02   3.731246e-01   3.740875e+00   2.814008e-01   6.581139e-02   2.798205e-01   3.077266e-01   1.000000e+00
