Iter  Part1  Part2  Part3  Part4  Part5  Part6  Part7  Part8  Part9  Part10  Part11  Part12  Part13  Part14  Part15  Part16  Part17  Part18  Part19  Part20  Part21  Part22  Part23  Part24  Part25  Part26  Part27  Part28  Part29  Part30  Part31  Part32  Part33  Part34  Part35  Part36  Part37  Part38  Part39  Part40  Part41  Part42  Part43  Part44  Part45  Part46  Part47  Part48  Part49  Part50  Part51  Part52  Part53  Part54  Part55  Part56  Part57  Part58  Part59  Part60  Part61  Part62  Part63  Part64  Part65  Part66  Part67  Part68  Part69  Part70  Part71  Part72  Part73  Part74  Part75  Part76  Part77  Part78  Part79  Part80  Part81  Part82  Part83  Part84  Part85  Part86  Part87  Part88  Part89  Part90  Part91  Part92  Part93  Part94  Part95  Part96  Part97  Part98  Part99  Part100  Part101  Part102  Part103  Part104  Part105  Part106  Part107  Part108  Part109  Part110  Part111  Part112  Part113  Part114  Part115  Part116  Part117  Part118  Part119  Part120  Part121  Part122  Part123  Part124  Part125  Part126  Part127  
1   8.0422000E-02   7.1352000E-02   6.9105000E-02   7.4690000E-02   7.9281000E-02   7.7568000E-02   7.9281000E-02   8.0431000E-02   7.0537000E-02   7.5740000E-02   7.7977000E-02   7.4690000E-02   8.2647000E-02   7.0537000E-02   7.0537000E-02   6.9105000E-02   7.1352000E-02   7.4690000E-02   7.0537000E-02   7.9281000E-02   6.9105000E-02   7.8124000E-02   7.5740000E-02   7.4690000E-02   8.0431000E-02   8.0422000E-02   7.0537000E-02   6.9105000E-02   7.1352000E-02   7.4690000E-02   7.0537000E-02   7.0537000E-02   6.9105000E-02   7.4690000E-02   7.0537000E-02   7.1352000E-02   7.1352000E-02   7.1352000E-02   7.4690000E-02   7.1352000E-02   8.1633000E-02   7.0537000E-02   6.9105000E-02   7.0537000E-02   7.1352000E-02   7.1352000E-02   8.0290000E-02   8.0422000E-02   7.7193000E-02   6.9105000E-02   6.9105000E-02   7.7193000E-02   7.4690000E-02   7.1352000E-02   6.9105000E-02   7.1352000E-02   8.0199000E-02   7.5740000E-02   7.1352000E-02   7.4690000E-02   7.7568000E-02   7.0537000E-02   7.7977000E-02   8.0422000E-02   7.0537000E-02   7.4190000E-02   8.2166000E-02   7.0537000E-02   7.0537000E-02   7.4690000E-02   7.1352000E-02   7.5740000E-02   7.7977000E-02   8.0290000E-02   7.4690000E-02   7.4190000E-02   7.7193000E-02   8.0422000E-02   7.8124000E-02   7.4190000E-02   7.4690000E-02   7.7193000E-02   8.0422000E-02   7.1352000E-02   6.9105000E-02   7.7568000E-02   7.8124000E-02   7.0537000E-02   7.0537000E-02   7.9281000E-02   7.4690000E-02   7.4190000E-02   7.1352000E-02   7.0537000E-02   6.9105000E-02   7.9281000E-02   7.1352000E-02   7.7977000E-02   7.7193000E-02   7.4190000E-02   7.5740000E-02   8.0422000E-02   6.9105000E-02   7.1352000E-02   6.9105000E-02   8.1633000E-02   7.0537000E-02   7.1352000E-02   6.9105000E-02   7.1352000E-02   7.0537000E-02   6.9105000E-02   7.7568000E-02   7.4190000E-02   7.7193000E-02   7.4690000E-02   7.7193000E-02   7.4190000E-02   7.4190000E-02   8.2337000E-02   6.9105000E-02   7.4690000E-02   7.0537000E-02   8.3551000E-02   6.9105000E-02   6.9105000E-02   7.7568000E-02  
2   7.0196000E-02   7.1352000E-02   6.9105000E-02   7.2144000E-02   7.6523000E-02   7.0399000E-02   7.1223000E-02   6.9143000E-02   7.0537000E-02   6.6729000E-02   6.6729000E-02   7.1557000E-02   6.6729000E-02   6.9143000E-02   6.6729000E-02   6.9105000E-02   7.1223000E-02   6.6729000E-02   7.0537000E-02   7.1223000E-02   6.9105000E-02   7.1081000E-02   7.0196000E-02   6.6729000E-02   7.7196000E-02   7.1081000E-02   6.6729000E-02   6.9105000E-02   7.1352000E-02   7.0196000E-02   6.6729000E-02   7.0537000E-02   6.9105000E-02   6.6729000E-02   7.0196000E-02   7.1352000E-02   7.1352000E-02   7.0399000E-02   7.2144000E-02   7.1223000E-02   7.1557000E-02   7.0196000E-02   6.9105000E-02   6.9143000E-02   7.0399000E-02   7.1352000E-02   7.1081000E-02   7.1749000E-02   7.7193000E-02   6.9105000E-02   6.9105000E-02   7.0399000E-02   6.9143000E-02   7.1352000E-02   6.9105000E-02   6.6729000E-02   7.0196000E-02   7.0399000E-02   7.0399000E-02   6.9143000E-02   7.0196000E-02   7.0537000E-02   6.9143000E-02   7.7196000E-02   7.0399000E-02   7.1223000E-02   6.9143000E-02   6.6729000E-02   7.0537000E-02   7.2144000E-02   7.0196000E-02   7.1876000E-02   7.1876000E-02   7.1081000E-02   6.6729000E-02   7.4190000E-02   6.9143000E-02   6.6729000E-02   7.1876000E-02   6.9143000E-02   6.6729000E-02   6.6729000E-02   7.1081000E-02   6.9143000E-02   6.9105000E-02   7.0399000E-02   7.1223000E-02   6.6729000E-02   6.9143000E-02   7.0196000E-02   7.1081000E-02   6.6729000E-02   6.9143000E-02   6.6729000E-02   6.6729000E-02   7.7196000E-02   6.9143000E-02   7.0196000E-02   7.1081000E-02   7.1081000E-02   6.9143000E-02   7.1081000E-02   6.6729000E-02   6.6729000E-02   6.9105000E-02   7.1557000E-02   7.0537000E-02   7.1223000E-02   6.9105000E-02   7.1081000E-02   6.9143000E-02   6.9105000E-02   7.0399000E-02   6.6729000E-02   7.0196000E-02   7.0196000E-02   6.6729000E-02   7.0196000E-02   6.9143000E-02   6.9143000E-02   6.9105000E-02   6.9143000E-02   7.0537000E-02   7.1223000E-02   6.9105000E-02   6.6729000E-02   7.0399000E-02  
3   6.9159000E-02   6.4376000E-02   6.9105000E-02   6.7307000E-02   6.7307000E-02   6.9159000E-02   6.7307000E-02   6.4376000E-02   6.4376000E-02   6.6129000E-02   6.4376000E-02   6.7916000E-02   6.6711000E-02   6.6129000E-02   6.4376000E-02   6.7197000E-02   6.7307000E-02   6.6711000E-02   6.4376000E-02   6.7307000E-02   6.7197000E-02   6.7197000E-02   6.9827000E-02   6.4376000E-02   6.4376000E-02   7.0243000E-02   6.6711000E-02   6.4376000E-02   6.7916000E-02   6.4376000E-02   6.4376000E-02   6.4376000E-02   6.4376000E-02   6.6129000E-02   6.4376000E-02   7.1352000E-02   7.1352000E-02   6.7470000E-02   6.7470000E-02   6.7197000E-02   6.4376000E-02   6.7197000E-02   6.4376000E-02   6.6129000E-02   6.9168000E-02   6.4376000E-02   6.4376000E-02   6.4376000E-02   7.0243000E-02   6.9105000E-02   6.4376000E-02   6.9168000E-02   6.6129000E-02   6.7307000E-02   6.9105000E-02   6.6129000E-02   6.9827000E-02   6.9168000E-02   6.9159000E-02   6.6129000E-02   6.7916000E-02   6.9159000E-02   6.6129000E-02   6.4376000E-02   6.7197000E-02   6.9827000E-02   6.6129000E-02   6.4376000E-02   6.9484000E-02   6.7307000E-02   6.7307000E-02   6.9484000E-02   6.9484000E-02   6.9484000E-02   6.6129000E-02   6.7197000E-02   6.6129000E-02   6.6711000E-02   6.4376000E-02   6.6129000E-02   6.6711000E-02   6.6711000E-02   6.9159000E-02   6.6129000E-02   6.4376000E-02   6.9168000E-02   6.7197000E-02   6.6711000E-02   6.6129000E-02   6.7197000E-02   6.7307000E-02   6.6711000E-02   6.4376000E-02   6.6711000E-02   6.6711000E-02   6.9159000E-02   6.6129000E-02   6.7197000E-02   6.7197000E-02   6.7307000E-02   6.4376000E-02   6.7307000E-02   6.6711000E-02   6.6711000E-02   6.9105000E-02   6.4376000E-02   6.9827000E-02   7.1223000E-02   6.6129000E-02   6.7197000E-02   6.6129000E-02   6.6129000E-02   6.9168000E-02   6.6711000E-02   6.4376000E-02   6.7197000E-02   6.6711000E-02   6.7470000E-02   6.6129000E-02   6.6129000E-02   6.4376000E-02   6.6129000E-02   6.7916000E-02   6.4376000E-02   6.7916000E-02   6.6711000E-02   6.7470000E-02  
4   6.7862000E-02   6.4376000E-02   6.8467000E-02   6.7307000E-02   6.6876000E-02   6.8741000E-02   6.6876000E-02   5.4757000E-02   6.4376000E-02   5.4757000E-02   6.4376000E-02   6.7916000E-02   6.6711000E-02   5.4757000E-02   6.4376000E-02   6.7197000E-02   6.7307000E-02   6.6711000E-02   6.4376000E-02   6.7307000E-02   6.7197000E-02   6.7197000E-02   6.8467000E-02   6.4376000E-02   6.4376000E-02   6.9059000E-02   6.6711000E-02   6.4376000E-02   6.7916000E-02   6.4376000E-02   6.4376000E-02   6.4376000E-02   6.4376000E-02   5.4757000E-02   6.4376000E-02   6.6876000E-02   7.0219000E-02   6.7470000E-02   6.7470000E-02   6.7197000E-02   6.4376000E-02   6.7197000E-02   6.4376000E-02   5.4757000E-02   6.7862000E-02   6.4376000E-02   6.4376000E-02   6.4376000E-02   6.9526000E-02   6.6876000E-02   6.4376000E-02   6.8486000E-02   5.4757000E-02   6.7307000E-02   6.9105000E-02   5.4757000E-02   6.9198000E-02   6.9168000E-02   6.6876000E-02   5.4757000E-02   6.6876000E-02   6.7862000E-02   5.4757000E-02   6.4376000E-02   6.7197000E-02   6.6876000E-02   5.4757000E-02   6.4376000E-02   6.6876000E-02   6.7307000E-02   6.7307000E-02   6.6876000E-02   6.9484000E-02   6.8467000E-02   5.4757000E-02   6.7197000E-02   5.4757000E-02   6.6711000E-02   6.4376000E-02   5.4757000E-02   6.6711000E-02   6.6711000E-02   6.9059000E-02   5.4757000E-02   5.4757000E-02   6.8741000E-02   6.7197000E-02   6.6711000E-02   5.4757000E-02   6.7197000E-02   6.7307000E-02   6.6711000E-02   5.4757000E-02   6.6711000E-02   6.6711000E-02   6.8741000E-02   5.4757000E-02   6.7197000E-02   6.7197000E-02   6.7307000E-02   5.4757000E-02   6.7307000E-02   6.6711000E-02   6.6711000E-02   6.9059000E-02   6.4376000E-02   6.8741000E-02   6.7862000E-02   5.4757000E-02   6.6876000E-02   5.4757000E-02   5.4757000E-02   6.6876000E-02   6.6711000E-02   6.4376000E-02   6.7197000E-02   6.6711000E-02   6.7470000E-02   5.4757000E-02   5.4757000E-02   6.4376000E-02   5.4757000E-02   6.7916000E-02   6.4376000E-02   6.7916000E-02   6.6711000E-02   6.7470000E-02  
5   6.1867000E-02   6.2306000E-02   6.8049000E-02   6.2306000E-02   6.1867000E-02   6.3060000E-02   6.2306000E-02   5.4757000E-02   6.3060000E-02   5.4757000E-02   6.2306000E-02   6.4837000E-02   6.3060000E-02   5.4757000E-02   6.4376000E-02   6.1867000E-02   6.2306000E-02   6.6438000E-02   6.4376000E-02   6.4861000E-02   6.7123000E-02   6.5537000E-02   6.2306000E-02   6.4376000E-02   6.1867000E-02   6.2306000E-02   6.5676000E-02   6.4376000E-02   6.4767000E-02   6.3814000E-02   6.4376000E-02   6.1867000E-02   6.4376000E-02   5.4757000E-02   6.1867000E-02   6.3814000E-02   6.4767000E-02   6.1867000E-02   6.4837000E-02   6.2306000E-02   6.1867000E-02   6.3060000E-02   6.4376000E-02   5.4757000E-02   6.1867000E-02   6.4376000E-02   6.3814000E-02   6.4376000E-02   6.4767000E-02   6.2306000E-02   6.4376000E-02   6.2306000E-02   5.4757000E-02   6.4767000E-02   6.9105000E-02   5.4757000E-02   6.3060000E-02   6.3060000E-02   6.3814000E-02   5.4757000E-02   6.1867000E-02   6.1867000E-02   5.4757000E-02   6.4376000E-02   6.5537000E-02   6.2306000E-02   5.4757000E-02   6.3814000E-02   6.3814000E-02   6.3060000E-02   6.4861000E-02   6.3814000E-02   6.9031000E-02   6.3060000E-02   5.4757000E-02   6.3060000E-02   5.4757000E-02   6.3060000E-02   6.4376000E-02   5.4757000E-02   6.3060000E-02   6.2306000E-02   6.4767000E-02   5.4757000E-02   5.4757000E-02   6.2306000E-02   6.4767000E-02   6.2306000E-02   5.4757000E-02   6.3060000E-02   6.3060000E-02   6.2306000E-02   5.4757000E-02   6.1867000E-02   6.2306000E-02   6.4767000E-02   5.4757000E-02   6.4767000E-02   6.5537000E-02   6.1867000E-02   5.4757000E-02   6.3060000E-02   6.1867000E-02   6.4861000E-02   6.2306000E-02   6.1867000E-02   6.2306000E-02   6.1867000E-02   5.4757000E-02   6.3814000E-02   5.4757000E-02   5.4757000E-02   6.3814000E-02   6.1867000E-02   6.3060000E-02   6.5537000E-02   6.3814000E-02   6.4837000E-02   5.4757000E-02   5.4757000E-02   6.4376000E-02   5.4757000E-02   6.4767000E-02   6.3060000E-02   6.5676000E-02   6.3060000E-02   6.1867000E-02  
6   5.3798000E-02   6.2306000E-02   6.3814000E-02   5.4757000E-02   5.4757000E-02   5.3798000E-02   6.2306000E-02   5.3798000E-02   6.3060000E-02   5.4757000E-02   6.2306000E-02   6.3814000E-02   6.3060000E-02   5.4757000E-02   6.4376000E-02   6.1867000E-02   5.3798000E-02   6.4189000E-02   5.3798000E-02   5.3798000E-02   6.3814000E-02   6.2573000E-02   6.2306000E-02   6.4376000E-02   6.1867000E-02   5.7256000E-02   6.5676000E-02   5.4757000E-02   5.3798000E-02   6.3060000E-02   6.4217000E-02   5.7256000E-02   6.2573000E-02   5.4757000E-02   5.4757000E-02   6.3814000E-02   6.4217000E-02   5.4757000E-02   6.3814000E-02   5.4757000E-02   6.1867000E-02   5.3798000E-02   6.4376000E-02   5.4757000E-02   5.4757000E-02   5.3798000E-02   5.3798000E-02   6.4217000E-02   5.3798000E-02   5.9561000E-02   6.3060000E-02   5.4757000E-02   5.4757000E-02   6.3814000E-02   6.4217000E-02   5.4757000E-02   5.9561000E-02   6.3060000E-02   5.3798000E-02   5.3798000E-02   6.1867000E-02   5.4757000E-02   5.3798000E-02   5.3798000E-02   5.3798000E-02   5.3798000E-02   5.3798000E-02   5.7256000E-02   6.3814000E-02   5.3798000E-02   5.7256000E-02   5.3798000E-02   6.2573000E-02   5.4757000E-02   5.4757000E-02   6.3060000E-02   5.4757000E-02   5.3798000E-02   6.2573000E-02   5.4757000E-02   6.3060000E-02   6.2306000E-02   6.4189000E-02   5.4757000E-02   5.4757000E-02   5.4757000E-02   6.4376000E-02   5.3798000E-02   5.3798000E-02   5.4757000E-02   6.2573000E-02   5.7256000E-02   5.4757000E-02   6.1867000E-02   6.2306000E-02   5.3798000E-02   5.4757000E-02   5.3798000E-02   6.5537000E-02   5.4757000E-02   5.3798000E-02   5.9561000E-02   5.7256000E-02   5.9561000E-02   5.3798000E-02   6.1867000E-02   6.2306000E-02   6.1867000E-02   5.4757000E-02   5.9561000E-02   5.4757000E-02   5.4757000E-02   5.3798000E-02   6.1867000E-02   6.2573000E-02   5.9561000E-02   6.3814000E-02   6.4217000E-02   5.4757000E-02   5.4757000E-02   5.4757000E-02   5.4757000E-02   5.7256000E-02   6.2573000E-02   5.4757000E-02   6.2743000E-02   5.7256000E-02  
7   5.3798000E-02   5.6901000E-02   6.1333000E-02   5.4757000E-02   5.4757000E-02   5.3798000E-02   6.1645000E-02   5.3798000E-02   6.1167000E-02   5.4757000E-02   5.9756000E-02   6.3814000E-02   5.9756000E-02   5.4757000E-02   5.9756000E-02   5.9756000E-02   5.3798000E-02   5.6901000E-02   5.3798000E-02   5.3798000E-02   6.3378000E-02   5.9756000E-02   6.2306000E-02   6.3406000E-02   6.1867000E-02   5.7256000E-02   5.9756000E-02   5.4757000E-02   5.3798000E-02   6.3060000E-02   6.1645000E-02   5.7256000E-02   6.2127000E-02   5.4757000E-02   5.4757000E-02   5.9756000E-02   5.9756000E-02   5.4757000E-02   6.3814000E-02   5.4757000E-02   5.9756000E-02   5.3798000E-02   5.6901000E-02   5.4757000E-02   5.4757000E-02   5.3798000E-02   5.3798000E-02   6.4155000E-02   5.3798000E-02   5.7304000E-02   5.6901000E-02   5.4757000E-02   5.4757000E-02   5.9756000E-02   6.4217000E-02   5.4757000E-02   5.7304000E-02   5.9756000E-02   5.3798000E-02   5.3798000E-02   6.1333000E-02   5.4757000E-02   5.3798000E-02   5.3798000E-02   5.3798000E-02   5.3798000E-02   5.3798000E-02   5.7256000E-02   6.3814000E-02   5.3798000E-02   5.7256000E-02   5.3798000E-02   6.1645000E-02   5.4757000E-02   5.4757000E-02   6.3060000E-02   5.4757000E-02   5.3798000E-02   6.2127000E-02   5.4757000E-02   6.1645000E-02   6.1645000E-02   5.9756000E-02   5.4757000E-02   5.4757000E-02   5.4757000E-02   6.1167000E-02   5.3798000E-02   5.3798000E-02   5.4757000E-02   6.1167000E-02   5.7256000E-02   5.4757000E-02   6.1167000E-02   5.6901000E-02   5.3798000E-02   5.4757000E-02   5.3798000E-02   6.4448000E-02   5.4757000E-02   5.3798000E-02   5.6901000E-02   5.7256000E-02   5.7304000E-02   5.3798000E-02   6.1867000E-02   5.6901000E-02   5.9756000E-02   5.4757000E-02   5.6901000E-02   5.4757000E-02   5.4757000E-02   5.3798000E-02   6.1333000E-02   6.1645000E-02   5.7304000E-02   6.3406000E-02   5.9756000E-02   5.4757000E-02   5.4757000E-02   5.4757000E-02   5.4757000E-02   5.7256000E-02   6.2127000E-02   5.4757000E-02   6.1333000E-02   5.6901000E-02  
8   5.3798000E-02   5.6370000E-02   5.6126000E-02   5.4757000E-02   5.4757000E-02   5.3798000E-02   5.5526000E-02   5.3798000E-02   6.0047000E-02   5.4757000E-02   5.4665000E-02   5.8297000E-02   5.5526000E-02   5.4665000E-02   5.6126000E-02   5.3798000E-02   5.3798000E-02   5.6049000E-02   5.3798000E-02   5.3798000E-02   5.6933000E-02   5.9756000E-02   5.5526000E-02   5.3798000E-02   5.6049000E-02   5.6049000E-02   5.4665000E-02   5.4757000E-02   5.3798000E-02   5.4665000E-02   5.4757000E-02   5.7256000E-02   6.0384000E-02   5.4757000E-02   5.4757000E-02   5.6049000E-02   5.8079000E-02   5.4665000E-02   5.4665000E-02   5.4757000E-02   5.4757000E-02   5.3798000E-02   5.3798000E-02   5.4665000E-02   5.4757000E-02   5.3798000E-02   5.3798000E-02   5.4665000E-02   5.3798000E-02   5.6901000E-02   5.6525000E-02   5.4665000E-02   5.4665000E-02   5.3798000E-02   5.6370000E-02   5.4757000E-02   5.5526000E-02   5.6126000E-02   5.3798000E-02   5.3798000E-02   5.6370000E-02   5.4757000E-02   5.3798000E-02   5.3798000E-02   5.3798000E-02   5.3798000E-02   5.3798000E-02   5.4665000E-02   5.7256000E-02   5.3798000E-02   5.4665000E-02   5.3798000E-02   5.6525000E-02   5.4757000E-02   5.4757000E-02   5.5526000E-02   5.4757000E-02   5.3798000E-02   5.6126000E-02   5.4757000E-02   5.5526000E-02   5.6049000E-02   5.6901000E-02   5.4665000E-02   5.4757000E-02   5.4757000E-02   5.6901000E-02   5.3798000E-02   5.3798000E-02   5.4757000E-02   6.1167000E-02   5.3798000E-02   5.4757000E-02   5.8079000E-02   5.3798000E-02   5.3798000E-02   5.3798000E-02   5.3798000E-02   5.3798000E-02   5.4757000E-02   5.3798000E-02   5.6370000E-02   5.4665000E-02   5.3798000E-02   5.3798000E-02   5.6525000E-02   5.6156000E-02   5.6525000E-02   5.4757000E-02   5.6049000E-02   5.3798000E-02   5.4757000E-02   5.3798000E-02   5.6370000E-02   5.4665000E-02   5.5526000E-02   5.6049000E-02   5.6126000E-02   5.4757000E-02   5.4665000E-02   5.4757000E-02   5.4757000E-02   5.6525000E-02   5.4665000E-02   5.3798000E-02   5.3798000E-02   5.6525000E-02  
9   5.3798000E-02   5.6370000E-02   5.3798000E-02   5.4757000E-02   5.4345000E-02   5.3798000E-02   5.5348000E-02   5.3249000E-02   5.2881000E-02   5.4757000E-02   5.4345000E-02   5.3436000E-02   5.3798000E-02   5.3798000E-02   5.3249000E-02   5.3436000E-02   5.3798000E-02   5.3798000E-02   5.3798000E-02   5.2881000E-02   5.5348000E-02   5.4021000E-02   5.2881000E-02   5.2881000E-02   5.2881000E-02   5.2881000E-02   5.4021000E-02   5.2881000E-02   5.3798000E-02   5.3436000E-02   5.3798000E-02   5.3436000E-02   5.6156000E-02   5.3798000E-02   5.4021000E-02   5.4665000E-02   5.6370000E-02   5.4021000E-02   5.3436000E-02   5.3249000E-02   5.3436000E-02   5.2881000E-02   5.3798000E-02   5.4021000E-02   5.4757000E-02   5.3798000E-02   5.2881000E-02   5.4665000E-02   5.3798000E-02   5.3436000E-02   5.3249000E-02   5.3436000E-02   5.3436000E-02   5.3249000E-02   5.3436000E-02   5.3436000E-02   5.4665000E-02   5.4757000E-02   5.3798000E-02   5.3798000E-02   5.3249000E-02   5.3436000E-02   5.3249000E-02   5.2881000E-02   5.3798000E-02   5.3798000E-02   5.3249000E-02   5.3798000E-02   5.4345000E-02   5.3798000E-02   5.3249000E-02   5.3798000E-02   5.6156000E-02   5.3436000E-02   5.2881000E-02   5.4021000E-02   5.4345000E-02   5.3798000E-02   5.6126000E-02   5.4757000E-02   5.3249000E-02   5.2881000E-02   5.4021000E-02   5.3249000E-02   5.4757000E-02   5.3436000E-02   5.4021000E-02   5.3798000E-02   5.3798000E-02   5.2881000E-02   5.6370000E-02   5.3798000E-02   5.3249000E-02   5.4021000E-02   5.3249000E-02   5.3436000E-02   5.2881000E-02   5.3798000E-02   5.3798000E-02   5.3798000E-02   5.3798000E-02   5.3249000E-02   5.3249000E-02   5.3436000E-02   5.3249000E-02   5.3798000E-02   5.3436000E-02   5.3436000E-02   5.4757000E-02   5.2881000E-02   5.3798000E-02   5.3249000E-02   5.3798000E-02   5.6370000E-02   5.4021000E-02   5.2881000E-02   5.4021000E-02   5.3249000E-02   5.3249000E-02   5.4021000E-02   5.3249000E-02   5.4345000E-02   5.2881000E-02   5.4665000E-02   5.3798000E-02   5.3798000E-02   5.3249000E-02  
10   5.3798000E-02   5.5710000E-02   5.3798000E-02   5.3620000E-02   5.4327000E-02   5.3620000E-02   5.4178000E-02   5.3249000E-02   5.2881000E-02   5.4757000E-02   5.4327000E-02   5.3436000E-02   5.3798000E-02   5.3798000E-02   5.3249000E-02   5.3436000E-02   5.3798000E-02   5.3798000E-02   5.3798000E-02   5.2881000E-02   5.3620000E-02   5.4021000E-02   5.2881000E-02   5.2881000E-02   5.2881000E-02   5.2881000E-02   5.4021000E-02   5.2881000E-02   5.3798000E-02   5.3436000E-02   5.3620000E-02   5.3436000E-02   5.3620000E-02   5.3798000E-02   5.4021000E-02   5.4327000E-02   5.3620000E-02   5.4021000E-02   5.3436000E-02   5.3249000E-02   5.3436000E-02   5.2881000E-02   5.3798000E-02   5.3620000E-02   5.4757000E-02   5.3798000E-02   5.2881000E-02   5.4178000E-02   5.3798000E-02   5.3436000E-02   5.3249000E-02   5.3436000E-02   5.3436000E-02   5.3249000E-02   5.3436000E-02   5.3436000E-02   5.3620000E-02   5.4757000E-02   5.3798000E-02   5.3620000E-02   5.3249000E-02   5.3436000E-02   5.3249000E-02   5.2881000E-02   5.3798000E-02   5.3798000E-02   5.3249000E-02   5.3798000E-02   5.4345000E-02   5.3620000E-02   5.3249000E-02   5.3798000E-02   5.6156000E-02   5.3436000E-02   5.2881000E-02   5.4021000E-02   5.4345000E-02   5.3620000E-02   5.6126000E-02   5.4178000E-02   5.3249000E-02   5.2881000E-02   5.4021000E-02   5.3249000E-02   5.4757000E-02   5.3436000E-02   5.4021000E-02   5.3798000E-02   5.3798000E-02   5.2881000E-02   5.4668000E-02   5.3798000E-02   5.3249000E-02   5.4021000E-02   5.3249000E-02   5.3436000E-02   5.2881000E-02   5.3798000E-02   5.3620000E-02   5.3798000E-02   5.3798000E-02   5.3249000E-02   5.3249000E-02   5.3436000E-02   5.3249000E-02   5.3620000E-02   5.3436000E-02   5.3436000E-02   5.3620000E-02   5.2881000E-02   5.3798000E-02   5.3249000E-02   5.3798000E-02   5.4327000E-02   5.4021000E-02   5.2881000E-02   5.3620000E-02   5.3249000E-02   5.3249000E-02   5.4021000E-02   5.3249000E-02   5.4345000E-02   5.2881000E-02   5.4665000E-02   5.3798000E-02   5.3620000E-02   5.3249000E-02  
