Iter  Part  GoF  Model_Output  
1  1   1.5907500E-01   1.5907500E-01  
1  2   1.3551100E-01   1.3551100E-01  
1  3   1.1740500E-01   1.1740500E-01  
1  4   1.2630000E-01   1.2630000E-01  
1  5   8.9122000E-02   8.9122000E-02  
1  6   8.5257000E-02   8.5257000E-02  
1  7   1.6385100E-01   1.6385100E-01  
1  8   1.1218100E-01   1.1218100E-01  
1  9   1.2677600E-01   1.2677600E-01  
1  10   8.6082000E-02   8.6082000E-02  
1  11   1.2573400E-01   1.2573400E-01  
1  12   2.5293400E-01   2.5293400E-01  
1  13   8.9104000E-02   8.9104000E-02  
1  14   7.7977000E-02   7.7977000E-02  
1  15   1.2065700E-01   1.2065700E-01  
1  16   6.9105000E-02   6.9105000E-02  
1  17   9.0591000E-02   9.0591000E-02  
1  18   1.0106400E-01   1.0106400E-01  
1  19   7.0537000E-02   7.0537000E-02  
1  20   1.5449100E-01   1.5449100E-01  
1  21   1.3029900E-01   1.3029900E-01  
1  22   1.6498500E-01   1.6498500E-01  
1  23   2.4238600E-01   2.4238600E-01  
1  24   1.5835200E-01   1.5835200E-01  
1  25   9.3549000E-02   9.3549000E-02  
1  26   1.0852500E-01   1.0852500E-01  
1  27   9.4563000E-02   9.4563000E-02  
1  28   7.4690000E-02   7.4690000E-02  
1  29   1.7129500E-01   1.7129500E-01  
1  30   2.5296900E-01   2.5296900E-01  
1  31   9.9253000E-02   9.9253000E-02  
1  32   1.3208000E-01   1.3208000E-01  
1  33   7.7193000E-02   7.7193000E-02  
1  34   1.0205100E-01   1.0205100E-01  
1  35   1.7868700E-01   1.7868700E-01  
1  36   7.9281000E-02   7.9281000E-02  
1  37   9.3646000E-02   9.3646000E-02  
1  38   1.1006200E-01   1.1006200E-01  
1  39   8.2337000E-02   8.2337000E-02  
1  40   1.2388200E-01   1.2388200E-01  
1  41   1.0302200E-01   1.0302200E-01  
1  42   8.2357000E-02   8.2357000E-02  
1  43   8.2647000E-02   8.2647000E-02  
1  44   8.0422000E-02   8.0422000E-02  
1  45   9.7257000E-02   9.7257000E-02  
1  46   9.2012000E-02   9.2012000E-02  
1  47   1.6220000E-01   1.6220000E-01  
1  48   1.4106700E-01   1.4106700E-01  
1  49   1.0727300E-01   1.0727300E-01  
1  50   1.0683000E-01   1.0683000E-01  
1  51   2.7829300E-01   2.7829300E-01  
1  52   1.9109600E-01   1.9109600E-01  
1  53   7.5740000E-02   7.5740000E-02  
1  54   1.6416300E-01   1.6416300E-01  
1  55   1.3540100E-01   1.3540100E-01  
1  56   1.1996500E-01   1.1996500E-01  
1  57   1.5130100E-01   1.5130100E-01  
1  58   1.2176300E-01   1.2176300E-01  
1  59   8.7651000E-02   8.7651000E-02  
1  60   1.4400300E-01   1.4400300E-01  
1  61   1.3822800E-01   1.3822800E-01  
1  62   8.8477000E-02   8.8477000E-02  
1  63   1.3391500E-01   1.3391500E-01  
1  64   1.9290600E-01   1.9290600E-01  
1  65   8.3872000E-02   8.3872000E-02  
1  66   1.4145700E-01   1.4145700E-01  
1  67   1.1883100E-01   1.1883100E-01  
1  68   8.0290000E-02   8.0290000E-02  
1  69   1.1197000E-01   1.1197000E-01  
1  70   9.1719000E-02   9.1719000E-02  
1  71   1.4186000E-01   1.4186000E-01  
1  72   8.3551000E-02   8.3551000E-02  
1  73   1.3192200E-01   1.3192200E-01  
1  74   1.0133900E-01   1.0133900E-01  
1  75   1.2357000E-01   1.2357000E-01  
1  76   9.3241000E-02   9.3241000E-02  
1  77   8.6324000E-02   8.6324000E-02  
1  78   9.0790000E-02   9.0790000E-02  
1  79   1.1215000E-01   1.1215000E-01  
1  80   7.4190000E-02   7.4190000E-02  
1  81   8.4668000E-02   8.4668000E-02  
1  82   1.3720500E-01   1.3720500E-01  
1  83   1.1130200E-01   1.1130200E-01  
1  84   7.1352000E-02   7.1352000E-02  
1  85   8.1683000E-02   8.1683000E-02  
1  86   1.1358400E-01   1.1358400E-01  
1  87   1.4017900E-01   1.4017900E-01  
1  88   1.2951400E-01   1.2951400E-01  
1  89   7.7568000E-02   7.7568000E-02  
1  90   8.0431000E-02   8.0431000E-02  
1  91   9.3454000E-02   9.3454000E-02  
1  92   2.2102800E-01   2.2102800E-01  
1  93   2.4957300E-01   2.4957300E-01  
1  94   8.6203000E-02   8.6203000E-02  
1  95   8.2478000E-02   8.2478000E-02  
1  96   9.5070000E-02   9.5070000E-02  
1  97   8.2166000E-02   8.2166000E-02  
1  98   1.1671600E-01   1.1671600E-01  
1  99   8.4367000E-02   8.4367000E-02  
1  100   1.1585100E-01   1.1585100E-01  
1  101   7.8124000E-02   7.8124000E-02  
1  102   8.2704000E-02   8.2704000E-02  
1  103   9.7741000E-02   9.7741000E-02  
1  104   1.0648200E-01   1.0648200E-01  
1  105   9.0338000E-02   9.0338000E-02  
1  106   1.3926200E-01   1.3926200E-01  
1  107   1.8494900E-01   1.8494900E-01  
1  108   1.5565700E-01   1.5565700E-01  
1  109   8.0199000E-02   8.0199000E-02  
1  110   2.4929400E-01   2.4929400E-01  
1  111   9.6716000E-02   9.6716000E-02  
1  112   1.6515200E-01   1.6515200E-01  
1  113   9.3975000E-02   9.3975000E-02  
1  114   9.8163000E-02   9.8163000E-02  
1  115   8.1633000E-02   8.1633000E-02  
1  116   8.8557000E-02   8.8557000E-02  
1  117   2.1835400E-01   2.1835400E-01  
1  118   1.7150100E-01   1.7150100E-01  
1  119   9.5990000E-02   9.5990000E-02  
1  120   9.2379000E-02   9.2379000E-02  
1  121   9.0367000E-02   9.0367000E-02  
1  122   1.1968800E-01   1.1968800E-01  
1  123   2.2569300E-01   2.2569300E-01  
1  124   2.4478000E-01   2.4478000E-01  
1  125   2.2069500E-01   2.2069500E-01  
1  126   1.6243200E-01   1.6243200E-01  
1  127   9.3311000E-02   9.3311000E-02  
2  1   1.7555800E-01   1.7555800E-01  
2  2   9.6640000E-02   9.6640000E-02  
2  3   8.5874000E-02   8.5874000E-02  
2  4   8.4404000E-02   8.4404000E-02  
2  5   9.2178000E-02   9.2178000E-02  
2  6   1.2268100E-01   1.2268100E-01  
2  7   7.1223000E-02   7.1223000E-02  
2  8   8.7779000E-02   8.7779000E-02  
2  9   7.9476000E-02   7.9476000E-02  
2  10   6.9143000E-02   6.9143000E-02  
2  11   8.5045000E-02   8.5045000E-02  
2  12   9.2658000E-02   9.2658000E-02  
2  13   8.3050000E-02   8.3050000E-02  
2  14   7.6849000E-02   7.6849000E-02  
2  15   1.1759800E-01   1.1759800E-01  
2  16   1.1748800E-01   1.1748800E-01  
2  17   9.2817000E-02   9.2817000E-02  
2  18   6.6729000E-02   6.6729000E-02  
2  19   9.6044000E-02   9.6044000E-02  
2  20   1.6328300E-01   1.6328300E-01  
2  21   1.1187000E-01   1.1187000E-01  
2  22   1.4076100E-01   1.4076100E-01  
2  23   1.7753200E-01   1.7753200E-01  
2  24   7.9041000E-02   7.9041000E-02  
2  25   8.5474000E-02   8.5474000E-02  
2  26   8.4402000E-02   8.4402000E-02  
2  27   1.1766300E-01   1.1766300E-01  
2  28   1.2654900E-01   1.2654900E-01  
2  29   1.2481900E-01   1.2481900E-01  
2  30   1.0123000E-01   1.0123000E-01  
2  31   1.0471000E-01   1.0471000E-01  
2  32   8.8482000E-02   8.8482000E-02  
2  33   8.7953000E-02   8.7953000E-02  
2  34   1.2144300E-01   1.2144300E-01  
2  35   7.4867000E-02   7.4867000E-02  
2  36   1.1474200E-01   1.1474200E-01  
2  37   1.3517500E-01   1.3517500E-01  
2  38   7.8517000E-02   7.8517000E-02  
2  39   1.3662100E-01   1.3662100E-01  
2  40   9.4580000E-02   9.4580000E-02  
2  41   1.3084700E-01   1.3084700E-01  
2  42   8.1189000E-02   8.1189000E-02  
2  43   8.1752000E-02   8.1752000E-02  
2  44   9.4446000E-02   9.4446000E-02  
2  45   1.0584500E-01   1.0584500E-01  
2  46   1.3021400E-01   1.3021400E-01  
2  47   1.0478100E-01   1.0478100E-01  
2  48   1.2420100E-01   1.2420100E-01  
2  49   1.0883700E-01   1.0883700E-01  
2  50   1.0109800E-01   1.0109800E-01  
2  51   8.4282000E-02   8.4282000E-02  
2  52   1.1228700E-01   1.1228700E-01  
2  53   1.2145500E-01   1.2145500E-01  
2  54   1.1346700E-01   1.1346700E-01  
2  55   1.2811900E-01   1.2811900E-01  
2  56   9.9711000E-02   9.9711000E-02  
2  57   1.6692900E-01   1.6692900E-01  
2  58   7.7196000E-02   7.7196000E-02  
2  59   8.8423000E-02   8.8423000E-02  
2  60   8.3134000E-02   8.3134000E-02  
2  61   1.3482800E-01   1.3482800E-01  
2  62   7.4862000E-02   7.4862000E-02  
2  63   8.8249000E-02   8.8249000E-02  
2  64   9.2279000E-02   9.2279000E-02  
2  65   1.4798700E-01   1.4798700E-01  
2  66   1.2293100E-01   1.2293100E-01  
2  67   8.1992000E-02   8.1992000E-02  
2  68   1.2667000E-01   1.2667000E-01  
2  69   8.4514000E-02   8.4514000E-02  
2  70   8.2469000E-02   8.2469000E-02  
2  71   9.8174000E-02   9.8174000E-02  
2  72   8.8882000E-02   8.8882000E-02  
2  73   8.8413000E-02   8.8413000E-02  
2  74   8.4424000E-02   8.4424000E-02  
2  75   1.2810000E-01   1.2810000E-01  
2  76   1.3364600E-01   1.3364600E-01  
2  77   8.6685000E-02   8.6685000E-02  
2  78   1.4303900E-01   1.4303900E-01  
2  79   9.5574000E-02   9.5574000E-02  
2  80   9.7316000E-02   9.7316000E-02  
2  81   7.1557000E-02   7.1557000E-02  
2  82   8.3423000E-02   8.3423000E-02  
2  83   7.6988000E-02   7.6988000E-02  
2  84   7.9272000E-02   7.9272000E-02  
2  85   1.3046300E-01   1.3046300E-01  
2  86   1.4827200E-01   1.4827200E-01  
2  87   9.9683000E-02   9.9683000E-02  
2  88   7.0196000E-02   7.0196000E-02  
2  89   7.0399000E-02   7.0399000E-02  
2  90   1.2903200E-01   1.2903200E-01  
2  91   1.4153300E-01   1.4153300E-01  
2  92   7.8040000E-02   7.8040000E-02  
2  93   1.7968400E-01   1.7968400E-01  
2  94   7.4676000E-02   7.4676000E-02  
2  95   7.9131000E-02   7.9131000E-02  
2  96   1.0908000E-01   1.0908000E-01  
2  97   7.8838000E-02   7.8838000E-02  
2  98   1.3435600E-01   1.3435600E-01  
2  99   9.2252000E-02   9.2252000E-02  
2  100   7.9894000E-02   7.9894000E-02  
2  101   7.2144000E-02   7.2144000E-02  
2  102   7.1081000E-02   7.1081000E-02  
2  103   8.9249000E-02   8.9249000E-02  
2  104   8.2029000E-02   8.2029000E-02  
2  105   9.6337000E-02   9.6337000E-02  
2  106   1.6311800E-01   1.6311800E-01  
2  107   1.2323800E-01   1.2323800E-01  
2  108   9.2155000E-02   9.2155000E-02  
2  109   2.0971900E-01   2.0971900E-01  
2  110   1.3813000E-01   1.3813000E-01  
2  111   7.6523000E-02   7.6523000E-02  
2  112   1.0440900E-01   1.0440900E-01  
2  113   1.0130700E-01   1.0130700E-01  
2  114   7.1876000E-02   7.1876000E-02  
2  115   1.1688000E-01   1.1688000E-01  
2  116   8.3814000E-02   8.3814000E-02  
2  117   8.1873000E-02   8.1873000E-02  
2  118   8.8662000E-02   8.8662000E-02  
2  119   1.5991600E-01   1.5991600E-01  
2  120   1.5987900E-01   1.5987900E-01  
2  121   9.4668000E-02   9.4668000E-02  
2  122   8.5727000E-02   8.5727000E-02  
2  123   7.1749000E-02   7.1749000E-02  
2  124   1.0566700E-01   1.0566700E-01  
2  125   8.0828000E-02   8.0828000E-02  
2  126   1.0831700E-01   1.0831700E-01  
2  127   1.5659700E-01   1.5659700E-01  
3  1   8.4367000E-02   8.4367000E-02  
3  2   6.7197000E-02   6.7197000E-02  
3  3   8.7113000E-02   8.7113000E-02  
3  4   1.0810200E-01   1.0810200E-01  
3  5   7.5940000E-02   7.5940000E-02  
3  6   1.7658900E-01   1.7658900E-01  
3  7   7.4102000E-02   7.4102000E-02  
3  8   7.5276000E-02   7.5276000E-02  
3  9   7.9359000E-02   7.9359000E-02  
3  10   6.6129000E-02   6.6129000E-02  
3  11   9.1731000E-02   9.1731000E-02  
3  12   1.8855500E-01   1.8855500E-01  
3  13   9.1186000E-02   9.1186000E-02  
3  14   7.3598000E-02   7.3598000E-02  
3  15   1.8490500E-01   1.8490500E-01  
3  16   1.4793600E-01   1.4793600E-01  
3  17   1.0249800E-01   1.0249800E-01  
3  18   6.6711000E-02   6.6711000E-02  
3  19   1.3713800E-01   1.3713800E-01  
3  20   1.1725100E-01   1.1725100E-01  
3  21   7.4761000E-02   7.4761000E-02  
3  22   1.1149400E-01   1.1149400E-01  
3  23   1.0430600E-01   1.0430600E-01  
3  24   7.4585000E-02   7.4585000E-02  
3  25   1.6052400E-01   1.6052400E-01  
3  26   1.1460400E-01   1.1460400E-01  
3  27   1.4600900E-01   1.4600900E-01  
3  28   1.5216400E-01   1.5216400E-01  
3  29   8.5197000E-02   8.5197000E-02  
3  30   6.4376000E-02   6.4376000E-02  
3  31   1.2898200E-01   1.2898200E-01  
3  32   1.2406100E-01   1.2406100E-01  
3  33   1.1292500E-01   1.1292500E-01  
3  34   1.2354700E-01   1.2354700E-01  
3  35   8.9234000E-02   8.9234000E-02  
3  36   1.1407600E-01   1.1407600E-01  
3  37   1.4697200E-01   1.4697200E-01  
3  38   7.3044000E-02   7.3044000E-02  
3  39   2.6940900E-01   2.6940900E-01  
3  40   1.5000100E-01   1.5000100E-01  
3  41   1.4731500E-01   1.4731500E-01  
3  42   9.4534000E-02   9.4534000E-02  
3  43   9.2163000E-02   9.2163000E-02  
3  44   7.3220000E-02   7.3220000E-02  
3  45   1.0178200E-01   1.0178200E-01  
3  46   1.4150400E-01   1.4150400E-01  
3  47   9.7108000E-02   9.7108000E-02  
3  48   2.0442600E-01   2.0442600E-01  
3  49   1.1616400E-01   1.1616400E-01  
3  50   1.1667500E-01   1.1667500E-01  
3  51   6.9159000E-02   6.9159000E-02  
3  52   8.6038000E-02   8.6038000E-02  
3  53   1.2495300E-01   1.2495300E-01  
3  54   8.3221000E-02   8.3221000E-02  
3  55   1.1159700E-01   1.1159700E-01  
3  56   8.0420000E-02   8.0420000E-02  
3  57   1.0938400E-01   1.0938400E-01  
3  58   7.1638000E-02   7.1638000E-02  
3  59   1.0978400E-01   1.0978400E-01  
3  60   1.1445600E-01   1.1445600E-01  
3  61   1.5150900E-01   1.5150900E-01  
3  62   1.1067200E-01   1.1067200E-01  
3  63   8.1431000E-02   8.1431000E-02  
3  64   8.1262000E-02   8.1262000E-02  
3  65   1.8872400E-01   1.8872400E-01  
3  66   1.7449800E-01   1.7449800E-01  
3  67   1.0343200E-01   1.0343200E-01  
3  68   8.6483000E-02   8.6483000E-02  
3  69   1.0435000E-01   1.0435000E-01  
3  70   8.3186000E-02   8.3186000E-02  
3  71   1.0344600E-01   1.0344600E-01  
3  72   8.0842000E-02   8.0842000E-02  
3  73   7.0107000E-02   7.0107000E-02  
3  74   1.5569200E-01   1.5569200E-01  
3  75   9.2711000E-02   9.2711000E-02  
3  76   1.0535500E-01   1.0535500E-01  
3  77   8.1596000E-02   8.1596000E-02  
3  78   1.8967400E-01   1.8967400E-01  
3  79   1.4481400E-01   1.4481400E-01  
3  80   9.5091000E-02   9.5091000E-02  
3  81   6.7916000E-02   6.7916000E-02  
3  82   9.5700000E-02   9.5700000E-02  
3  83   7.6886000E-02   7.6886000E-02  
3  84  NA  NA  
3  85   1.1064100E-01   1.1064100E-01  
3  86   1.6573800E-01   1.6573800E-01  
3  87   9.2759000E-02   9.2759000E-02  
3  88   8.3810000E-02   8.3810000E-02  
3  89   6.9168000E-02   6.9168000E-02  
3  90   1.9381700E-01   1.9381700E-01  
3  91   1.4595900E-01   1.4595900E-01  
3  92   7.1602000E-02   7.1602000E-02  
3  93   1.1928300E-01   1.1928300E-01  
3  94   9.8893000E-02   9.8893000E-02  
3  95  NA  NA  
3  96   1.1109200E-01   1.1109200E-01  
3  97   8.3415000E-02   8.3415000E-02  
3  98   1.4051500E-01   1.4051500E-01  
3  99   1.1163300E-01   1.1163300E-01  
3  100   1.1152900E-01   1.1152900E-01  
3  101   6.7470000E-02   6.7470000E-02  
3  102   7.3559000E-02   7.3559000E-02  
3  103   7.0243000E-02   7.0243000E-02  
3  104   6.7307000E-02   6.7307000E-02  
3  105   6.9827000E-02   6.9827000E-02  
3  106   1.7276200E-01   1.7276200E-01  
3  107   1.2064500E-01   1.2064500E-01  
3  108   9.3938000E-02   9.3938000E-02  
3  109   2.2466100E-01   2.2466100E-01  
3  110   1.5718200E-01   1.5718200E-01  
3  111   7.3062000E-02   7.3062000E-02  
3  112   7.5328000E-02   7.5328000E-02  
3  113   9.6919000E-02   9.6919000E-02  
3  114   6.9484000E-02   6.9484000E-02  
3  115   1.1720300E-01   1.1720300E-01  
3  116   1.0398400E-01   1.0398400E-01  
3  117   7.2868000E-02   7.2868000E-02  
3  118   7.9018000E-02   7.9018000E-02  
3  119   1.6693000E-01   1.6693000E-01  
3  120   1.3772700E-01   1.3772700E-01  
3  121   9.1612000E-02   9.1612000E-02  
3  122  NA  NA  
3  123   1.1060900E-01   1.1060900E-01  
3  124   1.5300200E-01   1.5300200E-01  
3  125   9.4115000E-02   9.4115000E-02  
3  126   1.5177900E-01   1.5177900E-01  
3  127   1.8610100E-01   1.8610100E-01  
4  1   1.1588300E-01   1.1588300E-01  
4  2   1.0314000E-01   1.0314000E-01  
4  3   7.9403000E-02   7.9403000E-02  
4  4   1.4423500E-01   1.4423500E-01  
4  5   7.5672000E-02   7.5672000E-02  
4  6   1.3760600E-01   1.3760600E-01  
4  7   7.8664000E-02   7.8664000E-02  
4  8   6.7862000E-02   6.7862000E-02  
4  9   1.0206900E-01   1.0206900E-01  
4  10   5.4757000E-02   5.4757000E-02  
4  11   9.0053000E-02   9.0053000E-02  
4  12   1.8908500E-01   1.8908500E-01  
4  13   1.6940600E-01   1.6940600E-01  
4  14   7.2382000E-02   7.2382000E-02  
4  15   1.9987300E-01   1.9987300E-01  
4  16   7.6419000E-02   7.6419000E-02  
4  17   1.0122000E-01   1.0122000E-01  
4  18   6.6908000E-02   6.6908000E-02  
4  19   1.4361100E-01   1.4361100E-01  
4  20   9.7918000E-02   9.7918000E-02  
4  21   8.2790000E-02   8.2790000E-02  
4  22   1.1391800E-01   1.1391800E-01  
4  23   7.4113000E-02   7.4113000E-02  
4  24   8.0893000E-02   8.0893000E-02  
4  25   2.7483100E-01   2.7483100E-01  
4  26   1.0084800E-01   1.0084800E-01  
4  27   1.1847500E-01   1.1847500E-01  
4  28   1.5165500E-01   1.5165500E-01  
4  29   6.8486000E-02   6.8486000E-02  
4  30   6.7102000E-02   6.7102000E-02  
4  31   7.9379000E-02   7.9379000E-02  
4  32   8.4494000E-02   8.4494000E-02  
4  33   1.0020700E-01   1.0020700E-01  
4  34   7.2673000E-02   7.2673000E-02  
4  35   9.7837000E-02   9.7837000E-02  
4  36   1.0789000E-01   1.0789000E-01  
4  37   1.3052800E-01   1.3052800E-01  
4  38   7.4055000E-02   7.4055000E-02  
4  39   1.0071400E-01   1.0071400E-01  
4  40   1.2933100E-01   1.2933100E-01  
4  41   7.6897000E-02   7.6897000E-02  
4  42   8.6682000E-02   8.6682000E-02  
4  43   8.6578000E-02   8.6578000E-02  
4  44   6.9059000E-02   6.9059000E-02  
4  45   1.0407500E-01   1.0407500E-01  
4  46   1.0942300E-01   1.0942300E-01  
4  47   9.1310000E-02   9.1310000E-02  
4  48   1.1929600E-01   1.1929600E-01  
4  49   7.7607000E-02   7.7607000E-02  
4  50   8.9220000E-02   8.9220000E-02  
4  51   9.5425000E-02   9.5425000E-02  
4  52   7.8991000E-02   7.8991000E-02  
4  53   8.8934000E-02   8.8934000E-02  
4  54   7.7284000E-02   7.7284000E-02  
4  55   8.4058000E-02   8.4058000E-02  
4  56   9.0261000E-02   9.0261000E-02  
4  57   8.1108000E-02   8.1108000E-02  
4  58   7.5426000E-02   7.5426000E-02  
4  59   1.2285000E-01   1.2285000E-01  
4  60   9.0209000E-02   9.0209000E-02  
4  61   1.4899100E-01   1.4899100E-01  
4  62   1.3395600E-01   1.3395600E-01  
4  63   8.9666000E-02   8.9666000E-02  
4  64   7.0219000E-02   7.0219000E-02  
4  65   1.5718000E-01   1.5718000E-01  
4  66   9.2989000E-02   9.2989000E-02  
4  67   1.0527800E-01   1.0527800E-01  
4  68   1.0366400E-01   1.0366400E-01  
4  69   9.9287000E-02   9.9287000E-02  
4  70   1.0431100E-01   1.0431100E-01  
4  71   8.7989000E-02   8.7989000E-02  
4  72   8.0030000E-02   8.0030000E-02  
4  73   7.1539000E-02   7.1539000E-02  
4  74   2.0566000E-01   2.0566000E-01  
4  75   1.1286800E-01   1.1286800E-01  
4  76   7.2673000E-02   7.2673000E-02  
4  77   8.0431000E-02   8.0431000E-02  
4  78   1.4574300E-01   1.4574300E-01  
4  79   1.1879900E-01   1.1879900E-01  
4  80   8.1824000E-02   8.1824000E-02  
4  81   8.2303000E-02   8.2303000E-02  
4  82   6.9198000E-02   6.9198000E-02  
4  83   7.9372000E-02   7.9372000E-02  
4  84   1.1368100E-01   1.1368100E-01  
4  85   8.9571000E-02   8.9571000E-02  
4  86   1.0817100E-01   1.0817100E-01  
4  87   9.1588000E-02   9.1588000E-02  
4  88   7.5805000E-02   7.5805000E-02  
4  89   7.2879000E-02   7.2879000E-02  
4  90   9.2437000E-02   9.2437000E-02  
4  91   1.3630400E-01   1.3630400E-01  
4  92   7.7980000E-02   7.7980000E-02  
4  93   9.6571000E-02   9.6571000E-02  
4  94   1.1563700E-01   1.1563700E-01  
4  95   6.8467000E-02   6.8467000E-02  
4  96   6.8741000E-02   6.8741000E-02  
4  97   9.8288000E-02   9.8288000E-02  
4  98   8.5939000E-02   8.5939000E-02  
4  99   1.2122700E-01   1.2122700E-01  
4  100   8.4484000E-02   8.4484000E-02  
4  101   6.8037000E-02   6.8037000E-02  
4  102   7.2273000E-02   7.2273000E-02  
4  103   7.6180000E-02   7.6180000E-02  
4  104   6.8112000E-02   6.8112000E-02  
4  105   7.0383000E-02   7.0383000E-02  
4  106   8.9354000E-02   8.9354000E-02  
4  107   1.3200400E-01   1.3200400E-01  
4  108   7.5075000E-02   7.5075000E-02  
4  109   7.1671000E-02   7.1671000E-02  
4  110   1.1423500E-01   1.1423500E-01  
4  111   7.1577000E-02   7.1577000E-02  
4  112   7.1213000E-02   7.1213000E-02  
4  113   9.7471000E-02   9.7471000E-02  
4  114   9.0626000E-02   9.0626000E-02  
4  115   9.8377000E-02   9.8377000E-02  
4  116   7.3272000E-02   7.3272000E-02  
4  117   6.6876000E-02   6.6876000E-02  
4  118   6.9526000E-02   6.9526000E-02  
4  119   1.0160600E-01   1.0160600E-01  
4  120   1.7115500E-01   1.7115500E-01  
4  121   8.7289000E-02   8.7289000E-02  
4  122   8.1361000E-02   8.1361000E-02  
4  123   1.3806600E-01   1.3806600E-01  
4  124   1.2068100E-01   1.2068100E-01  
4  125   9.2011000E-02   9.2011000E-02  
4  126   1.4390300E-01   1.4390300E-01  
4  127   7.4791000E-02   7.4791000E-02  
5  1   1.2232200E-01   1.2232200E-01  
5  2   9.4367000E-02   9.4367000E-02  
5  3   7.1012000E-02   7.1012000E-02  
5  4   1.3880900E-01   1.3880900E-01  
5  5   8.1190000E-02   8.1190000E-02  
5  6   7.6623000E-02   7.6623000E-02  
5  7   7.2092000E-02   7.2092000E-02  
5  8   6.1867000E-02   6.1867000E-02  
5  9   1.0149500E-01   1.0149500E-01  
5  10   6.2171000E-02   6.2171000E-02  
5  11   7.3141000E-02   7.3141000E-02  
5  12   1.5011400E-01   1.5011400E-01  
5  13   1.0070500E-01   1.0070500E-01  
5  14   7.1224000E-02   7.1224000E-02  
5  15   1.3553600E-01   1.3553600E-01  
5  16   1.3058700E-01   1.3058700E-01  
5  17   1.1328500E-01   1.1328500E-01  
5  18   6.6438000E-02   6.6438000E-02  
5  19   1.2677300E-01   1.2677300E-01  
5  20   1.3407500E-01   1.3407500E-01  
5  21   7.7568000E-02   7.7568000E-02  
5  22   1.2923900E-01   1.2923900E-01  
5  23   8.5397000E-02   8.5397000E-02  
5  24   6.9031000E-02   6.9031000E-02  
5  25   2.5524700E-01   2.5524700E-01  
5  26   7.4754000E-02   7.4754000E-02  
5  27   9.5763000E-02   9.5763000E-02  
5  28   1.1833500E-01   1.1833500E-01  
5  29   7.6039000E-02   7.6039000E-02  
5  30   6.9099000E-02   6.9099000E-02  
5  31   1.0318400E-01   1.0318400E-01  
5  32   7.2559000E-02   7.2559000E-02  
5  33   6.9523000E-02   6.9523000E-02  
5  34   8.3155000E-02   8.3155000E-02  
5  35   9.1808000E-02   9.1808000E-02  
5  36   1.1218800E-01   1.1218800E-01  
5  37   7.4859000E-02   7.4859000E-02  
5  38   7.3516000E-02   7.3516000E-02  
5  39   8.1425000E-02   8.1425000E-02  
5  40   7.9430000E-02   7.9430000E-02  
5  41   1.2377100E-01   1.2377100E-01  
5  42   8.3270000E-02   8.3270000E-02  
5  43   7.9161000E-02   7.9161000E-02  
5  44   6.7123000E-02   6.7123000E-02  
5  45   7.8377000E-02   7.8377000E-02  
5  46   6.4767000E-02   6.4767000E-02  
5  47   1.0331500E-01   1.0331500E-01  
5  48   6.9259000E-02   6.9259000E-02  
5  49   1.0229900E-01   1.0229900E-01  
5  50   7.0356000E-02   7.0356000E-02  
5  51   1.0038800E-01   1.0038800E-01  
5  52   7.9709000E-02   7.9709000E-02  
5  53   9.1264000E-02   9.1264000E-02  
5  54   7.0711000E-02   7.0711000E-02  
5  55   8.1893000E-02   8.1893000E-02  
5  56   8.6952000E-02   8.6952000E-02  
5  57   8.0080000E-02   8.0080000E-02  
5  58   6.8864000E-02   6.8864000E-02  
5  59   7.8420000E-02   7.8420000E-02  
5  60   7.1431000E-02   7.1431000E-02  
5  61   8.0547000E-02   8.0547000E-02  
5  62   1.0793700E-01   1.0793700E-01  
5  63   8.5847000E-02   8.5847000E-02  
5  64   7.1100000E-02   7.1100000E-02  
5  65   7.5249000E-02   7.5249000E-02  
5  66   6.2306000E-02   6.2306000E-02  
5  67   1.2675700E-01   1.2675700E-01  
5  68   1.0555800E-01   1.0555800E-01  
5  69   7.9678000E-02   7.9678000E-02  
5  70   7.9881000E-02   7.9881000E-02  
