Iter  Part1  Part2  Part3  Part4  Part5  Part6  Part7  Part8  Part9  Part10  Part11  Part12  Part13  Part14  Part15  Part16  Part17  Part18  Part19  Part20  Part21  Part22  Part23  Part24  Part25  Part26  Part27  Part28  Part29  Part30  Part31  Part32  Part33  Part34  Part35  Part36  Part37  Part38  Part39  Part40  Part41  Part42  Part43  Part44  Part45  Part46  Part47  Part48  Part49  Part50  Part51  Part52  Part53  Part54  Part55  Part56  Part57  Part58  Part59  Part60  Part61  Part62  Part63  Part64  Part65  Part66  Part67  Part68  Part69  Part70  Part71  Part72  Part73  Part74  Part75  Part76  Part77  Part78  Part79  Part80  Part81  Part82  Part83  Part84  Part85  Part86  Part87  Part88  Part89  Part90  Part91  Part92  Part93  Part94  Part95  Part96  Part97  Part98  Part99  Part100  Part101  Part102  Part103  Part104  Part105  Part106  Part107  Part108  Part109  Part110  Part111  Part112  Part113  Part114  Part115  Part116  Part117  Part118  Part119  Part120  Part121  Part122  Part123  Part124  Part125  Part126  Part127  
1   1.5907500E-01   1.3551100E-01   1.1740500E-01   1.2630000E-01   8.9122000E-02   8.5257000E-02   1.6385100E-01   1.1218100E-01   1.2677600E-01   8.6082000E-02   1.2573400E-01   2.5293400E-01   8.9104000E-02   7.7977000E-02   1.2065700E-01   6.9105000E-02   9.0591000E-02   1.0106400E-01   7.0537000E-02   1.5449100E-01   1.3029900E-01   1.6498500E-01   2.4238600E-01   1.5835200E-01   9.3549000E-02   1.0852500E-01   9.4563000E-02   7.4690000E-02   1.7129500E-01   2.5296900E-01   9.9253000E-02   1.3208000E-01   7.7193000E-02   1.0205100E-01   1.7868700E-01   7.9281000E-02   9.3646000E-02   1.1006200E-01   8.2337000E-02   1.2388200E-01   1.0302200E-01   8.2357000E-02   8.2647000E-02   8.0422000E-02   9.7257000E-02   9.2012000E-02   1.6220000E-01   1.4106700E-01   1.0727300E-01   1.0683000E-01   2.7829300E-01   1.9109600E-01   7.5740000E-02   1.6416300E-01   1.3540100E-01   1.1996500E-01   1.5130100E-01   1.2176300E-01   8.7651000E-02   1.4400300E-01   1.3822800E-01   8.8477000E-02   1.3391500E-01   1.9290600E-01   8.3872000E-02   1.4145700E-01   1.1883100E-01   8.0290000E-02   1.1197000E-01   9.1719000E-02   1.4186000E-01   8.3551000E-02   1.3192200E-01   1.0133900E-01   1.2357000E-01   9.3241000E-02   8.6324000E-02   9.0790000E-02   1.1215000E-01   7.4190000E-02   8.4668000E-02   1.3720500E-01   1.1130200E-01   7.1352000E-02   8.1683000E-02   1.1358400E-01   1.4017900E-01   1.2951400E-01   7.7568000E-02   8.0431000E-02   9.3454000E-02   2.2102800E-01   2.4957300E-01   8.6203000E-02   8.2478000E-02   9.5070000E-02   8.2166000E-02   1.1671600E-01   8.4367000E-02   1.1585100E-01   7.8124000E-02   8.2704000E-02   9.7741000E-02   1.0648200E-01   9.0338000E-02   1.3926200E-01   1.8494900E-01   1.5565700E-01   8.0199000E-02   2.4929400E-01   9.6716000E-02   1.6515200E-01   9.3975000E-02   9.8163000E-02   8.1633000E-02   8.8557000E-02   2.1835400E-01   1.7150100E-01   9.5990000E-02   9.2379000E-02   9.0367000E-02   1.1968800E-01   2.2569300E-01   2.4478000E-01   2.2069500E-01   1.6243200E-01   9.3311000E-02  
2   1.5907500E-01   9.6640000E-02   8.5874000E-02   8.4404000E-02   8.9122000E-02   8.5257000E-02   7.1223000E-02   8.7779000E-02   7.9476000E-02   6.9143000E-02   8.5045000E-02   9.2658000E-02   8.3050000E-02   7.6849000E-02   1.1759800E-01   6.9105000E-02   9.0591000E-02   6.6729000E-02   7.0537000E-02   1.5449100E-01   1.1187000E-01   1.4076100E-01   1.7753200E-01   7.9041000E-02   8.5474000E-02   8.4402000E-02   9.4563000E-02   7.4690000E-02   1.2481900E-01   1.0123000E-01   9.9253000E-02   8.8482000E-02   7.7193000E-02   1.0205100E-01   7.4867000E-02   7.9281000E-02   9.3646000E-02   7.8517000E-02   8.2337000E-02   9.4580000E-02   1.0302200E-01   8.1189000E-02   8.1752000E-02   8.0422000E-02   9.7257000E-02   9.2012000E-02   1.0478100E-01   1.2420100E-01   1.0727300E-01   1.0109800E-01   8.4282000E-02   1.1228700E-01   7.5740000E-02   1.1346700E-01   1.2811900E-01   9.9711000E-02   1.5130100E-01   7.7196000E-02   8.7651000E-02   8.3134000E-02   1.3482800E-01   7.4862000E-02   8.8249000E-02   9.2279000E-02   8.3872000E-02   1.2293100E-01   8.1992000E-02   8.0290000E-02   8.4514000E-02   8.2469000E-02   9.8174000E-02   8.3551000E-02   8.8413000E-02   8.4424000E-02   1.2357000E-01   9.3241000E-02   8.6324000E-02   9.0790000E-02   9.5574000E-02   7.4190000E-02   7.1557000E-02   8.3423000E-02   7.6988000E-02   7.1352000E-02   8.1683000E-02   1.1358400E-01   9.9683000E-02   7.0196000E-02   7.0399000E-02   8.0431000E-02   9.3454000E-02   7.8040000E-02   1.7968400E-01   7.4676000E-02   7.9131000E-02   9.5070000E-02   7.8838000E-02   1.1671600E-01   8.4367000E-02   7.9894000E-02   7.2144000E-02   7.1081000E-02   8.9249000E-02   8.2029000E-02   9.0338000E-02   1.3926200E-01   1.2323800E-01   9.2155000E-02   8.0199000E-02   1.3813000E-01   7.6523000E-02   1.0440900E-01   9.3975000E-02   7.1876000E-02   8.1633000E-02   8.3814000E-02   8.1873000E-02   8.8662000E-02   9.5990000E-02   9.2379000E-02   9.0367000E-02   8.5727000E-02   7.1749000E-02   1.0566700E-01   8.0828000E-02   1.0831700E-01   9.3311000E-02  
3   8.4367000E-02   6.7197000E-02   8.5874000E-02   8.4404000E-02   7.5940000E-02   8.5257000E-02   7.1223000E-02   7.5276000E-02   7.9359000E-02   6.6129000E-02   8.5045000E-02   9.2658000E-02   8.3050000E-02   7.3598000E-02   1.1759800E-01   6.9105000E-02   9.0591000E-02   6.6711000E-02   7.0537000E-02   1.1725100E-01   7.4761000E-02   1.1149400E-01   1.0430600E-01   7.4585000E-02   8.5474000E-02   8.4402000E-02   9.4563000E-02   7.4690000E-02   8.5197000E-02   6.4376000E-02   9.9253000E-02   8.8482000E-02   7.7193000E-02   1.0205100E-01   7.4867000E-02   7.9281000E-02   9.3646000E-02   7.3044000E-02   8.2337000E-02   9.4580000E-02   1.0302200E-01   8.1189000E-02   8.1752000E-02   7.3220000E-02   9.7257000E-02   9.2012000E-02   9.7108000E-02   1.2420100E-01   1.0727300E-01   1.0109800E-01   6.9159000E-02   8.6038000E-02   7.5740000E-02   8.3221000E-02   1.1159700E-01   8.0420000E-02   1.0938400E-01   7.1638000E-02   8.7651000E-02   8.3134000E-02   1.3482800E-01   7.4862000E-02   8.1431000E-02   8.1262000E-02   8.3872000E-02   1.2293100E-01   8.1992000E-02   8.0290000E-02   8.4514000E-02   8.2469000E-02   9.8174000E-02   8.0842000E-02   7.0107000E-02   8.4424000E-02   9.2711000E-02   9.3241000E-02   8.1596000E-02   9.0790000E-02   9.5574000E-02   7.4190000E-02   6.7916000E-02   8.3423000E-02   7.6886000E-02   7.1352000E-02   8.1683000E-02   1.1358400E-01   9.2759000E-02   7.0196000E-02   6.9168000E-02   8.0431000E-02   9.3454000E-02   7.1602000E-02   1.1928300E-01   7.4676000E-02   7.9131000E-02   9.5070000E-02   7.8838000E-02   1.1671600E-01   8.4367000E-02   7.9894000E-02   6.7470000E-02   7.1081000E-02   7.0243000E-02   6.7307000E-02   6.9827000E-02   1.3926200E-01   1.2064500E-01   9.2155000E-02   8.0199000E-02   1.3813000E-01   7.3062000E-02   7.5328000E-02   9.3975000E-02   6.9484000E-02   8.1633000E-02   8.3814000E-02   7.2868000E-02   7.9018000E-02   9.5990000E-02   9.2379000E-02   9.0367000E-02   8.5727000E-02   7.1749000E-02   1.0566700E-01   8.0828000E-02   1.0831700E-01   9.3311000E-02  
4   8.4367000E-02   6.7197000E-02   7.9403000E-02   8.4404000E-02   7.5672000E-02   8.5257000E-02   7.1223000E-02   6.7862000E-02   7.9359000E-02   5.4757000E-02   8.5045000E-02   9.2658000E-02   8.3050000E-02   7.2382000E-02   1.1759800E-01   6.9105000E-02   9.0591000E-02   6.6711000E-02   7.0537000E-02   9.7918000E-02   7.4761000E-02   1.1149400E-01   7.4113000E-02   7.4585000E-02   8.5474000E-02   8.4402000E-02   9.4563000E-02   7.4690000E-02   6.8486000E-02   6.4376000E-02   7.9379000E-02   8.4494000E-02   7.7193000E-02   7.2673000E-02   7.4867000E-02   7.9281000E-02   9.3646000E-02   7.3044000E-02   8.2337000E-02   9.4580000E-02   7.6897000E-02   8.1189000E-02   8.1752000E-02   6.9059000E-02   9.7257000E-02   9.2012000E-02   9.1310000E-02   1.1929600E-01   7.7607000E-02   8.9220000E-02   6.9159000E-02   7.8991000E-02   7.5740000E-02   7.7284000E-02   8.4058000E-02   8.0420000E-02   8.1108000E-02   7.1638000E-02   8.7651000E-02   8.3134000E-02   1.3482800E-01   7.4862000E-02   8.1431000E-02   7.0219000E-02   8.3872000E-02   9.2989000E-02   8.1992000E-02   8.0290000E-02   8.4514000E-02   8.2469000E-02   8.7989000E-02   8.0030000E-02   7.0107000E-02   8.4424000E-02   9.2711000E-02   7.2673000E-02   8.0431000E-02   9.0790000E-02   9.5574000E-02   7.4190000E-02   6.7916000E-02   6.9198000E-02   7.6886000E-02   7.1352000E-02   8.1683000E-02   1.0817100E-01   9.1588000E-02   7.0196000E-02   6.9168000E-02   8.0431000E-02   9.3454000E-02   7.1602000E-02   9.6571000E-02   7.4676000E-02   6.8467000E-02   6.8741000E-02   7.8838000E-02   8.5939000E-02   8.4367000E-02   7.9894000E-02   6.7470000E-02   7.1081000E-02   7.0243000E-02   6.7307000E-02   6.9827000E-02   8.9354000E-02   1.2064500E-01   7.5075000E-02   7.1671000E-02   1.1423500E-01   7.1577000E-02   7.1213000E-02   9.3975000E-02   6.9484000E-02   8.1633000E-02   7.3272000E-02   6.6876000E-02   6.9526000E-02   9.5990000E-02   9.2379000E-02   8.7289000E-02   8.1361000E-02   7.1749000E-02   1.0566700E-01   8.0828000E-02   1.0831700E-01   7.4791000E-02  
5   8.4367000E-02   6.7197000E-02   7.1012000E-02   8.4404000E-02   7.5672000E-02   7.6623000E-02   7.1223000E-02   6.1867000E-02   7.9359000E-02   5.4757000E-02   7.3141000E-02   9.2658000E-02   8.3050000E-02   7.1224000E-02   1.1759800E-01   6.9105000E-02   9.0591000E-02   6.6438000E-02   7.0537000E-02   9.7918000E-02   7.4761000E-02   1.1149400E-01   7.4113000E-02   6.9031000E-02   8.5474000E-02   7.4754000E-02   9.4563000E-02   7.4690000E-02   6.8486000E-02   6.4376000E-02   7.9379000E-02   7.2559000E-02   6.9523000E-02   7.2673000E-02   7.4867000E-02   7.9281000E-02   7.4859000E-02   7.3044000E-02   8.1425000E-02   7.9430000E-02   7.6897000E-02   8.1189000E-02   7.9161000E-02   6.7123000E-02   7.8377000E-02   6.4767000E-02   9.1310000E-02   6.9259000E-02   7.7607000E-02   7.0356000E-02   6.9159000E-02   7.8991000E-02   7.5740000E-02   7.0711000E-02   8.1893000E-02   8.0420000E-02   8.0080000E-02   6.8864000E-02   7.8420000E-02   7.1431000E-02   8.0547000E-02   7.4862000E-02   8.1431000E-02   7.0219000E-02   7.5249000E-02   6.2306000E-02   8.1992000E-02   8.0290000E-02   7.9678000E-02   7.9881000E-02   8.1831000E-02   8.0030000E-02   6.9801000E-02   8.4424000E-02   9.2711000E-02   7.2673000E-02   7.3403000E-02   8.7402000E-02   7.5802000E-02   7.2679000E-02   6.7916000E-02   6.9198000E-02   7.6886000E-02   7.1352000E-02   6.9713000E-02   8.9588000E-02   9.1588000E-02   6.9514000E-02   6.9168000E-02   7.1584000E-02   9.3454000E-02   6.9111000E-02   7.0516000E-02   7.4676000E-02   6.8049000E-02   6.8741000E-02   7.8838000E-02   8.5939000E-02   8.4367000E-02   7.0514000E-02   6.5537000E-02   7.1081000E-02   6.8178000E-02   6.4861000E-02   6.9827000E-02   8.9354000E-02   1.1303500E-01   6.8606000E-02   7.1671000E-02   6.9254000E-02   6.8610000E-02   6.8234000E-02   9.3975000E-02   6.9484000E-02   7.5398000E-02   7.2136000E-02   6.3814000E-02   6.4837000E-02   9.5990000E-02   9.2379000E-02   7.1046000E-02   6.4876000E-02   7.1749000E-02   6.3060000E-02   8.0828000E-02   1.0831700E-01   6.5676000E-02  
6   8.4367000E-02   6.7197000E-02   6.8356000E-02   8.4404000E-02   6.8632000E-02   6.9386000E-02   7.1223000E-02   5.3798000E-02   7.9359000E-02   5.4757000E-02   6.7541000E-02   7.0394000E-02   7.2900000E-02   6.8905000E-02   1.1062700E-01   6.9105000E-02   9.0591000E-02   6.6438000E-02   7.0537000E-02   9.7918000E-02   7.4761000E-02   1.1149400E-01   7.4113000E-02   6.8777000E-02   8.5474000E-02   7.2509000E-02   9.2804000E-02   7.4690000E-02   6.8486000E-02   6.4376000E-02   7.9379000E-02   7.2559000E-02   6.9523000E-02   7.2673000E-02   7.4867000E-02   7.0883000E-02   7.4859000E-02   7.0232000E-02   7.8602000E-02   7.1011000E-02   7.6897000E-02   7.2876000E-02   7.2288000E-02   6.5995000E-02   7.8377000E-02   6.2743000E-02   9.1310000E-02   6.9259000E-02   7.7607000E-02   7.0356000E-02   6.9159000E-02   6.8621000E-02   6.6967000E-02   6.9653000E-02   8.1893000E-02   6.8615000E-02   7.1076000E-02   6.8864000E-02   7.8420000E-02   7.1431000E-02   7.0156000E-02   7.4862000E-02   7.1735000E-02   7.0219000E-02   7.1622000E-02   5.9561000E-02   8.1992000E-02   6.8037000E-02   7.9678000E-02   7.9881000E-02   8.0084000E-02   8.0030000E-02   6.6856000E-02   7.7459000E-02   7.9860000E-02   7.2673000E-02   6.4623000E-02   6.9043000E-02   7.5802000E-02   7.2679000E-02   6.7916000E-02   6.9198000E-02   7.6084000E-02   6.2573000E-02   6.8453000E-02   8.6282000E-02   8.6576000E-02   6.5409000E-02   6.9168000E-02   7.1584000E-02   7.4120000E-02   6.9111000E-02   6.9815000E-02   7.4676000E-02   6.8049000E-02   6.8741000E-02   7.8838000E-02   8.5939000E-02   8.4367000E-02   7.0514000E-02   5.7256000E-02   7.1081000E-02   6.8178000E-02   6.4861000E-02   6.9827000E-02   8.9354000E-02   9.6402000E-02   6.8606000E-02   7.1671000E-02   6.8666000E-02   6.6919000E-02   6.8234000E-02   8.9680000E-02   6.9484000E-02   7.5398000E-02   6.6955000E-02   6.3814000E-02   6.4217000E-02   8.9488000E-02   9.2379000E-02   6.4426000E-02   6.4189000E-02   7.1749000E-02   6.3060000E-02   7.8141000E-02   7.9011000E-02   6.5676000E-02  
7   8.4367000E-02   6.6522000E-02   6.3406000E-02   6.8419000E-02   6.4519000E-02   6.9386000E-02   6.7092000E-02   5.3798000E-02   7.3463000E-02   5.4757000E-02   6.4912000E-02   7.0394000E-02   6.5501000E-02   6.7762000E-02   7.3890000E-02   6.9105000E-02   7.2562000E-02   6.6438000E-02   7.0537000E-02   9.7918000E-02   7.1749000E-02   1.0869300E-01   7.4113000E-02   6.4448000E-02   8.0024000E-02   6.8247000E-02   9.0421000E-02   7.4690000E-02   6.8486000E-02   6.4376000E-02   7.5548000E-02   6.6324000E-02   6.9523000E-02   7.2673000E-02   6.9284000E-02   7.0883000E-02   7.4859000E-02   6.9471000E-02   6.9376000E-02   6.9639000E-02   7.6897000E-02   7.2876000E-02   6.9588000E-02   6.3378000E-02   7.8377000E-02   6.2743000E-02   8.2766000E-02   6.9259000E-02   7.7607000E-02   7.0356000E-02   6.9159000E-02   6.8621000E-02   6.5285000E-02   6.8898000E-02   8.1893000E-02   6.4795000E-02   7.0991000E-02   6.5838000E-02   7.8420000E-02   7.1431000E-02   6.5451000E-02   7.4606000E-02   6.4739000E-02   6.5700000E-02   6.6522000E-02   5.7304000E-02   8.1992000E-02   6.4889000E-02   7.9678000E-02   7.9881000E-02   6.9416000E-02   7.9198000E-02   6.5456000E-02   6.1645000E-02   7.1394000E-02   7.2673000E-02   5.6901000E-02   6.1333000E-02   7.2373000E-02   7.0467000E-02   6.6016000E-02   6.9198000E-02   7.3622000E-02   6.2127000E-02   6.8345000E-02   8.6282000E-02   6.9854000E-02   6.4155000E-02   6.9168000E-02   6.4528000E-02   7.2844000E-02   6.9111000E-02   6.9815000E-02   7.0864000E-02   6.6083000E-02   6.8741000E-02   7.1744000E-02   8.5939000E-02   8.4367000E-02   7.0514000E-02   5.7256000E-02   6.8424000E-02   6.8178000E-02   6.4861000E-02   6.6166000E-02   8.5334000E-02   7.4481000E-02   6.1167000E-02   7.1671000E-02   5.9756000E-02   6.3659000E-02   6.5888000E-02   7.3614000E-02   6.9484000E-02   6.4369000E-02   6.6955000E-02   6.3814000E-02   6.4217000E-02   7.5754000E-02   7.3113000E-02   6.4426000E-02   6.4189000E-02   7.1749000E-02   6.3060000E-02   7.8141000E-02   7.3265000E-02   6.5676000E-02  
8   7.8558000E-02   6.4738000E-02   5.6156000E-02   6.8419000E-02   5.6525000E-02   6.7400000E-02   6.6111000E-02   5.3798000E-02   7.3463000E-02   5.4757000E-02   6.0047000E-02   7.0394000E-02   6.5501000E-02   6.7762000E-02   7.3890000E-02   6.2868000E-02   6.7460000E-02   6.6438000E-02   7.0537000E-02   7.8444000E-02   7.0522000E-02   7.1759000E-02   7.0289000E-02   6.4448000E-02   8.0024000E-02   6.8247000E-02   8.8288000E-02   7.4690000E-02   6.8486000E-02   6.4376000E-02   7.0191000E-02   6.4648000E-02   6.9523000E-02   7.2673000E-02   6.9284000E-02   7.0883000E-02   7.4859000E-02   6.7236000E-02   6.9376000E-02   6.9639000E-02   6.9158000E-02   6.0325000E-02   5.6370000E-02   5.6126000E-02   7.8377000E-02   6.2743000E-02   6.6705000E-02   6.9259000E-02   7.7607000E-02   7.0356000E-02   6.2415000E-02   6.7178000E-02   6.5285000E-02   6.8898000E-02   7.9823000E-02   6.1592000E-02   7.0991000E-02   6.5838000E-02   6.9892000E-02   7.1431000E-02   5.8079000E-02   7.4606000E-02   6.3444000E-02   6.5700000E-02   5.6049000E-02   5.4665000E-02   7.3705000E-02   6.4486000E-02   6.8546000E-02   7.9881000E-02   6.2762000E-02   5.8297000E-02   6.1556000E-02   5.8607000E-02   6.1045000E-02   7.2673000E-02   5.6901000E-02   6.1333000E-02   6.9637000E-02   6.0384000E-02   6.3661000E-02   6.5886000E-02   7.3622000E-02   6.2127000E-02   6.5118000E-02   8.4217000E-02   6.3192000E-02   6.4155000E-02   6.6783000E-02   5.6933000E-02   7.2844000E-02   6.6335000E-02   6.6132000E-02   6.6390000E-02   6.3844000E-02   6.8741000E-02   7.1744000E-02   7.0408000E-02   8.3730000E-02   7.0514000E-02   5.7256000E-02   6.8424000E-02   6.7547000E-02   6.4861000E-02   6.6166000E-02   7.7680000E-02   6.0497000E-02   5.9843000E-02   7.0054000E-02   5.9756000E-02   5.8882000E-02   6.1511000E-02   6.9464000E-02   6.9484000E-02   5.5526000E-02   6.6955000E-02   6.3814000E-02   6.2747000E-02   7.5754000E-02   6.5534000E-02   6.4426000E-02   6.4189000E-02   7.1749000E-02   6.3060000E-02   7.8141000E-02   7.3265000E-02   6.5676000E-02  
9   6.7689000E-02   6.0984000E-02   5.6156000E-02   6.8419000E-02   5.4345000E-02   6.7400000E-02   6.5283000E-02   5.3798000E-02   7.3463000E-02   5.4757000E-02   6.0047000E-02   6.7226000E-02   6.5501000E-02   6.7223000E-02   7.3890000E-02   6.2868000E-02   6.5181000E-02   6.6438000E-02   7.0537000E-02   7.3539000E-02   7.0522000E-02   6.1705000E-02   7.0289000E-02   6.4448000E-02   8.0024000E-02   6.8247000E-02   8.6895000E-02   7.0890000E-02   6.8486000E-02   6.2325000E-02   6.9883000E-02   6.2391000E-02   6.7261000E-02   7.2673000E-02   6.9284000E-02   7.0883000E-02   7.1770000E-02   5.9775000E-02   6.9376000E-02   6.6118000E-02   6.9158000E-02   5.2881000E-02   5.6370000E-02   5.4841000E-02   6.3541000E-02   6.2743000E-02   6.2967000E-02   6.4619000E-02   7.0729000E-02   6.5639000E-02   5.8936000E-02   5.7289000E-02   6.5285000E-02   6.3781000E-02   6.4755000E-02   5.7608000E-02   6.7976000E-02   6.3956000E-02   6.9892000E-02   6.7675000E-02   5.8079000E-02   7.4606000E-02   6.3444000E-02   6.3713000E-02   5.4021000E-02   5.4665000E-02   7.3705000E-02   6.2809000E-02   6.8546000E-02   7.9881000E-02   6.2762000E-02   5.8297000E-02   5.9033000E-02   5.8607000E-02   5.8957000E-02   7.2673000E-02   5.6901000E-02   6.1333000E-02   6.9637000E-02   6.0127000E-02   6.3661000E-02   6.5886000E-02   6.3983000E-02   6.2127000E-02   6.3810000E-02   6.7867000E-02   6.3192000E-02   6.2905000E-02   6.5125000E-02   5.6933000E-02   7.2844000E-02   6.0744000E-02   6.6132000E-02   5.7524000E-02   6.3844000E-02   6.8741000E-02   7.1744000E-02   7.0408000E-02   8.3730000E-02   7.0514000E-02   5.7256000E-02   6.6650000E-02   6.3434000E-02   6.4861000E-02   6.6166000E-02   7.7680000E-02   5.3436000E-02   5.9843000E-02   7.0054000E-02   5.9092000E-02   5.5348000E-02   5.3249000E-02   6.7442000E-02   6.1379000E-02   5.5526000E-02   6.4523000E-02   6.3814000E-02   5.9890000E-02   6.9764000E-02   6.1047000E-02   6.1617000E-02   6.4189000E-02   7.1749000E-02   6.3060000E-02   7.6206000E-02   7.3265000E-02   6.5676000E-02  
10   6.0804000E-02   5.5710000E-02   5.6156000E-02   6.5394000E-02   5.4345000E-02   6.7400000E-02   6.3367000E-02   5.3798000E-02   7.3463000E-02   5.4757000E-02   6.0047000E-02   6.5450000E-02   6.5501000E-02   6.1894000E-02   5.9718000E-02   6.2868000E-02   5.5392000E-02   6.5264000E-02   7.0537000E-02   7.3539000E-02   7.0272000E-02   6.1421000E-02   6.4666000E-02   6.4382000E-02   8.0024000E-02   6.5342000E-02   7.0401000E-02   7.0890000E-02   6.7062000E-02   6.2325000E-02   6.9883000E-02   6.0960000E-02   6.7261000E-02   7.2673000E-02   5.6392000E-02   7.0883000E-02   7.1770000E-02   5.4668000E-02   6.9376000E-02   6.5754000E-02   6.9158000E-02   5.2881000E-02   5.6370000E-02   5.4841000E-02   5.7110000E-02   6.2743000E-02   6.2967000E-02   5.8930000E-02   6.8660000E-02   6.5639000E-02   5.8936000E-02   5.6911000E-02   6.5285000E-02   6.3781000E-02   6.4628000E-02   5.6173000E-02   6.2285000E-02   5.9996000E-02   6.9892000E-02   6.7675000E-02   5.8079000E-02   6.8832000E-02   6.2675000E-02   6.1652000E-02   5.4021000E-02   5.4665000E-02   7.3705000E-02   6.1377000E-02   6.7148000E-02   6.5116000E-02   6.2762000E-02   5.7912000E-02   5.7034000E-02   5.8607000E-02   5.8957000E-02   7.2673000E-02   5.6901000E-02   6.1333000E-02   6.1800000E-02   6.0127000E-02   6.1740000E-02   6.5886000E-02   5.7285000E-02   6.2127000E-02   5.8039000E-02   5.6553000E-02   6.3192000E-02   5.9222000E-02   6.5125000E-02   5.6933000E-02   7.2844000E-02   6.0744000E-02   6.6132000E-02   5.6834000E-02   6.3189000E-02   6.8741000E-02   7.1744000E-02   7.0408000E-02   8.3730000E-02   7.0514000E-02   5.7256000E-02   6.4973000E-02   6.0309000E-02   6.4861000E-02   6.4339000E-02   7.7680000E-02   5.3436000E-02   5.9843000E-02   7.0054000E-02   5.9092000E-02   5.4178000E-02   5.3249000E-02   6.2350000E-02   5.4327000E-02   5.5526000E-02   6.2946000E-02   6.2174000E-02   5.3620000E-02   6.6930000E-02   5.8894000E-02   5.8630000E-02   6.1819000E-02   7.1503000E-02   6.3060000E-02   7.0928000E-02   7.3265000E-02   6.5676000E-02  
