RankingNmbr ParameterName RelativeImportance RelativeImportance.Norm
1           SOIL__N                            134.723353333031 0.31349232085394
2           SOIL__ThetaSat                     117.187654924294 0.272687911997217
3           SOIL__LOG10_NormalHydrConductivity 52.5217953469479 0.122214739400296
4           SOIL__LOG10_Alpha                  42.4526571655066 0.0987845217030263
5           SCALAR__SoilEmissiv                36.9445114827203 0.0859674314883119
6           SOIL__ThetaRes                     20.5008341284184 0.0477040833037505
7           SCALAR__CanopyFraction             5.40698871059493 0.0125817046397691
8           SCALAR__SoilAlbNIRWet              4.90267790047009 0.0114082067837073
9           SCALAR__SoilAlbNIRDry              4.43684487480672 0.010324244183811
10          SCALAR__SoilAlbVisDry              3.39922283740056 0.0079097664215811
11          SCALAR__SoilAlbVisWet              2.96528120398892 0.00690001297937658
12          SCALAR__SoilRoughness              2.04368045720516 0.00475550907665839
13          SCALAR__LSAI                       1.3466390608472 0.00313353991044144
14          SCALAR__RootDepth                  0.213855147249412 0.0004976267646193
15          SCALAR__VegTransNIR                0.1928490676546 0.00044874700857625
16          SCALAR__DecayCoeffCanopy           0.131503109305485 0.000305999026269621
17          SCALAR__MinStomatalRes             0.120531792820768 0.000280469499409384
18          SCALAR__VegReflNIR                 0.102755926655364 0.000239106236088539
19          SCALAR__VegTransVis                0.0625315322407902 0.000145506734235303
20          SCALAR__CanDensSurface             0.0508371428089579 0.000118294664514233
21          SCALAR__VegReflectVis              0.0430855942585308 0.000100257324400835
