Date12[DDMMYYYYhhmm],JulianDayFromYear0[days],TimeFromStart[days],Simulation_Period,Run,Prain_below_canopy[mm],Psnow_below_canopy[mm],Prain_above_canopy[mm],Prain_above_canopy[mm],Pnet[mm],Tair[C],Tsurface[C],Tvegetation[C],Evap_surface[mm],Transpiration_canopy[mm],LE[W/m2],H[W/m2],SW[W/m2],LW[W/m2],LEv[W/m2],Hv[W/m2],SWv[W/m2],LWv[W/m2],SWin[W/m2],LWin[W/m2],Mass_balance_error[mm],Mean_Time_Step[s]
09/04/2014 19:00,735698.791667,0.041667,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,7.880000,4.230141,4.148434,0.005249,0.000000,3.631924,-51.672186,3.935527,-47.355533,0.000000,0.000000,0.000000,0.000000,4.718190,287.764117,0.000025,900.000000
09/04/2014 20:00,735698.833333,0.083333,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,7.650000,3.992876,4.074359,0.003881,0.000000,2.685626,-44.221388,0.000000,-44.612314,0.000000,0.000000,0.000000,0.000000,0.000000,289.391048,0.000012,900.000000
09/04/2014 21:00,735698.875000,0.125000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,7.470000,3.792584,3.866189,0.003230,0.000000,2.235946,-41.334388,0.000000,-43.624042,0.000000,0.000000,0.000000,0.000000,0.000000,289.424412,0.000007,900.000000
09/04/2014 22:00,735698.916667,0.166667,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,7.250000,3.546848,3.649908,0.002788,0.000000,1.929947,-38.077861,0.000000,-43.165764,0.000000,0.000000,0.000000,0.000000,0.000000,288.705593,0.000005,900.000000
09/04/2014 23:00,735698.958333,0.208333,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,7.000002,3.350161,3.440476,0.002758,0.000000,1.909987,-38.070344,0.000000,-43.664194,0.000000,0.000000,0.000000,0.000000,0.000000,287.257592,0.000004,900.000000
10/04/2014 00:00,735699.000000,0.250000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,6.970000,3.316723,3.349437,0.002876,0.000000,1.991648,-41.639743,0.000000,-44.664067,0.000000,0.000000,0.000000,0.000000,0.000000,286.086238,0.000005,900.000000
10/04/2014 01:00,735699.041667,0.291667,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,6.790000,3.167699,3.251487,0.002888,0.000000,1.999996,-40.319406,0.000000,-45.523532,0.000000,0.000000,0.000000,0.000000,0.000000,284.503563,0.000004,900.000000
10/04/2014 02:00,735699.083333,0.333333,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,6.910001,3.144098,3.175678,0.002884,0.000000,1.997344,-43.373459,0.000000,-46.470735,0.000000,0.000000,0.000000,0.000000,0.000000,283.432852,0.000004,900.000000
10/04/2014 03:00,735699.125000,0.375000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,7.210000,2.952749,3.056272,0.002131,0.000000,1.476365,-38.715643,0.000000,-45.669486,0.000000,0.000000,0.000000,0.000000,0.000000,283.328692,0.000002,900.000000
10/04/2014 04:00,735699.166667,0.416667,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,6.800000,2.223739,2.548713,0.000549,0.000000,0.380720,-19.396710,0.000000,-40.087222,0.000000,0.000000,0.000000,0.000000,0.000000,285.507534,0.000001,900.000000
10/04/2014 05:00,735699.208333,0.458333,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,6.919993,1.889633,2.052741,0.000542,0.000000,0.375932,-23.715056,0.000000,-40.455451,0.000000,0.000000,0.000000,0.000000,0.000000,283.555234,0.000001,900.000000
10/04/2014 06:00,735699.250000,0.500000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,6.140000,1.855316,1.881141,0.000201,0.000000,0.139369,-22.218043,3.671064,-36.882035,0.000000,0.000000,0.000000,0.000000,4.397974,287.006901,0.000001,900.000000
10/04/2014 07:00,735699.291667,0.541667,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,6.370000,3.130211,2.600189,0.001210,0.000000,0.838381,-16.319851,47.696837,-43.964880,0.000000,0.000000,0.000000,0.000000,57.141552,285.909652,0.000483,900.000000
10/04/2014 08:00,735699.333333,0.583333,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,8.539997,6.146397,4.795969,0.003572,0.000000,2.467089,-10.722190,122.282509,-61.001607,0.000000,0.000000,0.000000,0.000000,146.486935,283.387036,0.000014,900.000000
10/04/2014 09:00,735699.375000,0.625000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,10.290000,12.530936,9.940919,0.013674,0.000000,9.391459,19.356452,279.652513,-92.099412,0.000000,0.000000,0.000000,0.000000,334.904241,284.643633,0.000230,900.000000
10/04/2014 10:00,735699.416667,0.666667,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,11.800000,19.533678,16.599745,0.027356,0.000000,18.671312,84.794972,446.696217,-129.285322,0.000000,0.000000,0.000000,0.000000,534.531801,285.457194,0.000002,900.000000
10/04/2014 11:00,735699.458333,0.708333,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,13.049998,26.232493,23.173536,0.036981,0.000000,25.086000,153.052078,594.260420,-166.108807,0.000000,0.000000,0.000000,0.000000,710.316813,287.628210,0.000004,900.000000
