Date12[DDMMYYYYhhmm],JulianDayFromYear0[days],TimeFromStart[days],Simulation_Period,Run,IDpoint,5.000000 ,15.000000 ,27.500000 ,50.000000 ,102.500000 ,200.000000 ,380.000000 ,750.000000  
09/04/2014 18:00,735698.750000,0.000000,0,1,1,0.050892,0.050913,0.050941,0.050990,0.051108,0.051333,0.051772,0.052793 
09/04/2014 19:00,735698.791667,0.041667,1,1,1,0.050585,0.050809,0.050900,0.050979,0.051106,0.051333,0.051772,0.052793 
09/04/2014 20:00,735698.833333,0.083333,1,1,1,0.050384,0.050726,0.050864,0.050969,0.051103,0.051333,0.051772,0.052793 
09/04/2014 21:00,735698.875000,0.125000,1,1,1,0.050234,0.050654,0.050830,0.050958,0.051101,0.051333,0.051772,0.052793 
09/04/2014 22:00,735698.916667,0.166667,1,1,1,0.050121,0.050588,0.050797,0.050947,0.051099,0.051333,0.051772,0.052793 
09/04/2014 23:00,735698.958333,0.208333,1,1,1,0.050016,0.050523,0.050762,0.050936,0.051096,0.051333,0.051772,0.052793 
10/04/2014 00:00,735699.000000,0.250000,1,1,1,0.049906,0.050456,0.050727,0.050924,0.051093,0.051333,0.051772,0.052793 
10/04/2014 01:00,735699.041667,0.291667,1,1,1,0.049803,0.050387,0.050689,0.050911,0.051090,0.051333,0.051772,0.052793 
10/04/2014 02:00,735699.083333,0.333333,1,1,1,0.049702,0.050319,0.050651,0.050898,0.051087,0.051333,0.051772,0.052793 
10/04/2014 03:00,735699.125000,0.375000,1,1,1,0.049653,0.050265,0.050617,0.050886,0.051085,0.051333,0.051772,0.052793 
10/04/2014 04:00,735699.166667,0.416667,1,1,1,0.049709,0.050243,0.050593,0.050875,0.051082,0.051333,0.051772,0.052793 
10/04/2014 05:00,735699.208333,0.458333,1,1,1,0.049756,0.050226,0.050571,0.050865,0.051079,0.051333,0.051772,0.052793 
10/04/2014 06:00,735699.250000,0.500000,1,1,1,0.049809,0.050221,0.050556,0.050856,0.051076,0.051333,0.051772,0.052793 
10/04/2014 07:00,735699.291667,0.541667,1,1,1,0.049779,0.050202,0.050545,0.050853,0.051075,0.051333,0.051772,0.052793 
10/04/2014 08:00,735699.333333,0.583333,1,1,1,0.049581,0.050118,0.050514,0.050846,0.051074,0.051333,0.051772,0.052793 
10/04/2014 09:00,735699.375000,0.625000,1,1,1,0.048753,0.049796,0.050414,0.050831,0.051074,0.051333,0.051772,0.052793 
10/04/2014 10:00,735699.416667,0.666667,1,1,1,0.047232,0.049068,0.050166,0.050792,0.051074,0.051333,0.051772,0.052793 
10/04/2014 11:00,735699.458333,0.708333,1,1,1,0.045601,0.047942,0.049706,0.050711,0.051071,0.051333,0.051772,0.052793 
10/04/2014 12:00,735699.500000,0.750000,1,1,1,0.044304,0.046653,0.049015,0.050570,0.051064,0.051333,0.051772,0.052793 
10/04/2014 13:00,735699.541667,0.791667,1,1,1,0.043751,0.045659,0.048242,0.050375,0.051052,0.051333,0.051772,0.052793 
