RankingNmbr ParameterName RelativeImportance RelativeImportance.Norm
1           SCALAR__CanopyFraction             19.4828598409494 0.254280138014355
2           SOIL__ThetaSat                     13.9685681973008 0.182310475878242
3           SOIL__LOG10_Alpha                  12.9877968734827 0.169509959443955
4           SOIL__N                            12.7696404394051 0.166662695304151
5           SCALAR__SoilEmissiv                5.39356609678622 0.0703940151844522
6           SOIL__LOG10_NormalHydrConductivity 4.69961112541333 0.0613368763795236
7           SCALAR__SoilAlbNIRDry              1.50468849164042 0.0196384104000357
8           SCALAR__SoilAlbNIRWet              1.09750894818625 0.0143241150988637
9           SCALAR__SoilAlbVisDry              0.926491072368422 0.0120920788669714
10          SOIL__ThetaRes                     0.889336349412908 0.0116071547768665
11          SCALAR__SoilAlbVisWet              0.743091447627775 0.00969844249779656
12          SCALAR__LSAI                       0.699927939144615 0.00913509486896369
13          SCALAR__SoilRoughness              0.644540233262387 0.00841220338326767
14          SCALAR__DecayCoeffCanopy           0.268918689919329 0.00350978666097073
15          SCALAR__VegTransNIR                0.170018788723216 0.00221899666755834
16          SCALAR__MinStomatalRes             0.119079789889195 0.00155416738892217
17          SCALAR__VegReflNIR                 0.0989046595787684 0.00129085209734417
18          SCALAR__CanDensSurface             0.0662066227510486 0.000864094353089623
19          SCALAR__RootDepth                  0.0441167692697486 0.000575789092065474
20          SCALAR__VegReflectVis              0.0284774607039525 0.000371672983186978
21          SCALAR__VegTransVis                0.0163185074881572 0.000212980659418156
