Iter  Part1  Part2  Part3  Part4  Part5  Part6  Part7  Part8  Part9  Part10  Part11  Part12  Part13  Part14  Part15  Part16  Part17  Part18  Part19  Part20  Part21  Part22  Part23  Part24  Part25  Part26  Part27  Part28  Part29  Part30  Part31  Part32  Part33  Part34  Part35  Part36  Part37  Part38  Part39  Part40  Part41  Part42  Part43  Part44  Part45  Part46  Part47  Part48  Part49  Part50  Part51  Part52  Part53  Part54  Part55  Part56  Part57  Part58  Part59  Part60  Part61  Part62  Part63  Part64  Part65  Part66  Part67  Part68  Part69  Part70  Part71  Part72  Part73  Part74  Part75  Part76  Part77  Part78  Part79  Part80  Part81  Part82  Part83  Part84  Part85  Part86  Part87  Part88  Part89  Part90  Part91  Part92  Part93  Part94  Part95  Part96  Part97  Part98  Part99  Part100  Part101  Part102  Part103  Part104  Part105  Part106  Part107  Part108  Part109  Part110  Part111  Part112  Part113  Part114  Part115  Part116  Part117  Part118  Part119  Part120  Part121  Part122  Part123  Part124  Part125  Part126  Part127  
1   7.0743905E+02   6.9771583E+02   7.2051445E+02   7.3859045E+02   7.0821162E+02   7.1881752E+02   7.0821162E+02   6.9771583E+02   6.9771583E+02   7.0446045E+02   6.9771583E+02   7.2051445E+02   7.0604322E+02   7.0743905E+02   6.9771583E+02   7.1557060E+02   7.2238949E+02   7.3145143E+02   6.9771583E+02   7.0446045E+02   7.0446045E+02   7.2377017E+02   7.1475675E+02   6.9771583E+02   6.9771583E+02   7.2377017E+02   7.0446045E+02   6.9771583E+02   7.2051445E+02   6.9771583E+02   6.9771583E+02   6.9771583E+02   6.9771583E+02   7.0446045E+02   6.9771583E+02   7.0821162E+02   7.0604322E+02   7.0743905E+02   7.2051445E+02   7.0446045E+02   6.9771583E+02   7.1728005E+02   6.9771583E+02   7.3384383E+02   7.0743905E+02   6.9771583E+02   6.9771583E+02   6.9771583E+02   7.3496471E+02   7.0446045E+02   6.9771583E+02   7.1881752E+02   7.0743905E+02   7.0604322E+02   7.1557060E+02   7.0604322E+02   7.0446045E+02   7.1475675E+02   7.0821162E+02   7.2051445E+02   7.0446045E+02   7.0604322E+02   7.0446045E+02   6.9771583E+02   7.0446045E+02   7.0743905E+02   7.2223182E+02   6.9771583E+02   7.0743905E+02   7.2549446E+02   7.1557060E+02   7.0821162E+02   7.0604322E+02   7.1475675E+02   7.1475675E+02   7.2223182E+02   7.0821162E+02   7.3609295E+02   6.9771583E+02   7.3056213E+02   7.0821162E+02   7.0446045E+02   7.0446045E+02   7.0821162E+02   6.9771583E+02   7.1881752E+02   7.2282134E+02   7.0743905E+02   7.0446045E+02   7.0446045E+02   7.1475675E+02   7.1475675E+02   6.9771583E+02   7.1728005E+02   7.1557060E+02   7.2223182E+02   7.0604322E+02   7.0743905E+02   7.3609295E+02   7.2238949E+02   6.9771583E+02   7.1475675E+02   7.2377017E+02   7.2051445E+02   7.1728005E+02   6.9771583E+02   7.0604322E+02   7.2549446E+02   7.1557060E+02   7.0821162E+02   7.0821162E+02   7.0821162E+02   7.0446045E+02   7.0743905E+02   6.9771583E+02   7.1557060E+02   7.0446045E+02   7.0604322E+02   7.2549446E+02   7.0821162E+02   6.9771583E+02   7.2282134E+02   7.0743905E+02   6.9771583E+02   7.0446045E+02   7.0446045E+02   7.1557060E+02  
2   6.9684285E+02   6.9771583E+02   7.0322171E+02   7.0724352E+02   7.0821162E+02   7.0322171E+02   7.0724352E+02   6.9771583E+02   6.9771583E+02   7.0446045E+02   6.9771583E+02   7.0322171E+02   7.0604322E+02   6.9785528E+02   6.9771583E+02   7.0322171E+02   7.2238949E+02   7.0724352E+02   6.9771583E+02   6.9785528E+02   7.0446045E+02   6.9684285E+02   6.9785528E+02   6.9771583E+02   6.9771583E+02   6.9684285E+02   6.9684285E+02   6.9684285E+02   7.1773432E+02   6.9684285E+02   6.9771583E+02   6.9771583E+02   6.9771583E+02   7.0322171E+02   6.9771583E+02   6.9684285E+02   7.0604322E+02   6.9785528E+02   7.0322171E+02   6.9684285E+02   6.9771583E+02   7.0322171E+02   6.9771583E+02   6.9684285E+02   7.0743905E+02   6.9771583E+02   6.9684285E+02   6.9684285E+02   7.1064126E+02   6.9785528E+02   6.9771583E+02   7.0322171E+02   7.0322171E+02   7.0604322E+02   7.0724352E+02   7.0604322E+02   7.0446045E+02   7.0724352E+02   7.0821162E+02   7.0391220E+02   7.0322171E+02   7.0604322E+02   7.0446045E+02   6.9771583E+02   7.0446045E+02   7.0743905E+02   7.1622164E+02   6.9771583E+02   7.0743905E+02   7.1128921E+02   7.1557060E+02   6.9684285E+02   7.0604322E+02   7.0391220E+02   6.9785528E+02   7.0168859E+02   7.0168859E+02   6.9785528E+02   6.9771583E+02   7.0168859E+02   7.0724352E+02   7.0446045E+02   7.0168859E+02   7.0821162E+02   6.9771583E+02   7.0944216E+02   7.0944216E+02   6.9684285E+02   7.0322171E+02   7.0446045E+02   7.0724352E+02   7.0724352E+02   6.9684285E+02   7.0391220E+02   6.9684285E+02   7.0322171E+02   7.0391220E+02   7.0168859E+02   6.9785528E+02   6.9684285E+02   6.9771583E+02   7.1128921E+02   7.1291408E+02   7.0391220E+02   6.9684285E+02   6.9684285E+02   6.9684285E+02   7.0724352E+02   7.0391220E+02   7.0821162E+02   7.0168859E+02   7.0322171E+02   7.0446045E+02   6.9684285E+02   6.9771583E+02   7.1557060E+02   7.0168859E+02   6.9785528E+02   7.0944216E+02   6.9684285E+02   6.9771583E+02   7.0168859E+02   7.0322171E+02   6.9771583E+02   6.9684285E+02   6.9684285E+02   6.9785528E+02  
3   6.8711640E+02   6.8954875E+02   6.8954875E+02   6.8345414E+02   7.0197435E+02   6.9699820E+02   6.8345414E+02   6.9771583E+02   6.8345414E+02   7.0446045E+02   6.8711640E+02   6.8345414E+02   6.8711640E+02   6.9046820E+02   6.8954875E+02   6.9975457E+02   6.8711640E+02   6.8345414E+02   6.8345414E+02   6.8711640E+02   6.9046820E+02   6.8345414E+02   6.9785528E+02   6.8345414E+02   6.8954875E+02   6.8954875E+02   6.9046820E+02   6.8345414E+02   6.8954875E+02   6.9684285E+02   6.8711640E+02   6.9699820E+02   6.8345414E+02   7.0322171E+02   6.8345414E+02   6.9684285E+02   7.0604322E+02   6.9699820E+02   6.8954875E+02   6.9684285E+02   6.8711640E+02   6.9699820E+02   6.8711640E+02   6.9684285E+02   7.0197435E+02   6.8345414E+02   6.9684285E+02   6.8954875E+02   6.8711640E+02   6.9785528E+02   6.9046820E+02   6.9647302E+02   7.0322171E+02   6.8954875E+02   6.8345414E+02   6.9647302E+02   6.8345414E+02   6.8345414E+02   6.8711640E+02   7.0391220E+02   6.9647302E+02   6.8711640E+02   7.0446045E+02   6.8954875E+02   6.8711640E+02   6.8711640E+02   7.1622164E+02   6.9771583E+02   6.8711640E+02   6.9647302E+02   6.9699820E+02   6.8345414E+02   7.0604322E+02   6.9647302E+02   6.8954875E+02   7.0168859E+02   6.8345414E+02   6.9647302E+02   6.8345414E+02   7.0168859E+02   6.8345414E+02   6.9647302E+02   6.9699820E+02   6.9699820E+02   6.9771583E+02   6.9046820E+02   6.9647302E+02   6.9684285E+02   6.9699820E+02   6.9046820E+02   6.8345414E+02   6.8345414E+02   6.8954875E+02   6.8345414E+02   6.9684285E+02   6.8345414E+02   6.8954875E+02   6.8345414E+02   6.8711640E+02   6.8711640E+02   6.9046820E+02   6.9647302E+02   7.0197435E+02   6.8711640E+02   6.9684285E+02   6.8345414E+02   6.8345414E+02   6.8345414E+02   6.8711640E+02   7.0821162E+02   6.8345414E+02   6.8711640E+02   6.8711640E+02   6.8345414E+02   6.9699820E+02   6.9647302E+02   6.8345414E+02   6.9785528E+02   6.8954875E+02   6.9647302E+02   6.9771583E+02   7.0168859E+02   7.0322171E+02   6.8954875E+02   6.9684285E+02   6.9647302E+02   6.9785528E+02  
4   6.8711640E+02   6.8954875E+02   6.8954875E+02   6.8345414E+02   7.0197435E+02   6.9423165E+02   6.8345414E+02   6.9771583E+02   6.8345414E+02   7.0417491E+02   6.8711640E+02   6.8345414E+02   6.8711640E+02   6.9046820E+02   6.8954875E+02   6.9975457E+02   6.8711640E+02   6.8345414E+02   6.8345414E+02   6.8711640E+02   6.9046820E+02   6.8345414E+02   6.9785528E+02   6.8345414E+02   6.8954875E+02   6.8876467E+02   6.8876467E+02   6.8345414E+02   6.8954875E+02   6.9224477E+02   6.8711640E+02   6.9423165E+02   6.8345414E+02   6.8876467E+02   6.8345414E+02   6.9224477E+02   6.8876467E+02   6.9423165E+02   6.8954875E+02   6.9684285E+02   6.8711640E+02   6.9423165E+02   6.8711640E+02   6.9224477E+02   7.0197435E+02   6.8345414E+02   6.9639298E+02   6.8876467E+02   6.8711640E+02   6.9785528E+02   6.8876467E+02   6.8876467E+02   6.8876467E+02   6.8876467E+02   6.8345414E+02   6.9224477E+02   6.8345414E+02   6.8345414E+02   6.8711640E+02   6.9224477E+02   6.9639298E+02   6.8711640E+02   7.0379322E+02   6.8876467E+02   6.8711640E+02   6.8711640E+02   7.1622164E+02   6.9771583E+02   6.8711640E+02   6.9224477E+02   6.8876467E+02   6.8345414E+02   6.9639298E+02   6.9639298E+02   6.8876467E+02   6.8876467E+02   6.8345414E+02   6.9423165E+02   6.8345414E+02   6.8876467E+02   6.8345414E+02   6.9647302E+02   6.9423165E+02   6.9423165E+02   6.9771583E+02   6.9046820E+02   6.9639298E+02   6.9684285E+02   6.9423165E+02   6.9046820E+02   6.8345414E+02   6.8345414E+02   6.8954875E+02   6.8345414E+02   6.9639298E+02   6.8345414E+02   6.8954875E+02   6.8345414E+02   6.8711640E+02   6.8711640E+02   6.9046820E+02   6.8876467E+02   7.0197435E+02   6.8711640E+02   6.9684285E+02   6.8345414E+02   6.8345414E+02   6.8345414E+02   6.8711640E+02   7.0821162E+02   6.8345414E+02   6.8711640E+02   6.8711640E+02   6.8345414E+02   6.9423165E+02   6.9224477E+02   6.8345414E+02   6.8876467E+02   6.8954875E+02   6.9647302E+02   6.8876467E+02   6.9224477E+02   7.0322171E+02   6.8954875E+02   6.9684285E+02   6.9647302E+02   6.8876467E+02  
5   6.8711640E+02   6.8345414E+02   6.8711640E+02   6.8345414E+02   7.0197435E+02   6.9423165E+02   6.8345414E+02   6.8483197E+02   6.8345414E+02   6.8345414E+02   6.8345414E+02   6.8345414E+02   6.8711640E+02   6.8999615E+02   6.8876467E+02   6.9225307E+02   6.8711640E+02   6.8345414E+02   6.8345414E+02   6.8345414E+02   6.9046820E+02   6.8345414E+02   6.8483197E+02   6.8345414E+02   6.8711640E+02   6.8876467E+02   6.8876467E+02   6.8345414E+02   6.8954875E+02   6.9224477E+02   6.8711640E+02   6.8345414E+02   6.8345414E+02   6.8876467E+02   6.8345414E+02   6.9224477E+02   6.8711640E+02   6.9225307E+02   6.8954875E+02   6.8345414E+02   6.8345414E+02   6.9249065E+02   6.8711640E+02   6.8711640E+02   6.8711640E+02   6.8345414E+02   6.8345414E+02   6.8876467E+02   6.8711640E+02   6.9198805E+02   6.8711640E+02   6.8345414E+02   6.8876467E+02   6.8711640E+02   6.8345414E+02   6.9224477E+02   6.8345414E+02   6.8345414E+02   6.8711640E+02   6.8876467E+02   6.9249065E+02   6.8711640E+02   6.8345414E+02   6.8876467E+02   6.8345414E+02   6.8483197E+02   6.8345414E+02   6.8711640E+02   6.8711640E+02   6.8345414E+02   6.8876467E+02   6.8345414E+02   6.8876467E+02   6.9225307E+02   6.8876467E+02   6.8345414E+02   6.8345414E+02   6.9198805E+02   6.8345414E+02   6.8876467E+02   6.8345414E+02   6.8876467E+02   6.9423165E+02   6.9198805E+02   6.9225307E+02   6.9046820E+02   6.9249065E+02   6.8954875E+02   6.9423165E+02   6.8954875E+02   6.8345414E+02   6.8345414E+02   6.8954875E+02   6.8345414E+02   6.9046820E+02   6.8345414E+02   6.8954875E+02   6.8345414E+02   6.8711640E+02   6.8345414E+02   6.8876467E+02   6.8345414E+02   6.8999615E+02   6.8711640E+02   6.8711640E+02   6.8345414E+02   6.8345414E+02   6.8345414E+02   6.8483197E+02   6.8954875E+02   6.8345414E+02   6.8711640E+02   6.8711640E+02   6.8345414E+02   6.8954875E+02   6.8876467E+02   6.8345414E+02   6.8483197E+02   6.8483197E+02   6.8345414E+02   6.8876467E+02   6.9072322E+02   6.8483197E+02   6.8954875E+02   6.8999615E+02   6.8876467E+02   6.8876467E+02  
6   6.8711640E+02   6.8345414E+02   6.8711640E+02   6.8345414E+02   6.8711640E+02   6.8345414E+02   6.8345414E+02   6.8483197E+02   6.8345414E+02   6.8345414E+02   6.8345414E+02   6.8345414E+02   6.8483197E+02   6.8483197E+02   6.8723067E+02   6.9225307E+02   6.8483197E+02   6.8345414E+02   6.8345414E+02   6.8345414E+02   6.8483197E+02   6.8345414E+02   6.8483197E+02   6.8345414E+02   6.8681066E+02   6.8483197E+02   6.8723067E+02   6.8345414E+02   6.8483197E+02   6.8860637E+02   6.8711640E+02   6.8345414E+02   6.8345414E+02   6.8711640E+02   6.8345414E+02   6.8847581E+02   6.8711640E+02   6.8718671E+02   6.8681066E+02   6.8345414E+02   6.8345414E+02   6.8711640E+02   6.8711640E+02   6.8483197E+02   6.8345414E+02   6.8345414E+02   6.8345414E+02   6.8860637E+02   6.8711640E+02   6.8876467E+02   6.8711640E+02   6.8345414E+02   6.8711640E+02   6.8681066E+02   6.8345414E+02   6.9198805E+02   6.8345414E+02   6.8345414E+02   6.8681066E+02   6.8711640E+02   6.9249065E+02   6.8711640E+02   6.8345414E+02   6.8723067E+02   6.8345414E+02   6.8345414E+02   6.8345414E+02   6.8681066E+02   6.8711640E+02   6.8345414E+02   6.8681066E+02   6.8345414E+02   6.8876467E+02   6.9198805E+02   6.8681066E+02   6.8345414E+02   6.8345414E+02   6.8718671E+02   6.8345414E+02   6.8876467E+02   6.8345414E+02   6.8876467E+02   6.8345414E+02   6.8711640E+02   6.8723067E+02   6.8345414E+02   6.8860637E+02   6.8681066E+02   6.9375908E+02   6.8345414E+02   6.8345414E+02   6.8345414E+02   6.8723067E+02   6.8345414E+02   6.8483197E+02   6.8345414E+02   6.8711640E+02   6.8345414E+02   6.8711640E+02   6.8345414E+02   6.8876467E+02   6.8345414E+02   6.8345414E+02   6.8711640E+02   6.8345414E+02   6.8345414E+02   6.8345414E+02   6.8345414E+02   6.8483197E+02   6.8681066E+02   6.8345414E+02   6.8345414E+02   6.8711640E+02   6.8345414E+02   6.8483197E+02   6.8483197E+02   6.8345414E+02   6.8483197E+02   6.8483197E+02   6.8345414E+02   6.8876467E+02   6.8954875E+02   6.8483197E+02   6.8345414E+02   6.8681066E+02   6.8681066E+02   6.8711640E+02  
7   6.8681066E+02   6.8345414E+02   6.8673334E+02   6.8345414E+02   6.8711640E+02   6.8345414E+02   6.8345414E+02   6.8345414E+02   6.8345414E+02   6.8345414E+02   6.8345414E+02   6.8345414E+02   6.8483197E+02   6.8483197E+02   6.8345414E+02   6.8345414E+02   6.8483197E+02   6.8345414E+02   6.8345414E+02   6.8345414E+02   6.8483197E+02   6.8345414E+02   6.8483197E+02   6.8345414E+02   6.8673334E+02   6.8483197E+02   6.8723067E+02   6.8345414E+02   6.8345414E+02   6.8345414E+02   6.8483197E+02   6.8345414E+02   6.8345414E+02   6.8407590E+02   6.8345414E+02   6.8345414E+02   6.8483197E+02   6.8645839E+02   6.8483197E+02   6.8345414E+02   6.8345414E+02   6.8711640E+02   6.8711640E+02   6.8483197E+02   6.8345414E+02   6.8345414E+02   6.8345414E+02   6.8723067E+02   6.8711640E+02   6.8779841E+02   6.8407590E+02   6.8345414E+02   6.8483197E+02   6.8645839E+02   6.8345414E+02   6.8860637E+02   6.8345414E+02   6.8345414E+02   6.8407590E+02   6.8673334E+02   6.8483197E+02   6.8345414E+02   6.8345414E+02   6.8711640E+02   6.8345414E+02   6.8345414E+02   6.8345414E+02   6.8681066E+02   6.8345414E+02   6.8345414E+02   6.8681066E+02   6.8345414E+02   6.8345414E+02   6.8407590E+02   6.8345414E+02   6.8345414E+02   6.8345414E+02   6.8718671E+02   6.8345414E+02   6.8345414E+02   6.8345414E+02   6.8483197E+02   6.8345414E+02   6.8407590E+02   6.8673334E+02   6.8345414E+02   6.8483197E+02   6.8483197E+02   6.8645839E+02   6.8345414E+02   6.8345414E+02   6.8345414E+02   6.8723067E+02   6.8345414E+02   6.8345414E+02   6.8345414E+02   6.8673334E+02   6.8345414E+02   6.8407590E+02   6.8345414E+02   6.8873224E+02   6.8345414E+02   6.8345414E+02   6.8673334E+02   6.8345414E+02   6.8345414E+02   6.8345414E+02   6.8345414E+02   6.8407590E+02   6.8345414E+02   6.8345414E+02   6.8345414E+02   6.8407590E+02   6.8345414E+02   6.8407590E+02   6.8345414E+02   6.8345414E+02   6.8407590E+02   6.8483197E+02   6.8345414E+02   6.8407590E+02   6.8407590E+02   6.8345414E+02   6.8345414E+02   6.8681066E+02   6.8407590E+02   6.8645839E+02  
8   6.8407590E+02   6.8345414E+02   6.8525048E+02   6.8345414E+02   6.8650151E+02   6.8345414E+02   6.8345414E+02   6.8345414E+02   6.8345414E+02   6.8345414E+02   6.8345414E+02   6.8345414E+02   6.8483197E+02   6.8345414E+02   6.8345414E+02   6.8345414E+02   6.8483197E+02   6.8345414E+02   6.8345414E+02   6.8345414E+02   6.8345414E+02   6.8345414E+02   6.8466672E+02   6.8345414E+02   6.8483197E+02   6.8483197E+02   6.8723067E+02   6.8345414E+02   6.8345414E+02   6.8345414E+02   6.8345414E+02   6.8345414E+02   6.8345414E+02   6.8407590E+02   6.8345414E+02   6.8345414E+02   6.8345414E+02   6.8645839E+02   6.8483197E+02   6.8345414E+02   6.8345414E+02   6.8483197E+02   6.8466672E+02   6.8466672E+02   6.8345414E+02   6.8345414E+02   6.8345414E+02   6.8345414E+02   6.8564441E+02   6.8466672E+02   6.8407590E+02   6.8345414E+02   6.8357628E+02   6.8645839E+02   6.8345414E+02   6.8345414E+02   6.8345414E+02   6.8345414E+02   6.8407590E+02   6.8345414E+02   6.8407590E+02   6.8345414E+02   6.8345414E+02   6.8345414E+02   6.8345414E+02   6.8345414E+02   6.8345414E+02   6.8466672E+02   6.8345414E+02   6.8345414E+02   6.8658291E+02   6.8345414E+02   6.8345414E+02   6.8407590E+02   6.8345414E+02   6.8345414E+02   6.8345414E+02   6.8525048E+02   6.8345414E+02   6.8345414E+02   6.8345414E+02   6.8407590E+02   6.8345414E+02   6.8407590E+02   6.8345414E+02   6.8345414E+02   6.8483197E+02   6.8483197E+02   6.8345414E+02   6.8345414E+02   6.8345414E+02   6.8345414E+02   6.8466672E+02   6.8345414E+02   6.8345414E+02   6.8345414E+02   6.8466672E+02   6.8345414E+02   6.8407590E+02   6.8345414E+02   6.8345414E+02   6.8345414E+02   6.8345414E+02   6.8595728E+02   6.8345414E+02   6.8345414E+02   6.8345414E+02   6.8345414E+02   6.8407590E+02   6.8345414E+02   6.8345414E+02   6.8345414E+02   6.8407590E+02   6.8345414E+02   6.8407590E+02   6.8345414E+02   6.8345414E+02   6.8407590E+02   6.8345414E+02   6.8345414E+02   6.8407590E+02   6.8407590E+02   6.8345414E+02   6.8345414E+02   6.8357628E+02   6.8407590E+02   6.8466672E+02  
9   6.8407590E+02   6.8345414E+02   6.8466672E+02   6.8345414E+02   6.8381612E+02   6.8345414E+02   6.8345414E+02   6.8345414E+02   6.8345414E+02   6.8345414E+02   6.8345414E+02   6.8345414E+02   6.8357628E+02   6.8345414E+02   6.8345414E+02   6.8345414E+02   6.8357628E+02   6.8345414E+02   6.8345414E+02   6.8345414E+02   6.8345414E+02   6.8345414E+02   6.8345414E+02   6.8345414E+02   6.8443057E+02   6.8483197E+02   6.8430070E+02   6.8345414E+02   6.8345414E+02   6.8345414E+02   6.8345414E+02   6.8345414E+02   6.8345414E+02   6.8381612E+02   6.8345414E+02   6.8345414E+02   6.8345414E+02   6.8478775E+02   6.8345414E+02   6.8345414E+02   6.8345414E+02   6.8345414E+02   6.8381612E+02   6.8381612E+02   6.8345414E+02   6.8345414E+02   6.8345414E+02   6.8345414E+02   6.8430070E+02   6.8402527E+02   6.8407590E+02   6.8345414E+02   6.8357628E+02   6.8466672E+02   6.8345414E+02   6.8345414E+02   6.8345414E+02   6.8345414E+02   6.8345414E+02   6.8345414E+02   6.8407590E+02   6.8345414E+02   6.8345414E+02   6.8345414E+02   6.8345414E+02   6.8345414E+02   6.8345414E+02   6.8345414E+02   6.8345414E+02   6.8345414E+02   6.8381612E+02   6.8345414E+02   6.8345414E+02   6.8407590E+02   6.8345414E+02   6.8345414E+02   6.8345414E+02   6.8430070E+02   6.8345414E+02   6.8345414E+02   6.8345414E+02   6.8407590E+02   6.8345414E+02   6.8357628E+02   6.8345414E+02   6.8345414E+02   6.8345414E+02   6.8357628E+02   6.8345414E+02   6.8345414E+02   6.8345414E+02   6.8345414E+02   6.8381612E+02   6.8345414E+02   6.8345414E+02   6.8345414E+02   6.8345414E+02   6.8345414E+02   6.8381612E+02   6.8345414E+02   6.8345414E+02   6.8345414E+02   6.8345414E+02   6.8443057E+02   6.8345414E+02   6.8345414E+02   6.8345414E+02   6.8345414E+02   6.8407590E+02   6.8345414E+02   6.8345414E+02   6.8345414E+02   6.8381612E+02   6.8345414E+02   6.8407590E+02   6.8345414E+02   6.8345414E+02   6.8407590E+02   6.8345414E+02   6.8345414E+02   6.8402527E+02   6.8357628E+02   6.8345414E+02   6.8345414E+02   6.8345414E+02   6.8407590E+02   6.8407590E+02  
10   6.8261547E+02   6.8265406E+02   6.8210826E+02   6.8210826E+02   6.8370675E+02   6.8345414E+02   6.8345414E+02   6.8345414E+02   6.8345414E+02   6.8345414E+02   6.8265406E+02   6.8345414E+02   6.8357628E+02   6.8345414E+02   6.8345414E+02   6.8345414E+02   6.8261547E+02   6.8345414E+02   6.8345414E+02   6.8345414E+02   6.8210826E+02   6.8265406E+02   6.8265406E+02   6.8345414E+02   6.8357628E+02   6.8265406E+02   6.8430070E+02   6.8345414E+02   6.8345414E+02   6.8345414E+02   6.8261547E+02   6.8345414E+02   6.8261547E+02   6.8357628E+02   6.8345414E+02   6.8345414E+02   6.8345414E+02   6.8261547E+02   6.8261547E+02   6.8345414E+02   6.8345414E+02   6.8261547E+02   6.8261547E+02   6.8265406E+02   6.8345414E+02   6.8345414E+02   6.8345414E+02   6.8265406E+02   6.8357628E+02   6.8261547E+02   6.8265406E+02   6.8345414E+02   6.8261547E+02   6.8261547E+02   6.8345414E+02   6.8261547E+02   6.8345414E+02   6.8345414E+02   6.8345414E+02   6.8345414E+02   6.8210826E+02   6.8345414E+02   6.8345414E+02   6.8261547E+02   6.8261547E+02   6.8210826E+02   6.8261547E+02   6.8210826E+02   6.8261547E+02   6.8345414E+02   6.8210826E+02   6.8345414E+02   6.8210826E+02   6.8261547E+02   6.8210826E+02   6.8210826E+02   6.8345414E+02   6.8261547E+02   6.8345414E+02   6.8345414E+02   6.8265406E+02   6.8407590E+02   6.8345414E+02   6.8261547E+02   6.8345414E+02   6.8345414E+02   6.8345414E+02   6.8210826E+02   6.8261547E+02   6.8261547E+02   6.8265406E+02   6.8210826E+02   6.8381612E+02   6.8345414E+02   6.8345414E+02   6.8261547E+02   6.8265406E+02   6.8345414E+02   6.8345414E+02   6.8345414E+02   6.8265406E+02   6.8345414E+02   6.8345414E+02   6.8210826E+02   6.8345414E+02   6.8345414E+02   6.8345414E+02   6.8261547E+02   6.8345414E+02   6.8265406E+02   6.8345414E+02   6.8345414E+02   6.8381612E+02   6.8210826E+02   6.8210826E+02   6.8265406E+02   6.8261547E+02   6.8345414E+02   6.8210826E+02   6.8265406E+02   6.8402527E+02   6.8345414E+02   6.8345414E+02   6.8345414E+02   6.8345414E+02   6.8402527E+02   6.8265406E+02  
