Iter  Part  GoF  Model_Output  
1  1   7.9008217E+02   7.9008217E+02  
1  2   8.3188696E+02   8.3188696E+02  
1  3   7.7751682E+02   7.7751682E+02  
1  4   8.9118799E+02   8.9118799E+02  
1  5   7.5742130E+02   7.5742130E+02  
1  6   8.0199366E+02   8.0199366E+02  
1  7   7.8028317E+02   7.8028317E+02  
1  8   7.4245869E+02   7.4245869E+02  
1  9   7.8475757E+02   7.8475757E+02  
1  10   9.1550103E+02   9.1550103E+02  
1  11   7.3609295E+02   7.3609295E+02  
1  12   7.5647050E+02   7.5647050E+02  
1  13   7.2657809E+02   7.2657809E+02  
1  14   8.0489084E+02   8.0489084E+02  
1  15   9.5161287E+02   9.5161287E+02  
1  16   7.7704875E+02   7.7704875E+02  
1  17   8.2527048E+02   8.2527048E+02  
1  18   8.0562605E+02   8.0562605E+02  
1  19   7.5546996E+02   7.5546996E+02  
1  20   7.7608995E+02   7.7608995E+02  
1  21   7.9853158E+02   7.9853158E+02  
1  22   8.1648451E+02   8.1648451E+02  
1  23   7.9338226E+02   7.9338226E+02  
1  24   7.3384383E+02   7.3384383E+02  
1  25   8.2185354E+02   8.2185354E+02  
1  26   8.1271655E+02   8.1271655E+02  
1  27   8.9294232E+02   8.9294232E+02  
1  28   8.2780245E+02   8.2780245E+02  
1  29   7.9515609E+02   7.9515609E+02  
1  30   6.9771583E+02   6.9771583E+02  
1  31   7.7976301E+02   7.7976301E+02  
1  32   8.7192506E+02   8.7192506E+02  
1  33   7.5659923E+02   7.5659923E+02  
1  34   7.8498017E+02   7.8498017E+02  
1  35   7.0743905E+02   7.0743905E+02  
1  36   7.7053959E+02   7.7053959E+02  
1  37   7.7727923E+02   7.7727923E+02  
1  38   9.8387954E+02   9.8387954E+02  
1  39   8.0931657E+02   8.0931657E+02  
1  40   7.1557060E+02   7.1557060E+02  
1  41   7.8338393E+02   7.8338393E+02  
1  42   7.4537948E+02   7.4537948E+02  
1  43   7.4910817E+02   7.4910817E+02  
1  44   8.0566787E+02   8.0566787E+02  
1  45   7.9623069E+02   7.9623069E+02  
1  46   7.8294603E+02   7.8294603E+02  
1  47   9.9820445E+02   9.9820445E+02  
1  48   8.1219682E+02   8.1219682E+02  
1  49   7.8471091E+02   7.8471091E+02  
1  50   9.8984213E+02   9.8984213E+02  
1  51   7.2282134E+02   7.2282134E+02  
1  52   8.1498645E+02   8.1498645E+02  
1  53   7.3859045E+02   7.3859045E+02  
1  54   7.3145143E+02   7.3145143E+02  
1  55   8.3361938E+02   8.3361938E+02  
1  56   7.0604322E+02   7.0604322E+02  
1  57   8.4218717E+02   8.4218717E+02  
1  58   7.2377017E+02   7.2377017E+02  
1  59   8.2727199E+02   8.2727199E+02  
1  60   7.2051445E+02   7.2051445E+02  
1  61   7.6916895E+02   7.6916895E+02  
1  62   7.6256975E+02   7.6256975E+02  
1  63   7.1475675E+02   7.1475675E+02  
1  64   7.6263192E+02   7.6263192E+02  
1  65   9.1597449E+02   9.1597449E+02  
1  66   9.1469124E+02   9.1469124E+02  
1  67   7.4325286E+02   7.4325286E+02  
1  68   7.5399418E+02   7.5399418E+02  
1  69   7.1728005E+02   7.1728005E+02  
1  70   7.4860686E+02   7.4860686E+02  
1  71   7.9218286E+02   7.9218286E+02  
1  72   7.7098745E+02   7.7098745E+02  
1  73   7.2238949E+02   7.2238949E+02  
1  74   8.0103712E+02   8.0103712E+02  
1  75   7.3056213E+02   7.3056213E+02  
1  76   7.9595597E+02   7.9595597E+02  
1  77   8.1955990E+02   8.1955990E+02  
1  78   8.7063994E+02   8.7063994E+02  
1  79   8.1493928E+02   8.1493928E+02  
1  80   7.6397757E+02   7.6397757E+02  
1  81   7.6720978E+02   7.6720978E+02  
1  82   7.0446045E+02   7.0446045E+02  
1  83   7.7318791E+02   7.7318791E+02  
1  84   7.6613346E+02   7.6613346E+02  
1  85   9.3506367E+02   9.3506367E+02  
1  86   9.2761633E+02   9.2761633E+02  
1  87   7.4548732E+02   7.4548732E+02  
1  88   9.1719261E+02   9.1719261E+02  
1  89   7.1881752E+02   7.1881752E+02  
1  90   7.7303152E+02   7.7303152E+02  
