Iter    Part1    Part2    Part3    Part4    Part5    Part6    Part7    Part8    Part9    Part10    Part11    Part12    Part13    Part14    Part15    Part16    Part17    Part18    Part19    Part20    Part21    Part22    Part23    Part24    Part25    Part26    Part27    Part28    Part29    Part30    Part31    Part32    Part33    Part34    Part35    Part36    Part37    Part38    Part39    Part40    Part41    Part42    Part43    Part44    Part45    Part46    Part47    Part48    Part49    Part50    Part51    Part52    Part53    Part54    Part55    Part56    Part57    Part58    Part59    Part60    Part61    Part62    Part63    Part64    Part65    Part66    Part67    Part68    Part69    Part70    Part71    Part72    Part73    Part74    Part75    Part76    Part77    Part78    Part79    Part80    Part81    Part82    Part83    Part84    Part85    Part86    Part87    Part88    Part89    Part90    Part91    Part92    Part93    Part94    Part95    Part96    Part97    Part98    Part99    Part100    Part101    Part102    Part103    Part104    Part105    Part106    Part107    Part108    Part109    Part110    Part111    Part112    Part113    Part114    Part115    Part116    Part117    Part118    Part119    Part120    Part121    Part122    Part123    Part124    Part125    Part126    Part127  
1   7.9008217E+02   8.3188696E+02   7.7751682E+02   8.9118799E+02   7.5742130E+02   8.0199366E+02   7.8028317E+02   7.4245869E+02   7.8475757E+02   9.1550103E+02   7.3609295E+02   7.5647050E+02   7.2657809E+02   8.0489084E+02   9.5161287E+02   7.7704875E+02   8.2527048E+02   8.0562605E+02   7.5546996E+02   7.7608995E+02   7.9853158E+02   8.1648451E+02   7.9338226E+02   7.3384383E+02   8.2185354E+02   8.1271655E+02   8.9294232E+02   8.2780245E+02   7.9515609E+02   6.9771583E+02   7.7976301E+02   8.7192506E+02   7.5659923E+02   7.8498017E+02   7.0743905E+02   7.7053959E+02   7.7727923E+02   9.8387954E+02   8.0931657E+02   7.1557060E+02   7.8338393E+02   7.4537948E+02   7.4910817E+02   8.0566787E+02   7.9623069E+02   7.8294603E+02   9.9820445E+02   8.1219682E+02   7.8471091E+02   9.8984213E+02   7.2282134E+02   8.1498645E+02   7.3859045E+02   7.3145143E+02   8.3361938E+02   7.0604322E+02   8.4218717E+02   7.2377017E+02   8.2727199E+02   7.2051445E+02   7.6916895E+02   7.6256975E+02   7.1475675E+02   7.6263192E+02   9.1597449E+02   9.1469124E+02   7.4325286E+02   7.5399418E+02   7.1728005E+02   7.4860686E+02   7.9218286E+02   7.7098745E+02   7.2238949E+02   8.0103712E+02   7.3056213E+02   7.9595597E+02   8.1955990E+02   8.7063994E+02   8.1493928E+02   7.6397757E+02   7.6720978E+02   7.0446045E+02   7.7318791E+02   7.6613346E+02   9.3506367E+02   9.2761633E+02   7.4548732E+02   9.1719261E+02   7.1881752E+02   7.7303152E+02   7.8515438E+02   7.8613451E+02   7.9956016E+02   9.9556858E+02   7.6383978E+02   7.7555463E+02   7.6559384E+02   7.6767384E+02   7.5649397E+02   8.3850279E+02   7.4489527E+02   7.4936693E+02   7.3496471E+02   7.5333489E+02   7.6323261E+02   8.4942056E+02   8.3110623E+02   8.6954390E+02   7.9756383E+02   7.7958681E+02   7.9674818E+02   7.2223182E+02   7.8093189E+02   9.3444940E+02   8.6743543E+02   7.4638044E+02   7.0821162E+02   7.7074736E+02   7.2549446E+02   7.9049944E+02   7.9049335E+02   8.7300910E+02   7.8815568E+02   7.4514941E+02   8.2805581E+02   7.2560495E+02   7.9964854E+02  
2   7.4000216E+02   7.7441246E+02   7.8228938E+02   8.1377724E+02   7.8806192E+02   7.0322171E+02   7.4292061E+02   7.1291408E+02   7.5125329E+02   7.8063417E+02   6.9785528E+02   7.8675129E+02   7.7464939E+02   7.6223463E+02   7.5469318E+02   7.6847437E+02   7.6456535E+02   7.6846154E+02   7.8332126E+02   7.9831087E+02   8.2262311E+02   6.9684285E+02   7.4780406E+02   7.1706471E+02   7.4203151E+02   7.6038440E+02   8.5474646E+02   7.7215955E+02   7.3241879E+02   7.6659496E+02   7.6110161E+02   7.7886520E+02   7.2971230E+02   8.0596420E+02   7.4938018E+02   7.5601048E+02   7.3805844E+02   7.4511123E+02   7.4256738E+02   7.4449567E+02   8.7162456E+02   7.3035978E+02   7.5407365E+02   8.0070827E+02   7.6987125E+02   8.0300370E+02   8.8762158E+02   7.7325787E+02   7.9798755E+02   8.0977306E+02   7.6398056E+02   8.6971693E+02   8.9215529E+02   7.2411650E+02   8.6467981E+02   8.2130756E+02   7.4035604E+02   7.4395551E+02   8.3270373E+02   7.1773432E+02   7.7694086E+02   8.5829845E+02   8.3965920E+02   7.1622164E+02   7.1064126E+02   7.5067200E+02   8.0492943E+02   7.0391220E+02   1.0534111E+03   7.5243498E+02   7.4263497E+02   7.7498897E+02   7.6717479E+02   7.3112289E+02   7.0168859E+02   7.3161477E+02   7.8219385E+02   7.4176228E+02   7.0724352E+02   8.7364260E+02   7.3517343E+02   7.5710591E+02   7.5313248E+02   7.7729393E+02   7.8307803E+02   8.5236268E+02   8.8782593E+02   7.7385720E+02   7.8059546E+02   7.3844047E+02   8.3027706E+02   7.9276120E+02   7.6004105E+02   7.3613769E+02   7.6431707E+02   7.8761610E+02   7.8086105E+02   8.1815287E+02   7.2259894E+02   7.3058619E+02   7.3288996E+02   7.6501742E+02   7.7971009E+02   7.6345298E+02   7.8173502E+02   8.1778122E+02   7.8623075E+02   8.1455913E+02   7.0944216E+02   8.9875774E+02   7.4474097E+02   7.2525564E+02   7.9343656E+02   7.3519780E+02   8.1011816E+02   8.1013314E+02   7.4811438E+02   7.3274122E+02   7.6425157E+02   8.6161194E+02   8.1308054E+02   7.1128921E+02   7.5492740E+02   8.3007335E+02   7.4932536E+02   7.9730532E+02   7.1861918E+02  
3   8.0476377E+02   7.7467438E+02   7.9488241E+02   7.9675096E+02   8.1600289E+02   7.0964461E+02   7.3638787E+02   7.0197435E+02   7.5197850E+02   7.7163890E+02   7.0490079E+02   8.2869139E+02   7.4139176E+02   7.4522919E+02   7.7053126E+02   1.0453894E+03   7.3512176E+02   7.5828804E+02   8.0314343E+02   7.5248275E+02   7.2978203E+02   7.0255984E+02   7.2302766E+02   7.1419123E+02   6.8954875E+02   7.4000781E+02   8.3550012E+02   7.3364276E+02   7.3898358E+02   7.5542895E+02   6.8711640E+02   7.7118707E+02   7.8596809E+02   7.4117465E+02   7.2239673E+02   7.8483870E+02   8.1802345E+02   6.9699820E+02   7.6135299E+02   9.0829584E+02   9.2974671E+02   7.2651725E+02   7.6374838E+02   7.6629208E+02   8.1208001E+02   7.7745076E+02   7.2886096E+02   7.7942085E+02   8.5917045E+02   7.6977795E+02   7.8902789E+02   7.9158092E+02   8.6084887E+02   7.3972566E+02   7.7950348E+02   8.4952567E+02   7.2242721E+02   7.5770719E+02   8.7278997E+02   7.1857694E+02   8.1825813E+02   8.7547148E+02   8.5020575E+02   7.3375989E+02   6.9046820E+02   7.9547969E+02   8.5318523E+02   7.3191503E+02   8.0281991E+02   9.5659772E+02   8.2173834E+02   7.7950005E+02   7.6453026E+02   7.3151510E+02   7.1629121E+02   7.9150580E+02   8.0295604E+02   6.9647302E+02   6.8345414E+02   1.0388305E+03   7.3158637E+02   7.9581254E+02   7.7193642E+02   7.5373151E+02   8.0040783E+02   7.6745763E+02   7.3695525E+02   7.8942508E+02   7.7156975E+02   6.9975457E+02   8.2192539E+02   7.8481107E+02   7.3973933E+02   7.4285216E+02   7.8147927E+02   7.8745267E+02   7.7825190E+02   9.4548756E+02   7.1552597E+02   7.1252882E+02   7.1523232E+02   7.4377581E+02   7.8431161E+02   7.6666509E+02   7.4453552E+02   8.1048528E+02   7.5752869E+02   7.5100804E+02   7.7622682E+02   9.2455151E+02   7.1040853E+02   7.8789466E+02   7.7356308E+02   7.6312296E+02   8.0013777E+02   1.0414611E+03   7.7467862E+02   7.3329729E+02   8.3124691E+02   7.9705114E+02   8.2556986E+02   7.2181269E+02   7.9319355E+02   7.9722344E+02   7.5957294E+02   7.8882642E+02   7.1206182E+02  
4   8.2081428E+02   7.9393442E+02   8.3810965E+02   7.7109899E+02   8.9517784E+02   7.4322365E+02   7.0379322E+02   7.1635613E+02   7.3945668E+02   7.7685048E+02   7.0487448E+02   8.0796509E+02   7.5601013E+02   7.0561856E+02   7.2631717E+02   7.4933334E+02   7.2534706E+02   7.7155910E+02   7.4933187E+02   7.0986263E+02   7.2130886E+02   7.8751522E+02   7.1776808E+02   7.2897498E+02   7.1313146E+02   7.8727861E+02   8.2481505E+02   6.9224477E+02   7.3513581E+02   7.2026293E+02   6.9348482E+02   7.0258273E+02   8.5041333E+02   7.6426460E+02   7.8102747E+02   8.2088559E+02   7.7384231E+02   6.9423165E+02   8.8315474E+02   9.6017829E+02   8.1657438E+02   7.0367510E+02   7.2003070E+02   7.3967288E+02   7.9823615E+02   7.6307906E+02   7.5725949E+02   7.8668935E+02   8.0911801E+02   7.0592188E+02   7.2700949E+02   7.8552422E+02   7.6745226E+02   7.4260556E+02   6.9639298E+02   7.8673788E+02   7.1474532E+02   7.3993247E+02   8.3223689E+02   7.3408889E+02   7.4708703E+02   9.2835907E+02   8.1304278E+02   7.2507949E+02   7.0435276E+02   7.4972285E+02   7.5069277E+02   7.5861301E+02   7.7637735E+02   1.0494365E+03   6.8876467E+02   7.4941289E+02   7.6916995E+02   7.7602188E+02   7.5500225E+02   8.1241588E+02   8.1709965E+02   7.0283242E+02   6.8572175E+02   7.8101475E+02   7.3969058E+02   7.8320562E+02   7.3356268E+02   7.1082371E+02   7.5650923E+02   8.2165652E+02   7.3329331E+02   7.7957186E+02   7.3971746E+02   7.1029612E+02   7.2641630E+02   7.9542964E+02   7.4274897E+02   7.5464313E+02   7.7444473E+02   7.3472194E+02   7.4245708E+02   1.0440812E+03   7.1524352E+02   7.0417491E+02   7.0878345E+02   7.7734524E+02   7.4960066E+02   7.4070360E+02   7.1887977E+02   7.2962603E+02   7.6043272E+02   7.1175236E+02   7.0590625E+02   8.5335249E+02   7.0963829E+02   7.7375359E+02   7.4585878E+02   7.4586497E+02   7.7161049E+02   7.9694299E+02   7.4332287E+02   7.4622907E+02   7.9859411E+02   7.6203072E+02   8.1160276E+02   8.4353313E+02   8.5577623E+02   7.7429494E+02   7.7667696E+02   7.3814870E+02   7.2751883E+02  
5   7.7264646E+02   7.4908892E+02   7.5005704E+02   7.5858597E+02   7.9665246E+02   7.6696139E+02   7.0156541E+02   7.2434550E+02   7.1280403E+02   7.5007758E+02   6.8483197E+02   7.1542421E+02   7.6934453E+02   6.9963739E+02   7.0942546E+02   7.7678287E+02   7.3363601E+02   7.4168599E+02   7.5190828E+02   7.1708023E+02   7.0503867E+02   8.2484876E+02   7.1535219E+02   7.2020278E+02   7.4863776E+02   9.5402436E+02   8.0995095E+02   6.9072322E+02   7.4472825E+02   7.1259987E+02   7.0523649E+02   6.9326476E+02   7.9096895E+02   7.6165005E+02   8.0758151E+02   7.7611818E+02   7.4328146E+02   6.9824684E+02   8.8966989E+02   7.7266335E+02   7.3420960E+02   6.9805599E+02   6.9225307E+02   7.1806921E+02   7.1769407E+02   7.4638407E+02   7.1658356E+02   8.0457249E+02   7.7375075E+02   6.9531100E+02   7.0035382E+02   7.3019404E+02   7.5296277E+02   7.2408696E+02   6.9512840E+02   7.4228492E+02   7.2689813E+02   7.0537488E+02   7.3909506E+02   7.6112557E+02   7.3881508E+02   8.8102021E+02   7.2523876E+02   7.1053716E+02   6.9935206E+02   7.3297350E+02   7.8124602E+02   7.4744864E+02   7.4377018E+02   7.8246376E+02   6.9984650E+02   7.2393068E+02   7.5509801E+02   7.3395818E+02   7.4282134E+02   7.8602365E+02   7.4571953E+02   7.1101002E+02   6.9133432E+02   7.0361928E+02   7.3996329E+02   7.4714897E+02   7.0183707E+02   6.9198805E+02   7.2874471E+02   7.6986996E+02   7.2490452E+02   7.3282447E+02   7.0092052E+02   7.0141814E+02   6.9583980E+02   8.4491594E+02   7.2298035E+02   7.3988927E+02   7.2573676E+02   7.7196559E+02   7.2143049E+02   7.2757347E+02   7.0117631E+02   6.9824162E+02   7.0847219E+02   7.7443635E+02   7.4586058E+02   7.1736517E+02   7.1307902E+02   7.1205905E+02   7.6088219E+02   6.9249065E+02   6.9925525E+02   7.8299363E+02   7.0439179E+02   7.3092095E+02   7.4043991E+02   7.4213011E+02   7.4812846E+02   7.6128459E+02   7.1376871E+02   7.4180882E+02   7.4516375E+02   7.5822194E+02   8.0123072E+02   8.2155653E+02   7.9100282E+02   7.1803906E+02   7.6836449E+02   6.8999615E+02   7.5741548E+02  
6   7.2489450E+02   7.1182294E+02   7.6984538E+02   7.1457182E+02   7.4394211E+02   7.4264525E+02   7.0126844E+02   7.0620010E+02   7.0201764E+02   7.3215106E+02   6.9713965E+02   7.1139097E+02   7.5835210E+02   7.3401932E+02   7.2646168E+02   7.6875462E+02   7.2527582E+02   7.0131203E+02   7.6247823E+02   7.2521331E+02   7.1705653E+02   7.1614389E+02   7.3374809E+02   7.1012008E+02   7.5500139E+02   1.0069335E+03   7.7224439E+02   6.8847581E+02   7.2944310E+02   6.9973702E+02   7.0373465E+02   6.8860637E+02   7.1977038E+02   7.1319757E+02   7.9133824E+02   7.4073237E+02   7.4040959E+02   7.1014655E+02   8.1765200E+02   7.2238684E+02   7.2941347E+02   6.9640268E+02   6.9232202E+02   7.1929525E+02   6.9598245E+02   7.2037378E+02   6.9119128E+02   8.6225662E+02   7.9437039E+02   6.9526082E+02   7.5725704E+02   7.0550084E+02   6.9664790E+02   7.1121197E+02   6.9266595E+02   7.2746741E+02   7.2983892E+02   7.2415395E+02   7.6111387E+02   8.7773569E+02   7.6818538E+02   7.4915770E+02   7.0448848E+02   6.9252143E+02   6.9535367E+02   7.1803057E+02   7.2183138E+02   7.2019626E+02   7.2403367E+02   7.6815900E+02   7.0288386E+02   6.9835029E+02   8.6106092E+02   7.2930578E+02   6.8723067E+02   7.3685812E+02   7.1002312E+02   6.9806269E+02   6.9712676E+02   7.1383621E+02   7.8136702E+02   7.2423657E+02   6.9478355E+02   6.9505481E+02   7.2330884E+02   7.2355609E+02   7.1966823E+02   7.1807187E+02   7.1611006E+02   7.1750924E+02   6.9504883E+02   7.7767965E+02   7.1638262E+02   6.8718671E+02   7.0556648E+02   7.7251510E+02   7.2473029E+02   7.2932885E+02   7.0635411E+02   6.9375908E+02   7.1533620E+02   7.4731113E+02   7.5615665E+02   7.1588308E+02   7.3225861E+02   7.1726793E+02   7.2844731E+02   6.9104909E+02   6.9379694E+02   7.4784599E+02   7.0718399E+02   6.9626618E+02   7.3470830E+02   7.1326824E+02   7.1162650E+02   7.6639175E+02   6.9019956E+02   7.4033716E+02   7.1099953E+02   7.0978957E+02   7.9755944E+02   7.4716175E+02   7.2453688E+02   7.2314901E+02   7.7779754E+02   6.8681066E+02   7.3877151E+02  
7   7.2321143E+02   7.0243669E+02   7.2331869E+02   6.8896878E+02   7.4995848E+02   7.0802055E+02   6.9879321E+02   6.8779841E+02   6.9075365E+02   7.2021892E+02   7.3320290E+02   7.4516868E+02   7.2790196E+02   7.4638891E+02   7.5020892E+02   7.3760591E+02   7.1634160E+02   6.9298033E+02   7.2566030E+02   7.3428277E+02   7.1670884E+02   7.2982049E+02   7.2795921E+02   7.0857910E+02   7.0971499E+02   7.1139510E+02   7.4416273E+02   6.9358339E+02   7.4660432E+02   6.9451310E+02   7.0433445E+02   7.0121558E+02   7.1269070E+02   7.3223929E+02   7.3456666E+02   7.1185456E+02   7.2873697E+02   7.0851548E+02   7.8900984E+02   7.1659963E+02   7.6310189E+02   7.2986277E+02   7.0298179E+02   7.3729679E+02   7.0938492E+02   7.0136884E+02   6.8407590E+02   8.0248760E+02   7.1154235E+02   6.9893664E+02   7.8878987E+02   6.9067493E+02   8.2983573E+02   6.9880934E+02   6.8935059E+02   6.9404353E+02   7.3133758E+02   7.2837141E+02   7.5894334E+02   8.5379027E+02   8.1467402E+02   6.9508207E+02   6.9367402E+02   6.9849398E+02   6.9939931E+02   7.0180396E+02   7.6770630E+02   7.1622956E+02   7.3603108E+02   7.4684496E+02   6.9528816E+02   6.8873224E+02   9.2685565E+02   7.2745610E+02   6.8925174E+02   6.9776695E+02   6.9584502E+02   6.8957278E+02   6.9938122E+02   7.5506953E+02   6.9973499E+02   7.2397219E+02   7.0764443E+02   6.8800127E+02   6.9724952E+02   7.0470711E+02   6.9669733E+02   7.0519664E+02   7.0102913E+02   7.0595008E+02   6.9331249E+02   7.0988066E+02   7.2279077E+02   7.5802411E+02   6.9122679E+02   6.8645839E+02   7.4156311E+02   7.5408022E+02   7.0731536E+02   6.9585468E+02   7.2018592E+02   7.2240776E+02   8.0322901E+02   7.5367099E+02   7.4390861E+02   7.0707328E+02   6.9205454E+02   6.9259077E+02   7.0207428E+02   7.1689327E+02   7.2287543E+02   7.1840691E+02   7.2867884E+02   7.3449846E+02   7.4479403E+02   7.5322065E+02   6.8673334E+02   6.9348140E+02   7.0078372E+02   6.9809433E+02   7.4708368E+02   6.9951453E+02   7.6722155E+02   7.2885245E+02   7.5981677E+02   6.8994551E+02   6.9178666E+02  
8   7.1325707E+02   7.0159205E+02   7.1260159E+02   6.9186314E+02   7.2637384E+02   6.8466672E+02   6.9079043E+02   6.8595728E+02   6.8630467E+02   7.1501644E+02   7.1485998E+02   7.9551143E+02   6.9743677E+02   7.4815453E+02   7.1755790E+02   7.1225378E+02   6.9006519E+02   6.9233493E+02   7.0377428E+02   7.0160681E+02   7.1093103E+02   7.5285300E+02   7.2455036E+02   6.9456244E+02   6.8650151E+02   6.8894203E+02   7.2442888E+02   6.8810662E+02   7.5219229E+02   6.9189146E+02   6.9508030E+02   7.2244372E+02   7.0609118E+02   6.9933289E+02   6.9682804E+02   7.0094050E+02   7.2797225E+02   7.1502429E+02   7.0512125E+02   7.1660952E+02   7.3178639E+02   7.1382015E+02   7.0663562E+02   7.3151913E+02   7.0796053E+02   6.8994009E+02   6.8732621E+02   7.0820559E+02   6.8564441E+02   7.8141205E+02   7.8246026E+02   6.9196055E+02   7.5262099E+02   7.3117226E+02   6.8914652E+02   6.8943068E+02   7.1910871E+02   7.1820045E+02   7.2493102E+02   8.1079656E+02   7.5057437E+02   6.8658291E+02   6.8729784E+02   7.5694766E+02   6.9579697E+02   6.9544374E+02   7.7880321E+02   7.3855116E+02   7.2086057E+02   7.1935670E+02   6.8757234E+02   7.3546201E+02   6.9583185E+02   7.0743930E+02   7.7618610E+02   6.9721070E+02   6.9007523E+02   6.9203965E+02   6.9521248E+02   7.0165722E+02   6.8711871E+02   7.4888148E+02   7.0522501E+02   6.9137934E+02   6.9852058E+02   6.8357628E+02   6.9479061E+02   7.0418382E+02   6.9132790E+02   6.9466273E+02   6.9072415E+02   6.8819730E+02   7.2510163E+02   6.9574932E+02   7.1054217E+02   6.8675614E+02   7.3528991E+02   7.2307321E+02   7.0452525E+02   6.9235753E+02   7.3059886E+02   7.1008469E+02   6.8844846E+02   7.0970734E+02   7.2807442E+02   6.9409199E+02   7.4126430E+02   6.9096625E+02   7.0597489E+02   7.0178285E+02   7.1737963E+02   7.4472834E+02   7.2303720E+02   7.1914973E+02   7.2534987E+02   7.1772758E+02   6.9132626E+02   6.9714022E+02   6.8812800E+02   6.9733616E+02   6.9505841E+02   6.8525048E+02   7.4228396E+02   7.1531310E+02   7.3346399E+02   6.8810469E+02   6.9129624E+02  
9   7.0678396E+02   6.9277371E+02   7.1031564E+02   6.9241158E+02   7.0168317E+02   6.8483965E+02   6.8958430E+02   6.8831692E+02   6.8560587E+02   7.0310350E+02   6.9827236E+02   7.2867314E+02   6.9233269E+02   7.1510857E+02   6.8866600E+02   7.2249884E+02   6.8478775E+02   6.9250108E+02   6.9283125E+02   6.9164488E+02   6.9693456E+02   6.9250630E+02   7.1335607E+02   6.8954380E+02   6.8855559E+02   6.9430014E+02   6.9536953E+02   6.8684173E+02   7.1589981E+02   7.1030584E+02   6.8650155E+02   7.5743084E+02   7.1111686E+02   6.8741439E+02   7.0226722E+02   6.8806822E+02   7.1297597E+02   7.2861556E+02   6.9965352E+02   7.0977320E+02   7.0710339E+02   7.0064064E+02   7.1159166E+02   6.9259246E+02   6.9608977E+02   6.8430070E+02   6.8750698E+02   6.9406005E+02   6.9169295E+02   6.9341340E+02   7.2017519E+02   6.8946283E+02   7.2093037E+02   7.5054983E+02   6.9062304E+02   6.9703033E+02   7.0415669E+02   6.9924294E+02   7.0558915E+02   7.1780569E+02   6.9793139E+02   6.9305291E+02   6.9091817E+02   7.2256943E+02   6.8665292E+02   6.8998075E+02   7.3537977E+02   7.3481260E+02   6.9661750E+02   7.2519587E+02   7.2218927E+02   6.9158975E+02   7.0098006E+02   6.9504048E+02   7.7642756E+02   6.9525517E+02   6.8648199E+02   7.0182887E+02   6.8862175E+02   6.9461890E+02   6.8381612E+02   7.8947260E+02   7.2424886E+02   6.8907712E+02   6.9371458E+02   6.8690462E+02   6.8831124E+02   7.0740869E+02   6.9885735E+02   7.0300141E+02   6.9004544E+02   6.8659250E+02   7.0736198E+02   7.0031311E+02   7.0273976E+02   6.9960842E+02   7.0309982E+02   7.0613110E+02   7.1568826E+02   6.9312711E+02   7.2739429E+02   6.9840900E+02   7.0244547E+02   6.9918461E+02   7.0923192E+02   6.8443057E+02   6.8934315E+02   6.8840855E+02   7.1403602E+02   6.9346362E+02   6.9514674E+02   7.3650498E+02   7.0557502E+02   7.4608340E+02   6.9741281E+02   6.9109670E+02   6.9551458E+02   6.9679109E+02   6.8402527E+02   7.0079472E+02   6.9100793E+02   6.8524513E+02   7.1791032E+02   6.9244167E+02   7.1585659E+02   6.9348627E+02   6.9376456E+02  
10   6.9912640E+02   6.9239468E+02   7.0943045E+02   6.8817155E+02   6.8932918E+02   7.0010701E+02   6.8829330E+02   6.8548430E+02   6.8526504E+02   6.9576049E+02   6.8360922E+02   7.0505619E+02   7.0149814E+02   6.8881135E+02   6.9480834E+02   6.8860589E+02   6.8791310E+02   8.2628058E+02   6.8732440E+02   6.8940193E+02   6.8684433E+02   6.9448367E+02   6.9774940E+02   6.9092044E+02   6.9228525E+02   7.0103052E+02   7.0752698E+02   6.8602328E+02   6.9221352E+02   7.0811291E+02   6.8956318E+02   7.7221281E+02   7.1627836E+02   6.9348057E+02   7.0163037E+02   6.8733532E+02   6.9240279E+02   6.8841976E+02   7.0716784E+02   7.0950876E+02   7.0343730E+02   6.9664000E+02   7.0224126E+02   6.8768532E+02   6.9073630E+02   6.8635424E+02   6.8590630E+02   7.0779560E+02   7.0395046E+02   6.8717304E+02   7.1647774E+02   6.8561010E+02   7.1076080E+02   7.2146337E+02   6.9033307E+02   6.9830445E+02   7.0441962E+02   6.9081548E+02   7.2093422E+02   7.0993724E+02   6.9514079E+02   7.0015341E+02   6.9027959E+02   7.2068454E+02   6.8261547E+02   6.8767144E+02   6.9822255E+02   7.2481030E+02   6.8973313E+02   7.2957571E+02   6.9966380E+02   6.8724072E+02   7.0842052E+02   6.9629644E+02   6.8210826E+02   6.9256805E+02   6.8622162E+02   7.0898275E+02   6.8710452E+02   6.9992994E+02   6.8265406E+02   7.4916505E+02   6.9256477E+02   6.9322194E+02   6.9308894E+02   6.9365885E+02   6.8712581E+02   7.1070838E+02   6.9298760E+02   7.0414509E+02   6.9041685E+02   6.8729431E+02   6.8827902E+02   6.9764134E+02   6.8998629E+02   6.9950898E+02   6.8759131E+02   7.0112853E+02   6.9328542E+02   6.9506856E+02   7.2250564E+02   6.9346680E+02   6.9573103E+02   6.9022360E+02   6.9031596E+02   6.8471297E+02   6.9514952E+02   6.8519743E+02   7.0395324E+02   6.9995522E+02   6.8417385E+02   7.2005827E+02   6.8906236E+02   8.7270313E+02   6.8855825E+02   6.9916653E+02   6.8503770E+02   6.9988867E+02   6.9107716E+02   6.9883166E+02   6.9555729E+02   6.8466609E+02   7.0042241E+02   6.8370675E+02   7.1255828E+02   6.9358268E+02   6.9573791E+02  
