Iter  Part1  Part2  Part3  Part4  Part5  Part6  Part7  Part8  Part9  Part10  Part11  Part12  Part13  Part14  Part15  Part16  Part17  Part18  Part19  Part20  Part21  Part22  Part23  Part24  Part25  Part26  Part27  Part28  Part29  Part30  Part31  Part32  Part33  Part34  Part35  Part36  Part37  Part38  Part39  Part40  Part41  Part42  Part43  Part44  Part45  Part46  Part47  Part48  Part49  Part50  Part51  Part52  Part53  Part54  Part55  Part56  Part57  Part58  Part59  Part60  Part61  Part62  Part63  Part64  Part65  Part66  Part67  Part68  Part69  Part70  Part71  Part72  Part73  Part74  Part75  Part76  Part77  Part78  Part79  Part80  Part81  Part82  Part83  Part84  Part85  Part86  Part87  Part88  Part89  Part90  Part91  Part92  Part93  Part94  Part95  Part96  Part97  Part98  Part99  Part100  Part101  Part102  Part103  Part104  Part105  Part106  Part107  Part108  Part109  Part110  Part111  Part112  Part113  Part114  Part115  Part116  Part117  Part118  Part119  Part120  Part121  Part122  Part123  Part124  Part125  Part126  Part127  
1   7.9008217E+02   8.3188696E+02   7.7751682E+02   8.9118799E+02   7.5742130E+02   8.0199366E+02   7.8028317E+02   7.4245869E+02   7.8475757E+02   9.1550103E+02   7.3609295E+02   7.5647050E+02   7.2657809E+02   8.0489084E+02   9.5161287E+02   7.7704875E+02   8.2527048E+02   8.0562605E+02   7.5546996E+02   7.7608995E+02   7.9853158E+02   8.1648451E+02   7.9338226E+02   7.3384383E+02   8.2185354E+02   8.1271655E+02   8.9294232E+02   8.2780245E+02   7.9515609E+02   6.9771583E+02   7.7976301E+02   8.7192506E+02   7.5659923E+02   7.8498017E+02   7.0743905E+02   7.7053959E+02   7.7727923E+02   9.8387954E+02   8.0931657E+02   7.1557060E+02   7.8338393E+02   7.4537948E+02   7.4910817E+02   8.0566787E+02   7.9623069E+02   7.8294603E+02   9.9820445E+02   8.1219682E+02   7.8471091E+02   9.8984213E+02   7.2282134E+02   8.1498645E+02   7.3859045E+02   7.3145143E+02   8.3361938E+02   7.0604322E+02   8.4218717E+02   7.2377017E+02   8.2727199E+02   7.2051445E+02   7.6916895E+02   7.6256975E+02   7.1475675E+02   7.6263192E+02   9.1597449E+02   9.1469124E+02   7.4325286E+02   7.5399418E+02   7.1728005E+02   7.4860686E+02   7.9218286E+02   7.7098745E+02   7.2238949E+02   8.0103712E+02   7.3056213E+02   7.9595597E+02   8.1955990E+02   8.7063994E+02   8.1493928E+02   7.6397757E+02   7.6720978E+02   7.0446045E+02   7.7318791E+02   7.6613346E+02   9.3506367E+02   9.2761633E+02   7.4548732E+02   9.1719261E+02   7.1881752E+02   7.7303152E+02   7.8515438E+02   7.8613451E+02   7.9956016E+02   9.9556858E+02   7.6383978E+02   7.7555463E+02   7.6559384E+02   7.6767384E+02   7.5649397E+02   8.3850279E+02   7.4489527E+02   7.4936693E+02   7.3496471E+02   7.5333489E+02   7.6323261E+02   8.4942056E+02   8.3110623E+02   8.6954390E+02   7.9756383E+02   7.7958681E+02   7.9674818E+02   7.2223182E+02   7.8093189E+02   9.3444940E+02   8.6743543E+02   7.4638044E+02   7.0821162E+02   7.7074736E+02   7.2549446E+02   7.9049944E+02   7.9049335E+02   8.7300910E+02   7.8815568E+02   7.4514941E+02   8.2805581E+02   7.2560495E+02   7.9964854E+02  
2   7.4000216E+02   7.7441246E+02   7.7751682E+02   8.1377724E+02   7.5742130E+02   7.0322171E+02   7.4292061E+02   7.1291408E+02   7.5125329E+02   7.8063417E+02   6.9785528E+02   7.5647050E+02   7.2657809E+02   7.6223463E+02   7.5469318E+02   7.6847437E+02   7.6456535E+02   7.6846154E+02   7.5546996E+02   7.7608995E+02   7.9853158E+02   6.9684285E+02   7.4780406E+02   7.1706471E+02   7.4203151E+02   7.6038440E+02   8.5474646E+02   7.7215955E+02   7.3241879E+02   6.9771583E+02   7.6110161E+02   7.7886520E+02   7.2971230E+02   7.8498017E+02   7.0743905E+02   7.5601048E+02   7.3805844E+02   7.4511123E+02   7.4256738E+02   7.1557060E+02   7.8338393E+02   7.3035978E+02   7.4910817E+02   8.0070827E+02   7.6987125E+02   7.8294603E+02   8.8762158E+02   7.7325787E+02   7.8471091E+02   8.0977306E+02   7.2282134E+02   8.1498645E+02   7.3859045E+02   7.2411650E+02   8.3361938E+02   7.0604322E+02   7.4035604E+02   7.2377017E+02   8.2727199E+02   7.1773432E+02   7.6916895E+02   7.6256975E+02   7.1475675E+02   7.1622164E+02   7.1064126E+02   7.5067200E+02   7.4325286E+02   7.0391220E+02   7.1728005E+02   7.4860686E+02   7.4263497E+02   7.7098745E+02   7.2238949E+02   7.3112289E+02   7.0168859E+02   7.3161477E+02   7.8219385E+02   7.4176228E+02   7.0724352E+02   7.6397757E+02   7.3517343E+02   7.0446045E+02   7.5313248E+02   7.6613346E+02   7.8307803E+02   8.5236268E+02   7.4548732E+02   7.7385720E+02   7.1881752E+02   7.3844047E+02   7.8515438E+02   7.8613451E+02   7.6004105E+02   7.3613769E+02   7.6383978E+02   7.7555463E+02   7.6559384E+02   7.6767384E+02   7.2259894E+02   7.3058619E+02   7.3288996E+02   7.4936693E+02   7.3496471E+02   7.5333489E+02   7.6323261E+02   8.1778122E+02   7.8623075E+02   8.1455913E+02   7.0944216E+02   7.7958681E+02   7.4474097E+02   7.2223182E+02   7.8093189E+02   7.3519780E+02   8.1011816E+02   7.4638044E+02   7.0821162E+02   7.3274122E+02   7.2549446E+02   7.9049944E+02   7.9049335E+02   7.1128921E+02   7.5492740E+02   7.4514941E+02   7.4932536E+02   7.2560495E+02   7.1861918E+02  
3   7.4000216E+02   7.7441246E+02   7.7751682E+02   7.9675096E+02   7.5742130E+02   7.0322171E+02   7.3638787E+02   7.0197435E+02   7.5125329E+02   7.7163890E+02   6.9785528E+02   7.5647050E+02   7.2657809E+02   7.4522919E+02   7.5469318E+02   7.6847437E+02   7.3512176E+02   7.5828804E+02   7.5546996E+02   7.5248275E+02   7.2978203E+02   6.9684285E+02   7.2302766E+02   7.1419123E+02   6.8954875E+02   7.4000781E+02   8.3550012E+02   7.3364276E+02   7.3241879E+02   6.9771583E+02   6.8711640E+02   7.7118707E+02   7.2971230E+02   7.4117465E+02   7.0743905E+02   7.5601048E+02   7.3805844E+02   6.9699820E+02   7.4256738E+02   7.1557060E+02   7.8338393E+02   7.2651725E+02   7.4910817E+02   7.6629208E+02   7.6987125E+02   7.7745076E+02   7.2886096E+02   7.7325787E+02   7.8471091E+02   7.6977795E+02   7.2282134E+02   7.9158092E+02   7.3859045E+02   7.2411650E+02   7.7950348E+02   7.0604322E+02   7.2242721E+02   7.2377017E+02   8.2727199E+02   7.1773432E+02   7.6916895E+02   7.6256975E+02   7.1475675E+02   7.1622164E+02   6.9046820E+02   7.5067200E+02   7.4325286E+02   7.0391220E+02   7.1728005E+02   7.4860686E+02   7.4263497E+02   7.7098745E+02   7.2238949E+02   7.3112289E+02   7.0168859E+02   7.3161477E+02   7.8219385E+02   6.9647302E+02   6.8345414E+02   7.6397757E+02   7.3158637E+02   7.0446045E+02   7.5313248E+02   7.5373151E+02   7.8307803E+02   7.6745763E+02   7.3695525E+02   7.7385720E+02   7.1881752E+02   6.9975457E+02   7.8515438E+02   7.8481107E+02   7.3973933E+02   7.3613769E+02   7.6383978E+02   7.7555463E+02   7.6559384E+02   7.6767384E+02   7.1552597E+02   7.1252882E+02   7.1523232E+02   7.4377581E+02   7.3496471E+02   7.5333489E+02   7.4453552E+02   8.1048528E+02   7.5752869E+02   7.5100804E+02   7.0944216E+02   7.7958681E+02   7.1040853E+02   7.2223182E+02   7.7356308E+02   7.3519780E+02   8.0013777E+02   7.4638044E+02   7.0821162E+02   7.3274122E+02   7.2549446E+02   7.9049944E+02   7.9049335E+02   7.1128921E+02   7.5492740E+02   7.4514941E+02   7.4932536E+02   7.2560495E+02   7.1206182E+02  
4   7.4000216E+02   7.7441246E+02   7.7751682E+02   7.7109899E+02   7.5742130E+02   7.0322171E+02   7.0379322E+02   7.0197435E+02   7.3945668E+02   7.7163890E+02   6.9785528E+02   7.5647050E+02   7.2657809E+02   7.0561856E+02   7.2631717E+02   7.4933334E+02   7.2534706E+02   7.5828804E+02   7.4933187E+02   7.0986263E+02   7.2130886E+02   6.9684285E+02   7.1776808E+02   7.1419123E+02   6.8954875E+02   7.4000781E+02   8.2481505E+02   6.9224477E+02   7.3241879E+02   6.9771583E+02   6.8711640E+02   7.0258273E+02   7.2971230E+02   7.4117465E+02   7.0743905E+02   7.5601048E+02   7.3805844E+02   6.9423165E+02   7.4256738E+02   7.1557060E+02   7.8338393E+02   7.0367510E+02   7.2003070E+02   7.3967288E+02   7.6987125E+02   7.6307906E+02   7.2886096E+02   7.7325787E+02   7.8471091E+02   7.0592188E+02   7.2282134E+02   7.8552422E+02   7.3859045E+02   7.2411650E+02   6.9639298E+02   7.0604322E+02   7.1474532E+02   7.2377017E+02   8.2727199E+02   7.1773432E+02   7.4708703E+02   7.6256975E+02   7.1475675E+02   7.1622164E+02   6.9046820E+02   7.4972285E+02   7.4325286E+02   7.0391220E+02   7.1728005E+02   7.4860686E+02   6.8876467E+02   7.4941289E+02   7.2238949E+02   7.3112289E+02   7.0168859E+02   7.3161477E+02   7.8219385E+02   6.9647302E+02   6.8345414E+02   7.6397757E+02   7.3158637E+02   7.0446045E+02   7.3356268E+02   7.1082371E+02   7.5650923E+02   7.6745763E+02   7.3329331E+02   7.7385720E+02   7.1881752E+02   6.9975457E+02   7.2641630E+02   7.8481107E+02   7.3973933E+02   7.3613769E+02   7.6383978E+02   7.3472194E+02   7.4245708E+02   7.6767384E+02   7.1524352E+02   7.0417491E+02   7.0878345E+02   7.4377581E+02   7.3496471E+02   7.4070360E+02   7.1887977E+02   7.2962603E+02   7.5752869E+02   7.1175236E+02   7.0590625E+02   7.7958681E+02   7.0963829E+02   7.2223182E+02   7.4585878E+02   7.3519780E+02   7.7161049E+02   7.4638044E+02   7.0821162E+02   7.3274122E+02   7.2549446E+02   7.6203072E+02   7.9049335E+02   7.1128921E+02   7.5492740E+02   7.4514941E+02   7.4932536E+02   7.2560495E+02   7.1206182E+02  
5   7.4000216E+02   7.4908892E+02   7.5005704E+02   7.5858597E+02   7.5742130E+02   7.0322171E+02   7.0156541E+02   7.0197435E+02   7.1280403E+02   7.5007758E+02   6.8483197E+02   7.1542421E+02   7.2657809E+02   6.9963739E+02   7.0942546E+02   7.4933334E+02   7.2534706E+02   7.4168599E+02   7.4933187E+02   7.0986263E+02   7.0503867E+02   6.9684285E+02   7.1535219E+02   7.1419123E+02   6.8954875E+02   7.4000781E+02   8.0995095E+02   6.9072322E+02   7.3241879E+02   6.9771583E+02   6.8711640E+02   6.9326476E+02   7.2971230E+02   7.4117465E+02   7.0743905E+02   7.5601048E+02   7.3805844E+02   6.9423165E+02   7.4256738E+02   7.1557060E+02   7.3420960E+02   6.9805599E+02   6.9225307E+02   7.1806921E+02   7.1769407E+02   7.4638407E+02   7.1658356E+02   7.7325787E+02   7.7375075E+02   6.9531100E+02   7.0035382E+02   7.3019404E+02   7.3859045E+02   7.2408696E+02   6.9512840E+02   7.0604322E+02   7.1474532E+02   7.0537488E+02   7.3909506E+02   7.1773432E+02   7.3881508E+02   7.6256975E+02   7.1475675E+02   7.1053716E+02   6.9046820E+02   7.3297350E+02   7.4325286E+02   7.0391220E+02   7.1728005E+02   7.4860686E+02   6.8876467E+02   7.2393068E+02   7.2238949E+02   7.3112289E+02   7.0168859E+02   7.3161477E+02   7.4571953E+02   6.9647302E+02   6.8345414E+02   7.0361928E+02   7.3158637E+02   7.0446045E+02   7.0183707E+02   6.9198805E+02   7.2874471E+02   7.6745763E+02   7.2490452E+02   7.3282447E+02   7.0092052E+02   6.9975457E+02   6.9583980E+02   7.8481107E+02   7.2298035E+02   7.3613769E+02   7.2573676E+02   7.3472194E+02   7.2143049E+02   7.2757347E+02   7.0117631E+02   6.9824162E+02   7.0847219E+02   7.4377581E+02   7.3496471E+02   7.1736517E+02   7.1307902E+02   7.1205905E+02   7.5752869E+02   6.9249065E+02   6.9925525E+02   7.7958681E+02   7.0439179E+02   7.2223182E+02   7.4043991E+02   7.3519780E+02   7.4812846E+02   7.4638044E+02   7.0821162E+02   7.3274122E+02   7.2549446E+02   7.5822194E+02   7.9049335E+02   7.1128921E+02   7.5492740E+02   7.1803906E+02   7.4932536E+02   6.8999615E+02   7.1206182E+02  
6   7.2489450E+02   7.1182294E+02   7.5005704E+02   7.1457182E+02   7.4394211E+02   7.0322171E+02   7.0126844E+02   7.0197435E+02   7.0201764E+02   7.3215106E+02   6.8483197E+02   7.1139097E+02   7.2657809E+02   6.9963739E+02   7.0942546E+02   7.4933334E+02   7.2527582E+02   7.0131203E+02   7.4933187E+02   7.0986263E+02   7.0503867E+02   6.9684285E+02   7.1535219E+02   7.1012008E+02   6.8954875E+02   7.4000781E+02   7.7224439E+02   6.8847581E+02   7.2944310E+02   6.9771583E+02   6.8711640E+02   6.8860637E+02   7.1977038E+02   7.1319757E+02   7.0743905E+02   7.4073237E+02   7.3805844E+02   6.9423165E+02   7.4256738E+02   7.1557060E+02   7.2941347E+02   6.9640268E+02   6.9225307E+02   7.1806921E+02   6.9598245E+02   7.2037378E+02   6.9119128E+02   7.7325787E+02   7.7375075E+02   6.9526082E+02   7.0035382E+02   7.0550084E+02   6.9664790E+02   7.1121197E+02   6.9266595E+02   7.0604322E+02   7.1474532E+02   7.0537488E+02   7.3909506E+02   7.1773432E+02   7.3881508E+02   7.4915770E+02   7.0448848E+02   6.9252143E+02   6.9046820E+02   7.1803057E+02   7.2183138E+02   7.0391220E+02   7.1728005E+02   7.4860686E+02   6.8876467E+02   6.9835029E+02   7.2238949E+02   7.2930578E+02   6.8723067E+02   7.3161477E+02   7.1002312E+02   6.9647302E+02   6.8345414E+02   7.0361928E+02   7.3158637E+02   7.0446045E+02   6.9478355E+02   6.9198805E+02   7.2330884E+02   7.2355609E+02   7.1966823E+02   7.1807187E+02   7.0092052E+02   6.9975457E+02   6.9504883E+02   7.7767965E+02   7.1638262E+02   6.8718671E+02   7.0556648E+02   7.3472194E+02   7.2143049E+02   7.2757347E+02   7.0117631E+02   6.9375908E+02   7.0847219E+02   7.4377581E+02   7.3496471E+02   7.1588308E+02   7.1307902E+02   7.1205905E+02   7.2844731E+02   6.9104909E+02   6.9379694E+02   7.4784599E+02   7.0439179E+02   6.9626618E+02   7.3470830E+02   7.1326824E+02   7.1162650E+02   7.4638044E+02   6.9019956E+02   7.3274122E+02   7.1099953E+02   7.0978957E+02   7.9049335E+02   7.1128921E+02   7.2453688E+02   7.1803906E+02   7.4932536E+02   6.8681066E+02   7.1206182E+02  
7   7.2321143E+02   7.0243669E+02   7.2331869E+02   6.8896878E+02   7.4394211E+02   7.0322171E+02   6.9879321E+02   6.8779841E+02   6.9075365E+02   7.2021892E+02   6.8483197E+02   7.1139097E+02   7.2657809E+02   6.9963739E+02   7.0942546E+02   7.3760591E+02   7.1634160E+02   6.9298033E+02   7.2566030E+02   7.0986263E+02   7.0503867E+02   6.9684285E+02   7.1535219E+02   7.0857910E+02   6.8954875E+02   7.1139510E+02   7.4416273E+02   6.8847581E+02   7.2944310E+02   6.9451310E+02   6.8711640E+02   6.8860637E+02   7.1269070E+02   7.1319757E+02   7.0743905E+02   7.1185456E+02   7.2873697E+02   6.9423165E+02   7.4256738E+02   7.1557060E+02   7.2941347E+02   6.9640268E+02   6.9225307E+02   7.1806921E+02   6.9598245E+02   7.0136884E+02   6.8407590E+02   7.7325787E+02   7.1154235E+02   6.9526082E+02   7.0035382E+02   6.9067493E+02   6.9664790E+02   6.9880934E+02   6.8935059E+02   6.9404353E+02   7.1474532E+02   7.0537488E+02   7.3909506E+02   7.1773432E+02   7.3881508E+02   6.9508207E+02   6.9367402E+02   6.9252143E+02   6.9046820E+02   7.0180396E+02   7.2183138E+02   7.0391220E+02   7.1728005E+02   7.4684496E+02   6.8876467E+02   6.8873224E+02   7.2238949E+02   7.2745610E+02   6.8723067E+02   6.9776695E+02   6.9584502E+02   6.8957278E+02   6.8345414E+02   7.0361928E+02   6.9973499E+02   7.0446045E+02   6.9478355E+02   6.8800127E+02   6.9724952E+02   7.0470711E+02   6.9669733E+02   7.0519664E+02   7.0092052E+02   6.9975457E+02   6.9331249E+02   7.0988066E+02   7.1638262E+02   6.8718671E+02   6.9122679E+02   6.8645839E+02   7.2143049E+02   7.2757347E+02   7.0117631E+02   6.9375908E+02   7.0847219E+02   7.2240776E+02   7.3496471E+02   7.1588308E+02   7.1307902E+02   7.0707328E+02   6.9205454E+02   6.9104909E+02   6.9379694E+02   7.1689327E+02   7.0439179E+02   6.9626618E+02   7.2867884E+02   7.1326824E+02   7.1162650E+02   7.4638044E+02   6.8673334E+02   6.9348140E+02   7.0078372E+02   6.9809433E+02   7.4708368E+02   6.9951453E+02   7.2453688E+02   7.1803906E+02   7.4932536E+02   6.8681066E+02   6.9178666E+02  
8   7.1325707E+02   7.0159205E+02   7.1260159E+02   6.8896878E+02   7.2637384E+02   6.8466672E+02   6.9079043E+02   6.8595728E+02   6.8630467E+02   7.1501644E+02   6.8483197E+02   7.1139097E+02   6.9743677E+02   6.9963739E+02   7.0942546E+02   7.1225378E+02   6.9006519E+02   6.9233493E+02   7.0377428E+02   7.0160681E+02   7.0503867E+02   6.9684285E+02   7.1535219E+02   6.9456244E+02   6.8650151E+02   6.8894203E+02   7.2442888E+02   6.8810662E+02   7.2944310E+02   6.9189146E+02   6.8711640E+02   6.8860637E+02   7.0609118E+02   6.9933289E+02   6.9682804E+02   7.0094050E+02   7.2797225E+02   6.9423165E+02   7.0512125E+02   7.1557060E+02   7.2941347E+02   6.9640268E+02   6.9225307E+02   7.1806921E+02   6.9598245E+02   6.8994009E+02   6.8407590E+02   7.0820559E+02   6.8564441E+02   6.9526082E+02   7.0035382E+02   6.9067493E+02   6.9664790E+02   6.9880934E+02   6.8914652E+02   6.8943068E+02   7.1474532E+02   7.0537488E+02   7.2493102E+02   7.1773432E+02   7.3881508E+02   6.8658291E+02   6.8729784E+02   6.9252143E+02   6.9046820E+02   6.9544374E+02   7.2183138E+02   7.0391220E+02   7.1728005E+02   7.1935670E+02   6.8757234E+02   6.8873224E+02   6.9583185E+02   7.0743930E+02   6.8723067E+02   6.9721070E+02   6.9007523E+02   6.8957278E+02   6.8345414E+02   7.0165722E+02   6.8711871E+02   7.0446045E+02   6.9478355E+02   6.8800127E+02   6.9724952E+02   6.8357628E+02   6.9479061E+02   7.0418382E+02   6.9132790E+02   6.9466273E+02   6.9072415E+02   6.8819730E+02   7.1638262E+02   6.8718671E+02   6.9122679E+02   6.8645839E+02   7.2143049E+02   7.2307321E+02   7.0117631E+02   6.9235753E+02   7.0847219E+02   7.1008469E+02   6.8844846E+02   7.0970734E+02   7.1307902E+02   6.9409199E+02   6.9205454E+02   6.9096625E+02   6.9379694E+02   7.0178285E+02   7.0439179E+02   6.9626618E+02   7.2303720E+02   7.1326824E+02   7.1162650E+02   7.1772758E+02   6.8673334E+02   6.9348140E+02   6.8812800E+02   6.9733616E+02   6.9505841E+02   6.8525048E+02   7.2453688E+02   7.1531310E+02   7.3346399E+02   6.8681066E+02   6.9129624E+02  
9   7.0678396E+02   6.9277371E+02   7.1031564E+02   6.8896878E+02   7.0168317E+02   6.8466672E+02   6.8958430E+02   6.8595728E+02   6.8560587E+02   7.0310350E+02   6.8483197E+02   7.1139097E+02   6.9233269E+02   6.9963739E+02   6.8866600E+02   7.1225378E+02   6.8478775E+02   6.9233493E+02   6.9283125E+02   6.9164488E+02   6.9693456E+02   6.9250630E+02   7.1335607E+02   6.8954380E+02   6.8650151E+02   6.8894203E+02   6.9536953E+02   6.8684173E+02   7.1589981E+02   6.9189146E+02   6.8650155E+02   6.8860637E+02   7.0609118E+02   6.8741439E+02   6.9682804E+02   6.8806822E+02   7.1297597E+02   6.9423165E+02   6.9965352E+02   7.0977320E+02   7.0710339E+02   6.9640268E+02   6.9225307E+02   6.9259246E+02   6.9598245E+02   6.8430070E+02   6.8407590E+02   6.9406005E+02   6.8564441E+02   6.9341340E+02   7.0035382E+02   6.8946283E+02   6.9664790E+02   6.9880934E+02   6.8914652E+02   6.8943068E+02   7.0415669E+02   6.9924294E+02   7.0558915E+02   7.1773432E+02   6.9793139E+02   6.8658291E+02   6.8729784E+02   6.9252143E+02   6.8665292E+02   6.8998075E+02   7.2183138E+02   7.0391220E+02   6.9661750E+02   7.1935670E+02   6.8757234E+02   6.8873224E+02   6.9583185E+02   6.9504048E+02   6.8723067E+02   6.9525517E+02   6.8648199E+02   6.8957278E+02   6.8345414E+02   6.9461890E+02   6.8381612E+02   7.0446045E+02   6.9478355E+02   6.8800127E+02   6.9371458E+02   6.8357628E+02   6.8831124E+02   7.0418382E+02   6.9132790E+02   6.9466273E+02   6.9004544E+02   6.8659250E+02   7.0736198E+02   6.8718671E+02   6.9122679E+02   6.8645839E+02   7.0309982E+02   7.0613110E+02   7.0117631E+02   6.9235753E+02   7.0847219E+02   6.9840900E+02   6.8844846E+02   6.9918461E+02   7.0923192E+02   6.8443057E+02   6.8934315E+02   6.8840855E+02   6.9379694E+02   6.9346362E+02   6.9514674E+02   6.9626618E+02   7.0557502E+02   7.1326824E+02   6.9741281E+02   6.9109670E+02   6.8673334E+02   6.9348140E+02   6.8402527E+02   6.9733616E+02   6.9100793E+02   6.8524513E+02   7.1791032E+02   6.9244167E+02   7.1585659E+02   6.8681066E+02   6.9129624E+02  
10   6.9912640E+02   6.9239468E+02   7.0943045E+02   6.8817155E+02   6.8932918E+02   6.8466672E+02   6.8829330E+02   6.8548430E+02   6.8526504E+02   6.9576049E+02   6.8360922E+02   7.0505619E+02   6.9233269E+02   6.8881135E+02   6.8866600E+02   6.8860589E+02   6.8478775E+02   6.9233493E+02   6.8732440E+02   6.8940193E+02   6.8684433E+02   6.9250630E+02   6.9774940E+02   6.8954380E+02   6.8650151E+02   6.8894203E+02   6.9536953E+02   6.8602328E+02   6.9221352E+02   6.9189146E+02   6.8650155E+02   6.8860637E+02   7.0609118E+02   6.8741439E+02   6.9682804E+02   6.8733532E+02   6.9240279E+02   6.8841976E+02   6.9965352E+02   7.0950876E+02   7.0343730E+02   6.9640268E+02   6.9225307E+02   6.8768532E+02   6.9073630E+02   6.8430070E+02   6.8407590E+02   6.9406005E+02   6.8564441E+02   6.8717304E+02   7.0035382E+02   6.8561010E+02   6.9664790E+02   6.9880934E+02   6.8914652E+02   6.8943068E+02   7.0415669E+02   6.9081548E+02   7.0558915E+02   7.0993724E+02   6.9514079E+02   6.8658291E+02   6.8729784E+02   6.9252143E+02   6.8261547E+02   6.8767144E+02   6.9822255E+02   7.0391220E+02   6.8973313E+02   7.1935670E+02   6.8757234E+02   6.8724072E+02   6.9583185E+02   6.9504048E+02   6.8210826E+02   6.9256805E+02   6.8622162E+02   6.8957278E+02   6.8345414E+02   6.9461890E+02   6.8265406E+02   7.0446045E+02   6.9256477E+02   6.8800127E+02   6.9308894E+02   6.8357628E+02   6.8712581E+02   7.0418382E+02   6.9132790E+02   6.9466273E+02   6.9004544E+02   6.8659250E+02   6.8827902E+02   6.8718671E+02   6.8998629E+02   6.8645839E+02   6.8759131E+02   7.0112853E+02   6.9328542E+02   6.9235753E+02   7.0847219E+02   6.9346680E+02   6.8844846E+02   6.9022360E+02   6.9031596E+02   6.8443057E+02   6.8934315E+02   6.8519743E+02   6.9379694E+02   6.9346362E+02   6.8417385E+02   6.9626618E+02   6.8906236E+02   7.1326824E+02   6.8855825E+02   6.9109670E+02   6.8503770E+02   6.9348140E+02   6.8402527E+02   6.9733616E+02   6.9100793E+02   6.8466609E+02   7.0042241E+02   6.8370675E+02   7.1255828E+02   6.8681066E+02   6.9129624E+02  
