Date12[DDMMYYYYhhmm],JulianDayFromYear0[days],TimeFromStart[days],Simulation_Period,Run,Prain_below_canopy[mm],Psnow_below_canopy[mm],Prain_above_canopy[mm],Prain_above_canopy[mm],Pnet[mm],Tair[C],Tsurface[C],Tvegetation[C],Evap_surface[mm],Transpiration_canopy[mm],LE[W/m2],H[W/m2],SW[W/m2],LW[W/m2],LEv[W/m2],Hv[W/m2],SWv[W/m2],LWv[W/m2],SWin[W/m2],LWin[W/m2],Mass_balance_error[mm],Mean_Time_Step[s]
09/04/2014 19:00,735698.791667,0.041667,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,7.880000,3.589920,0.044404,0.033840,0.000002,23.427438,-39.988328,3.442762,-32.405930,0.001616,-6.712752,2.198370,-9.123466,4.718190,287.764117,0.000034,900.000000
09/04/2014 20:00,735698.833333,0.083333,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,7.650000,3.272008,-0.291415,0.025779,0.000000,17.852370,-34.967864,0.000000,-30.300512,0.000000,-6.170998,0.000000,-7.246989,0.000000,289.391048,0.000016,900.000000
09/04/2014 21:00,735698.875000,0.125000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,7.470000,3.070133,-0.522250,0.022950,0.000000,15.896373,-32.718186,0.000000,-29.646027,0.000000,-5.935602,0.000000,-6.571640,0.000000,289.424412,0.000013,900.000000
09/04/2014 22:00,735698.916667,0.166667,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,7.250000,2.866377,-0.739406,0.020666,0.000000,14.316542,-29.878257,0.000000,-29.479601,0.000000,-5.613430,0.000000,-6.365962,0.000000,288.705593,0.000011,900.000000
09/04/2014 23:00,735698.958333,0.208333,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,7.000002,2.673513,-0.982398,0.021119,0.000000,14.633136,-29.903977,0.000000,-29.861836,0.000000,-5.661322,0.000000,-6.481655,0.000000,287.257592,0.000011,900.000000
10/04/2014 00:00,735699.000000,0.250000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,6.970000,2.560484,-1.166104,0.023144,0.000000,16.038322,-33.243486,0.000000,-30.329769,0.000000,-6.101553,0.000000,-6.614245,0.000000,286.086238,0.000011,900.000000
10/04/2014 01:00,735699.041667,0.291667,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,6.790000,2.402260,-1.380089,0.023032,0.000000,15.962877,-32.321735,0.000000,-30.918485,0.000000,-6.039134,0.000000,-6.831877,0.000000,284.503563,0.000011,900.000000
10/04/2014 02:00,735699.083333,0.333333,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,6.910001,2.316096,-1.556468,0.023912,0.000000,16.574671,-34.993796,0.000000,-31.418764,0.000000,-6.394604,0.000000,-6.884149,0.000000,283.432852,0.000011,900.000000
10/04/2014 03:00,735699.125000,0.375000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,7.210000,2.205711,-1.717168,0.018389,0.000000,12.747688,-30.260755,0.000000,-31.168723,0.000000,-5.813569,0.000000,-6.370467,0.000000,283.328692,0.000010,900.000000
10/04/2014 04:00,735699.166667,0.416667,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,6.800000,1.897364,-1.757037,0.007734,0.000000,5.362546,-14.143516,0.000000,-28.549924,-0.049988,-5.235702,0.000000,-5.303954,0.000000,285.507534,0.000010,900.000000
10/04/2014 05:00,735699.208333,0.458333,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,6.919993,1.702418,-1.928790,0.008610,0.000000,5.970895,-16.673002,0.000000,-29.220483,-0.010819,-5.456040,0.000000,-6.202184,0.000000,283.555234,0.000009,900.000000
10/04/2014 06:00,735699.250000,0.500000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,6.140000,1.663491,-1.772957,0.008650,0.000000,5.999373,-15.679427,3.215487,-26.659129,-0.091823,-4.912855,2.030681,-5.120198,4.397974,287.006901,0.000008,900.000000
10/04/2014 07:00,735699.291667,0.541667,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,6.370000,2.609749,0.695453,0.011206,0.000529,7.765989,-12.818644,41.777822,-29.385491,0.368738,-3.501370,26.384084,-17.121911,57.141552,285.909652,0.000008,900.000000
10/04/2014 08:00,735699.333333,0.583333,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,8.539997,4.834878,6.887617,0.016241,0.005883,11.234448,-11.312659,102.905783,-35.436976,4.070598,-1.005049,79.830530,-47.821994,146.486935,283.387036,0.000010,900.000000
10/04/2014 09:00,735699.375000,0.625000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,10.290000,9.477797,19.229252,0.060021,0.024292,41.353092,-4.741740,238.252928,-43.927519,16.613466,5.478722,174.570633,-110.382778,334.904241,284.643633,0.000064,900.000000
10/04/2014 10:00,735699.416667,0.666667,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,11.800000,14.926456,30.644679,0.135256,0.020573,92.743364,22.574274,393.694175,-56.774609,14.021780,13.180529,239.600400,-172.537697,534.531801,285.457194,0.000265,900.000000
10/04/2014 11:00,735699.458333,0.708333,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,13.049998,20.165004,41.020196,0.223787,0.000000,152.721284,54.529889,535.686384,-68.994118,0.050844,19.982066,281.526147,-233.548605,710.316813,287.628210,0.000602,900.000000
10/04/2014 12:00,735699.500000,0.750000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,14.080000,23.861402,46.878546,0.335601,0.000000,228.216273,86.211652,643.044299,-78.130249,0.000000,25.373665,307.093878,-266.399689,840.971114,290.978771,0.001211,900.000000
10/04/2014 13:00,735699.541667,0.791667,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,14.410000,25.666425,47.892729,0.319199,0.000000,216.641067,83.084915,597.403712,-84.361383,0.000000,23.014562,288.166153,-266.437880,782.570101,293.186071,0.000796,900.000000
10/04/2014 14:00,735699.583333,0.833333,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,13.540002,20.990939,38.770196,0.215953,0.000000,147.051092,51.039008,297.206215,-74.855133,0.000000,16.665552,179.366797,-203.599395,403.372071,288.002661,0.000325,900.000000
10/04/2014 15:00,735699.625000,0.875000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,12.910000,16.911106,25.473657,0.130752,0.026781,89.360026,23.140308,158.263638,-68.804946,18.165508,7.574688,99.465032,-121.702969,216.341498,287.649508,0.000193,900.000000
10/04/2014 16:00,735699.666667,0.916667,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,12.980000,16.138777,20.690637,0.100280,0.025080,68.610015,15.691715,176.388407,-66.264332,17.081127,4.627047,110.770027,-92.779574,241.061407,292.469897,0.000114,900.000000
10/04/2014 17:00,735699.708333,0.958333,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,12.339997,13.198474,15.045684,0.094468,0.015825,64.785758,4.981186,87.836798,-62.832137,10.834195,1.670397,55.785349,-67.624689,120.288736,285.110938,0.000072,900.000000
10/04/2014 18:00,735699.750000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,11.280000,10.455271,8.843465,0.070842,0.006356,48.705510,-4.879353,35.196579,-55.966747,4.377605,-1.547456,22.543640,-39.146090,48.274496,284.947700,0.000063,900.000000
10/04/2014 19:00,735699.791667,1.041667,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,9.690000,8.360055,4.528834,0.049051,0.000555,33.790293,-7.788930,3.688206,-47.153096,0.383363,-3.275616,2.356687,-18.202403,5.056833,289.744994,0.000061,900.000000
