name,suggested,lower,upper
SOIL__N,1.5,1.15,2
SOIL__LOG10_Alpha,-2.698970004,-3.301029996,-2.096910013
SOIL__ThetaSat,0.5,0.4,0.7
SOIL__ThetaRes,0.06,0.04,0.08
SOIL__LOG10_NormalHydrConductivity,-2,-4.301029996,0
SCALAR__SoilRoughness,100,10,500
SCALAR__LSAI,5,0,1
SCALAR__CanopyFraction,0.6,0,1
SCALAR__DecayCoeffCanopy,50,0,75
SCALAR__RootDepth,500,50,1000
SCALAR__MinStomatalRes,50,10,100
SCALAR__VegReflectVis,0.1,0.05,0.2
SCALAR__VegReflNIR,0.2,0.05,0.4
SCALAR__VegTransVis,0.02,0.005,0.15
SCALAR__VegTransNIR,0.4,0.05,0.6
SCALAR__CanDensSurface,2,0.1,8
SCALAR__SoilAlbVisDry,0.15,0.05,0.3
SCALAR__SoilAlbNIRDry,0.3,0.05,0.4
SCALAR__SoilAlbVisWet,0.3,0.05,0.4
SCALAR__SoilAlbNIRWet,0.25,0.05,0.5
SCALAR__SoilEmissiv,0.9,0.8,1

