Date,SolarHeight[deg],SolarAzimuth[deg],SinSolarHeight,SWinMeasured[W/m2],SWinClearSky[W/m2],AtmTransmissivity,CloudTransmissivity
01/01/2014 10:00,13.892791,148.448162,0.240106,41.150000,211.743674,0.623267,0.195701
01/01/2014 11:00,18.193654,162.092891,0.312230,239.550000,293.525957,0.664413,0.821469
01/01/2014 12:00,20.100740,176.560607,0.343672,372.116667,329.849130,0.678324,1.000000
01/01/2014 13:00,19.407917,191.204787,0.332291,337.216667,316.662039,0.673507,1.000000
01/01/2014 14:00,16.192429,205.300812,0.278864,242.866667,255.397414,0.647275,0.957396
02/01/2014 10:00,13.928748,148.317868,0.240715,113.350000,212.426717,0.623686,0.537321
02/01/2014 11:00,18.250682,161.967964,0.313175,228.366667,294.616906,0.664860,0.780200
02/01/2014 12:00,20.179056,176.447661,0.344955,162.716667,331.343300,0.678852,0.494187
02/01/2014 13:00,19.505132,191.110093,0.333891,101.166667,318.517286,0.674198,0.319649
02/01/2014 14:00,16.304241,205.227411,0.280738,100.316667,257.529102,0.648313,0.392168
03/01/2014 10:00,13.971906,148.185347,0.241446,137.250000,213.243846,0.624187,0.648103
03/01/2014 11:00,18.315152,161.842041,0.314244,208.233333,295.846561,0.665363,0.708441
03/01/2014 12:00,20.264851,176.335182,0.346360,248.566667,332.976025,0.679428,0.751201
03/01/2014 13:00,19.609609,191.017370,0.335610,272.350000,320.507210,0.674935,0.855158
03/01/2014 14:00,16.422871,205.157299,0.282724,124.600000,259.788250,0.649404,0.482846
04/01/2014 10:00,14.022256,148.050676,0.242299,54.283333,214.194957,0.624769,0.255182
04/01/2014 11:00,18.387042,161.715198,0.315434,49.766667,297.214464,0.665921,0.168530
04/01/2014 12:00,20.358092,176.223240,0.347886,38.183333,334.746525,0.680050,0.114782
04/01/2014 13:00,19.721301,190.926685,0.337445,34.766667,322.630776,0.675717,0.108443
04/01/2014 14:00,16.548259,205.090539,0.284823,36.700000,262.173693,0.650544,0.140920
05/01/2014 10:00,14.079789,147.913935,0.243273,29.433333,215.279884,0.625431,0.137662
05/01/2014 11:00,18.466327,161.587508,0.316747,53.416667,298.720084,0.666533,0.179973
05/01/2014 12:00,20.458740,176.111906,0.349533,51.266667,336.653945,0.680716,0.153233
05/01/2014 13:00,19.840157,190.838108,0.339397,26.266667,324.886875,0.676542,0.100000
05/01/2014 14:00,16.680343,205.027196,0.287032,11.133333,264.684191,0.651732,0.100000
06/01/2014 10:00,14.144490,147.775202,0.244368,55.066667,216.498405,0.626170,0.256091
